标题,帖子数,日期,情感
恭喜沪A东，以及小号小东97965 唱多成功,69827,2017-04-25,0.9876256403429231
核建下跌原因.就是为了吃解禁便宜筹码.哈哈哈,16610,2017-05-16,0.9953659956034572
上等人知道道理去坚持道理中原则做事.中等人怀,11293,2017-08-03,0.9924141370453572
刷屏发帖子目的是证明一毛根本无法短线赚钱.不,23820,2017-07-04,0.2240041759031255
每天小赚一毛钱.东财股友.北京中小股东.这三个,17325,2017-07-19,0.026606350125310096
大多数人看空中国核建.解禁日.咱们价值投资者开,31814,2017-06-12,0.9976582178295968
什么小东和一毛钱天天犬吠有意思吗?让大家都恶,1810,2017-09-01,0.6763807829086574
1月是18元，现在12.7元，买了放心。混改、军工,6864,2017-08-30,0.048352431466770596
[献花]冒充我司马懿马哥的大名，都是狗托，大家,2604,2017-08-28,0.06787288820943971
中国核建,混改先锋,21592,2017-08-17,0.9384628882380333
一毛我23元买的.下跌百分之五十.我成本8元为什,21285,2017-07-13,0.6413360912848156
大家看看一毛每天早上开盘关键时刻发帖子.不看,14860,2017-07-26,0.1716694289747085
大家看一毛今天不在开盘关键时间发帖子了吧.两,17866,2017-07-27,0.1699598792472785
中国核建：上半年净利同比增8.2% 证金公司新进,39653,2017-08-29,0.9413723303805385
中报速递：中国核建2017年上半年盈利2.94亿元，,29088,2017-08-29,0.8634107710311133
小东小毛给您们提个意见…您们天天刷屏，这天天,3627,2017-08-28,0.9465235887376707
这个股咋样？同学们？,10685,2017-08-26,0.1494878539205602
今天我司马懿马哥又来推荐一只大庄股，西安饮食,6216,2017-08-23,0.03377986915266884
[牛好困惑]女士们先生们朋友们！战胜内心的恐惧,5365,2017-07-23,0.9999416409471623
套了10个点了！要逼我跳楼吗？,17791,2017-08-22,0.7031387594734714
开盘是个极佳卖点，今天将开始拉升,10559,2017-08-23,0.07641519799964014
卖就跌，买就涨，买就涨停，买了就停牌重组，重,4340,2017-08-27,0.3191105721397107
我又来推荐两只股，时间窗口到，第一只是福达股,15788,2017-08-19,0.04795469983331102
一类股表现抢眼，后市有望全面爆发？！ ,73808,2017-08-18,0.8184578111376596
中国核建这周，是时间窗口，反弹的位子是13.30,26443,2017-08-17,0.9493727579284282
8月19号我在上证指数吧发帖，中国核建出货点在1,9866,2017-08-22,0.23511244908174667
难得我有文字图帖,16302,2017-08-18,0.9246063982085343
中国核建601611的深度分析，不看后悔一生！,35868,2016-07-02,0.9871141094601977
中国核建(601611)龙虎榜数据(08-18),99852,2017-08-18,0.9852506275475066
大家看一毛发看空帖子时间8月1号13.18.开始到昨,10935,2017-08-04,0.021464014586596303
601611:中国核建关于持股5%以上股东减持股份计,94958,2017-08-09,0.6700643397583017
中国核建8月18日开盘涨停,12681,2017-08-18,0.8108324021913951
中国核建8月17日打开涨停,17362,2017-08-17,0.5637724002937915
谢了  中核建。。。 好样的中核建，祝福继续持,95138,2016-07-01,0.9520740717453673
中国核建8月22日盘中跌幅达5%,18485,2017-08-22,0.4162073771039967
中国核建：前7月新签合同额410亿元 同比增17.2%,36828,2017-08-16,0.9581084610509957
中国核建是2017年股市3龙头,15174,2017-01-02,0.9591900080840682
我司马懿马哥用计算，时间窗口，量缩点推荐一只,10142,2017-08-18,0.031122857155376438
601611:中国核建股票交易异常波动公告,61900,2017-08-18,0.9627617986028257
《妖股追击》用心分享 2017.08.18 买卖记录！,12813,2017-08-18,0.9692829154745878
混改风口，一碗肥而不腻的红烧肉,17704,2017-08-20,0.18657137816358582
中国核建、佳电股份双双涨停——,57789,2016-12-25,0.9904601082356214
超级大鱼一条,28299,2016-11-23,0.5158934305297123
中国核建：股价连续涨停 无应披露未披露事项,45057,2017-08-18,0.9994282924198578
掛12.88减仓卖出中国核建结果以13.35涨停开盘成,6835,2017-08-18,0.364947363558089
中国核建8月17日盘中涨停,16045,2017-08-17,0.5669636933398087
一毛赔钱赔光本钱是他不知道做股票赚钱道理.他,4501,2017-08-08,0.6002015819382058
601611:中国核建关于经营情况简报的公告,90444,2017-08-16,0.893790531705124
鼠目寸光小骗子注定你们一辈子是穷鬼.哈哈哈,37148,2017-05-17,0.9125184986033605
中国核建贴吧有小东和一毛，扮演黑角和白角。先,8831,2017-08-11,0.8878963253267895
中国核建：中国信达拟减持不超1.98%股份,37477,2017-08-09,0.9770016867361146
可以买入了，来一波价值发现。三个月看高到14元,21357,2017-07-18,0.22294977096198476
我不需要别人相信我尽我一个普通股民的义务，看,7478,2017-07-28,0.6780838648765083
一毛你说说你为什么做骗子骗股民钱生存呢.如果,10434,2017-07-07,0.012723756434286693
请问一毛为什么删昨天前天发看空帖子.判断错误,3728,2017-08-04,0.031843465848761965
一毛昨天前天发帖子看空.告诉小散中国核建又要,3475,2017-08-04,0.2622904113277179
谢谢了，中核建。。 好样的中核建，祝福继续持,7993,2016-07-01,0.9447526695563947
小东和一毛钱都快滚吧，这里没有人喜欢你们。支,4691,2017-08-03,0.2141849670357049
短线下午核建怎么走.,25577,2017-05-12,0.9511782136221922
大家说说小东18忽悠散户接盘，为什么大跌后唱价,5541,2017-07-27,0.04211825237657363
[图片],20846,2017-06-14,0.5826086956521737
大家看看谁在骗人,19463,2017-06-14,0.13333333333333341
这吧很热闹观察小半个月，以我忍不住谈谈自己的,6012,2017-07-26,0.8997567822774746
本周分析：股市将震荡上涨,7506,2017-06-23,0.9189154650919735
这里到底有没有人出来管教下那两只狗,6316,2017-07-28,0.2286655004910927
特别注意:这次是战略重组，不是资产重组！战略,26229,2017-03-19,0.9991706268708511
看看骗子又自己揭穿自己了吧.说我是托是嘴炮还,2984,2017-07-14,0.1668589401077447
601611:中国核建关于经营情况简报的公告,76213,2017-07-14,0.893790531705124
行情在绝望中来临 如果你觉被核建折磨是忍无可,14508,2017-06-14,0.9788735499842023
进场: “双重改革”受益股,社保养老金标的股,7151,2017-05-21,0.9893200488469195
混改又如何？既已暴露，傻子才会拉抬此股！醒醒,40581,2016-12-19,0.0003078202928216145
看好核建，期待第二波冲锋[加油][加油][加油],12014,2016-11-05,0.9999235016054164
中国核贱，24到12，算不算腰斩,27086,2016-07-09,0.9047228460206314
601611:中国核建关于2016年年度股东大会决议的,47854,2017-06-21,0.9780441868271632
601611:中国核建关于经营情况简报的公告,51873,2017-06-14,0.893790531705124
601611:中国核建2016年年度利润分配实施公告,87944,2017-07-05,0.7813237656424061
别装了，拉起来吧,9013,2017-06-27,0.4830674347776972
中国核建：前5月军工工程新签合同额增长近8倍,64426,2017-06-14,0.956507397522325
军工核电业务安全有序，业务协同效应显著,112225,2016-09-02,0.9474086613531743
中国核建带领核电基建接棒，接替高铁基建炒作龙,30079,2017-03-28,0.33745751818171676
纳入国际指数，股民积极性正高，也是跳水的最佳,4862,2017-06-21,0.9634169615943315
这点风浪都受不了，抛掉的人离开吧，免得以后难,657,2016-07-01,0.059940577679098106
惊现隔岸观火日K线、已经很多很多年未见了。,33503,2016-09-23,0.4481486403631456
正在筹划重组的中国核建成立投资事业部,93781,2017-06-22,0.9614274231970178
幸好开板那天全出完了！这个垃圾就与中国核电、,7696,2016-07-25,0.09657140889578109
第一，刷屏很讨厌。第二，价值投资不是找套40%,8025,2017-06-17,0.8975188823393196
核建两年内不跌破10元，我吃屎10公斤。立贴为证,51002,2016-12-15,0.0019613838704167774
就像要退市的欣泰一样，天天跌,528,2016-08-08,0.43920311835489245
还不如是个搞房地产的呢,732,2016-08-15,0.5075705281272267
