标题,帖子数,日期,情感
看看谁还敢造谣吓人，老夫坚决灭了它,6396,2017-09-02,0.08442425021589384
小武：我真的将情妇转给你——,5065,2017-07-25,0.9422093738347191
上净小丑，你看下中联主营挣钱没？加上环境的总,8262,2017-09-01,0.4088913753824531
大摩减持中联重科703万股 每股3.818元,27180,2017-09-01,0.4266478694201421
热烈庆祝三一股民发大财了，不要看中联垃圾了，,22728,2017-08-01,0.9577710828628132
病菌的人工成本还要从毛利润里面出,3285,2017-09-02,0.043271438385164895
2017---祝福+漫漫人生路+千千阙歌,122283,2017-01-01,0.9991682804760426
自己看日期,21942,2017-07-26,0.7500624229391243
今天分红15000 同时中一签 今年第五签 跌啊,8910,2017-08-24,0.01356764792186238
亏损归因处理历史问题 据2017年半年报显示，中,6961,2017-09-01,0.42417494395993904
中联重科所得税做到负74万元，如果不计提，那所,9949,2017-08-31,0.10329632764991581
人民日报丨创新龙头 +“智造”出海 中联重科动,8621,2017-09-02,0.9417421178047529
证明了中联重科技术确实是被国际认可在中国国内,24170,2017-07-11,0.9390736194015522
不仅仅是后勤保障装备，现场拍摄车也是中联重科,27370,2017-07-30,0.8107638397523176
黑心缺德庄托尽管来攻击老夫，越是攻击老夫越兴,6785,2017-08-07,0.7861750718844053
两年多前10元多下来到现在还在下面躺着诈尸，股,12305,2017-08-27,0.09227082087256733
公司是不是军民融合股看看就知道了,19475,2017-07-19,0.5746083263173972
中联重科到底中报盈利了多少？,6136,2017-09-01,0.4060572515713776
傻根，被扇了一巴掌，还想再来一巴掌？[大笑][,3977,2017-09-01,0.018945914151736076
中联重科营收回暖 “甩包袱”与“走出去”双管,27267,2017-09-01,0.5461258234751951
上半年扣非净利亏近80亿 中联重科归咎处理历史,51869,2017-09-01,0.912802088061352
中联股吧最服铁建上净，天天鼓吹000157，靠！还,6788,2017-08-31,0.08722627752929801
为了忘却的纪念-鸡年随笔,25907,2017-07-22,0.9558945543411689
迟了点。[大笑][大笑][大笑][大笑][大笑][大笑],6656,2017-08-31,0.951237062150769
中联重科:2017年半年度报告(更新后),49554,2017-08-31,0.3096916581617263
中联重科上半年净利润超11亿 主动调整到位进入,30823,2017-08-31,0.7272725919401217
中联重科16.49亿元转让账面原值40.99亿元的应收,42994,2017-08-30,0.1260092229345693
中联重科上半年计提资产减值准备87.51亿元,31150,2017-08-30,0.7619337928936958
上半年净利超11亿 中联重科迈入可持续发展快车,21084,2017-08-31,0.4919866070565463
中联重科拟核销1204.92万元坏账,17224,2017-08-30,0.3991736682560999
中联今年旗下已两家子公司上市，估值已达几十亿,136882,2017-02-21,0.28958906967188125
中联重科拟将低风险投资理财额度调增至不超100,12894,2017-08-30,0.8952910237640368
中联重科已收到转让款完成出售长沙中联重科环境,27786,2017-08-30,0.27501304373606417
中联重科:关于调增低风险投资理财业务额度的公,13847,2017-08-30,0.9739926220459968
中联重科聘任李波为公司副总裁,13471,2017-08-30,0.6851347362564807
受益资产处置 中联重科中期业绩转盈至11.41亿元,18402,2017-08-30,0.9876149678908006
中联重科上半年业绩亏转盈至11.41亿元,37987,2017-08-30,0.7032890422102421
分红，每股净资产减少0.15元，用的是去年的利润,29995,2017-08-25,0.07490468890047064
中报预盈11-13亿元超预期；工程机械板块大增约8,70043,2017-07-17,0.007032493819406738
减仓的扣税了，只做踢，不减仓，确定不扣税。[,8645,2017-08-28,0.007467235556715357
卖了6000股扣税了,5940,2017-08-29,0.10447008518238454
我不知道66出了一个！还以为没出，收盘65砸了一,8722,2017-08-25,0.0527275386791749
[智能点评]中国漂亮50列队完毕，请你速来检阅！,8182,2017-05-30,0.7456415854795958
