标题,帖子数,日期,情感
整天瞎哔哔，看好的就留着，不看好的就走人。,35737,2017-07-22,0.057976526930590966
华夏幸福新模式和战略性投资花蕾含苞欲放,24827,2017-08-29,0.9874386270827314
‘’董明珠再度大手笔增持珠海银隆：变身第二大,7521,2017-04-06,0.07449958848995442
主题  雄安,150696,2017-05-02,0.8341882364580228
实战炒股口决： 十四工作线，来回做波段；突破,57088,2017-04-09,0.986755970349184
华夏幸福12年之后就是千元股,104273,2017-06-25,0.6578559136391983
华夏幸福2028,63400,2017-07-29,0.8986921682727428
长阴过后阳驱雾   春风又扶桃李颜,30180,2017-04-03,0.8418981633183388
你下降，我加仓，大家别学我,9468,2017-09-01,0.506707878390499
股价不到10块次新股江苏银行仅此1家0.98元业绩,63182,2017-04-28,0.04997406222880574
咯咯 狂笑 瞎子狂笑 连续4年业绩翻倍，三年利润,20612,2017-07-19,0.5194793279124371
哈哈哈 抢盘了 咯咯咯咯咯咯咯 狂笑 瞎子狂笑 ,18056,2017-07-19,0.9656612594009105
抢盘了 咯咯咯咯瞎子狂笑 连续4年业绩翻倍，三,18573,2017-07-19,0.8986700415368628
抢盘了 咯咯咯咯咯咯咯 瞎子狂笑 连续4年业绩翻,14066,2017-07-19,0.9464573711235531
抢盘了 咯咯咯咯咯咯咯 狂笑 狂笑 连续4年业绩,14787,2017-07-19,0.9614701022443326
咯咯咯咯咯咯咯 狂笑 瞎子狂笑 连续4年业绩翻倍,14126,2017-07-19,0.9521368910917065
揭穿价值投资的鬼话，如果真要价值投资，招商银,48460,2017-07-02,0.9997151511106501
华夏就是洗盘。还在的别泄气,5770,2017-08-31,0.7473357945377102
超级重磅！！  华夏幸福中标团风县产业新城 880,27406,2017-08-31,0.9563981472545533
600340:华夏幸福2017年半年度报告,96556,2017-08-17,0.8978067209421654
华夏幸福(600340)大宗交易数据一览(08-30),41921,2017-08-30,0.7616205447745623
删贴啦 狂笑 瞎子狂笑 咯咯大笑 连续4年业绩翻,16413,2017-07-08,0.9038238530783725
接下来2天大跌大买，跳进黄金坑,9043,2017-08-23,0.0009263677942291659
静候变盘，潜伏第二波！,12285,2017-08-17,0.7604253142400186
今天至少要跌3个点，明日低开低走，十点跌停，,8265,2017-08-29,0.17480623419875663
靓股~华夏幸福 西水股份 华资实业 佳讯飞鸿 中,17273,2017-06-14,0.9995382625114481
靓票：华夏幸福 西水股份 华资实业 佳讯飞鸿 中,16957,2017-06-14,0.9969593830521271
祝留下的发财,5289,2017-08-29,0.8451699022531796
340除去雄安概念，说到底也只是房地产股，与招,10457,2017-08-08,0.39210400055631234
东方雨虹再投三十几亿入住华夏幸福滁州开发区！,11326,2017-08-28,0.6694655889261806
华夏幸福上半年预收1300亿 业绩远超同期,57601,2017-08-21,0.9008287578770716
解密华夏幸福隐秘而庞大的招商帝国    园区界 ,9036,2017-08-24,0.9510644024964892
祝大家周末快乐，周一低开低走，十点跌停,9591,2017-08-25,0.9588368545047349
[牛想一下]女士们先生们朋友们！战胜内心的恐惧,7868,2017-07-23,0.9952147487468648
600340:华夏幸福关于签订浙江嘉兴科技城产业新,57325,2017-08-25,0.7284781769749182
600340:华夏幸福关于拟与浦发银行广州分行签订,40603,2017-08-27,0.05241648900043683
拓展产业新城，业绩持续稳定增长,40403,2017-08-24,0.9957965393276649
股东户数从5万增至14.7万，我只能哈哈哈！,18035,2017-08-18,0.801414746859576
俺不知死活滴进来了,75021,2017-04-12,0.023824191747193635
华夏幸福为区域发展注入活力：净利润增长超三成,29431,2017-08-20,0.9994341316429464
我研究华夏幸福10余年，说句不客气的话，对此股,30014,2017-08-23,0.8929155172790714
叶檀：华夏幸福跟开发商根本不是一回事！看完这,18711,2017-08-24,0.8096295200339885
不管对错，走了！大家发财,10425,2017-08-14,0.5946351159448888
紧急通告：立即抢购7.25元历史最低位附近的金钼,7483,2017-04-24,0.9572144436642105
产业招商稳定增长，异地复制初见成效,33848,2017-08-23,0.9939167439130248
华联控股与华夏幸福的比较研究,11738,2017-07-24,0.9119902328635829
地产业，谁能算得上华夏幸福真正对手？,14545,2017-08-22,0.9265241141023898
业绩增长稳定，销售价格提升明显,38530,2017-08-23,0.98381649524953
PPP资产证券化成功落地，产业新城开启内生增长,23828,2017-08-18,0.9973529775954487
能坚持到明年的今天的，进来报到,20797,2017-04-19,0.791927270864758
格力好还是华夏好？,8724,2017-08-21,0.7260632515399791
华夏幸福业绩“蜕变”：产业发展服务收入首过半,31500,2017-08-22,0.9999930269431035
华夏幸福(600340)估值信息,18408,2017-07-27,0.877903151142815
投资华夏幸福不得不想明白的问题。 作为华夏幸,11248,2017-08-20,0.9974358556712637
600340:华夏幸福关于下属子公司九通投资2017年,53625,2017-08-18,0.9712792061115608
华夏前进的号角已经吹响！,19356,2017-08-18,0.06991855575566808
我很少发图片，这图太美了，周线漂亮的很,12973,2017-08-13,0.97799099269217
17年中报点评：如日方升，欣欣向荣,61893,2017-08-20,0.39551267808751833
华夏幸福2017年上半年净利润达53亿 增速高居同,64642,2017-08-19,0.9391961794631215
华夏幸福产业新城（单位：平方公里）,14758,2017-08-19,0.9628161697416239
华夏幸福明天开盘若不下跌，我永远退出东财股吧,18477,2017-08-17,0.5815292365990078
北京向东：筑起文创高地的大厂产业新城,6750,2017-08-19,0.9590262058774749
华夏幸福(600340)融资融券信息(08-18),9191,2017-08-19,0.9760740947411385
华夏盈利质量不高 华夏中报盈利54亿，增长35%，,19890,2017-08-18,0.704525939173492
