标题,帖子数,日期,情感
世界经济史是一部基于假象和谎言的连续剧。要获,4694,2017-09-01,0.9996529769146936
致吧里的疯子,4140,2017-09-01,0.9807928674356498
华闻传媒：参股公司振江股份IPO过会,32589,2017-08-22,0.3540854301842301
神奇的一幕（续集）,22131,2017-08-23,0.9932253353013487
有人发帖问，我为何拉黑他，还说我是不是心虚了,9982,2017-08-24,0.01120330471663622
振江股份上市定价猜想,11291,2017-08-29,0.9366363674122049
华闻传媒合计持股超过20%成振江股份上市大赢家 ,23031,2017-08-22,0.16391903483548764
杀跌就打光我的子弹,12245,2017-07-28,0.30451092871711205
打了几只小苍蝇，老虎呢？,9390,2017-08-01,0.27281322737897984
正义只会迟到不会缺席，利益输送草根投资迟早会,67404,2017-02-27,0.9779740656285199
信披违法违规及虚假陈述被举报,41441,2017-03-21,0.003585380436521457
违法违规公司就像过街老鼠，人人喊打！,48228,2017-02-28,0.06252946968735396
监管层终于出手了！,15007,2017-07-31,0.9218601697978677
堂兄妹内幕交易被罚5400多万 细数内幕交易这几,104292,2017-07-28,0.9953422441757083
这个公司就是无德，缺德，坑蒙拐骗中小投资者。,140562,2016-09-08,0.12290134056187407
冰山一角！,10659,2017-08-02,0.6000799053524202
堂兄妹参与内幕交易,16022,2017-07-31,0.9872496342833474
大菜鱼。名如其人！哈哈！,20850,2017-07-10,0.1786190145459149
这种公司绝对有问题，麻蛋,17041,2017-07-11,0.4516249936509311
几个月时间溢价280多倍，然后这公司去接盘吗？,60154,2017-02-21,0.7364059259058152
大菜鱼们居然在现在严监管的大形式下，还敢为利,17848,2017-07-11,0.46525625853973174
报证监会，报证监会！！！！！赶紧报！坚决报。,56573,2017-02-21,0.00132018472610973
丑陋的华闻传媒,58611,2017-03-27,0.1444673101820576
严惩挑战法律底线的资本大鳄 逮鼠打狼敢于亮剑,47861,2017-02-11,0.9999753444608963
不唱多，不唱空，被依法严惩就木有人扯,42000,2017-03-09,0.6076216278873985
涨与跌是一回事，损害投资者就得举报,47998,2017-02-22,0.6317338818214454
损害广大投资者合法权益的公司都该这样,113819,2016-09-06,0.6086962390410068
对违法违规的上市公司，投资者都该用法律法规维,128862,2016-09-11,0.9928595776554205
只要你有证据有理由就必须维护合法权益,44274,2017-03-07,0.08713814684467536
这样也是虚假陈述的表现，确实所有投资者都该了,126117,2016-09-07,0.8755504894782531
看了互动平台，真是一头雾水！,30451,2017-06-03,0.6403423751015832
太乱了，投一亿去送礼？,60698,2017-02-21,0.05345644767298563
垃圾公司 造假大王 黑心企业 无耻股票,101063,2016-11-11,0.0036884234201784993
违法的垃圾，退市吧,48024,2017-02-09,0.0013350004046908115
问题公司一定会轮到的,66729,2016-10-22,0.5800028057219424
华闻违法违规行为很快将全民关注,38111,2017-05-02,0.8778287763574983
专项执法揭八类信披问题,87951,2016-10-22,0.017667658737577807
违法违规的上市公司就算有老虎也打,38268,2017-04-17,0.06308477478603514
对违？乱？就得这样，维护投资者合法权益,86681,2017-02-22,0.8122977764299449
再换一批人出来叫喊也掩盖不了违法违规的事实！,36424,2017-04-11,0.03171891143553596
事实上这次非增华闻传媒真的不需要停牌!,29316,2017-06-03,0.032697878585225326
垃圾公司又搞新花样，是否又在准备损害投资者合,42205,2017-03-15,0.20906266154546727
违法违规公司就像过街老鼠，人人喊打,16031,2017-07-11,0.06252946968735396
换几个马甲出来就以为可以掩盖违法违规的事实？,52920,2017-02-26,0.059200725263459875
怪事连连！,86946,2017-02-20,0.23082833962758653
中国高科虚假陈述,34672,2017-04-26,0.2597719484566391
这种公司必须受到顶格处罚，不然法律法规都没用,28099,2017-06-03,0.7177319051255107
有没有内幕交易卖资产呢？？？,43684,2017-03-19,0.11001631473860274
什么叫“虚假陈述”哦,119804,2016-09-01,0.05662155567179916
明目张胆的利益输送,42309,2017-03-28,0.23847992109326377
骗子公司无德无能,35555,2016-11-23,0.037679856434921
等待行政处罚吧,50844,2017-02-10,0.1609415033144972
只要你有证据有理由就必须维护合法权益,26189,2017-06-03,0.08713814684467536
正在处理中,27739,2017-05-25,0.7909929116839153
大家赶紧去证券会举报，华闻这样搞迟早出大事,50800,2017-02-21,0.13845392561278236
每天换几个马甲出来摇旗呐喊！混淆是非就能掩盖,47701,2017-03-02,0.24899059354971265
问的好！答得驴头不对马嘴！哈哈！,49577,2017-03-28,0.045907258755843894
举报举报，违法必究,16284,2017-03-12,0.3131530849363958
举报，举报，猪家真是太无耻了，猪金玲赚不到钱,54743,2017-02-21,0.0027295948821608462
这次非增的策划行为人是谁？？？,40419,2017-02-15,0.3988941418736218
这种公司必须受到顶格处罚，不然法律法规都没用,34269,2017-04-22,0.7177319051255107
公司投资草根网络1亿占公司股份1%,54565,2017-02-22,0.9650209354308422
公司投资草根网络1亿占公司股份1%,26555,2017-06-03,0.9650209354308422
垃圾，好去死了，怎么还活着,6462,2017-08-15,0.18014389017317955
一直拿公式化的公告来忽悠投资者,24719,2017-06-03,0.4412692386254258
这股爱波动，持有者想在其身上赚钱一定要先克服,15688,2017-05-23,0.8731877924120968
妹妹你大胆的往上冲,11010,2017-08-21,0.9212054811739887
踏空点也无所谓，可以这样对倒。,10034,2017-08-28,0.14284285789279116
CIBN一旦开始盈利就是一只下金蛋的鹅！,9944,2017-07-27,0.3548898873958958
东海证券净利润和浙商证券差不多，转主板就赚翻,8052,2017-08-25,0.09705698691635789
华闻传媒:关于全资子公司转让股权收益权的进展,27259,2017-08-22,0.6295590216568646
华闻传媒控股股东继续增持,26913,2017-07-24,0.14107322118793164
打压增持,7324,2016-12-28,0.4737672181921908
华闻传媒(000793)融资融券信息(08-29),4362,2017-08-30,0.4823699104179697
现价买入低于庄家成本，长期持有且波段操作定有,9048,2017-08-23,0.03362007392823185
华闻传媒:关于投资浙江草根网络科技有限公司暨,39414,2017-05-15,0.9315585631884499
中报速递：华闻传媒2017年上半年盈利3.60亿元，,39707,2017-08-18,0.08533194459056737
华闻传媒子公司拟不超10亿元增持东海证券,42026,2017-07-13,0.02812259197621425
连续六天增持 —— 厉害了，我的妹！,5886,2017-07-26,0.599504884237408
华闻传媒:关于参股公司首发获准通过的公告,30399,2017-08-22,0.02954548063364104
华闻传媒:2017年半年度报告摘要,22978,2017-08-18,0.37579732560568013
华闻传媒(000793)融资融券信息(08-24),6920,2017-08-25,0.4823699104179697
大这几天大胆T了几次，成本降了0.39元。,20891,2017-05-11,0.5614477770512212
两市最臭名昭著的股票！没有之一！,126435,2016-08-22,0.19437894565592206
最无道德的一家上市公司,124612,2016-07-29,0.4912886355981002
咱就技术一回,14853,2017-08-01,0.3200391067070981
主力心善,24931,2017-05-10,0.9008128316277788
黑暗中的下跌即将过去，黎明后的红太阳终会升起,12448,2017-08-12,0.9997552185103563
最新机构户数和股东户数,15705,2017-08-02,0.38590414429181397
明争暗斗,6149,2017-06-28,0.4737672181921908
满仓了。华闻持股占比已超四成，成为超级重仓。,9133,2017-08-21,0.006566224050927438
王的女人初长成,13019,2017-08-18,0.7875479626007663
这家公司居然挑战法律法规,147023,2016-08-09,0.9677364298747154
遍地是黄金,37407,2017-01-19,0.459542150873823
涨跌也改变不了违法违规的事实,116327,2016-08-10,0.15385951120496344
