标题,帖子数,日期,情感
君正集团追求长期生存，才是硬道理！！,10653,2017-09-01,0.6798251462546491
致老妖狗，看31条这真不是我说的，但是我感觉说,12589,2017-08-14,0.9319028881210888
《老妖狗在股吧的作用》,11219,2017-08-30,0.8778311463088767
《金夏8月，老妖完胜》精品,28157,2017-08-31,0.9397691413211926
关于本吧妖孽，我有个提议，请大家投赞成票。,7912,2017-08-30,0.7904318396350695
《老妖2017年妖言》,23946,2017-07-04,0.9259966777833464
余额宝有望再刷新数据，价值个股：君正集团，买,19156,2017-07-20,0.28726553635501484
余额宝再度刷新数据，预计双11支付峰值再次刷新,4003,2017-07-24,0.0004253790658054202
君正集团(601216)融资融券信息(08-31),5088,2017-09-01,0.9591178694044288
一家普通化工企业为什么会弄那么大的股本，目前,41485,2017-08-27,0.2106942343272591
不用骂了吧，今天主力上班了,3222,2017-09-01,0.32951703623884365
老妖逼，滚出本吧！,4432,2017-08-31,0.9282035724428785
一点四十进了一成仓位。,60590,2016-09-20,0.37863865304426714
我心飞翔！,17587,2017-08-30,0.8541715307152083
江苏银行股价不到10块0.98元业绩次新股仅此1家,39506,2017-03-29,0.049974062228806404
这个可以有！,52162,2017-08-17,0.5262327818078083
《君正监狱》,31821,2017-08-24,0.6623259290114907
试分析证金持股4.99%,33064,2017-08-24,0.6480092047007225
君正集团(601216)融资融券信息(08-28),8849,2017-08-29,0.9591178694044288
苦守君正三年,终成正果!,32051,2017-08-16,0.9009681068735328
明日涨停，立贴为证！,21581,2017-08-28,0.824579076115038
此位置需要横盘至少三个月来消磨16年9-12月份的,33325,2017-08-22,0.08353233468555232
目标¥25.5,14987,2017-08-26,0.7895290168366028
君正集团(601216)融资融券信息(08-25),9703,2017-08-26,0.9591178694044288
纵观君正的走势，给我一种预感，是一只绝无仅有,29647,2017-08-25,0.30841102886264415
601216:君正集团2017年第二季度主要经营数据公,49326,2017-08-24,0.9392334284409589
中报速递：君正集团2017年上半年盈利9.24亿元，,67129,2017-08-24,0.7013758573291817
再见，内蒙古垃圾集团。,5473,2017-08-25,0.10106884910423364
难怪三连阴，0.109元的业绩去年0.15元,12203,2017-08-24,0.29072231433220297
完美的十字星，明天高开高走！[微笑],12454,2017-08-24,0.8941801475559786
君正集团(601216)融资融券信息(08-24),6544,2017-08-25,0.9591178694044288
601216:君正集团2017年半年度报告,49417,2017-08-24,0.8347721090762422
明天高开3个点,11459,2017-08-24,0.13688832164020337
601216:君正集团2017年半年度报告摘要,31596,2017-08-24,0.9317201505752931
君正集团(601216)融资融券信息(08-23),7390,2017-08-24,0.9591178694044288
5.84清仓8万股，善哉善哉！,8181,2017-08-21,0.5206107871757905
熬过寒夜的曙光，英雄相拥的感动。,26139,2017-08-04,0.9999475616387768
下午发力！,13990,2017-08-22,0.4844449485763629
君正集团8月21日盘中涨幅达5%,17626,2017-08-21,0.1063644340896659
君正集团赶紧买吧  今天你不理不睬，明天你将高,22183,2017-06-15,0.0363227643966989
鄂尔多斯最近几个交易日涨幅已经达到30%，同硅,11461,2017-08-21,0.051906115689048904
一季报速递：君正集团2017年一季度盈利5.34亿元,45535,2017-04-20,0.7626039033298184
601216:君正集团2017年半年度业绩预增公告,137151,2017-07-13,0.7616474460369103
惊天公告...便是众人如梦初醒时！,30147,2017-08-03,0.4946264521275344
5.83满仓了！,28442,2017-08-15,0.24679790893314069
年报速递：君正集团2016年盈利15.84亿元，同比,39117,2017-04-11,0.5459612966042132
君正集团(601216)融资融券信息(08-18),9990,2017-08-19,0.9591178694044288
君正集团，受到资金青睐，短线注意回踩进场机会,23972,2017-08-15,0.9989316790892299
一杯茶，一包烟，君正何需看一天。求上联[献花],11138,2017-08-18,0.9350680175269526
不鸣则已，一飞冲天,23091,2017-08-16,0.2925977853175611
揭穿价值投资的鬼话，如果真要价值投资，招商银,14156,2017-07-24,0.9997151511106501
呀呼嗨，[大笑]呀呼嗨，[大笑]呀呼，呀呼，呀呼,29682,2017-08-15,0.6638411586030267
老妖调查,11841,2017-08-17,0.8228589659850135
我估摸着，今天周一会有大动作，蚂蚁金服为社保,20068,2017-07-31,0.04648821487057031
莫看老妖帖子，肯定是套！,7517,2017-08-16,0.5047444162156745
8.15论君正,50979,2017-08-15,0.9216829600901378
哎，老妖狗你也太可爱了，你要点你那装逼犯的逼,11120,2017-08-15,0.958995513733431
对君正的自己见解，勿喷,27502,2017-08-08,0.15267154225506308
老杜很精明，大家算算君正投资华泰保险亏了么？,23543,2017-05-23,0.9967327227433372
苦尽甘来！,19426,2017-08-11,0.49375411042752404
君正集团8月15日盘中涨幅达5%,14587,2017-08-15,0.14113621408757993
601216君正集团~~~,12790,2017-08-13,0.8802180959524719
盈汉老狗，出来吼吼！,24659,2017-08-09,0.6046898780271528
近期的三次冲高，都是高点一次不如一次，低点一,13672,2017-08-10,0.5666388925488548
自信来源于成功,31407,2017-08-10,0.99742199969645
601216:君正集团关于使用自有资金进行证券投资,60018,2017-08-11,0.9977829991221432
君正集团(601216)融资融券信息(08-11),10582,2017-08-12,0.9591178694044288
老妖聊聊总统打嘴炮,9194,2017-08-12,0.61905593056268
谈近期君正股价的演变，和操作思路。,29807,2017-08-08,0.996791256534139
蚂蚁金服 必须上市追加资金！增加对“网联”的,12179,2017-08-10,0.8707928671413894
君正集团的惯用手法：通过持有君正股票三年的经,75831,2017-03-28,0.9854515201069012
君正收购百亿级保险,主营产品大涨价,五元低价黑,26858,2017-08-10,0.9934014956902474
又是做T时机！记住君正铁律，冲高做T，始终无敌,6748,2017-08-10,0.9993888235451528
601216:君正集团第四届董事会第四次会议决议公,44543,2017-08-09,0.44485914379247415
601216:君正集团关于使用自有资金进行证券投资,65697,2017-08-09,0.9977829991221432
XD君正集8月10日盘中涨幅达5%,25779,2017-08-10,0.7311757849292245
公告利好！中期利好！ 证券投资20个亿，老杜重,19812,2017-08-09,0.965331645901847
601216:君正集团关于投资设立全资子公司的公告,59090,2017-08-09,0.9082714283203612
601216:君正集团独立董事关于对公司使用自有资,30211,2017-08-09,0.9569943981967681
亲们，我来了，每日一骂！老妖是个装逼犯！还有,7995,2017-08-08,0.9976585437937566
干货！重磅信息！君正花了12.3每股左右的成本买,19554,2017-08-04,0.04621016047729709
运气不好点就是明天跌回5.26，运气好点就是分两,9305,2017-08-04,0.0019328495426742531
君正3波走势完全一样，2016年9月、2017年3月初,36068,2017-07-27,0.9044621198637965
601216:君正集团第三届董事会第三十次会议决议,30235,2017-03-23,0.38195880993030507
601216君正集团~~~,16791,2017-03-22,0.8802180959524719
当流氓起码要有好身体！取笑盈汉[大笑],11201,2017-08-07,0.49626227007978807
601216:君正集团2016年年度权益分派实施公告,108054,2017-08-02,0.8929870825126744
周一涨停，内蒙古周年庆，华泰ipo，蚂蚁金服ipo,14556,2017-08-06,0.49521236736298635
淡季不淡 硅铁涨势再创年内新高(受益股),35099,2017-08-07,0.3712176377152294
601216:君正集团关于投资设立全资子公司的公告,114207,2017-07-24,0.9082714283203612
相信是一种勇气，背弃是一种容易。,22067,2017-08-02,0.9552724538320003
今天操作。,5748,2017-03-24,0.4411764705882354
老妖，是最大的狗托！领头狗！,8080,2017-08-06,0.9436869267395269
大盘快见顶了，拉券商保险银行预示着大盘快要见,5880,2017-08-01,0.010458635780283276
支付宝重大利空,14573,2017-08-05,0.28887212284134367
老妖是吧里最大的托吧？,7583,2017-08-05,0.9817604134641178
今天收盘5.13元，大家可以关闭软件了！,12461,2017-03-24,0.24298673051575004
化工主业回暖 金控布局进入收获期,94582,2017-08-03,0.9190153762069679
腊梅干君正…全仓后以同行业的中泰找机会T减仓,26377,2017-07-24,0.8906078137466623
时间紧迫，变身华泰保险，主力没有多少时间了！,14429,2017-03-09,0.5725472973697157
终于盼到，君正成安泰保险第一大股东，可喜可贺,28305,2017-08-02,0.376706019740095
可以告别君正半年了，化工，有色等周期股全部暴,13750,2017-07-31,0.5934739240131244
今天会出公告么？,6939,2017-08-03,0.5589077037714294
我早就说了，大家不要怕！,10616,2017-07-24,0.2760457842188575
喜呀嘿[大笑]喜呀嘿[大笑]喜呀，喜呀，喜呀嘿！,18011,2017-08-01,0.9808222405077375
早上开盘5.12卖出，刚才又没有忍住撸了一把5.15,7199,2017-03-24,0.20485566737469907
快快跌停！套死总部的井盖！阿雅！阿呀哎呀,2723,2017-08-02,0.7555637353156603
化工主业回暖，布局稀缺保险集团牌照,133047,2017-02-09,0.045526026491533034
看看评论我贴的人，然后看看他们一年来发的贴，,17392,2017-07-28,0.3038864853781593
我就要一直揭露骗子们的行为，上次涨停时股价5.,16232,2017-07-28,0.6300509041003405
601216:君正集团关于使用部分闲置募集资金临时,30777,2017-03-23,0.7883104683620384
蚂蚁金服投资的公司首次登陆A股，朗新科技首日,7894,2017-08-02,0.9426308550765429
已经清仓。涨不动了！就得跌,4694,2017-08-01,0.4143201913782324
如果不出意外封板会打开，看看封单从120万到现,14380,2017-07-24,0.1876212073510054
君正集团，为什么会突破8元,41828,2017-07-26,0.9641493125180164
呼儿嘿[大笑]呼儿嘿[大笑]呼儿，呼儿，呼儿嘿[,29767,2017-07-29,0.7013446725850716
今天内蒙古辖区上市公司接待日，君正公司回复内,28998,2017-07-26,0.06187082659205556
有涨停板卖出，尾盘补回的吗？,7502,2017-07-24,0.3702010837734827
西水和华资的总市值要比君正少的多，千万不要上,3901,2017-07-25,0.5747785933408894
君正参股保险银行证券蚂蚁金服（天弘基金）北方,18370,2017-07-26,0.7336128839025876
重大利好：君正化工产品价格大涨氯乙烯树脂、烧,15597,2017-07-26,0.7665197935403494
君正市值470亿，股价5.5元。西水市值370亿，股,9688,2017-07-25,0.6810920366402542
哎呦嘿，[大笑]哎呦嘿[大笑]哎呦，哎呦，哎呦嘿,20145,2017-07-27,0.008625412084114381
君正集团……盘中砸开封板，意图很明显,63771,2017-07-24,0.3435474281759011
证金从2016到现在，从1.36增持到2.71个百分点，,12207,2017-07-27,0.6395645016668318
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,19611,2017-02-28,0.9996580281845514
尾盘如果不破5.5我从此退出股市，这垃圾走势和3,13561,2017-07-24,0.4071101506975382
惊天公告...便是众人如梦初醒时！,45589,2016-09-19,0.4946264521275344
继续再来！[俏皮][俏皮],23065,2016-11-16,0.10348069164299012
吓唬谁赶紧跌停大把抄底的,5908,2017-07-19,0.07650208091655175
十连阳客气,7804,2017-07-21,0.6046121612235025
唤醒,15032,2017-07-24,0.7499999999999999
君正集团(601216)融资融券信息(07-24),11892,2017-07-25,0.9591178694044288
君正集团主力正在盘整 已经进入危险期 散户们谨,6676,2017-07-24,0.9436859131080753
不买不知道，一买吓死人，就是一只僵尸股，比银,1165,2017-06-15,0.05987876896465394
601216:君正集团关于参加“内蒙古辖区上市公司2,77481,2017-07-20,0.811131010089177
实战炒股口决： 十四工作线，不破不走人。短线,69895,2017-02-27,0.9596611393517058
517的成本，你他吗跌倒4.6的我都没卖现在5.2你,13724,2017-07-21,0.13648500968938204
君正集团一定能走强！,26928,2017-06-14,0.9304797492358198
吓死人，垃圾弱势拉高出货，狗们集体出来汪汪汪,4409,2017-07-20,0.08298502369925609
明天继续！[不赞][不赞][不赞][不赞],4809,2017-07-17,0.9956742357069996
一家没有一分钱贷款的高科技芯片科技股，在股市,7830,2017-07-11,0.9024783331723863
发的帖子为什么要删除呢？601216危险,4626,2017-06-22,0.053501946513414
别人昨天涨停的也没你跌得多,3557,2017-07-12,0.5122878753468005
《妖言》之――隐形君正 1、君正的信贷窟窿到底,18036,2017-07-12,0.9789951489525766
君正集团控股华泰保险合理合法，华泰管理层希望,16562,2017-07-11,0.3439415949250848
君正集团（601216） 1、个股前期从高点跌下来，,8326,2017-07-03,0.549412506298119
大家持有君正不动，不看股走势，出去旅游，待一,14048,2017-07-05,0.014266507217364555
601216:君正集团关于申请发行债务融资工具的公,47942,2017-07-06,0.9793998007795496
机构跑得快过散户？,4010,2017-06-22,0.6603272397335037
卖喲，套现喲，一元左右的股价，赚欢了……,1960,2017-06-22,0.5504044741070527
专怼不知道君正今天涨了，傻缺+脑残。[大笑],7340,2017-07-03,0.9567521102035416
601216:君正集团关于设立合资公司完成工商注册,53412,2017-07-04,0.06287036224004816
封闭缺口,14652,2017-05-10,0.2308283396275872
您好，感谢您使用12386热线渠道！您的来信已收,14732,2017-06-29,0.11248236982726056
有一些人生活中不如意，把极端情绪带到股吧里，,9044,2017-07-05,0.9266296205435383
就这个傻逼是绿的，艹尼玛,2225,2017-06-29,0.500843337001851
未来大牛股正在一步一步爬出底部！,17197,2017-06-09,0.9463615961416068
601216:君正集团第四届董事会第一次会议决议公,29472,2017-06-16,0.6032154275467143
给他烧点报纸吧！,9328,2017-06-07,0.27253205820482007
该涨不涨必有大跌,7898,2017-06-29,0.5826178432856092
三大因素 暗示 君正集团 601216 洗盘预谋！！,22127,2017-06-22,0.8975144710259628
首先声明我崇拜杜江涛是事实，杜江涛不是暴发户,17186,2017-06-12,0.5757194041241347
股价不涨很杜江涛有什么关系？没见过哪个上司公,8390,2017-06-06,0.8675914858107066
老杜是真心想做的事的企业家，从投资华泰保险，,8506,2017-06-06,0.9826880351773631
联手打压股价截图（6月6日）,3216,2017-06-06,0.07002544156892565
说说老杜为何打压股价！阿雅别说你不知道！,18989,2017-06-13,0.6730726294004392
联手打压股价截图（6月5日）,9415,2017-06-05,0.09092461609877434
打压股价截图（6月6日）,8734,2017-06-06,0.07718162436718967
十三五末内蒙古煤炭产能将稳定在13亿吨 06-13 1,9113,2017-06-13,0.5524975810580369
君正上市仅仅是为了杜融资！打压股价，也是为了,5146,2017-06-14,0.9764901098738855
601216:君正集团对外投资公告,70206,2017-05-22,0.9374882777337903
今天不上5元 割JJ。,10347,2017-06-21,0.09679276109967816
国家队拉的，你们别想太多了，去看看其他证金持,16272,2017-05-22,0.05351926113069494
4.87和4.88两个卖单又是杜在搞鬼？,3393,2017-05-31,0.549303477302342
心力交瘁，已无图可配,12585,2017-06-12,0.7210819196530239
601216:君正集团2016年年度股东大会决议公告,31074,2017-06-16,0.9371116240280257
已举报：已将本周五个交易日打压股价截图发给XX,14019,2017-06-09,0.07753436351385423
一分钱拉锯战,2020,2017-05-26,0.43555672851556204
601216:君正集团对外投资情况公告,66262,2017-04-24,0.8975698861395324
601216:君正集团第四届监事会第一次会议决议公,22989,2017-06-16,0.6032154275467143
晒一晒，又如何?,56281,2016-05-04,0.7826653358894131
这畜生涨无缘，现在红会儿，9点半开始变绿了,2323,2017-05-22,0.8077682634061074
