标题,帖子数,日期,情感
一点感受,37461,2017-04-26,0.6657322229153069
国轩真正的春天应该在2018下半年，而现在，四个,13137,2017-08-24,0.9664735985104675
研报天天有，股价天天跌。 一号天天冒泡，小散,4801,2017-09-01,0.8105352782691533
A mixed picture of future growth and near te,15961,2017-09-01,0.4701174752132259
健康轩吧倡仪：,8932,2017-08-27,0.675602347723945
6.81元定增的解禁股抛完了没有？，低价定增被巨,53501,2017-01-16,0.03667575362952713
国轩底部确认无误，不论是大盘还是行业都不支持,11906,2017-08-31,0.16609363571748348
哥俩好！国轩牵手比亚迪投资镍钴正极材料生产,10307,2017-08-31,0.9291433411032359
半年报肯定不好，8月30左右估计还有一跌，耐心,12871,2017-08-17,0.3035592996902635
管好自己的手，少看盘,15085,2017-05-16,0.6154501298956787
中报点评：业绩不及预期 下半年有望改善,25941,2017-08-30,0.5613531104972876
新能源乘用车助推电池收入增长,32822,2017-08-30,0.9155606269024008
一号观点：国轩上半年大股东进出有些啥变化？,10425,2017-08-30,0.7179123034152881
耐心等待，估计还有段时间，看看这小庄是要长线,5073,2017-08-30,0.9366581176083167
上半年已过去，大决战在下半年！,5834,2017-08-30,0.8784251318043486
不止是佛山照明，金涌泉投资和原东源老板孙益源,11254,2017-08-23,0.9896180700687088
国轩高科300wh/kg动力电池预计2020年有希望实现,14939,2017-08-27,0.38502772348078274
李缜也涉足整车这事？ 江苏建康新能源整车项目,14875,2017-06-14,0.07935203114638467
国轩一号，标准反向指标，国轩上行中只要一号得,8660,2017-08-10,0.9279845849621391
国轩高科:关于回购注销部分限制性股票的减资公,18519,2017-08-29,0.6959803804689492
欢迎迷失的股友归队继续与我们同行！,5499,2017-08-29,0.17851883486608933
国轩高科:2017年半年度报告摘要,23059,2017-08-29,0.8623381926152871
中报速递：国轩高科2017年上半年盈利4.45亿元，,44483,2017-08-29,0.4925656302127063
有没有人猜猜现在是在是今年的最底部？[胜利][,10119,2017-08-28,0.23785900829193984
既然大小非要走那必须起一波才能把他们送走，你,5921,2017-08-29,0.4296025124413355
本人正在辨别吧里的活跃分子是干什么的，你们继,4389,2017-08-29,0.9575087297231542
本人推荐华友钴业时，股价34元,4671,2017-02-21,0.6448825530076007
为什么说华友钴业一定会大涨？,10546,2017-02-07,0.6639344811775906
cinemea每天套公式算股价，能赚钱吗？,9899,2017-08-24,0.9621938902821731
老李推荐国轩时，股价45元。,5995,2017-02-21,0.44066367540823137
再痛苦也要坚持下来，别遭人暗算！,8636,2017-08-24,0.8771326049055915
正确处理市场份额与发展后劲的关系,22609,2017-08-18,0.9699235444555754
配股价13.67元就会抢疯了？大哥你想多了，配股,13231,2017-08-09,0.2815298729849489
明儿大阳线，最后多嘴一次。[胜利][胜利][胜利],12512,2017-08-24,0.9429125710304713
能操盘这支股票的绝对是要有超体量资金的主才行,7679,2017-08-24,0.9858220352414484
股价大跌，融资余额却增至5.9亿，谁中招了？,9023,2017-08-24,0.8073727795440067
三十以下想都别想，现价买入今年剩下几个月收益,7217,2017-08-24,0.8319197770337601
已经成功逃离,42883,2017-06-05,0.6717432147272924
每次一号兴高采烈的出来走两步，国轩必调整。,11972,2017-07-11,0.9801029944671388
一号是死多头，不是价值投资。不要被他迷惑。 ,8182,2017-08-23,0.3688835741368257
暴力买入，来吧，朋友们,7433,2017-08-23,0.9744242081531816
唱多一年，股价从44跌到25，还沾沾自喜以为自己,17596,2017-05-28,0.3431158705830042
盯你盘真累[胜利][胜利][胜利],7720,2017-08-21,0.8597865749421252
佛山照明通过竞价交易减持了1%，按深交所减持新,9563,2017-08-21,0.40513468304150324
一号露头，当心下午大跳水！,6057,2017-08-07,0.31861692101030803
清仓式减持是怎么规定的？,14773,2017-08-15,0.4737672181921908
国轩一号露头，国轩股价补缺口大概率。,11035,2017-04-09,0.6602201848886736
一号，北汽和福田共与东方精工签订47亿多的合同,14697,2017-08-17,0.0019170863628571455
动力电池和上游资源,8825,2017-08-14,0.7363346055324896
预言,33085,2016-11-11,0.7499999999999999
国轩高科超大资金流入，后期能不能拉升，全看这,8218,2017-08-16,0.9932124616476808
关于国轩高科配股问题分析,22104,2017-08-09,0.9357025422193216
有人出，有人进，国轩融资买入余额增至5.3亿,8014,2017-08-17,0.978690286513313
除了买，我不知道还能做点什么，再小的力量也是,6975,2017-08-16,0.877760290830019
一号一号，敌军炮火猛烈，我处已弹尽粮绝，恳请,4970,2017-08-16,0.004805308481502735
通报：今国轩阵地遭敌空军袭击，伤亡严重。,8860,2017-08-16,0.2393814873019834
遛遛一号老苟,125428,2016-11-18,0.6769162653447504
国轩一号就是股市要上，从2014年重组复牌后30多,8104,2016-12-01,0.6022413988062508
北汽新能源111亿B轮融资背后：国轩高科加码 戴,9894,2017-08-15,0.9853762552916483
公告:原（股市要上）因历史罪恶宣布永远退出002,234734,2016-07-23,0.9221438062906977
这个吧里有很多人说的是与国轩无关的东西,7954,2017-08-12,0.8962941360459409
打造庐江完整新能源产业链，全年高增长确定,66245,2017-07-21,0.963407250545272
李缜：保证70亿、力争80亿、冲击90亿全年销售目,12092,2017-08-13,0.01829703978553565
又跌到下沿了,7429,2017-08-09,0.2121502783673168
转：国轩高科-交流速记(20170804) 招商电新团队,20052,2017-08-07,0.7451035498142097
国轩屁股抬高空间上升希望还在,18103,2017-08-10,0.1321767328146226
国轩独立下跌的原因,12262,2017-08-08,0.7342186333959496
广西贵港，国轩40亿锂电池项目将要尘埃落定？  ,16535,2017-08-13,0.8147867998686825
国轩高科(002074)大宗交易数据一览(08-03),37414,2017-08-03,0.4316140330077023
国轩技术调整基本到位，看好者要抓住机会,10363,2017-08-08,0.726389668095562
继续加仓中[鼓掌][鼓掌][鼓掌],8364,2017-08-09,0.9507979193502367
国轩高科(002074)融资融券信息(08-07),7725,2017-08-08,0.9065079217238193
今天的跌是国轩有问题吗，不！是股东的问题。,7509,2017-08-08,0.2994511875706315
紧急澄清：今天大跌与一号无关，有理想号有关。,4914,2017-08-08,0.0340760662515055
天天向上，国轩融资买入余额增至2.2亿元！,10716,2017-07-21,0.9866640561336996
胆大者有！国轩融资买入余额升至4.5亿。,6199,2017-08-03,0.9775242221247533
一号观点：股价是钱堆出来的，不是你算出来的。,7167,2017-08-02,0.043557727761299625
5日均线的强力支撑,10759,2017-07-30,0.4335771428673686
竞猜：两个月下来国轩融资买入余额达多少？,10507,2017-07-25,0.8174793311895365
在融资上有点佩服国轩一号了。,10929,2017-07-31,0.8275815636571594
国轩高科(002074)融资融券信息(07-28),7004,2017-07-31,0.9065079217238193
国轩近期动态信息 近期在行业协会组织召开的锂,13261,2017-07-30,0.9878536367823676
分时图显示指数依然没有达到强势做多的局面,1595,2017-07-11,0.9132344631221585
国轩高科:关于控股股东发行可交换债券进展暨办,39676,2017-07-27,0.7014551104401479
上海嘉定区委常委、副区长沈华棣来访国轩洽谈合,14385,2017-07-14,0.6813739035582107
合肥星源一期顺利投产,13339,2017-07-14,0.3710241483506357
不要冲动，按原计划实施,8201,2017-07-26,0.6094209947588308
“人地挂钩”落实 一二线热点城市正加快供地节,4292,2017-07-14,0.8258212803127312
国轩从周线观察在5/5日后作出一星二阴落底后三,12253,2017-06-16,0.5233836248596834
国轩高科(002074)融资融券信息(07-25),7817,2017-07-26,0.9065079217238193
国轩高科(002074)高管持股变动信息(7-20),29557,2017-07-21,0.3245852235328912
小鱼股友你好，首先非常感谢你无私提供并分亨有,11184,2017-07-25,0.9921265459754992
国轩高科(002074)融资融券信息(07-24),6901,2017-07-25,0.9065079217238193
注意拿筹码，最近要出消息了,10721,2017-07-19,0.5902783385031237
截止到7月17日，已有1.26亿元融资买入国轩,11734,2017-07-18,0.2681619606975214
A股这么多年，哪一次机会不是破位跌出来的？有,6281,2017-05-12,0.12154575668315126
请前辈们鼓励我一下，这两天有点郁闷，国轩值得,6542,2017-07-18,0.2076817382185996
进入三元新时代，规模、成本优势保证未来行业地,54910,2017-07-19,0.9937507143834173
打抱不平：创业板中业绩好的股应该涨！,5020,2017-07-18,0.8311621579732457
你们真是恬不知耻，出来删帖，你们还会什么？,2996,2017-07-12,0.6649400858558804
截止到7月18日，已有1.45亿元借来的钱买入国轩,3964,2017-07-19,0.2532779507159668
实事求是，呼吁恢复国轩同志原职级并补发工资待,19216,2017-07-08,0.002230025086043086
国轩高科(002074)高管持股变动信息(7-19),25740,2017-07-20,0.3245852235328912
国轩高科:关于公司部分高管增持计划实施完成的,55843,2017-07-20,0.7730353858177876
国轩高科(002074)融资融券信息(07-13),6790,2017-07-14,0.9065079217238193
正确认识股价波动，理性处置手中国轩,7135,2017-07-18,0.9965678682889508
惠誉评级:补贴减少后中国新能源汽车销量仍将迅,7642,2017-07-18,0.0007799006568454114
国轩高科(002074)高管持股变动信息(7-17),35596,2017-07-18,0.3245852235328912
工信部：暂停3025款新能源汽车生产与销售 2017-,15224,2017-07-10,0.2236753578112175
国轩高科(002074)大宗交易数据一览(07-03),35565,2017-07-03,0.4316140330077023
坚瑞模式被质疑，对国轩是大利好，明天吃掉上影,11873,2017-06-14,0.12028883687183323
中汽协：6月新能源汽车产销量稳步上升 6月，新,7342,2017-07-11,0.009457094331729254
事件点评：屡获大订单保障全年业绩，携手上海电,47482,2017-07-11,0.8150613019728227
国轩高科:关于最近五年被证券监管部门和交易所,42541,2017-07-06,0.8147696863419202
告诉你国轩高科涨不上的真实原因 近半年来，国,11002,2017-06-30,0.7239191183086938
估计马上停牌配股。 提醒满仓的兄弟注意准备三,14682,2017-06-30,0.04097721732953008
墨菲定理,7832,2017-07-05,0.34588893960792166
今日133万股低价大宗交易用心何在？,8880,2017-07-03,0.8175045439168813
快跑，扶不起的阿斗……,3493,2017-05-31,0.7710776431070184
国轩高科:关于合肥国轩应收账款一期资产支持专,38305,2017-07-05,0.4312534334294543
韭菜天天有，不能每天割。,7000,2017-06-23,0.291307173944634
航天国轩（唐山）锂电池有限公司落成暨揭牌仪式,14833,2017-06-15,0.5135663045713694
科大讯飞两点证明需深,4125,2017-07-01,0.5535869857512374
配股定价只有一条硬性规定，就是不低于每股净资,5018,2017-05-15,0.010812731410800969
国轩高科获南京金龙大订单，客车销量将回暖,32967,2017-06-21,0.7598891227140792
公司与吉利汽车合作的相关车型续航里程在300公,9383,2017-07-03,0.5190925103659529
国轩高科(002074)大宗交易数据一览(06-20),22895,2017-06-20,0.4316140330077023
不妨拭目以待,2687,2017-06-01,0.9231005611711044
有人看到大订单就说涨停，我不以为然，为何！,9924,2017-06-21,0.0907187363449542
再获南京金龙大单，全年业绩有保障,28738,2017-06-21,0.9746069477418606
你以为会扶摇直上么,12172,2017-06-14,0.5278279627376559
国轩高科:关于实际控制人部分股权质押的公告,20907,2017-06-28,0.9437894088668566
国轩高科:关于全资子公司开展应收账款资产证券,25478,2017-06-28,0.41252833675682954
6月20日2.22亿大宗交易将用来拉升还是砸盘？,17686,2017-06-20,0.041152653746626355
几十万短炒可随便买，几百乃至上千万呢？,12899,2017-06-16,0.09346358024146295
国轩高科基本分析,27099,2015-11-23,0.9417395404824884
2017年5月动力电池装机1.58GWh，今年首次出现同,8986,2017-06-19,0.23079836521177988
国轩高科:2017年6月6日投资者关系活动记录表,4988,2017-06-09,0.8818631352724625
有人能解释一下反向订单的合规与风险问题吗？30,9298,2017-06-19,0.1142850694068509
国轩高科：子公司签近15亿元电动客车电池系统销,43774,2017-06-20,0.028523868720748635
国轩高科:关于控股股东拟非公开发行可交换公司,46262,2017-06-16,0.5304135615073082
国轩高科:关于全资子公司签订日常生产经营重大,41267,2017-06-20,0.4588938311148669
国轩高科的长远目标是在研发上对标华为,18583,2017-06-15,0.7827439693443943
旗帜鲜明地反对业余炒股的股友融资买股票。融资,8083,2017-06-17,0.859506220495135
管中窥豹,11883,2017-06-07,0.6931556278479052
国轩收购了巴斯夫美国电解液实验室？,16818,2017-06-10,0.9647083508674055
国轩，这回要迸住别放松！争口气。,18271,2017-06-02,0.24481460514714837
国轩高科:关于收到《中国证监会行政许可项目审,43966,2017-06-12,0.9220974245938639
总结一下一月来的操作,9960,2017-06-02,0.31422792395207033
清洁能源部长级会议制定新能源车销量目标,12525,2017-06-08,0.0016779547853243981
国轩一号在当升股价60元时，跑到当升科技股吧高,6324,2017-04-24,0.3598739784205208
国轩高科:关于国家重点研发计划“新能源汽车”,53067,2017-06-05,0.026863994195497898
不抱幻想，赶紧清仓,8962,2017-06-01,0.941596498126738
