标题,帖子数,日期,情感
世纪钟,2743,2017-09-02,0.5
三锂主力高度控盘，你还在等什么？,30362,2017-08-30,0.6304294972113016
玩股你马比，半夜发帖总不止，你又没有这个票，,2346,2017-08-10,0.028472163623026736
通过大数据分析，终于知道玩股的另一面！,6007,2017-07-07,0.9242379740289743
玩股啊，自己的一篇不知羞的帖子,3976,2017-02-13,0.3816099810008272
“潜龙在渊，腾必九天”,85195,2017-08-27,0.3101395620501233
电池级碳酸锂跳涨2000-8000元 吧里毫无反应？,12939,2017-08-29,0.6120868922581919
玩股，这里是天齐股吧，请将心比心，别自取其辱,4243,2017-07-31,0.2615490101785267
玩股，我们从来不嘲笑股票，也不在乎唱多唱空，,2765,2017-08-03,0.9818690221990914
实战炒股口决： 十四工作线，来回做波段；突破,54301,2017-04-03,0.986755970349184
天齐或许明日突破71创新高，开启上涨破百之旅？,13814,2017-08-29,0.9633695120098491
天齐本周资金出了进、进了出，扛着不下行，本月,31987,2017-08-25,0.25713780811789255
天齐本周涨幅10个点，特大单资金净流入6个亿，,14611,2017-09-01,0.46050406456245674
3-1成，3-2始！,62792,2017-04-19,0.2677980646825281
风物长宜放眼量，莫急莫燥，该来的迟早会来，近,12235,2017-09-01,0.7636263637333077
奔驰和丰田都告诉我们：锂电池车可能都将被淘汰,4124,2017-09-02,0.7370172390220869
次新哀鸿遍野，但依旧保持信心！,1748927,2016-06-30,0.9972723630191977
帅哥推崇的雅化绿盘了,6564,2017-09-01,0.9871212041164174
天齐周四收盘,14686,2017-08-31,0.7353792240060403
天齐锂业：大暴涨骇人听闻，股如其名，与天齐，,28229,2016-01-22,0.7649672656295795
飞鲨给过我帮助，是我认可的天齐三位高手之一,6745,2017-09-01,0.15348542552176925
拋一半天齐，换一半赣锋，看谁跑的快？,70741,2017-03-06,0.6163388224057208
准备好资金，逢中阴线就买进，天齐的调整不足十,18721,2017-08-24,0.9914767133999571
天齐锂业这么涨不大，是主力压盘求低价配股么？,8996,2017-09-01,0.22479649735753082
现价60元附近买锂电池龙头天齐锂业有望继续暴发,44330,2017-07-12,0.024407407436558337
话说天齐的操盘手由来，某菜场老太婆应聘进某大,8354,2017-09-01,0.18261474498065566
~~保护盈利头寸 该换股操作了,5916,2017-07-13,0.08363055190010582
天齐周三（08-23）收评及后期走势分析,20808,2017-08-23,0.8654505198808906
广泛的探讨股票，骂人的不回，行不？,3665,2017-09-01,0.20983653157522408
再说一遍，在配股之前，天齐上冲的动力不是很大,17408,2017-08-14,0.770001388442345
天齐周四（08-31）收评及后期走势,27124,2017-08-31,0.6973920888284273
锂电股中诺德股份的增长空间理应比天齐和干疯高,6047,2017-06-07,0.8484000654115345
呵呵，空头注意了！,28245,2017-08-25,0.6521097989854251
天齐吧股民培训班教师名单：主教无欲，付主教禅,9928,2017-08-29,0.8788479609094916
流沙河在吗？我两天整了14%，盛屯矿业，需要晒,3027,2017-09-01,0.9691016310279867
我在天齐吧最大的收获是打倒了无欲及其羽，免于,10040,2017-08-28,0.9905781238209569
一目了然，你怎么看？,13290,2017-07-25,0.6579484751816745
昨晚以禅师的退出，“斩马行动”虽然不能落幕，,3084,2017-09-01,0.072822568055109
玩股，你两年多昼夜唱空，即使回调，也没人认为,3851,2017-08-17,0.3838017763040187
错过了锂矿、钴矿翻倍机会，一定要抓住钛矿翻倍,11274,2017-08-28,0.1831406935243859
今天创记录了,12502,2017-08-31,0.7756414288308623
希望在你身上了,31774,2017-08-31,0.7324358922417906
雅化集团短线看15元，年底20元不是梦。,30917,2017-08-01,0.05327084746167876
天齐周三（08-30）收评及周四走势预期,18548,2017-08-30,0.14619032439862545
天齐锂业:关于董事、高级管理人员及相关人员减,85607,2017-04-28,0.1814220539379735
天齐吧特色,13943,2017-08-26,0.7068284426659452
天齐与干风之基本面对比：1、资源对比，天齐控,58330,2017-08-27,0.8778868291877747
二线锂电池股好些已经走坏了，各位注意仓位，现,13460,2017-08-30,0.36903855680627284
赣锋远不止断供问题-远离赣锋还来得及,214316,2017-06-06,0.965691860775292
我针对的是那些不自量力每天充大师或有其他不良,11696,2017-08-28,0.8629627524884838
玩股和红衣难不成我说的是天齐和国轩同时大阳线,7354,2017-08-25,0.2069806749401757
小帅哥你在股市就是一不入流的小屁孩，既无理论,11147,2017-08-28,0.897498850466931
天齐近百家机构和私慕，再加上各路共它资金，那,18714,2017-08-28,0.8791832159689383
天齐分享~价值通缉(尖峰)60亿财富见光 20元/股,8395,2017-07-25,0.16638436425775982
天齐：关注储能锂电板块低估个股 后市仍看涨,11280,2017-07-13,0.9545040073279242
我就不明白了，小马买个国轩涨跌关你们什么事，,3748,2017-08-30,0.2926921773358877
天齐锂业十年上400元市值才4000亿人民币,65058,2017-06-06,0.8294321491099103
天齐周二（08-29）收评及明日走势,26705,2017-08-29,0.08354717262465228
一漆黑的夜色里,11576,2016-10-12,0.2721206011544317
真理往往掌握在少数人的手中，目前的天齐，在扎,17814,2017-08-26,0.9817519882014156
周线压力68.44站稳后就开启上涨之路,26214,2017-08-29,0.39348702500242416
呵呵，朋友，我们可以下课了！,30072,2017-08-28,0.8743710727211645
天齐锂业：强势+绩优+新能源= 持仓高看,21251,2017-06-23,0.4280463730948476
天齐：夜梦[7股]缘者交流  只看后市牛熊,7204,2017-07-21,0.916888762958358
天齐真是好票！,12010,2017-08-29,0.4737672181921908
股价翻倍业绩却只增24% 天齐锂业半年报很“低调,131160,2017-08-18,0.989769307076625
主力今天送钱  大家不要客气,10528,2017-08-29,0.3252811925578186
天齐周一（08-28）收评及后市走势,26044,2017-08-28,0.11680237749711897
业绩符合预期，产能持续扩张,50676,2017-08-25,0.9058751639010844
就像搞女人，主力盯住二锂搞,4360,2017-08-28,0.20978247199659594
硅晶圆暴涨60%缺货潮席卷全球 上海新阳内地唯一,12591,2017-08-02,0.05678506620356549
呵呵，39下方主动买套！！！,17913,2017-06-01,0.45987627068937964
我和无欲的区别是我每晚复盘后有结论后我会毫无,8863,2017-08-27,0.4982289367927315
待到天齐突破300时：        捂天齐底仓三万，,17547,2017-08-19,0.8267602995255702
无欲 我一直等你的39下方买套 等不到了？,4666,2017-08-21,0.6065439647085018
小马好厉害，天齐今天真的有涨有跌！,6465,2017-06-28,0.8592937557574452
遥姐看你们一个也不上眼,4554,2017-08-08,0.3847130293728207
小马逼疼征婚: 小马基本情况：性别:阴阳；身高:,8940,2017-08-19,0.992212609504226
马蒙子出来，我保证不打死你！赣锋今天那比天齐,5803,2017-08-28,0.5964378640133411
天齐锂业(002466)解禁股信息(08-28),30534,2017-08-27,0.16514065494326113
[想一下]女士们先生们朋友们！战胜内心的恐惧，,4697,2017-07-23,0.9959886100628564
天齐一览,51881,2017-08-19,0.4737672181921908
干风的矿为什么便宜，那是因为天齐买矿给的价格,14218,2017-08-27,0.13623916294362093
“千元论”的昨天、今天、明天,36061,2016-08-04,0.6223133516839557
持有天齐五年还需要理由吗？,18176,2016-08-23,0.14888866839200088
锂精矿扩产至134吨-这就是天齐,18141,2017-03-15,0.7978487993113782
天齐4浪调整浪开始！,29384,2017-08-06,0.5777216487810313
刚进了一点仓位，做波段操作。,9551,2017-01-19,0.23458834771773474
今天我高位卖掉赣锋买入雅化，明天雅化是龙头,49397,2017-08-15,0.5723314206761135
呵呵，耐心布局！！,15084,2017-08-26,0.6232871243937239
周一应该这样走,6204,2017-08-05,0.552841074584053
安心炒股，不再吵架,56854,2016-04-04,0.24410880560505666
吃了没？只和朝阳、金华分享的美食,24359,2016-09-15,0.9829605444066646
唉，天齐吧就这样被糟踏得不成样子了！,13682,2016-07-30,0.035648095886608555
春天来了，锂资源板块正在复苏？,22583,2017-02-22,0.9967567718596992
天齐周评（08-25）及后期走势分析,19895,2017-08-26,0.9521024488683298
天齐周二（08-22）走势分析,21430,2017-08-22,0.8093015889424231
说了天齐是碎步向上就与大盘走势无关，以后走独,10788,2017-08-25,0.8628667913988649
这个吧真正的高手是小马，虽然口臭了点，其他无,4717,2017-08-04,0.07159644481035976
小溪东去成汪洋，微风细雨伴成长，美人回头万人,5365,2017-08-08,0.9998605727569904
天齐周四（08-24）收评及后市预期,26049,2017-08-24,0.2152910822025298
呵呵，马蒙子，别泄气你的胆量无人敌！,7493,2017-08-25,0.797684301709739
定个小目标,赚他15亿,10890,2017-07-29,0.7122411062691122
本姑娘明儿心情相当好，各位知道明天是什么线了,18323,2017-08-24,0.9482303703217626
今天发财了  捞了4万,24971,2017-08-15,0.8131977572372765
美国举办，最美私处大奖赛,6581,2017-08-21,0.956623498630998
天齐半年报符合预期，三季度无惊喜，调整继续；,27681,2017-08-18,0.8493461274822152
老寡妇，你服不服？小马，服不服？大胜，服不服,6318,2017-08-25,0.002702409006843487
天齐主力压盘明显，对比赣锋估值，天齐未来会报,6786,2017-08-25,0.9344404154770538
给石墨烯电池股个值,8714,2017-08-02,0.39727768673378505
不管股吧里如何。坚定自己的操作,4988,2017-08-21,0.7225658335203695
符合预期，张家港基地扩产完成下半年盈利加速！,59727,2017-08-23,0.6424000473605637
天齐锂业:关于购买股权及期权的公告,65202,2016-09-26,0.5237422145728717
赣锋股价再次超越天齐，想颠覆证券市场固有思维,21507,2017-08-10,0.9999165904090823
天齐锂业继续箱体运行,17786,2017-08-22,0.39156131117016757
