标题,帖子数,日期,情感
低价定增借壳上市，巨额套现。两个榜样！,109788,2017-01-08,0.16262833395485243
江苏银行次新股0.98元业绩股价不到10块仅此1家,39377,2017-03-29,0.049974062228808624
成本价为31.33元/股的即将解禁，成本价为9.86元,29500,2017-05-10,0.014940598756815415
决战在明天！,294637,2017-03-21,0.6654437780119364
中报业绩亮眼，手游化战略成效明显,13176,2017-08-28,0.9933050952057324
巨人网络(002558)大宗交易数据一览(08-24),15866,2017-08-24,0.31313394620881485
巨人网络预计前三季度净利润9.12亿元至9.62亿元,16084,2017-08-24,0.18679542868999255
国家限制境外投资，巨人收购没戏了,16052,2017-08-18,0.9886838317940162
嘿又把大盘拉飞了,25165,2017-07-21,0.6664591945191519
垃圾股所谓的这价也好，溢价也好都不过是陷阱,7331,2017-08-04,0.5753097965751484
巨人网络:关于全资子公司参与收购万通亚洲股权,21282,2017-08-18,0.9920334190320667
大连大神-=黑庄=-：巨人网络神秘E计划重磅来袭,10537,2017-08-15,0.8768028962667248
4个月市值陡然蒸发600亿 盯上金融领域的巨人网,31041,2017-08-07,0.9927499383497905
巨人网络现逾7亿元大宗交易 折价约3%,55126,2017-08-03,0.007535450278403633
史玉柱发互联网史上最壕招聘：创多少利润发多少,26340,2017-07-28,0.46445030816756505
大连大神-=黑庄=-：巨人尾盘多机构联合推升股价,6544,2017-07-27,0.7229861063462971
恭賀2017年03月31日出局的朋友們,13125,2017-04-01,0.9522176108679854
重组收官 世纪游轮将正式更名“巨人网络”,51304,2017-04-05,0.39959176740364066
媒体：银监会要求银行排查“海外并购明星民企”,4497,2017-06-22,0.4180658306691618
巨人网络：独立董事因雅百特信披违法事项 可能,60780,2017-07-02,0.902347557572939
巨人网络：拟每年投入2亿元招募、扶持游戏开发,32350,2017-07-07,0.46132092116091417
巨人网络最新动作前瞻-飞天时空大剧即将拉开,7023,2017-06-10,0.26533550859944044
一群蠢猪，天天就知道更名,6594,2017-06-01,0.7291875560110086
今日万达，复星！很快轮到“巨人”,15581,2017-06-23,0.9914117969809099
巨人网络百亿借壳回归A股 史玉柱登上世纪游轮,53644,2015-10-31,0.9933189182933437
卖壳造富新高度！史玉柱帮忙 彭氏父子套现超30,111861,2017-02-12,0.9423656427428407
巨人网络：已经停止运营光荣使命游戏,39266,2017-06-23,0.9860507586409155
放出来不跌停就不错了 ， 别意淫了！,9096,2015-08-24,0.6057838606195101
另外说一句，哥看到1000,14253,2015-08-13,0.6083688762013809
100年大顶在解禁区到来,10169,2017-03-29,0.8264767527878356
就这点量，卖了等回调吧！,5464,2017-06-27,0.08119531317218265
这使得短期内的沪指受到了其双重的阻力,6493,2017-06-11,0.9706114047503948
买这个股票的属于脑残级别！,19734,2017-03-30,0.7665307697772996
拉升在即，坚决进场不犹豫！,4771,2017-06-12,0.2947487854795442
请把我说的话神一样对待！永鼎股份涨8倍……量,2341,2017-03-16,0.6176049136786262
世纪游轮:发行股份及支付现金购买资产并募集配,22229,2016-10-20,0.4165729355851845
巨人网络:2016年度权益分派实施公告,67070,2017-06-15,0.6770320378664921
我可以用性命担保，巨人网络三年之内跌破10元，,10263,2017-06-11,0.007937055994056252
世纪游轮:关于筹划重大事项停牌的公告,106574,2016-07-12,0.8011001222398603
世纪游轮(002558)大宗交易数据一览(06-08),33866,2017-06-08,0.5170023716600067
世纪游轮:2016年度独立董事述职报告(黎明),10927,2017-04-27,0.9889584759457926
世纪游轮：9日起更名为“巨人网络”,41404,2017-06-08,0.3672838135971831
巨人网络(002558)龙虎榜数据(06-09),59727,2017-06-09,0.8603024257219312
世纪游轮更名巨人网络 发布全新LOGO,36287,2017-06-08,0.8286691513385255
世纪游轮:关于完成工商变更登记及变更公司名称,43226,2017-06-08,0.23671810648993197
原始股股东减持奇葩理由多 这样的股票你还会跟,44782,2017-02-12,0.9790836480768399
从这几天观察盘面。基本剩主力大股东在自撸。高,8532,2017-05-25,0.8955281681215524
世纪游轮可以买，还有一支也可以买，都是相同的,32084,2016-06-27,0.8509963298756414
今年定增94元/股，10送20，除权后定增价31.3元/,16556,2016-11-10,0.26948401191622817
果然收官了，资深游戏玩家都知道巨人网络这十来,10480,2017-04-07,0.4217064765938673
不听劝助90元进去的人！现在等待跳楼吧！大股东,7501,2017-05-05,0.06298331978089244
世纪游轮(002558)大宗交易数据一览(05-26),40575,2017-05-26,0.5170023716600067
世纪游轮(002558)解禁股信息(05-25),27014,2017-05-24,0.42038753881771396
世纪之旅（续）,13166,2017-05-18,0.8958313604949281
世纪游轮:关于联合巨人慈善基金会共同向浙江大,26843,2017-05-19,0.9926068202748444
一个荐股公司话务员自述，为什么推荐股票次日必,10430,2017-05-19,0.9779478646230239
珍爱生命，远离顶部。,10035,2017-03-30,0.6143304208703105
世纪游轮的大利空！,36084,2017-02-12,0.6766382944083122
002558  世纪游轮  周一早盘高开   注意出货,55257,2017-05-19,0.12245720798201198
收盘后推荐，就是骗子,4946,2017-05-19,0.22333744287670365
下周解禁。占全中国股市下周解禁的40%，参考第,11803,2017-05-19,0.7766236343922093
请不要删帖，我只是想维权！,7409,2017-05-16,0.26065678333251063
世纪游轮(002558)大宗交易数据一览(02-17),31131,2017-02-17,0.5170023716600067
终于改名了，工商局查到了,8450,2017-05-19,0.11477986199321888
世纪游轮:关于募集资金监管专户销户完成的公告,25565,2017-05-17,0.9906077576721952
黎明前的黑暗，坚持。。。,11786,2017-05-08,0.9252639332611965
你们的筹码被低价收购，能否清醒些，后市最少到,4050,2017-05-12,0.9955615091395951
91元的成本，依然笑傲江湖。此股属长线大牛股。,11616,2017-05-09,0.8582576953304595
现在看空的人，你们根本不适合做股票。只是一个,7286,2017-05-12,0.704572494110868
怎么样？你们的带头大哥“乘胜追机 ”是不是做T,27651,2017-04-13,0.7276105972324906
世纪游轮进入快速下跌期。,13771,2017-04-13,0.9350264035672178
年报速递：世纪游轮2016年盈利10.69亿元 同比增,30494,2017-04-28,0.6271183396657485
世纪游轮盘中“闪崩”,52170,2017-05-04,0.28647080048133944
20个板！就这么愉快地决定了！,18379,2015-11-15,0.20948225284033495
