标题,帖子数,日期,情感
怡亚通终止筹划重大事项,33886,2017-09-01,0.8931175940267169
怡亚通：控股股东终止筹划控股权转让,44798,2017-09-01,0.8434700920527856
怡亚通:关于终止筹划重大事项的公告,70754,2017-09-01,0.8826700562301412
怡亚通:关于终止筹划重大事项召开投资者说明会,69059,2017-09-01,0.9948565919000821
这么早停牌不复牌的真实目的！,63234,2017-08-29,0.8180734821730702
怡亚通:控股股东部分股权质押的公告,39596,2017-08-29,0.9669192242016176
一个星期前就发帖所谓的重组股权转让必失败！这,14848,2017-09-01,0.16203802435766312
怡亚通:重大事项停牌进展公告,103560,2017-08-29,0.9185963419460502
按目前市场行情，怡亚通估值应该在65-112之间。,31370,2017-08-30,0.9927132343714745
怡亚通:关于重大事项停牌的补充公告,144878,2017-08-25,0.8358253866708232
怡亚通(002183)融资融券信息(08-29),6793,2017-08-30,0.9623050310800448
阿里、京东之后，怡亚通会成为万亿级的产业新领,21338,2017-08-24,0.8865739229515905
中报速递：怡亚通2017年上半年盈利3.30亿元，同,27314,2017-08-25,0.718764650542139
周主席誓要带领怡亚通占领中国全部市场。,24907,2017-08-23,0.9961152880730256
怡亚通具备安全边际的市值为650亿元，目标价约,32181,2017-08-18,0.5553200618734613
手无1股，拼命唱空真不要脸！,11053,2017-08-23,0.12997592392929946
期待战略合作与管理改善,37288,2017-08-25,0.8948513152340293
实在看不下去了，补仓！,43728,2017-08-04,0.12497274783408241
营业额几百亿，利润只有3亿，现金流竟然还是-22,15352,2017-08-24,0.00906152858896192
EA,9917,2016-01-11,0.5
怡亚通预计前三季度净利润4.51亿元至5.87亿元 ,25829,2017-08-25,0.5018381000641953
怡亚通:重大事项停牌进展公告,104897,2017-08-22,0.9185963419460502
公告已经透露本次重组必须成功的决心！,27379,2017-08-21,0.8931220754612147
如此决策是一门艺术，点赞！,15416,2017-08-23,0.9952305659121563
怡亚通:关于筹划重大资产重组事项并申请继续停,134681,2017-08-18,0.7249295732002798
2017年在全球胡润IT榜单中排名第7。,21142,2017-05-29,0.0006239904631627491
怡亚通:关于对外投资的进展公告,71599,2017-08-18,0.9607513731174009
怡亚通:重大事项停牌进展公告,161878,2017-08-11,0.9185963419460502
大家都来晒晒成本啦！,16432,2017-08-10,0.7221583077830331
怡亚通(002183)融资融券信息(08-03),8533,2017-08-04,0.9623050310800448
作为怡亚通员工 其实这次事件合作对象我知道 但,48202,2017-08-15,0.8546547269900794
谁能通俗说下怡亚通这公司究竟是做什么的？,19382,2017-08-04,0.967085988278335
内幕消息 阿里巴巴入股，占股19.99%,35908,2017-08-10,0.6219692979819135
怡亚通:重大事项停牌公告,188119,2017-08-07,0.8931175940267169
沪深300指数创年内新高，怡亚通创年内新低,21442,2017-06-22,0.9933418130618468
原来是跟它签订战略协议,51581,2017-08-09,0.31689029512910016
与阿里集团签订战略合作协议且阿里入股35％股权,61150,2017-08-07,0.028374949628867996
怡亚通拿了167天了，目前深套28个点，不走了，,39486,2017-07-27,0.8093251323006432
今天小仓位建仓！我算是以前的老怡粉，哈哈！,16748,2017-05-16,0.40643843705184923
关于深圳市怡亚通供应链股份有限公司股票临时停,134437,2017-08-07,0.7567138402455963
为什么怡亚通的股价涨不起来？ 最近参加了一次,32142,2017-05-08,0.9702690883300895
垃圾中的废物啊,8667,2017-07-27,0.4701871402325215
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,60484,2016-04-05,0.9616263649280308
股市跌到2500，小姨子会到多少钱？,13206,2016-01-26,0.7687614866097723
就算涨停也没有一点高兴的。亏得已经让人崩溃,17888,2016-01-29,0.3103888088822382
云微店动作太慢了，怡亚通什么动作都慢,16118,2016-01-26,0.692446454517583
谢谢，昨买今卖。,7419,2017-07-27,0.4082894185706878
周国辉：怡亚通不是PPT公司 远不止现在的市值,60972,2017-06-20,0.7467410000625025
怡亚通:长城证券股份有限公司关于公司2014年度,38033,2017-07-19,0.9570974165445377
还是看我的002230吧，哈哈哈哈,8269,2017-07-03,0.8839872166404373
怡亚通:2017年第九次临时股东大会决议,22476,2017-07-10,0.7077752330538072
哪么多散户能涨才怪。,1623,2015-12-21,0.8746172616963486
60月均线处，买入风险基本可控，庄家现在都偷着,20154,2017-05-22,0.3058332162165578
啥时候分红？怎么还没动静,32332,2017-06-12,0.19189152020484768
怡亚通：阿里、京东和唯品会等电商巨头都是公司,50164,2017-06-22,0.8681388299401802
怡亚通～跌跌更健康！使劲跌～加油,5082,2017-04-29,0.7399853479616951
靠供应链能成就怡亚通的生态梦吗？,16434,2017-06-28,0.9897148907599506
怡亚通这次护盘干的不错，貌似双针探底成功！,24993,2017-05-26,0.9166817208821134
7-8元建仓 8--9元洗散户 9--13为主升浪 13以上,11926,2017-06-14,0.03684646437909278
怡亚通:关于归还募集资金的公告,32916,2017-07-03,0.8526573833761958
扩张暂缓，管理改善可期,78199,2017-05-02,0.7303954541750205
为什么还有那么多人想不明白事情！？,15000,2017-06-27,0.3332785286810137
怡亚通(002183)融资融券信息(06-23),6210,2017-06-26,0.9623050310800448
8.75元有哥们和我一起站岗的有没有,6321,2017-06-21,0.3864844531128374
代理500个品牌年销售近千亿的上市公司市值仅180,8039,2017-06-17,0.11445781765814078
怡亚通002183--大湾区供应链优质龙头公司，布局,17892,2017-06-14,0.17265584425084401
怡亚通:2017年6月20日投资者关系活动记录表,29810,2017-06-21,0.9483603532862152
怡亚通:2017年第七次临时股东大会决议,20759,2017-06-12,0.7077752330538102
怡亚通:2017年5月23日投资者关系活动记录表,17579,2017-05-25,0.9668575013426056
怡亚通:关于调整股权激励计划首次授予股票期权,29107,2017-06-07,0.8768114687239575
新华社：002183整合并购重组已成公司提升业绩重,12734,2017-05-26,0.13065591885040162
最初53的本，10送10之后，加上后来补仓，20的本,23417,2017-04-26,0.354295239528425
怡亚通模式已失败！,28104,2017-06-05,0.8273474765797655
怡亚通:关于深圳证券交易所对公司2016年年报问,42877,2017-06-15,0.24089255848542557
怡亚通模式未必失败,13063,2017-06-07,0.9236954237136163
怡亚通:2016年年度权益分派实施公告,49418,2017-05-25,0.9097949688517735
2017年5月16日，华东战区星链传奇启动会议正式,24439,2017-05-17,0.8021774318271706
郭台铭：“我们需要怡亚通”,26388,2017-05-29,0.9328646664900689
物流是商业零售和大消费关键，怡亚通值得低吸：,50777,2017-04-26,0.7705522427390704
奇葩的怡亚通！请干点人事？,15316,2017-05-17,0.48882004710581217
“供应链+互联网”怡亚通星链开启流通新纪元,38400,2017-05-16,0.8575772346428727
大涨在即，耐心点！！！,2593,2017-05-25,0.42554450402546107
怡亚通:第五届董事会第二十次会议决议公告,17866,2017-05-26,0.31683419602270824
怡亚通，说几点个人看法,58141,2016-08-20,0.8170207492021169
怡亚通:2017年5月23日投资者关系活动记录表,23988,2017-05-25,0.9668575013426056
十年炒股两茫茫，先亏车，再赔房。千古跌停无处,7801,2017-05-22,0.4039693577067719
有这些理由支持我买怡亚通。银行敢给怡亚通7/80,17566,2017-05-20,0.7738507334210185
明天高开高走，直至涨停。,7108,2017-05-24,0.39325437977934563
一季报速递：怡亚通2017年一季度盈利1.86亿元，,28170,2017-04-28,0.7775581404719122
怡亚通看点都在这里了。,19113,2017-05-17,0.6653941090448486
怡亚通:控股股东部分股权补充质押的公告,37607,2017-05-16,0.9468318884888247
建议所有股东在股东大会日到怡亚通集结，当面找,17945,2017-05-15,0.2929024489142672
前天买的刚抛光了，不知是对是错。,5415,2017-05-15,0.24407890965375834
怡亚通:控股股东部分股权补充质押的公告(2017/5,22668,2017-05-08,0.9412896672039541
怡亚通:控股股东部分股权补充质押的公告(2017/5,35582,2017-05-10,0.9412896672039541
怡亚通:关于调整非公开发行股票募集资金投资项,28411,2017-05-09,0.9968193911044912
都来说说成本价。欢迎留言,12537,2017-04-27,0.2585782506948988
怡亚通:公司债券受托管理临时报告,24429,2017-05-10,0.8185765319448889
今天委托8块接600手，不知道能不能接到？,6380,2017-05-10,0.05560972171190337
怡亚通预计上半年净利润3.10亿元至4.03亿元 同,32148,2017-04-27,0.3949566412518556
怡亚通:关于召开2016年度股东大会通知的提示性,12561,2017-05-09,0.9428427147932209
清空怡亚通了，落地。。。,23843,2016-12-15,0.7533027991073658
怡亚通:关于当年累计新增借款的公告,29795,2017-05-05,0.5902306143601533
改革大将怡亚通在走向衰败？,12410,2017-05-06,0.9998308769843945
大家一定要跟上才会引起重视,25577,2017-04-28,0.27839463619025584
怡亚通:更正公告,36983,2017-05-02,0.624892059576358
怡亚通历史回顾：关于2015年的定向增发,33819,2016-05-02,0.9951564122955444
请问各位高手，什么时候能解套？为嘛我偏偏买上,18819,2017-05-02,0.08889811481370069
营收保持高速增长，四季度业绩有望超预期,84023,2016-11-01,0.8275269404152955
怡亚通:控股股东部分股权补充质押的公告,26977,2017-04-28,0.9468318884888247
2016年业务量780亿，营收五百八十亿，利润五亿,25956,2017-04-27,0.03213455493366557
怡亚通拟10派0.80元,43298,2017-04-28,0.8146691955287977
还有20亿融资盘，明天只要大幅低开，很多融资盘,18237,2017-04-26,0.15592072183763328
京东百万便利店计划，击碎了怡亚通的最后幻想,22739,2017-04-14,0.9988165046307607
2016年经营性净现金流量净额是－41.46亿元，201,11779,2017-04-27,0.07088478219210637
怡亚通:2017年第一季度报告全文,16891,2017-04-27,0.9883561363919193
