标题,帖子数,日期,情感
砸锅卖铁，卖房卖地，买进新城，拥抱财富！,1048482,2017-02-25,0.9391019683645117
从7月初的最高股价19.28打压到最低股价的16.28,58957,2017-08-15,0.7901191584865671
应该多些耐心,49792,2017-07-03,0.6610915504509742
关于最近股吧里对470兄的争议，我想说几句,15026,2017-08-28,0.19800071668373453
新城 新城 拿着你错过了嘉宝集团和云海金属 一,3594,2017-07-27,0.974414064366442
2017年半年报的看法,44417,2017-08-19,0.45834064360311066
8月份销售额87亿,8938,2017-08-31,0.6717943713944222
应该多些耐心,210934,2016-07-01,0.6610915504509742
[财力]MSCI Inc.来了，漂亮50必将是永远中流砥,7855,2017-06-22,0.9435373994906098
又是周末了，大宵去看看马云钓到鲤鱼没有！,7580,2017-08-25,0.8552139186506529
新城控股(601155)融资融券信息(08-25),6106,2017-08-26,0.9371468603748734
都是谁在抛出来,15029,2017-08-21,0.5958539695482364
紧急告示：MSCI指数股601958 金钼股份正创历史,7767,2017-06-28,0.8183254019705668
销售业绩高增长，回款率超预期,12027,2017-08-21,0.9407000792734632
2017年半年报点评：以千亿为始 蓄势已出发,22788,2017-08-21,0.30735518966569697
新城控股中报点评：销售逆势高增长，证金大幅增,20566,2017-08-21,0.7759697834365341
调整，打压，已接近15%，时间空间已基本到位。,57072,2017-08-03,0.6353273895881497
2020营收3000亿，自持2000万平米100座吾悦广场,37848,2017-04-24,0.8140680544640755
马云和大宵在冰面上钻窟窿钓大马哈鱼！,4483,2017-08-21,0.8390245519625262
看看骂我不停的都是几只什么贱种。胡说和一天一,6467,2016-12-12,0.004973629939325486
科考船到达南极长城站 大宵马云似驴友爬上岸！,8007,2017-08-19,0.08522447610098416
新城控股:2017年6月份及第二季度经营简报,44055,2017-07-07,0.7956151419872237
新城控股(601155)融资融券信息(08-18),7238,2017-08-19,0.9371468603748734
社保基金加速撤离新城控股不是好事情,12266,2017-08-19,0.8827658173708236
我认为新城中报的一些关键点,11581,2017-08-19,0.8304988240848494
中报速递：新城控股2017年上半年盈利11.39亿元,30500,2017-08-18,0.5988261349478153
一则投资失误被证实，空方借机再次打压，,44750,2017-08-01,0.7565005801851118
新城控股(601155)融资融券信息(08-16),5919,2017-08-17,0.9371468603748734
给天天叫涨叫跌者的忠告,9745,2017-06-16,0.7072259550985652
上午的会议将确认新城半年报的最终数据！,15276,2017-08-15,0.6408661272736758
吧里唱多者的真实意图,12793,2017-06-24,0.921073233751279
唱多者们的看涨依据一开始就错了！,12703,2017-07-04,0.9024149849156865
