标题,帖子数,日期,情感
绝密！比亚迪收购蓝科锂业9月份正式完成！ 前几,26030,2017-08-26,0.9954730446388862
比亚迪子公司约5.61亿元中标432辆新能源营运车,12576,2017-09-01,0.044223270375181145
比亚迪中标432辆新能源客车平均比过去每台贵了3,6115,2017-09-01,0.02442678162846479
[抄底]A股正在发生革命性的变化，去高市盈率正,7257,2017-06-05,0.4617783560016464
比亚迪净利同比大幅下滑王传福目标盯上了“小微,26399,2017-08-29,0.9389819009452638
填补我国技术空白！比亚迪云轨全球首条商业运营,27537,2017-09-01,0.9942280349041365
以持股保持三年以上的心态开始建仓比亚迪……,7624,2017-08-15,0.7952184657373639
上汽vs比亚迪谁能代表新能源汽车的未来～在中国,16847,2017-08-13,0.6570007879153443
比亚迪:关于商用车中标结果的公告(2016/7/30),89319,2016-07-29,0.5210191416492979
比亚迪:关于商用车重大合同中标公示及中标的公,108929,2016-07-07,0.6825832968060429
比亚迪:关于商用车中标公示的公告,84456,2016-04-12,0.8446922934604106
比亚迪:关于商用车中标公示的公告,32795,2017-09-01,0.8446922934604106
青海省经信委比亚迪在我省三大项目建设有序推进,13658,2017-08-18,0.8777360732329518
近日，全部使用比亚迪储能设备的美国西佛吉尼亚,7964,2017-08-15,0.9203754029626174
牵手比亚迪乘上“云轨” 龙口传统工业焕发新活,7081,2017-08-14,0.9520389582645337
比亚迪中标5.6亿元新能源营运车辆采购项目,13469,2017-09-01,0.0043610695533838895
比亚迪(002594)融资融券信息(08-15),6206,2017-08-16,0.8233030596223522
上汽荣威eRX5请比亚迪唐车主深度试驾，车主却说,18535,2017-08-09,0.9984912056382446
跑啊，破位暴跌啦，暴跌到20元。,2899,2017-08-10,0.6808988019010308
比亚迪云轨项目首次落地海外，今日与菲律宾签约,16822,2017-08-22,0.9389010294470601
比亚迪(002594)融资融券信息(08-11),3180,2017-08-14,0.8233030596223522
比亚迪(002594)融资融券信息(08-22),4711,2017-08-23,0.8233030596223522
比亚迪董事会审议通过子公司再次使用闲置募集资,9173,2017-08-14,0.18126310546980873
比亚迪与华为终于正式联手：构建规范化、高绩效,20920,2017-08-18,0.6121308355010938
花旗：预计比亚迪电子毛利率改善会停顿 维持“,7879,2017-09-01,0.21642625560733897
2018年发力入门市场 比亚迪新能源计划曝光,26415,2017-08-23,0.2573263322351793
原油价格上涨到85元，比亚迪股价能到60元吗?,3007,2017-08-21,0.0034516308959293696
比亚迪:关于发起设立投资基金完成备案登记的公,19792,2017-08-08,0.8952998815355815
王传福亮出比亚迪新能源车守擂武器,39449,2017-08-23,0.6810559986825367
比亚迪未来股价疯涨的最大动力是什么？ 2016年7,14921,2017-08-20,0.9665042753198008
今年最大的看点就是下月上市的宋max,9720,2017-08-21,0.9723439711022924
比亚迪(002594)融资融券信息(08-21),6856,2017-08-22,0.8233030596223522
其实从今年6月14日开始，股价沿着45度向刀切的,7621,2017-08-25,0.04827452227812368
重要消息！比亚迪在青海省三大项目建设有序推进,11770,2017-08-18,0.7895839947776766
境外媒体：比亚迪拓展澳门新加坡以色列市场,14562,2017-08-14,0.8881371077010682
特大利好！比亚迪再获美国20辆18米长纯电动巴士,16684,2017-08-16,0.9846862412989913
一天收获27台订单，比亚迪宋MAX要做国产MPV的标,8467,2017-08-16,0.5994818560364081
比亚迪两子公司归还用于暂时补充流动资金的闲置,10456,2017-08-14,0.0054508059224605
这两天某品牌针对比亚迪的黑文多了起来！比如下,4824,2017-08-15,0.5097085324693946
7月客车销量排行 比亚迪7月销售5米以上客车1082,12126,2017-08-14,0.002696057441565314
无惧政策和市场的变化 比亚迪再夺七月销量冠军 ,8346,2017-08-15,0.9919194407627975
半年报公布后股价会有大动作,13366,2017-08-15,0.44624201775384886
比亚迪(002594)融资融券信息(08-14),7958,2017-08-15,0.8233030596223522
一篇被某品牌公关删掉N次的文章！ 8-09,13598,2017-08-09,0.3775919561035501
今年5月，印第安纳州宣布购买比亚迪88台铰链式,5185,2017-08-16,0.569845450312186
比亚迪与固态电池 8-16,18110,2017-08-16,0.8178419994810145
比亚迪纯电动大巴占伦敦电动大巴70%的市场份额,23275,2017-08-17,0.9906510019270152
没电还能自己回站！首度体验比亚迪云轨车间，感,12362,2017-08-15,0.4186218332675449
淮安将建云轨示范线拟连市区至涟水 时速达80km/,5533,2017-08-09,0.0784635972493064
比亚迪储能再获国际大奖美国“双子星”项目扬名,5368,2017-08-14,0.5841477025426696
7月中国新能源汽车销售排名：比亚迪一骑绝尘 8-,14297,2017-08-12,0.011457025243782226
新能源汽车大战 “双积分”不达标  8-09,11589,2017-08-09,0.027278996987215032
比亚迪2017年7月乘用车销量新能源车销售 ：1126,11334,2017-08-08,0.003166257597586375
2点后有大动作[想一下][想一下],3660,2017-08-25,0.24160681610224133
比亚迪(002594)融资融券信息(08-24),6588,2017-08-25,0.8233030596223522
雪球股友：比亚迪为何值得投资 因巴菲特买入？ ,23278,2017-08-25,0.998402297481633
王传福称未来几年比亚迪要靠产品靠细分领域保持,29953,2017-08-25,0.9981385008417226
开启10万亿新市场：“电动车大王”王传福讲述比,6777,2017-08-25,0.9604297597892938
专访比亚迪成都大区大区经理 王东旭 凤凰汽车08,3632,2017-08-27,0.0006493147153102674
宋DM为先锋 王传福披露比亚迪更大“爆点” 凤凰,7618,2017-08-25,0.9661814365309583
美媒：比亚迪云轨海外第一单落户菲律宾,20062,2017-08-24,0.6219979563704954
8月14日比亚迪对投资者提问的重要回复 8-14,14478,2017-08-14,0.5517327778735687
特大喜讯！8月31日，“比亚迪云轨商业运营通车,10937,2017-08-31,0.05971959019232653
深析：比亚迪新公司为何要收购蓝科锂业？   201,8678,2017-08-26,0.9899031336868083
目标35快，哈哈我从60唱衰到50，继续唱衰破50，,14641,2017-03-22,0.5892596231067446
某基友天天喊涨停，从定增开始天天说涨停，1年,10982,2017-06-27,0.661192819398929
比亚迪(002594)融资融券信息(08-08),8654,2017-08-09,0.8233030596223522
比亚迪 宋MAX 可以相当肯定 比以前车型漂亮了 ,8220,2017-08-13,0.980734246961336
银川云轨花博园段项目最新重要消息！8-8,8907,2017-08-08,0.4327677905340589
比亚迪7月份新能源销量11265辆大家怎么看,10235,2017-08-08,0.019372498882037403
比亚迪新能源乘用车佔比: 新能源乘用车(全國)  ,7373,2017-08-08,0.04379625957072408
继京都K9大巴后，搭载中国芯的比亚迪电动叉车即,13769,2017-08-06,0.9899802352898757
比亚迪(002594)融资融券信息(08-07),4616,2017-08-08,0.8233030596223522
比亚迪(002594)融资融券信息(08-04),8887,2017-08-07,0.8233030596223522
桂林云轨线路确定 首段10月份开工年底实现通车 ,6185,2017-08-10,0.5622346689387844
公司方面表示，业绩变动的原因主要是锂盐销量增,8438,2017-08-07,0.3497790166877487
9月深圳公交系统大变革 这家企业迎来风口,67274,2017-08-07,0.03416470581123232
新能源销量一路飘红比亚迪下半年首战开门红 zj ,27018,2017-08-14,0.0681302884072309
比亚迪:关于公司股东部分股份解除质押的公告,21095,2017-08-11,0.9634520763885558
比亚迪“云轨”即将亮相曲阜 8-6,10752,2017-08-06,0.46866076149632996
比亚迪纯电动车E6在香港“身份”正在发生变化，,14924,2017-08-06,0.9592412907851473
比亚迪:“15亚迪01”2017年付息公告,30410,2017-08-06,0.42204737564386985
西安首台比亚迪MPV到店，或8.58万起,MPV市场波,13135,2017-08-06,0.22073305418870226
