标题,帖子数,日期,情感
做渤海金控者，远离是非地,22325,2017-08-14,0.35489192381927437
渤海租赁  我的清仓位在15.50元  牛年马月,6175,2017-09-01,0.019914847276224612
这股没戏，抱牢套死,33878,2017-07-14,0.2707735420829145
渤海金控还有慈善心吗？ 渤海金控的实际控制人,9004,2017-09-01,0.803703647973826
这么多基金、券商进去了，大家开始打架了,4019,2017-08-31,0.6191959669730708
今晚的渤海金控公司公告我看到了二条好的信息（,17088,2017-08-30,0.6520597506254101
渤海金控原来就是个捧不起的刘阿斗！ 渤海金控,25116,2017-08-21,0.7111888323782191
渤海金控:2017年度非公开发行优先股股票募集资,26118,2017-08-30,0.1683212386787598
渤海金控:关于终止发行股份及支付现金购买资产,14783,2017-08-30,0.17664732404015093
盘中大单不停的出货，而且都是滴几个价位的卖，,15125,2017-08-10,0.10150998120449328
明天跌停,28945,2017-07-21,0.06943297630847334
张弓待发的渤海租赁,1320269,2015-12-19,0.03976023886298441
渤海金控:关于全资子公司AvolonHoldingsLimited,44243,2017-08-16,0.3945499382253096
业绩探讨！,30909,2017-05-08,0.8962965116493858
主力们经过两小时开会决定  下周一起直取20元,14631,2017-08-04,0.09121814807006001
哈哈哈   渤海金控明天开始起航  第一目标36  ,36223,2016-08-16,0.6387427737150535
下周若没停牌  渤海金控股价7.88--8.20见,29298,2017-02-17,0.2095602055878929
莫慌   与大盘同时技术面回踩底部确认  下一周,19460,2017-03-17,0.020637236817106497
强庄来了 七月初渤海金控必会逐步向第一目标35,15943,2017-06-29,0.9179850889499137
渤海租赁 日K线 自2015年9月15以来盘亘完成大鹏,43322,2017-03-01,0.005113334920062718
中报股东显示，基金在第二季度大幅加仓渤海金控,20306,2017-08-27,0.08413833163247053
未来我国大飞机进入国际市场的重要条件——能够,7477,2017-08-27,0.9966876605752867
渤海金控:2017年半年度业绩快报,49058,2017-08-25,0.47882309328059935
端午之后大盘继续涨，3300见,16323,2017-05-26,0.4659663441655193
宁波港601018祝渤海涨停板,42055,2016-08-11,0.7017806208689592
渤海金控:2017年半年度业绩预告,75692,2017-07-14,0.5794964891749091
渤海金控:关于全资子公司天津渤海租赁有限公司,25660,2017-08-21,0.04072940670735403
渤海金控(000415)融资融券信息(08-14),5596,2017-08-15,0.7871160728423904
重大利好，渤海金控或连续涨停,19968,2017-08-17,0.7279685195169248
从Avalon的半年报不难看出，渤海金控这个平台已,9986,2017-08-17,0.5601646923949848
如果说渤金渔夫、林海雪源海，过犹不及唱多忽悠,12553,2017-08-10,0.20870157914511345
