标题,帖子数,日期,情感
九月，陪唱陪跳迎开会,4141,2017-08-30,0.7621870631199392
申万宏源(000166)解禁股信息(09-22),33451,2016-09-21,0.16514065494326113
申万宏源(000166)大宗交易数据一览(08-01),24359,2017-08-01,0.22596319962749012
申万宏源(000166)解禁股信息(11-14),25672,2016-11-13,0.16514065494326113
申万宏源(000166)大宗交易数据一览(06-05),29147,2017-06-05,0.22596319962749012
申万宏源(000166)大宗交易数据一览(05-11),25778,2017-05-11,0.22596319962749012
申万宏源(000166)大宗交易数据一览(03-07),28469,2017-03-07,0.22596319962749012
申万宏源(000166)大宗交易数据一览(03-06),21414,2017-03-06,0.22596319962749012
申万宏源(000166)解禁股信息(07-30),13083,2017-07-29,0.16514065494326113
申万宏源(000166)大宗交易数据一览(03-03),26642,2017-03-03,0.22596319962749012
申万宏源(000166)大宗交易数据一览(09-08),22367,2016-09-08,0.22596319962749012
申万宏源(000166)大宗交易数据一览(11-17),32295,2016-11-17,0.22596319962749012
申万宏源(000166)大宗交易数据一览(09-28),31021,2016-09-28,0.22596319962749012
申万宏源(000166)大宗交易数据一览(10-12),19453,2016-10-12,0.22596319962749012
申万宏源(000166)大宗交易数据一览(03-01),22428,2017-03-01,0.22596319962749012
申万宏源(000166)大宗交易数据一览(10-19),32306,2016-10-19,0.22596319962749012
申万宏源(000166)大宗交易数据一览(12-06),23900,2016-12-06,0.22596319962749012
申万宏源(000166)解禁股信息(04-29),13783,2017-04-28,0.16514065494326113
申万宏源(000166)大宗交易数据一览(12-19),21122,2016-12-19,0.22596319962749012
申万宏源(000166)大宗交易数据一览(11-22),25753,2016-11-22,0.22596319962749012
申万宏源(000166)大宗交易数据一览(02-28),22593,2017-02-28,0.22596319962749012
申万宏源(000166)解禁股信息(07-29),11793,2017-07-28,0.16514065494326113
申万宏源(000166)大宗交易数据一览(02-16),24232,2017-02-16,0.22596319962749012
申万宏源(000166)解禁股信息(02-14),14223,2017-02-13,0.16514065494326113
严厉打击骗子丹东老葛违法行为，维护股民合法权,17741,2017-06-17,0.11112215133233194
申万宏源:2016年度社会责任报告,11505,2017-03-29,0.7377518535578859
申万宏源:关于部分限售股份解除限售的提示性公,32369,2017-04-10,0.9363783278369671
申万宏源:关于召开2016年度股东大会的提示性公,35509,2017-04-13,0.9246132397535264
申万宏源:2017年第一季度业绩快报,37677,2017-04-13,0.7814284508399212
申万宏源:关于监事辞职的公告,28417,2017-03-16,0.17964970728645124
申万宏源:2017年第一季度报告全文,20596,2017-04-27,0.9253390969333688
申万宏源:关于申万宏源证券有限公司2017年证券,24254,2017-04-25,0.3446713649199379
申万宏源:第四届董事会第二十四次会议决议公告,21596,2017-04-27,0.10099547042020152
申万宏源:关于申万宏源证券有限公司2017年证券,23363,2017-05-11,0.3446713649199379
申万宏源:华泰联合证券有限责任公司关于公司限,26892,2017-05-03,0.25956944749508304
申万宏源:关于申万宏源证券有限公司2017年4月财,43969,2017-05-05,0.16087427499094098
申万宏源:关于部分限售股份解除限售的提示性公,31156,2017-05-03,0.9363783278369671
