标题,帖子数,日期,情感
贵州百灵今日收盘后日K线仍然处于绿色持币观望,47273,2017-08-11,0.9575888937014722
天皇驾到，贵州百灵即将跌停，速度清仓,9915,2017-04-17,0.5870276876979554
百灵考量之六问，答案在那？,327429,2016-09-30,0.9083187455676658
贵州百灵:关于“糖宁通络”非标制剂研发项目的,42373,2017-08-30,0.09318978780086251
基于糖宁通络疗效优势的百灵投资价值（仅供长线,627591,2016-05-31,0.9937568653991515
贵州百灵今年上半年盈利2.39亿元 内生外延双向,27072,2017-08-27,0.5502321730182909
30元只是起点,大三浪之3主升(3浪3),80002,2015-11-20,0.3364452040927277
贵州百灵(002424)融资融券信息(08-29),3608,2017-08-30,0.7677836646749829
黔驴技穷，,8808,2017-08-29,0.5
百灵2017中报简单点评,17779,2017-08-27,0.4960249700842304
中报速递：贵州百灵2017年上半年盈利2.39亿元，,24882,2017-08-27,0.2486875835625535
业绩预增50%～80%还是蛮不错的[献花],18403,2017-08-25,0.9377654272133027
湖南省人民政府发展研究中心调研组莅临省糖尿病,11700,2017-08-25,0.9695474676092927
贵州百灵(002424)融资融券信息(08-15),6364,2017-08-16,0.7677836646749829
贵州百灵(002424)融资融券信息(08-02),4771,2017-08-03,0.7677836646749829
割肉离场,9939,2017-06-06,0.7051383555466855
头肩顶，快跑！,8978,2017-08-14,0.4382855330787838
还有看多的吗？,11286,2017-07-18,0.5875212430201505
从月线看    三线合一    调整两个月了   最少,21747,2017-07-20,0.2742638568594381
2016实盘! 百灵加油!,36180,2017-01-12,0.9110990314145464
广西中医药大学专家团到访贵州百灵 原创 2017-0,12493,2017-08-18,0.9863446330267945
蓉城金牛抛榄枝 黔地百灵相与和 ——成都中医药,13304,2017-08-19,0.9721006221993432
贵州百灵:关于1类生物新药EDS01研发项目的进展,41304,2017-08-18,0.3337789981419239
砸呀，砸到16，来吧猛点，我买[大笑][大笑][牛],10622,2017-07-26,0.048460951769081495
小儿柴桂退热颗粒入选中华中医药学会团体标准 2,12922,2017-08-01,0.982180824204286
三问姜伟 | 贵州百灵何以挑战糖尿病?,20158,2017-07-24,0.9664948979879366
“互联网+医疗”进社区 贵阳遵义社区14人加入信,5837,2017-08-04,0.8908802618216792
姜氏抵押套现自己赚钱不懂回报股民终将得到报应,6759,2017-08-03,0.6629366052011053
中国首个证候中药新药——黄连解毒丸临床研究方,15404,2017-08-10,0.9456708052382221
给一直唱空百灵却长期赔钱者指条活路,19586,2017-08-07,0.6611028290842669
不割肉永远也别想涨？[大笑][大笑][大笑][献花],9623,2017-07-25,0.38048552633529986
战糖记！老母亲住院效果好 儿子写来感谢信 2017,8051,2017-08-09,0.9886726130512901
可靠消息：糖宁通络301医院临床试验效果没有达,26138,2017-08-06,0.7021918562100057
贵州百灵目前处于二次回调中建议继续观望等待逢,20236,2017-08-02,0.8302359382737534
贵州百灵(002424)融资融券信息(08-07),4901,2017-08-08,0.7677836646749829
贵州百灵:关于签订《安顺市城市棚户区改造房屋,31785,2017-08-02,0.018096137226375708
贵州百灵:关于收到搬迁补偿款的公告,26587,2017-08-03,0.14971899987333048
贵州百灵，今日涨停,9916,2017-04-06,0.8941024468246976
加仓，加仓，哈哈,5238,2017-05-11,0.13778878122388127
华大基因此次股价将在200元以上，8月30号中报，,4520,2017-08-01,0.16072174016164342
多说百灵医药股不是强势股,3916,2017-07-06,0.1867966417163489
幻想着浙江在未来一个月翻倍，百灵跌到13元[大,6836,2017-07-26,0.9422724960628323
两个指标告诉你贵州百灵目前仍然处于下跌的左侧,14358,2017-07-26,0.8852482337312749
宁波港601018祝贵州百灵涨停板,30965,2016-08-08,0.882586208102534
垃圾，快补缺口，知道你就这点出息,8178,2017-08-02,0.22303369657791983
河南骡子，有本事亮出实盘检验你的水平,11859,2017-01-23,0.8711108594572491
贵州八路，来个跌停，哈哈,8240,2017-07-19,0.2367196605842362
兵蛋，滚出2424股吧好吧？,4390,2017-05-23,0.23976411931938402
糖宁疗效已经无可否认，已经得到各界的认可！来,12395,2017-07-31,0.9195248691982664
百灵跌到10元以下不是梦，年底前会实现的，大家,4238,2017-07-19,0.0642890497043187
割肉离场,6770,2017-07-24,0.7051383555466855
啊啊啊啊啊啊啊，看到百灵的拉升，这真是[献花],12323,2017-07-05,0.8190277093187117
世界最大移动医患交流平台——“春雨医生”代表,11134,2017-07-24,0.9060343232819773
吹空调感冒，服用两袋百灵感冒药，立马见效,9389,2017-07-23,0.07675959456191062
