标题,帖子数,日期,情感
贵阳银行(601997)融资融券信息(09-01),2503,2017-09-02,0.2372938960422648
AAA,29823,2017-05-22,0.5
贵阳银行(601997)大宗交易数据一览(09-01),14446,2017-09-01,0.02378644814547959
动态市盈率按1.84元/股计算，同比增15%，（保守,23851,2017-07-27,0.22669498536723753
是时候了！ 虽然距离8.16解禁还有10个交易日，,19648,2017-08-02,0.31355716079283547
贵阳银行遵义违法以自营资金发放委托贷款,13058,2017-09-01,0.14902463190114534
贵阳银行冬天已经过去,21789,2017-08-24,0.058948468174331414
贵阳银行2017年8月16日解禁股8.65亿上市，届时,35205,2017-05-01,0.0008138442698887305
又到买入贵银的时候了，感谢市场先生。,18379,2017-08-09,0.9823302252135687
中报速递：贵阳银行2017年上半年盈利19.02亿元,30220,2017-08-28,0.03020620606798119
601997:贵阳银行2017年半年度报告,28046,2017-08-28,0.06279296556057257
贵州经济高速增长10.4%全国第二,15587,2017-07-25,0.6544632733117339
601997:贵阳银行2017年半年度报告摘要,34791,2017-08-28,0.1532316368160681
买点出现，给点心信，坚持会胜利,9398,2017-08-17,0.8708007262962665
贵州三大财主,7942,2017-08-22,0.3431447198696965
[好逊大笑]女士们先生们朋友们！战胜内心的恐惧,8183,2017-07-24,0.9974632454886065
贵阳银行(601997)融资融券信息(08-25),6546,2017-08-26,0.2372938960422648
贵阳银行(601997)融资融券信息(08-24),5222,2017-08-25,0.2372938960422648
贵阳银行(601997)解禁股信息(08-16),17614,2017-08-15,0.016241930786179526
底部红三兵,7159,2017-08-16,0.20324116166719197
进场: 日线锅底，周线背离（荐股）,6611,2017-08-21,0.7689543100704894
大形m头完蛋了,26377,2017-05-26,0.5006568841254037
601997:贵阳银行首次公开发行限售股上市流通公,44752,2017-08-10,0.02113813881938753
贵阳银行(601997)融资融券信息(08-18),8597,2017-08-19,0.2372938960422648
贵阳银行(601997)融资融券信息(08-16),6200,2017-08-17,0.2372938960422648
解禁，解禁，解禁，重要的事说三遍，跑，跑，跑,9171,2017-08-02,0.7061352923982169
贵州茅台创500元新高，同在一省的贵阳银行跌跌,9377,2017-08-14,0.0044602556169893726
贵阳银行站上1676之上才会继续上涨,61752,2016-12-05,0.08507380520694141
市净率：1.60行业的2倍,贵哎,5255,2017-08-13,0.5621887608741851
暂时不要介入，解禁股还没有出来。,7417,2017-08-11,0.45729994637868354
贵阳银行(601997)融资融券信息(08-11),6347,2017-08-12,0.2372938960422648
1.次新中小盘银行股 2.低估 3.筹码集中度高（股,25272,2017-05-04,0.11977863441497028
贵阳银行，贵在成长。,173960,2016-10-15,0.5853583842683199
贵阳银行的估值报告，股民门拿紧吧,16583,2017-08-06,0.23201938977258707
看着张家港行涨到30元，全国股民都不抢贵阳银行,170209,2017-03-16,0.06272986990367657
抄底贵阳银行入场,13197,2017-07-27,0.03526734836540435
此股有国家队压盘，不碰为妙！,10747,2017-03-08,0.01295374761615975
猪力啊，鸡狗啊，不愧是畜生养的。,7735,2017-07-12,0.9958268841268799
珍惜你这一生唯一的解套机会，解套就走，逃离赌,10763,2016-12-12,0.9997479009854389
服不服,7527,2017-07-28,0.05697991315063944
跌下来就加点仓，我相信银行股有估值修复行情,6225,2017-07-25,0.1328333406333413
已经转准保险股（华夏保险），望留下的发财。,17735,2017-07-14,0.048888715572669605
贵行下周股价起飞时,15336,2017-07-21,0.6442220718007879
你可以错过任何银行股，但不能错过贵阳银行。,7552,2017-07-27,0.1381657324723532
大盘没怎么跌贵阳银行已经开始崩盘。在不跑价值,6968,2017-07-26,0.00910824457045778
创业板要往哪儿跌（三）为什么要买贵阳银行,8339,2017-07-17,0.024741420707225292
贵阳银行今日（2017年7月11日）企稳反弹，KDJ日,22924,2017-07-11,0.02859691005390974
实战炒股口决： 十四工作线 实战炒股口决： 十,28920,2017-01-31,0.9397921009047032
一卖就涨,8811,2017-06-19,0.6717152153524077
我告诉你贵银为什么不涨,31568,2017-06-26,0.7962152242314774
贵阳银行15.31元持有，长线是金。,59353,2017-05-20,0.01796076456219098
打新中签……靠运气,2379,2017-06-15,0.679868357562676
A股最具成长性银行再次正名，不必担心MPA扰动,48045,2017-05-02,0.9824459415605434
贵阳人很坏,6831,2017-06-28,0.15022018864148057
40-50市值今年已经中三签了，这个中签概率高吗,11891,2016-08-06,0.26937996078385285
贵阳银行(601997)融资融券信息(06-23),7894,2017-06-24,0.2372938960422648
贵阳银行：岁未品看[12股] 喜愿牛股层出,22551,2016-12-09,0.02066019975557165
贵阳银行：研判，下周在此点位全仓杀入是否正确,11119,2017-06-17,0.09036011105158281
贵阳银行：利好再次冲击，今日买入是否一本万利,8030,2017-06-20,0.5448395573708744
贵阳银行/新股若破发 IPO将难进行下去(附股),10364,2017-02-15,0.009007072093003998
601997:贵阳银行关于收到《中国证监会行政许可,33166,2017-06-13,0.3436988656726391
股票走成这样，妈的还有人看多！！,7300,2017-06-08,0.5983341401995448
优先股发行将增加每股收益0.32元分析：,22048,2017-06-02,0.6940661230278644
601997:贵阳银行2016年年度权益分派实施公告,54128,2017-06-07,0.0996363498876297
[抄底]截止2017-03-31上海银行601229十大流通股,11094,2017-04-30,0.05013977284995552
市盈率低 次新股 贵阳银行 龙头股,7079,2017-05-25,0.0006814985656342643
601997:贵阳银行关于优先股发行方案及公司章程,26739,2017-06-01,0.006434737937811685
还有木有不到50不卖的哥们呢,13870,2016-08-24,0.2113966174273475
一颗经典璀璨无比的金蛋 50元不惊奇 100元不是,54033,2016-08-15,0.39907749909378265
贵阳银行优先股发行方案获贵州银监局核准,22074,2017-06-01,0.09078447073929963
601997:贵阳银行关于股东权益变动的提示性公告,44266,2017-05-26,0.07744276614171419
上个星期跑路了，看你们亏钱真爽,19591,2017-05-22,0.7359367864735739
这股在等解禁,5538,2017-05-28,0.2506163342739762
贵阳银行主力利用八月八亿解禁股恐吓并诱惑小散,10135,2017-05-20,0.2974249154056835
