标题,帖子数,日期,情感
辽宁成大2017年半年报点评：大宗商贸景气度向上,44619,2017-08-28,0.24768755159890143
不是三句半,56427,2017-08-06,0.16953412000187262
辽宁自贸区概念,49163,2017-04-09,0.7196294647482377
辽宁成大(600739)融资融券信息(09-01),3105,2017-09-02,0.8090359558054487
自从买了辽宁成大就好比吃了苍蝇一般难受，加之,4896,2017-08-10,0.17542689093809938
辽宁成大重大事项停牌提示性公告（模拟）,37611,2017-07-28,0.9537721225190532
成大之推背图-第二象,9306,2017-07-28,0.3567813051151967
恭祝成大撤回定增花招,32265,2017-07-28,0.20896855145574444
黎明前的黑暗，坚持就是胜利,26396,2017-08-01,0.9693561043999436
前海15.87%才转了6.06%，真正的主还在后头,34690,2017-06-19,0.612171280994634
老骥伏枥，志在千里，写在开盘前。,35668,2017-06-20,0.4801193698236208
那些看到30、40、50的人都鼠目寸光,33358,2017-08-04,0.3206217719833775
[拜神]MSCI Inc.来了，漂亮50必将是永远中流砥,7618,2017-06-21,0.990124922799282
飞龙是骗子吗？直觉是骗子！在股市里雷锋应该是,11705,2017-08-30,0.9833849445185876
辽宁成大能否涅槃，我觉得关键还是在于新疆页岩,20522,2017-08-25,0.8686451071772949
飞龙你天天说什么中长线 强者恒强 弱者恒弱不知,6115,2017-08-29,0.9859837179680573
中报速递：辽宁成大2017年上半年盈利8.68亿元，,60288,2017-08-25,0.2978191579830023
信呢，出来玩会呗,5385,2017-08-02,0.48416657841328603
成大之推背图,10030,2017-07-27,0.6159444118605684
坚定持股，新一轮上涨！！！！,10088,2017-08-28,0.05521809841847003
整体市盈率还将下压.结构性牛市将继续[鉴6股],9253,2017-07-28,0.7095285879010597
整体市盈率还将下压 什么票不惧风雨彰显王道[6,11573,2017-07-29,0.9865865735385358
风宜长物放眼量——辽宁成大！,95858,2017-08-06,0.9641388856438292
新疆宝明页岩油盈亏平衡点,35882,2016-04-21,0.8553401763997421
大盘之我见！——成大赋！,9544,2017-08-29,0.8770758377123009
宝明矿业生产的页岩油是优质的柴油生产原料，生,25160,2017-08-19,0.6405539764960458
还要彪：辽宁成大 尖峰集团 重庆百货 山东海化 ,15414,2017-07-24,0.776005137813493
刚刚揭穿飞龙的谎言就被他屏蔽发言,10221,2017-08-07,0.9529819392065865
股吧就是没事大伙交流的地方，瞅瞅成大的股吧里,8164,2017-08-03,0.052587678158132145
浅谈波段牛市下辽宁成大的空间！,23720,2017-08-25,0.7773617211380947
看感A股 下一幕谁将引领市场闪耀光艳[10股],16550,2017-07-31,0.9074509895090278
10倍市盈率的辽宁成大还唱空，装逼烦！,7958,2017-08-03,0.3139141041198332
