标题,帖子数,日期,情感
[图片],23736,2017-05-20,0.5826086956521737
铁心陪股友走完长江证券从现价到20元全程,51918,2017-04-27,0.9311041026402805
券商股值得全仓买入和拼命捂住的根本原因,51447,2017-05-11,0.3936754425544208
实战炒股口决！,12464,2017-08-19,0.553404283579714
在券商股中往返穿梭  在穿梭之中捕捉机会,399181,2016-04-09,0.9993614325155139
长江证券入局 获准设立雄安分公司的券商增至两,32397,2017-08-21,0.9355136299176878
电竞行业进入爆发期 5股站在风口,34074,2016-03-31,0.04099434162772697
长江证券(000783)大宗交易数据一览(08-25),24459,2017-08-25,0.8236596489221782
强烈看好券商!券商盈利模式转型：投行将成为券,25987,2017-05-27,0.7281095668896396
长江证券和国金证券也有一个共同点，就是定增价,37515,2017-05-31,0.9936306022864819
进场: 怎么跌的就会怎么涨上去（荐股）,5775,2017-08-07,0.7541933135049772
长江证券：以大局意识做好券商扶贫,13076,2017-08-22,0.885338246987268
核心内参泄露（000430张家界）要大涨,8113,2017-08-21,0.6927658882437462
雄安概念“附体”又一券商股 长江证券设立雄安,511525,2017-08-19,0.9776616952374327
再次重申，股权争夺是最大利好！上周五9.31又回,9600,2017-08-14,0.13846171525768758
长江证券：获准设立24家分支机构 将于雄安设立,28025,2017-08-18,0.945861715214262
长江证券:关于获准设立24家分支机构的自愿性信,29335,2017-08-18,0.9894630983215094
长江证券:关于分拆长江证券国际金融集团有限公,39017,2017-08-17,0.9978385737570229
看中国股市，减阳寿！,29513,2017-04-21,0.9859288099397442
2017半年报点评：积极投入，静待收获,16390,2017-08-14,0.6078503653354811
长江证券上半年实现净利润9.95亿,29179,2017-08-11,0.9498172413857288
高位急拉升是大跌前的诱多！庄家出货是一个价格,9902,2016-11-03,0.6627328010769128
长江证券(000783)融资融券信息(08-07),4141,2017-08-08,0.9835093481618488
进场: “双重改革”受益股,社保养老金标的股,5920,2017-07-31,0.9893200488469195
长江证券:2017年7月经营情况公告,59266,2017-08-04,0.8066573223938217
救市资金显灵了？券商股灾救市所持中字头股票50,17132,2016-12-01,0.9843664009296583
长江证券之我见: 1，刘一千收海尔的持股，未被,22702,2016-08-18,0.21202986340654995
要出大阳了,6484,2017-07-27,0.5312848799189701
长江证券(000783)解禁股信息(08-01),16731,2017-07-31,0.759898482567749
进场: “双重改革”受益股,社保养老金标的股,4852,2017-07-29,0.9893200488469195
长江证券:关于2016年非公开发行股份解除限售的,39018,2017-07-26,0.9652357238641118
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,17596,2017-03-06,0.9996580281845514
长江证券:国泰君安证券股份有限公司、长江证券,28790,2017-07-26,0.9998840225382047
千万不要卖出！！！！长江证券很快就会迎来猛烈,9336,2017-07-26,0.3232546331856566
从业绩和分红比较 600642 申能股份 000900 现代,5959,2017-05-25,0.9254896295070071
进场: “双重改革”受益股,社保养老金标的股,14511,2017-05-20,0.9893200488469195
长江证券(000783)融资融券信息(07-05),8424,2017-07-06,0.9835093481618488
未來业绩有机会暴增超低估值白菜价____________,25804,2017-05-13,0.9910162095609782
周末继续发新股下周继续跌，直到许多次新股破发,4699,2017-07-14,0.08178966570459212
券商板块仅凭这一点就足以成为下一场牛市领头羊,16333,2017-06-08,0.7490562601196376
真跌与假跌 数据说了算,350075,2016-04-20,0.18448289037236576
股权争夺是最大的利好！,22453,2017-06-04,0.746886175544869
加仓。,9057,2017-07-04,0.2964260140101529
大成基金：只此一招中国赌市就能上涨！,36041,2016-05-16,0.1479822170331102
大成基金：长江证券名字取得不吉利，也是制约股,28495,2016-12-09,0.932691944021124
