标题,帖子数,日期,情感
上银，我爱你，无怨无悔，股市熊熊烈火中，我只,16861,34,2017-04-14 08:59:45,0.9991270795179718
上海银行欠我们6~~10个涨停板，上海银行这么好,29958,49,2017-04-09 18:42:57,0.24784660969471983
各类型交易心理: 1 投资公司，反正已经吃饱了，,8208,8,2017-04-14 13:13:34,0.18573542560935863
今天将小涨五个点以上，明天涨停！分红配股即将,13235,14,2017-04-06 09:58:01,0.7997749501880766
铁粉们，上海银行以下几点值得关注: 1 年报时，,28182,30,2017-03-27 17:01:18,0.4374107884459818
每股收益2.02元 发行价17.77元 净资产19.3元公 ,58022,82,2017-03-17 11:30:14,0.7123830760622608
上海银行宁波违规以贷转存,21394,9,2017-04-05 10:53:25,0.054875189478471476
601229:上海银行董事会四届十三次临时会议决议,40666,11,2017-03-28 19:00:39,0.059271846883735324
一虎怒时惊万狼， 霸业奋起天下惶。 挥指雄师三,7193,15,2017-03-27 21:26:46,0.8743926439216149
强烈要求上海银行高分红，高送股，16年年报每股,19720,8,2017-03-31 22:14:06,0.020202978803678162
上海银行宁波分行因以贷转存被监管处罚20万,26889,15,2017-04-01 15:56:02,0.05045616393024954
你该吃药了,3468,32,2017-04-02 08:49:35,0.7499999999999999
上海银行(601229)融资融券信息(03-30),14507,9,2017-03-31 07:51:21,0.5960304994294492
[郑重申明]：散货如猪，低位不敢追涨必被套！,14159,17,2017-03-03 07:37:57,0.6316246594738609
阿拉上海人，你挣口气呀，涨停一次呀或者拉倒8-,6531,12,2017-03-31 10:31:56,0.5718962800756417
今天下午23.23元我已满仓上海银行，16年每股收,19887,18,2017-03-30 21:52:20,0.0022792820840723538
2万股，23.7的本套死了。怎么办,8150,17,2017-03-30 12:41:00,0.07800950208627533
今天不翻红老夫从此金盆洗手——闭关修炼,3631,16,2017-03-30 10:30:37,0.7972636040249317
几点申购新股比较容易中签？大家都是几点申购的,22013,8,2016-11-13 23:12:08,0.14610739811362783
601229:上海银行关于2017年度部分关联方日常关,30685,5,2017-03-28 19:00:47,0.22751119862154057
昨天盘中kdj金叉，今天kdj又死叉，大量追高韭菜,10165,20,2017-03-28 18:55:47,0.3455399927559214
清明时节雨纷纷，瘪三行长又哭新坟。,6363,20,2017-03-14 17:43:44,0.912976270068235
我的成本价是43元，不知道何时可以解套？,7940,12,2017-03-23 15:14:34,0.5047987032146917
下周放量就要大涨，不涨.我吃屎。,7748,17,2017-03-26 16:45:15,0.7271713262587813
生子当如王自忠，若铜臭儿子，豚犬耳！,7715,18,2017-02-18 16:10:33,0.8370286045834839
未来几天，以下任意一种可能即可买完全部流通股,9424,12,2017-03-27 14:50:17,0.5533809771967255
问一下，现在中签的还有坚持没有卖的吗？！,7147,12,2017-03-27 10:06:51,0.06144395291578453
3月23日上海银行涨停。,13331,64,2017-03-22 14:59:22,0.04888041665697629
今天小涨2毛，不是，我吃屎。,4441,31,2017-03-24 09:57:44,0.36792085503772276
股东建议:10转15、10转10。哪一方案更符合公司,8570,11,2017-03-26 19:04:56,0.3038217338463438
上海银行，目标39.99元。,19525,54,2017-03-10 10:33:49,0.3873728819521295
上海银行业绩快报：2016年净利143.12亿元 增10.,99829,47,2017-01-13 20:56:08,0.5865171268048825
上海银行：优选IPO新股 银行股或T+0试点 (附股),30012,27,2017-02-19 07:55:44,0.011272425201734548
未来6个月，上海银行可能复制西部建设走出接近,13764,14,2017-03-24 22:41:12,0.8258121602699036
经本股神掐指一算，上银明日涨停。,11459,18,2017-03-20 19:25:37,0.5379281599746932
macd死叉已经四天，洗出了中线投资者，割肉结束,7096,7,2017-03-24 13:34:52,0.8987067960609304
601229:上海银行监事会四届十五次会议决议公告,67816,14,2017-02-28 18:53:32,0.08634874551424232
601229:上海银行年报信息披露重大差错责任追究,82615,19,2017-01-13 18:58:42,0.27222725259873104
面对瘪三，我放声大笑，竖起中指~草尼马,8279,35,2017-03-09 18:59:44,0.921848092279243
新融资融券标的，多杀多后，中线投资者割肉结束,9619,22,2017-03-22 18:16:21,0.9792871173941164
今天的主力全用小单进,6441,5,2017-03-14 14:26:04,0.18666687057110298
下周不涨停我吃十斤屎,26308,88,2017-03-04 12:05:45,0.44806577621520827
好股不怕践踏,1323,1,2017-03-20 10:09:24,0.4737672181921908
快跑吧，,2561,0,2017-03-20 13:59:53,0.7234859221523413
张家港行29，45元了？,4016,9,2017-03-18 23:58:05,0.3418792955511766
[图片],25212,103,2016-12-20 14:45:46,0.5826086956521737
