标题,帖子数,日期,情感
错过了锂矿、钴矿翻倍机会，一定要抓住钛矿翻倍,10627,14,2017-08-30 08:17:42,0.1831406935243859
欧阳琛接替吕再裕获委任为东方证券授权代表,6363,7,2017-09-05 17:06:31,0.9912411885278781
[满仓加油]请问各位高手们，此股是否会枯木逢春,10425,10,2017-05-15 17:10:01,0.3900979836917321
欧阳琛接替吕再裕获任东方证券授权代表,7244,10,2017-09-05 17:03:36,0.9617454505357868
实战炒股口决： 十四工作线，来回做波段；突破,56369,77,2017-04-22 07:44:40,0.986755970349184
坚守次股的举个手，胆大的报下成本价。,8849,19,2017-09-04 19:30:18,0.012217187181302158
炒股2017年上市证券股价格对比601881一600909一,8895,61,2017-09-01 09:49:37,0.05165967724936438
次新股小盘2.6亿杭州银行业绩1.7元发行价14.39,56121,135,2017-03-27 11:07:01,0.7004243411165897
≈华泰证券+美国金融科技企业颠覆“金融系统”,208307,511,2016-08-29 08:38:37,0.9999687895317774
东方证券李志强辞任独立非执董,6778,5,2017-08-29 17:57:35,0.8645439325592618
价值投资首选分红率40%，错过茅台！不要错过陕,5484,32,2017-06-11 21:18:49,0.9977687699836723
熊市是个好东西，没有熊市，哪有便宜的股票？,35177,68,2017-03-06 23:10:01,0.9853459586173834
拉升保险后拉升银行、拉升银行后拉升有色、拉升,42686,33,2017-07-21 07:24:06,0.0005964564310647624
铁心陪股友走完东方证券从现价到30元全程,45099,34,2017-04-27 11:01:49,0.60260343090267
券商股值得逐步全仓买入和拼命捂住的根本原因,48846,41,2017-05-11 18:58:52,0.3936754425544208
东方证券8月11日盘中跌幅达5%,14724,8,2017-08-11 15:29:02,0.025182699580120982
东方证券(600958)大宗交易数据一览(08-31),27565,11,2017-08-31 19:16:39,0.3155088759243482
东方证券：结构牛市 关注证券(6股),22758,24,2017-07-19 13:57:59,0.8122560171194902
东方证券~拉板惊艳还要涨 只看板块个股争霸,11770,15,2017-07-19 15:19:36,0.7221444631770259
->华泰证券+美国金融科技企业颠覆“金融系统”,32607,100,2016-08-29 08:37:32,0.9999687895317774
东方证券~夜梦[7股]缘者交流 只看后市牛熊,13324,19,2017-07-21 09:11:42,0.940056474790466
李志强辞任东方证券独立非执行董事等职务,10825,7,2017-08-29 18:01:35,0.6401807544323576
上证50指数2450点，东方证券的股价水平处于指数,22006,22,2017-06-15 10:20:51,0.8824267024380928
东方证券8月28日盘中涨停,7993,3,2017-08-28 10:00:42,0.09942275347267038
14元下方建仓完毕东方证券，满仓！,30405,33,2017-06-29 18:13:17,0.055937935295154784
东方证券：上半年净利同比增37% 证金公司增持逼,62699,14,2017-08-27 16:53:00,0.669007040127888
中报速递：东方证券2017年上半年盈利17.55亿元,38967,17,2017-08-27 16:20:42,0.37075958366539763
东方证券(600958)融资融券信息(08-24),3891,4,2017-08-25 07:45:41,0.8547686870672261
东方证券“14东证债”最终回售数量为0手,10366,7,2017-08-23 17:07:07,0.044287669538639496
东方证券(600958)大宗交易数据一览(08-22),19431,15,2017-08-22 18:42:25,0.3155088759243482
本周必上16不上我吃十斤屎,19439,35,2017-08-15 20:20:17,0.28933611134073345
东方证券(600958)融资融券信息(08-18),5804,21,2017-08-19 08:36:43,0.8547686870672261
东方证券将于8月28日兑付“14东证债”利息,9413,6,2017-08-18 17:34:36,0.5001304034478863
东方证券(600958)融资融券信息(08-16),5220,5,2017-08-17 07:44:29,0.8547686870672261
东方证券(600958)融资融券信息(08-11),6838,4,2017-08-12 07:47:11,0.8547686870672261
东方证券：上半年净利17.55亿元 同比增37%,30019,8,2017-07-18 18:34:06,0.6563125010588907
证监会严打再融资灰色地带 东方证券120亿定增临,30050,52,2017-02-26 05:33:29,0.5211742166836425
600958:东方证券关于非公开认购对象申能(集团),15422,9,2017-08-07 18:20:04,0.8015675349132472
600958:东方证券2017年7月财务数据简报,52679,25,2017-08-04 17:02:37,0.40627143125404364
东方证券7月净利润1.13亿元人民币,32185,7,2017-08-04 19:56:30,0.3422103265845303
60分钟看明天探底回升,13911,10,2017-08-03 15:00:32,0.03273700339940411
证券指数看今天证券仙人指路,14385,24,2017-08-01 11:31:14,0.8604242924725786
600958:东方证券2016年年度权益分派实施公告,85170,11,2017-07-26 16:29:20,0.6767344455885947
居然还在放量.放心加仓,15207,24,2017-07-20 14:31:09,0.23438034092708537
基金抱团炒个股是中国式庞氏骗局，隐患危害大95,34449,36,2016-07-22 09:34:09,0.9804709055520887
600958:东方证券关于收到《中国证监会行政许可,54531,8,2017-07-24 18:13:33,0.9083141836576942
东方证券挖出6年资深老鼠仓 6名高管年薪超400万,132459,77,2017-07-18 08:10:56,0.1321918147138479
券商资管首例夫妻档老鼠仓案告破：老江湖用近40,212440,129,2017-07-16 22:00:33,0.8427741889161009
600958:东方证券2017年半年度业绩快报公告,94127,15,2017-07-18 18:46:42,0.5424130918695761
因为不同的人对伟大卓越和优秀的表准不一样，需,6909,63,2017-07-11 11:10:37,0.24841320449565762
东方证券6月净利润按年跌83.5%至5.4亿人币,23265,8,2017-07-07 21:19:58,0.33584101808344946
东方证券母公司6月净利润环比增长2.4倍,30187,5,2017-07-07 22:31:19,0.6547245652650656
好大一根 阳棒  狠狠插入   空仓快乐姐    。看,8745,12,2017-01-03 10:37:09,0.8155480846913612
周一高开低走？冲高我就出[大笑][大笑][大笑],8868,13,2016-12-30 17:27:32,0.7895150902975252
今天新低,11617,22,2016-12-28 10:03:35,0.5258218328389576
600958:东方证券关于中国证监会受理公司非公开,35918,10,2017-06-08 16:54:48,0.6575705064832591
市场不能再遭受惊扰了！,9312,28,2017-05-27 08:37:28,0.23821543442379323
明日   大涨的  ，点赞一个,3492,12,2017-01-10 23:20:50,0.9817964372995772
老子持股一年多,5120,14,2017-01-09 14:18:57,0.6335713239391788
东方证券5月净利润环比上升8.45倍至1.58亿元,16495,7,2017-06-06 17:09:00,0.47486893405917374
600958:东方证券2016年年度股东大会决议公告,21582,6,2017-06-05 16:52:28,0.7889525690260124
温馨提示，东方证券持有首创股份大量股权，此股,13994,13,2017-04-27 15:36:01,0.4879520143434517
浦东金桥年内清仓东方证券股票,8419,16,2017-05-26 13:13:14,0.7327711241878135
（图）东方证券近期资金进出及个人想法,29736,25,2016-03-26 10:49:31,0.9868055824632881
东方证券百亿定增被指套利游戏：参与认购股东去,78917,95,2017-02-16 10:50:49,0.9764711033791682
600958:东方证券2017年度非公开发行A股股票预案,25243,6,2017-05-15 19:10:38,0.31301252423062365
东方证券拟发行不超过8亿股A股筹资不多于120亿,21494,7,2017-05-15 21:01:17,0.03952019808976992
600958:东方证券2017年4月财务数据简报,29184,7,2017-05-05 18:05:27,0.3667149084618483
本周券商反弹可期！,8156,15,2017-05-08 13:09:01,0.421874597530976
东方证券买A股不如买H股！H股才7元！,7911,23,2017-05-03 14:52:37,0.00805681961010718
老千股 东方证券。新发现的老千股。 一直自买自,10946,27,2016-10-24 09:56:39,0.49607106688332747
投资管理能力突出，A H上市蓄力迈步发展,19789,6,2017-05-03 11:05:04,0.9594394051942006
600958:东方证券2017年次级债券(第一期)发行结,10467,6,2017-04-26 19:18:31,0.16781777840204903
东方证券：一季度净利翻番 证金公司小幅增持,15968,8,2017-04-25 19:06:58,0.4066441032390291
紧急通告：立即抢购处于历史低价的金钼股份6019,52561,45,2015-12-29 11:22:50,0.9933145453270636
中国需重新考虑宏观调控 做一次杠杆乾坤大挪移,101961,37,2015-10-20 09:52:48,0.9380013810712036
东方证券(600958)大宗交易数据一览(04-21),12176,11,2017-04-21 18:23:22,0.3155088759243482
600958:东方证券2017年度第一季度业绩快报公告,24882,10,2017-04-19 19:47:46,0.7896867673972549
东方证券：一季度净利8.44亿 同比翻倍,16969,9,2017-04-19 19:54:32,0.7466657599629912
东方证券(600958)大宗交易数据一览(04-17),9185,6,2017-04-17 18:57:38,0.3155088759243482
誓死捍卫自己投票的权利[困顿][困顿][困顿][困,5106,29,2017-04-14 09:31:24,0.9614364346951847
求万人回帖涵，呼吁大家抵制东方证券的为定增高,13678,27,2017-03-28 10:21:08,0.5974082929576907
东方证券(600958)大宗交易数据一览(03-20),15035,11,2017-03-20 18:27:32,0.3155088759243482
《券商板块及ST脱帽概念要开始注意》,11169,6,2017-03-07 21:23:00,0.509854240570782
东方证券(600958)大宗交易数据一览(03-14),12355,14,2017-03-14 18:33:49,0.3155088759243482
（图）东方证券3.23解禁股东及数量一览-按数量,7833,9,2016-03-28 18:19:49,0.05380458504666863
东方证券(600958)大宗交易数据一览(03-13),13014,8,2017-03-13 19:10:37,0.3155088759243482
“我12月的所有文章对大盘很重要”,21290,19,2015-12-24 12:10:08,0.3913842680430374
东方证券(600958)大宗交易数据一览(03-07),10941,5,2017-03-07 18:19:16,0.3155088759243482
东方证券2月实现净利润约1.26亿元,14080,7,2017-03-06 17:00:06,0.17964524480465682
600958:东方证券2017年2月财务数据简报,27234,3,2017-03-06 18:03:55,0.2907235534986663
15块7以下全收   想卖的快卖呦嘿嘿嘿,13906,52,2017-02-21 14:40:58,0.02133668087935925
东方证券公司21.83建仓到3月23正式满一年，看看,11773,25,2017-02-27 14:15:37,0.2282320001514746
600958:东方证券关于召开2017年第一次临时股东,14888,13,2017-03-01 15:58:44,0.3778405307188447
600958:东方证券关于股东权益变动的提示性公告,11680,5,2017-02-28 18:36:41,0.6135990724616285
东方证券去年净利大幅下滑68.33% 定增120亿割韭,19900,116,2017-02-20 08:27:45,0.1592437169242633
东方证券股民成纤夫：股市提款300亿市值蒸发140,8451,12,2017-02-24 11:23:39,0.9651874550734292
券商定增太疯狂！东方证券拟定增120亿 申万宏源,65144,214,2017-02-13 23:14:52,0.4920722772847954
东方证券定增120亿割韭菜 三股东豪夺股民2.6亿,14684,20,2017-02-20 11:30:08,0.5281586340404119
东方证券(600958)大宗交易数据一览(02-23),13176,12,2017-02-23 18:10:08,0.3155088759243482
华鑫证券借道华鑫股份 将成最小盘券商！！！,11063,34,2017-02-02 17:37:31,0.5456350097566063
东方证券(600958)大宗交易数据一览(02-21),12346,9,2017-02-21 18:20:43,0.3155088759243482
散户们大家一起团结举报东方证券的高位减持低位,2460,2,2017-02-19 23:11:31,0.5317150011984535
东方证券就是证券股中的极品垃圾！,3950,9,2017-02-21 10:40:49,0.19898243749811273
东方证券拟定增募资120亿元 大股东认购逾2亿股,17335,8,2017-02-13 20:48:24,0.20899087375112624
啥也不说了，等着复牌数板好了，1234567.......,33360,21,2017-02-06 17:43:16,0.26243236649147816
下周复牌等着数板了,9441,14,2017-02-13 16:11:58,0.44074929095476434
东方证券拟定增募资120亿,12068,7,2017-02-14 02:30:21,0.9181290044024255
成本41块 是不是要等到下辈子解套了,8018,17,2017-01-09 16:04:54,0.3026233527039146
600958:东方证券复牌提示性公告,27787,9,2017-02-13 19:53:11,0.7042457280726417
600958:东方证券关于筹划非公开发行A股股票事项,50642,5,2017-02-10 16:49:20,0.48450344360189546
