日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-09-15,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,58,77.0,1,2,0,0
2017-05-25,0.000896446398743965,0.014177372256669672,0.038514076834448796,-7,-1.2039728043259361,0.22861078416012992,-1.384501227845332,726,757.4545454545455,11,1,3.93,1.43
2017-06-23,7.334719649561348e-05,0.003305148504969669,0.0023640672948806916,-2,-0.6931471805599453,0.1339745962155614,-1.1537120703750186,175,196.5,4,1,0.24,0.33
2017-05-28,0,0,0,-2,-0.6931471805599453,0.1339745962155614,-1.3383789215327846,834,1306.25,4,2,0,0
2016-11-27,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-1.5806682664832232,790,641.6666666666666,3,2,0,0
2017-08-26,0,0,0,-1,-0.40546510810816444,0.057190958417936644,0.05390730666848581,59,358.6666666666667,3,2,0,0
2017-06-22,0.00032753919278128975,-0.002779339507223078,0.0077220460939103185,1,0.4054651081081644,0.057190958417936644,0.22096841503946088,203,204.0,3,1,0.78,-0.28
2017-06-24,0,0,0,-2,-1.0986122886681098,1.0,-1.6094379124341003,154,578.5,2,2,0,0
2017-05-26,0.00020188607896506387,0.0007172851548067617,-0.0012195123462611433,1,0.4054651081081644,0.057190958417936644,0.09326012783506216,63,480.3333333333333,3,0,-0.12,0.07
2017-04-27,3.1018065729105894e-05,0.003603985442434694,0.001850139288161595,-1,-0.40546510810816444,0.057190958417936644,-1.4736507333844266,199,197.0,3,1,0.19,0.36
2017-06-12,0.0002445363220827975,-0.005880987627644262,-0.008484899389294842,-5,-1.791759469228055,1.0,-1.4249051037103422,203,940.2,5,0,-0.84,-0.59
2017-09-09,0,0,0,1,0.6931471805599453,1.0,1.6094379124341003,12,1947.0,1,2,0,0
2017-05-15,0.00013841344404511916,0.002176963284470877,0.010171734235218381,-2,-1.0986122886681098,1.0,-1.6940292786025584,138,719.0,2,1,1.02,0.22
2017-01-01,0,0,0,0,0.0,0.0,-1.5025538414196848,286,439.5,2,2,0,0
2017-05-14,0,0,0,1,0.4054651081081644,0.057190958417936644,1.617934663601961,310,598.0,3,2,0,0
2016-12-31,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,332,201.0,1,2,0,0
2017-05-16,4.6871052319875394e-05,0.007328520238881631,0.0018957351648991973,-2,-1.0986122886681098,1.0,-1.6947123387048373,130,190.0,2,1,0.19,0.74
2017-05-12,0.00010006346061161436,0.00716356657622197,0.008341402231089501,-1,-0.40546510810816444,0.057190958417936644,-0.07791478578989587,59,1123.6666666666667,3,1,0.84,0.72
2017-06-02,6.459058904695465e-05,0.0009406974740755004,0.0006106870418797265,-1,-0.40546510810816444,0.057190958417936644,-0.6523172764719009,67,628.3333333333334,3,1,0.06,0.09
2017-08-27,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,44,520.0,1,2,0,0
2017-04-28,2.6870411151521363e-05,0.000783275367666143,0.0,-2,-0.6931471805599453,0.1339745962155614,-0.21573158078411592,74,597.75,4,2,0.00,0.08
2017-05-10,4.82669725026737e-05,-0.009045733518730174,-0.007722046093910278,-2,-0.6931471805599453,0.1339745962155614,-1.4836153282794136,167,308.75,4,0,-0.77,-0.9
2017-05-22,8.526059033966218e-05,-0.004848938600971435,-0.010236813642286638,-1,-0.6931471805599453,1.0,-1.7047480922384253,348,368.0,1,0,-1.02,-0.48
2017-08-28,0.0017072196593142877,0.009300697294152414,0.06000668091311587,0,0.0,0.0,0.3110517057367367,106,765.1666666666666,6,1,6.18,0.93
2017-05-11,0.00019634827956481157,0.0028490653507486784,0.0025806465934914914,-5,-1.791759469228055,1.0,-1.7261731461585563,99,191.2,5,1,0.26,0.29
