日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-08-28,0.0001313909911227284,0,0,-2,-0.6931471805599453,0.1339745962155614,-0.7300856389776479,97,744.75,4,1,0.71,0.93
2017-05-24,0.00014840566912633087,0.000695393292502319,0.0010065426114014722,-2,-0.6931471805599453,0.1339745962155614,-1.732707762572815,371,277.75,4,1,0.10,0.07
2017-09-15,0,0,0,-2,-1.0986122886681098,1.0,-1.405686822152223,43,457.5,2,2,0,0
2017-07-07,5.152523182368247e-05,0.001716845408023304,0.003976148379639417,-2,-1.0986122886681098,1.0,-1.2243024300828473,73,227.5,2,1,0.40,0.17
2017-06-24,0,0,0,1,0.4054651081081644,0.057190958417936644,0.33904801367535065,52,1096.3333333333333,3,2,0,0
2016-01-25,0.00016838859781061178,0.007497810557504851,-0.001876173158227852,-2,-1.0986122886681098,1.0,-1.7339427142308823,41,193.0,2,0,-0.19,0.75
2017-04-21,0.00013111424391465518,0.0003309562301199069,0.008559253395669911,-1,-0.6931471805599453,1.0,-1.3862943611198906,46,95.0,1,1,0.86,0.03
2017-06-22,4.3949519560209216e-05,-0.002779339507223078,0.005017571991979571,5,0.9808292530117262,0.1685205807169019,1.050717275132261,292,158.77777777777777,9,1,0.50,-0.28
2017-09-21,0,0,0,0,0.0,0.0,-0.05715057491419504,26,182.0,2,2,0,0
2017-06-27,2.2763558236232517e-05,0.0018065945597103685,-0.0009945301665083472,2,1.0986122886681098,1.0,1.809628324942254,121,490.0,2,0,-0.10,0.18
2017-09-20,0,0,0,-3,-1.3862943611198906,1.0,-1.4823296915974045,84,694.6666666666666,3,2,0,0
2017-06-09,5.9813691904979306e-05,0.002558361001867015,0.006961738708798922,1,0.4054651081081644,0.057190958417936644,0.23755033433208353,80,578.0,3,1,0.70,0.26
2017-09-28,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,520.0,1,2,0,0
2017-09-27,0,0,0,0,0.0,0.0,0.5117955108435414,4,391.0,2,2,0,0
2017-09-22,0,0,0,0,0.0,0.0,0.5346864465496783,21,379.5,2,2,0,0
2017-09-19,0,0,0,-2,-1.0986122886681098,1.0,-1.5816730880653966,61,340.0,2,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,40,526.0,1,2,0,0
2017-04-22,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,102,715.0,1,2,0,0
2017-09-03,0,0,0,-2,-1.0986122886681098,1.0,-1.1403121860387517,21,2666.5,2,2,0,0
2017-08-17,6.150792373630023e-05,0.006747655642863546,0.0090772181511169,-1,-0.2231435513142097,0.010256681389212985,0.44070251991273535,108,525.8571428571429,7,1,0.91,0.68
2017-09-06,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,20,1114.0,1,2,0,0
2017-08-01,1.2753731668164984e-05,0.00597351323222333,0.00297177038915748,-2,-1.0986122886681098,1.0,-1.492069192035327,288,137.0,2,1,0.30,0.6
2017-07-29,0,0,0,-1,-0.6931471805599453,1.0,-1.5040773967762742,308,204.0,1,2,0,0
2017-01-10,6.005140792206367e-05,-0.0030223095811078705,-0.007920833491443997,-4,-1.6094379124341003,1.0,-1.4658566803950779,167,404.0,4,0,-0.79,-0.3
