标题,阅读,评论,字数,影响力,时间
小摩减持港交所及中国中铁 另增持长城汽车,41952,21,346,0.0,2017-09-01 21:29:55
27日的中国中铁开始涨三波行情，超过24元。,5338095,15020,144,4.0,2015-08-26 19:53:46
[震撼宇宙]公告现重大利好，10股有望突破大涨！,12401,13,1948,0.0,2017-09-09 17:04:26
[毛估估]公告现重大利好，10股有望突破大涨！,10556,10,1947,0.0,2017-09-09 17:11:56
中铁--全球顶级抗癌药，中国拥有自主研发产权,21796,20,2602,0.0,2017-06-24 10:42:08
中国中铁近期中标642.7亿元工程项目,14126,10,294,0.0,2017-09-27 14:07:03
8.45元买的，跌吧，看谁熬过谁。大蓝筹股、央企,42473,70,206,0.0,2017-08-23 15:06:42
中国中铁(601390)融资融券信息(09-19),5621,4,514,0.0,2017-09-20 07:47:24
中国中铁(601390)融资融券信息(09-01),8139,19,526,0.0,2017-09-02 07:55:50
中国中铁(601390)融资融券信息(09-27),6546,5,522,0.0,2017-09-28 08:01:43
跌破8.60以下的话，我将再次进场,10432,18,215,3.5,2017-09-25 16:49:36
601390:中国中铁重大工程中标公告,41373,11,1162,0.0,2017-09-26 18:40:55
中国中铁：近期中标643亿元重大工程,18552,17,192,0.0,2017-09-26 19:17:16
中国中铁中标逾642亿重大工程,10540,3,201,0.0,2017-09-27 08:04:02
中国中铁中标642.73亿元重大工程,12057,5,218,0.0,2017-09-26 21:35:33
郝鹏赴中国中铁和中国建材基层单位调研检查督导,16334,9,308,0.0,2017-09-25 16:26:34
借力资本市场 中国中铁十年营收扩大近三倍,44774,21,3474,0.0,2017-09-04 04:36:04
中国中铁：注意 盘中三方资金给出重要信号近期,12300,16,115,0.0,2017-09-03 19:45:33
中国中铁(601390)融资融券信息(09-22),6438,32,538,0.0,2017-09-23 07:47:35
实战炒股口决： 十四工作线，来回做波段；突破,74835,100,753,4.0,2017-03-25 07:40:57
中国中铁(601390)融资融券信息(09-21),5457,6,522,0.0,2017-09-22 07:46:31
21块站岗的有几个？,10958,21,130,0.0,2017-09-09 08:17:27
关注中国中铁A股（601390.SH）纳入MSCI成分股 ,12961,9,719,4.0,2017-06-29 15:23:13
业绩大幅超预期，多元化布局成果显著,30874,14,2184,0.0,2017-09-05 14:08:46
中铁：有信心全年新签订单达目标1.2万亿人民币,18818,19,667,0.0,2017-09-05 18:57:49
2017H1业绩增速超预期，非铁路基建业务高速增长,26589,14,2198,0.0,2017-09-04 16:35:11
中国中铁：全年新签订单目标1.2万亿未来海外收,22083,16,1372,0.0,2017-09-05 21:09:48
中国中铁(601390)融资融券信息(09-06),6713,4,550,0.0,2017-09-07 07:58:47
笑咯咯，业绩去年翻倍股0.99，今再翻倍超2元，,22897,28,603,4.5,2017-04-28 12:49:22
业绩大幅增长，订单充足保驾护航,33088,12,1524,0.0,2017-09-01 18:48:27
中国中铁：上半年净利同比增四成 证金公司大幅,44391,20,270,0.0,2017-08-30 20:44:42
一带一路”是政策导向 紧跟政策的步伐,54333,83,496,3.5,2017-03-16 10:05:09
中国中铁(601390)融资融券信息(08-28),3687,5,528,0.0,2017-08-29 07:56:30
601390:中国中铁董事会战略委员会议事规则(2017,39004,13,1559,0.0,2017-08-09 15:47:41
中国中铁(601390)融资融券信息(09-14),5463,7,518,0.0,2017-09-15 07:47:17
你们以什么理由来看空中国中铁?,14181,14,581,3.5,2017-08-31 17:03:04
有些居心叵测的人，认为我不发帖就没有中国中铁,22747,20,319,3.5,2017-08-23 16:12:36
中国中铁(601390)融资融券信息(09-13),5435,5,518,0.0,2017-09-14 07:46:29
[拜神]MSCI Inc.来了，漂亮50必将是永远中流砥,15906,11,1132,3.0,2017-06-21 16:11:53
[复盘]险资上半年提前“埋伏”十大公司 四季度,11000,6,1953,4.0,2017-09-09 09:48:04
中国中铁(601390)融资融券信息(09-08),8008,34,524,0.0,2017-09-09 07:46:07
中国中铁上半年净利增长超四成,14539,7,286,0.0,2017-08-31 02:58:42
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,15296,31,775,4.5,2017-03-06 20:36:05
中国中铁中期净利77.07亿元 同比增长41.1%,10759,4,232,0.0,2017-08-31 00:54:48
中国中铁上半年营收逾3000亿,21687,5,1248,0.0,2017-08-31 04:05:15
看看今晚中报的成绩单，如果成绩好，我们明天起,21121,21,162,3.5,2017-08-30 11:38:44
“股改钉子户”S佳通公布股改方案10转30,24323,7,345,0.0,2017-08-31 23:31:06
刚去上证指数发了个帖,20073,33,243,4.0,2015-08-31 02:09:33
中国中铁重振雄风，强力收复24.,62363,95,156,0.0,2017-02-20 15:29:41
铁总呼叫阿里巴巴 8000亿元投资如何分,41135,15,1139,0.0,2017-08-29 02:56:39
[加油满仓]女士们先生们朋友们！战胜内心的恐惧,8931,16,412,3.5,2017-07-23 21:57:51
来来来来……,7177,6,133,3.5,2017-08-25 15:37:04
中国中铁(601390)融资融券信息(08-25),7408,12,528,0.0,2017-08-26 10:06:46
中国中铁(601390)融资融券信息(08-24),6275,8,500,0.0,2017-08-25 07:47:15
很多时候，不要犹豫，你一犹豫，第二天你就会后,19580,29,291,3.5,2017-08-17 13:54:06
继续买入，3300点以上不会缺少中铁的,7948,4,240,3.5,2017-08-25 11:29:34
那些压盘的人，你丫的是有病吧你,7525,9,160,3.5,2017-08-25 13:39:52
通告：601958 金钼股份正创历史新低，青菜价6.7,8490,14,240,2.0,2017-06-12 14:10:35
揭穿价值投资的鬼话，如果真要价值投资，招商银,26704,40,632,3.5,2017-07-03 14:16:45
摩通增持中国中铁1178万股 每股6.009元,37539,18,215,0.0,2017-08-17 19:53:18
中国中铁(601390)融资融券信息(08-18),8956,46,522,0.0,2017-08-19 08:38:15
中国中铁(601390)融资融券信息(08-16),6224,5,516,0.0,2017-08-17 07:45:45
中铁不行了，换股马上赚回来，信者赚！,9699,25,168,3.5,2017-07-11 11:37:52
大家最近怎么样，我开始加仓了,16695,25,508,3.5,2017-07-27 17:15:18
中国中铁(601390)大宗交易数据一览(08-10),26638,7,464,0.0,2017-08-10 18:30:39
奉劝股涨guzhang啊等神经病，早点收手闭上狗嘴,14327,42,927,3.5,2017-08-11 11:43:04
特别通告：MSCI指数标的股601958 金钼股份正创,8834,7,293,1.5,2017-06-22 10:04:34
不怕死的兄弟，大家一起干，干翻它！,23504,61,144,3.5,2017-07-05 13:44:13
601390:中国中铁关于中铁二局股份有限公司向中,52608,20,1253,0.0,2017-01-13 18:57:58
开盘就卖了！少赚一个点！郁闷,4589,9,138,3.0,2017-07-14 09:47:56
中铁，终结我的一生,251077,557,230,3.0,2016-05-09 16:49:26
收到股息，股本少了，为何,14896,26,158,0.0,2017-08-04 10:20:17
中国中铁，你该启动向上冲了，加油，兄弟姐妹们,23700,40,188,3.5,2017-08-01 18:28:13
601390:中国中铁2016年年度权益分派实施公告,113262,12,1804,0.0,2017-07-30 15:04:22
你是拖累上证上涨的凶手！！！调理农务系！,4655,19,150,0.0,2017-07-05 14:14:32
铁人三项发给国企,4147,24,126,3.0,2017-07-18 14:21:22
不能顶贴，不能刷新，更新,17749,22,137,4.0,2017-06-04 15:21:07
下周美联储议息，因此我个人认为这周四周五逢高,20211,45,257,3.5,2017-07-20 13:54:31
601390:中国中铁H股公告(中国中铁股份有限公司),44151,11,1598,0.0,2017-07-19 15:44:44
中国中铁：近期累计中标332亿元工程项目,21377,7,200,0.0,2017-07-17 19:03:12
中铁上半年累计新签合同额5617亿人民币升34.5%,11338,5,181,0.0,2017-07-17 20:56:03
601390:中国中铁关于签订战略合作框架协议的公,27489,8,1078,0.0,2017-07-03 18:47:13
中国中铁与山西省政府签战略协议 共投千亿人民,13005,8,507,0.0,2017-07-27 19:52:02
中铁死叉已出现，趋势和图形不行了，快逃啊。,6300,11,205,4.0,2017-07-27 11:21:17
601390:中国中铁关于签订战略合作框架协议的公,46959,24,1092,0.0,2017-07-25 19:15:08
基金抱团炒个股是中国式庞氏骗局，隐患危害大13,26824,32,334,4.0,2016-07-22 09:03:10
中国中铁  何时才能上涨到24.50元  在线等,17412,22,89,3.0,2017-07-14 09:38:51
忍痛割肉，巨亏走人。以后再也不碰这些建设类企,4929,17,162,0.0,2017-07-06 14:39:21
买了个假股票。奶奶个熊一,2765,15,134,2.0,2017-07-06 14:08:39
托你妹的托，烦不胜烦了,21932,39,358,3.5,2017-06-20 18:38:03
中铁将发行5亿美元票据,15354,5,266,0.0,2017-07-19 09:01:21
7月9日话中铁，耐心等候，不会太久,16977,15,1090,3.5,2017-07-09 17:35:38
中国中铁：与太原市政府签订1000亿合作协议,28545,14,284,0.0,2017-07-03 19:17:45
H1新签合同维持高增，公路及轨交成为基建业务增,38124,13,2196,0.0,2017-07-21 17:36:14
混蛋今天涨停板,4210,33,124,2.5,2017-06-22 09:48:25
[牛满仓]漂亮50中国股市的心脏；沪深300中国股,6092,5,399,3.5,2017-07-16 19:32:05
交建是龙头,2197,38,120,2.5,2015-10-22 14:00:36
辛辛苦苦几十年，一战回到解放前,4281,34,140,1.0,2016-12-05 14:03:14
601390:中国中铁重大工程中标公告,47873,16,1090,0.0,2017-07-17 18:51:13
“复兴号”来了，还等什么，快上车！,9237,12,145,3.5,2017-06-25 12:32:19
铁路基建，建筑类的数中铁涨的最垃圾了,6465,12,146,2.0,2017-07-14 10:11:04
601390:中国中铁关于2016年度利润分配实施的提,83967,6,834,0.0,2017-07-13 18:53:55
中铁十局肯尼亚SIGIRI桥项目坍塌,17088,9,146,4.0,2017-06-29 10:35:50
毫不犹豫的满仓买入一一一一一一一一一一一一一,25713,66,395,3.5,2017-06-11 09:23:34
早就说过，蓝筹股，特别是国资委旗下的国企股千,4575,30,195,0.0,2017-06-21 21:44:30
帖子怎么不见了,4291,36,124,0.0,2017-06-20 17:29:34
瘟股中铁浪费人时间,4395,35,128,3.0,2017-06-21 10:28:49
勿忘国耻，振兴中华！,5576,12,291,3.5,2017-07-07 14:16:12
趋势预测：既然上证50创出新高，中铁股份就会有,11792,15,147,3.5,2017-05-25 20:11:41
一跃崛起七月中……,9286,14,151,3.5,2017-07-04 17:43:17
中国中铁(601390)大宗交易数据一览(07-03),23444,12,478,0.0,2017-07-03 18:53:38
2850必须破,885,12,124,3.0,2015-10-22 13:46:43
昨天14.2最高，今天12.25？何止一个跌停！多少,1054,10,147,2.5,2015-10-22 13:46:43
还是那句话，想挣钱，别买这样的股,1427,35,142,3.0,2015-11-12 10:56:03
致铁熊,1122,35,116,0.0,2015-11-12 10:53:10
我的第一支股票,154103,573,135,3.0,2017-01-04 11:59:24
《炒股很简单》……,10046,18,263,3.5,2017-06-26 16:07:51
中国中铁相当弱，卖出换股。,15078,62,130,1.0,2017-06-13 11:22:12
《“一代”成了百年功》,10415,18,170,3.5,2017-06-20 05:33:10
充其量就是个护盘工具,8553,52,130,0.0,2017-06-02 14:00:00
宁波港601018重大事项复牌祝中国中铁大涨,37684,38,96,4.0,2016-06-29 10:34:03
明天开始买入，有一起干的兄弟么？,22540,44,142,3.5,2017-06-14 15:16:56
连街头卖菜的老太婆都知道“一带一路”利好中国,17083,28,188,0.0,2017-05-16 16:22:34
中铁中标215亿人民币工程项目,22534,9,186,0.0,2017-04-18 09:03:04
中国中跌停板！中国中跌停板！中国中跌停板！,9787,7,747,4.0,2017-06-04 11:56:38
《中铁象好民不伤》……,7940,12,174,3.5,2017-06-18 05:49:51
进货[微笑],26259,40,118,3.5,2017-05-19 09:45:05
开始调整,4603,49,118,2.5,2017-06-02 10:34:34
中国中铁PK中国铁建：谁实力更强？   18小时前 ,11583,7,5982,4.0,2017-06-10 00:44:58
《希望尾盘涨回来》……,12357,24,185,3.5,2017-06-12 14:06:24
601390:中国中铁独立董事提名人及候选人声明,14393,6,1762,0.0,2017-06-13 18:56:39
中国中铁近期中标26个重大工程 金额达215.21亿,21720,25,263,0.0,2017-04-17 15:58:36
就没有什么不可以,4597,9,74,0.0,2017-06-12 18:29:01
“小兵、小兵”在哪里？,6382,21,215,3.5,2017-06-07 11:18:18
中国中铁(601390)融资融券信息(06-02),9146,3,544,0.0,2017-06-03 07:48:15
《朵朵鲜花送上前》……,6499,8,142,3.5,2017-06-09 15:11:37
被虐被蹂躏……,1445,20,123,2.0,2017-05-18 10:10:06
半死不活的，破产好过啦，免得到处坑人。进一个,1786,19,186,1.5,2017-05-17 22:59:47
京津冀交通一体化建设提速 多种交通方式将无缝,4190,19,510,3.5,2017-05-18 10:07:52
这几天思考许久，计划收购200个男厕女厕，谋求,6089,7,541,0.0,2017-06-06 12:17:16
咋就变成这样了 今年不,2278,19,132,0.0,2017-05-17 16:12:02
中国中铁(601390)融资融券信息(06-06),6361,4,538,0.0,2017-06-07 07:45:26
601390:中国中铁关于公司债券2017年跟踪评级结,23640,6,814,0.0,2017-05-25 19:10:11
底部十字星快买吧拉生在即啊,1750,23,13,0.0,2017-05-17 11:57:07
要崩盘了？？？？？？？,3613,5,132,3.0,2017-05-23 09:50:20
中国中铁(601390)融资融券信息(06-01),7007,5,546,0.0,2017-06-02 07:51:14
中国中铁(601390)融资融券信息(05-24),7404,4,546,0.0,2017-05-25 08:27:18
《有朝一天散股竭》,7814,6,263,3.5,2017-05-15 20:10:11
《带头》看看是这么回事！,6578,10,195,3.5,2017-05-25 14:10:52
股票群的骗术 一 2015年诈骗手法，几乎99%的QQ,51593,63,9666,3.0,2016-05-31 17:21:25
希望能一带好几路！,17347,32,324,3.0,2016-11-15 09:06:08
“一带一路”大动作，实质利好奔涨停！,14621,13,178,3.5,2017-05-14 19:01:49
《半年线~庄变我变》,6113,5,200,3.5,2017-05-26 15:05:35
《带头》,7716,10,182,3.5,2017-05-24 20:37:37
久违了 中铁[微笑],12365,16,126,3.5,2017-02-22 13:04:42
主力没走拿好,7102,31,122,2.5,2017-05-24 10:49:36
，[赞],5104,6,115,1.0,2017-05-23 00:04:27
中国中铁京一霸线开看来不算利好！怎么没有评论,3375,12,97,2.5,2017-05-23 08:22:32
金海环境，证通电子，中国中铁，发图给咨询股友,7780,5,100,4.0,2017-05-24 22:53:43
601390:中国中铁2016年现金分红说明会预告公告,97878,7,1004,0.0,2017-05-22 18:32:00
中国中铁所属各单位传来一大波好消息！ 2017-05,15745,10,3451,4.0,2017-05-21 20:38:25
今天开盘如果低开的话，可以适当买入,13480,10,206,3.5,2017-05-18 09:03:32
《找到真相也不难》,9127,24,233,3.5,2017-05-23 16:01:48
读~股民小散544~消息有感：,4863,11,214,3.5,2017-05-23 05:10:37
300576容大感光，3D曲面触摸屏龙头，三星苹果概,9051,23,178,1.5,2017-02-10 11:20:26
为什么你熊冠全球？,3950,9,284,3.5,2017-04-24 13:49:15
周线、月线、年线都是死叉！要暴跌啊！,4679,3,134,2.0,2017-05-22 13:39:08
中国中铁-又一雄安实质概念股,10780,7,232,1.0,2017-05-21 18:23:51
高铁出海首单落地，一带一路新标杆,48780,16,1374,0.0,2017-04-07 22:45:47
输出“中国标准” 中国中铁出海模式升级,23348,19,5668,0.0,2017-05-09 03:49:58
《立地成佛永不沾》,6139,29,199,3.5,2017-05-19 08:22:46
中铁21元何时能解套？各位说一下了,10018,19,144,0.0,2017-05-17 14:36:42
中队长看中铁（2017.5.13)-借助东风去远航,27817,25,1340,3.5,2017-05-13 19:03:48
如题：,8506,27,306,3.5,2017-05-16 07:59:07
《该舍就舍舍后拿》,10359,15,199,3.5,2017-05-11 20:09:22
中铁2016年第四季度2017年一季度机构减持情况,11306,50,251,3.0,2017-05-07 19:15:21
回吐,3242,10,114,3.0,2017-04-24 12:14:37
明天中字头带领大盘重返3100点。原因很简单，每,8920,12,192,3.0,2017-05-09 22:05:32
《天时地利也人和》,7604,30,251,3.5,2017-05-06 05:13:39
《现金为王终最高》,5951,26,183,3.5,2017-05-11 05:48:24
畜生公司,3487,10,118,0.0,2017-05-10 09:23:33
兄弟姐妹们，跌破8.60，大家就开始干！,17057,25,162,3.5,2017-05-08 13:21:38
明天，开始买入,28187,51,142,3.5,2017-04-27 21:54:37
雄安新区一带一路利好扎堆该涨不涨又将如何？,5429,23,225,3.0,2017-05-04 09:11:44
威震霸天发预言，今天大盘收3149点！,8286,22,213,3.5,2017-04-24 05:43:06
5月份，一带一路概念股不火，那才真是怪事,33003,31,296,3.5,2017-04-29 08:32:56
一季度基建订单大幅增长，PPP 海外战略加速执行,34380,13,1838,0.0,2017-05-03 19:48:06
数风流~中国中铁！,8267,12,294,3.5,2017-04-19 18:50:23
由于天朝的资深舵主更爱绿化！高叫不搞绿化者牢,15262,18,171,4.0,2016-12-12 19:59:49
这三针支撑能有没效?,6586,4,130,1.5,2017-05-04 16:28:32
601390:中国中铁第三届董事会第三十二次会议决,29103,5,1779,0.0,2017-04-28 23:02:03
中国中铁首季净利同比增加15.32%至26.23亿元,19342,5,306,0.0,2017-04-28 21:08:01
《水调歌头-风流》,7785,13,234,3.5,2017-04-29 06:46:06
以为启动了，9.32元买入后立即被套。有救吗？,21485,11,140,3.0,2017-04-18 14:37:21
中国中铁：一季度盈利26亿元 同比增长15%,31194,9,220,0.0,2017-04-28 21:03:48
601390:中国中铁2017年第一季度报告,41038,4,1044,0.0,2017-04-28 23:02:07
601390:中国中铁2016年年度报告,34297,7,2009,0.0,2017-03-30 23:39:15
中国中铁(601390)大宗交易数据一览(04-26),21257,12,465,0.0,2017-04-26 18:22:26
601390:中国中铁重大工程中标公告,64899,18,1113,0.0,2017-04-13 19:08:26
莫被反弹遮望眼，还是运行下通道！,8386,17,238,3.5,2017-04-25 13:11:11
中国中铁(601390)大宗交易数据一览(04-25),21015,6,479,0.0,2017-04-25 18:13:30
中国四大建筑巨头360度大PK，看看到底谁最强？,5752,7,1970,4.0,2017-04-25 03:50:46
股市之中~五行人！,8567,19,171,3.5,2017-04-21 07:41:51
改写命运的一笔，中国中铁即将上演惊天逆转！,11337,12,152,0.0,2017-04-25 12:26:42
中铁到底会不会涨？,11819,17,470,3.0,2017-04-20 09:49:00
《中铁风景这边独好》,17882,33,298,3.5,2017-04-20 10:41:44
中国中铁(601390)大宗交易数据一览(04-24),20194,6,470,0.0,2017-04-24 18:20:19
3月15日和16日一起杀进来的兄弟，还有在中铁的吗,26324,55,172,3.5,2017-04-12 18:26:26
数风流股，还看~中铁！,14848,21,281,3.5,2017-04-17 19:20:52
4.0工业革命黑科技领域凸起受惠的上市公司（转,9079,17,3117,2.5,2017-04-05 15:20:38
中国中铁(601390)大宗交易数据一览(04-19),26170,16,459,0.0,2017-04-19 19:52:18
委内瑞拉高铁成废墟，中铁75亿美元打水漂,56869,79,150,3.0,2016-12-24 23:46:57
601390:中国中铁2017年第一季度主要经营数据公,56307,6,977,0.0,2017-04-13 19:08:59
中国中铁--上市公司中唯一明确已派专家参与制定,16668,8,418,3.5,2017-04-14 19:52:53
中国中铁：周线底部蓄势，目标14元。,14958,2,391,3.5,2017-04-14 19:51:06
长看大好，短有小跌！,17188,28,137,3.5,2017-04-11 18:18:59
601390:中国中铁关于签订战略合作框架协议的公,42765,19,1096,0.0,2016-08-25 20:01:12
摩通增持中国中铁188万股  每股7.123元,30817,7,213,0.0,2017-04-13 19:57:39
洗盘结束，明天中铁将迎来天路。,17095,14,247,3.0,2017-04-13 16:24:37
中铁~风景这边独好！,18475,24,264,3.5,2017-04-10 19:41:28
还能大涨！,6309,19,126,0.0,2017-04-13 11:25:40
中国中铁拟10派0.88元,42638,9,327,0.0,2017-03-31 13:39:26
中国中铁(601390)大宗交易数据一览(04-12),31402,10,459,0.0,2017-04-12 18:15:52
9.2的中铁，有什么好担心的，继续往上干！,15313,17,188,3.5,2017-04-06 05:09:22
这是今天中铁最大的利好！,18687,4,229,3.5,2017-04-12 20:14:21
4月11日收评：沪指在3300点关前蓄势,7551,18,1343,4.0,2017-04-11 16:16:38
今日走势猜想,10492,11,278,3.0,2017-04-11 10:17:43
中国中铁参与的中印尼高铁承包商联合体,19898,9,926,0.0,2017-04-10 05:39:40
中国中铁(601390)大宗交易数据一览(04-10),29581,9,459,0.0,2017-04-10 18:44:19
分红没有亮点，但是看到十大股东里面有亮点,50555,58,280,3.5,2017-03-31 04:52:12
《跟住主力歌》,12033,32,231,3.5,2017-04-06 08:05:08
中国中铁表态：积极与雄安新区开展深度对接,24082,10,720,0.0,2017-04-07 16:44:02
中国中铁：积极与雄安新区开展深度对接,25556,9,314,0.0,2017-04-07 16:12:55
中国中铁董事长和总裁这两天一直说重度参与雄安,14072,2,127,3.0,2017-04-07 20:06:45
跌起来就是领头羊。涨的时候么就是个拖后腿的,2532,0,152,0.0,2017-04-07 10:07:51
601390:中国中铁关于重大海外项目签约的提示性,60677,20,762,0.0,2017-04-06 19:39:48
将分雄安一杯羹 中铁16年新签合同破万亿,30215,27,921,0.0,2017-04-06 16:33:03
中国中铁：联合体签署324亿元雅万高铁总承包合,21296,14,265,0.0,2017-04-06 19:44:43
中铁明天开始要板了，大家猜猜看会几板？？？？,13590,19,160,2.0,2017-04-06 20:44:52
随后中国中铁表态相关事件后，更是直接盘中大涨,5653,36,184,0.0,2017-04-06 15:00:58
雄安新区离不开中国中铁的参与，收假后基建股绝,19473,10,162,2.0,2017-04-02 15:45:23
公路及城轨推动订单创新高，未来业绩有保障,19668,4,1109,0.0,2017-04-05 08:54:39
业绩稳健增长，PPP及海外业务新签订单大幅增加,19551,7,2048,0.0,2017-04-01 17:51:29
现金流大幅流入，基建主业强化,27419,6,1896,0.0,2017-04-01 20:52:07
601390:中国中铁2016年年度报告摘要,21399,1,1595,0.0,2017-03-30 23:41:38
今日评中铁---调整心态加油干,38508,54,1008,3.5,2017-03-22 22:09:18
中国中铁：2016年净利125亿 新签合同额首破万亿,38544,9,314,0.0,2017-03-31 00:02:30
对中铁2016年效益的期待！,13902,16,236,3.5,2017-03-28 19:34:26
中铁头贴：欢迎中铁老股友回来做客讨论后市,13963,7,86,3.0,2016-08-24 18:10:18
《股市感叹》,11811,27,250,3.5,2017-03-20 20:29:45
座谈中国中铁：目前形势及个人操盘建议！！,24091,38,267,3.0,2015-11-11 14:13:01
人家都创60日新高了，就差你了！,8147,4,142,2.5,2017-03-24 14:28:26
601390:中国中铁H股公告(董事会会议召开日期),38967,7,518,0.0,2017-03-20 19:12:52
情节纯属虚构，切勿对号入座。,8948,20,138,4.0,2017-03-17 07:57:47
三官有礼  卜算子·枫叶落无声 枫叶落无声，翼断,4459,10,216,4.0,2017-03-20 16:47:01
中铁你为何还是如此之妖，该咋办？,15663,198,142,2.5,2017-03-22 14:14:06
今天已经开始干了，明天继续接着干,32470,76,228,3.5,2017-03-15 17:53:47
水调歌头·中铁几时牛 中铁几时牛，把尿问农夫。,18885,50,274,4.0,2017-02-25 21:11:35
关于英雄帖，我想补充的,16648,49,929,3.5,2017-03-13 19:30:11
