日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-09-01,0.00015056982915611272,0,0,2,1.0986122886681098,1.0,0.6931471805599453,33,935.0,2,0,-0.45,0.19
2015-08-26,0.005780141849130642,-0.012789833998954572,-0.10491793985949803,-6,-1.3862943611198906,0.3385621722338523,-1.7848782836392216,15244,204.25,8,0,-9.96,-1.27
2017-09-09,0,0,0,-1,-0.2876820724517809,0.020204102886728803,-0.5141595434692819,84,1300.4,5,2,0,0
2017-06-24,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,20,2602.0,1,2,0,0
2017-09-27,0,0,0,0,0.0,0.0,0.09699751717927052,13,247.5,2,2,0,0
2017-08-23,1.2436201422871882e-05,-0.0007692389930437725,-0.0023446669592541345,-2,-1.0986122886681098,1.0,-1.1696008504953408,90,262.5,2,0,-0.23,-0.08
2017-09-20,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,514.0,1,2,0,0
2017-09-02,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,19,526.0,1,2,0,0
2017-09-28,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,522.0,1,2,0,0
2017-09-25,0,0,0,2,1.0986122886681098,1.0,1.2131660143777343,27,261.5,2,2,0,0
2017-09-26,0,0,0,3,1.3862943611198906,1.0,0.6931471805599453,33,524.0,3,2,0,0
2017-09-04,6.722220903697061e-05,0.003693661839453739,0.005685063634608259,-2,-1.0986122886681098,1.0,-0.6931471805599453,35,2836.0,2,1,0.57,0.37
2017-09-03,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,16,115.0,1,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,32,538.0,1,2,0,0
2017-03-25,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,100,753.0,1,2,0,0
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,522.0,1,2,0,0
2017-06-29,1.6997990977679856e-05,0.004672038882317386,0.0,0,0.0,0.0,0.19683641998906914,18,432.5,2,2,0.00,0.47
2017-09-05,3.751264322801916e-05,0.0014015585020253336,-0.0011344300706117583,-3,-1.3862943611198906,1.0,-0.6931471805599453,49,1407.6666666666667,3,0,-0.11,0.14
2017-09-07,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,550.0,1,2,0,0
2017-04-28,9.297288493362607e-05,0.000783275367666143,-0.0011383040500602807,-3,-0.916290731874155,0.19999999999999996,-0.7198365456414131,51,790.4,5,0,-0.11,0.08
2017-08-30,6.877827663042717e-05,-0.0004755634773659953,0.00805064727716699,-2,-1.0986122886681098,1.0,-1.1405205168109653,41,216.0,2,1,0.81,-0.05
2017-03-16,2.2952023691645484e-05,0.008349381141158718,0.006849341845574548,1,0.4054651081081644,0.057190958417936644,1.1502475946883965,107,636.6666666666666,3,1,0.69,0.84
2017-08-29,3.8731801180141983e-05,0.0007669578311350367,-0.006904515346544487,-2,-1.0986122886681098,1.0,-0.6931471805599453,20,833.5,2,0,-0.69,0.08
2017-08-09,3.1210726837972026e-05,-0.0019214821449677264,-0.008125407443917092,1,0.6931471805599453,1.0,0.6931471805599453,13,1559.0,1,0,-0.81,-0.19
2017-09-15,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,518.0,1,2,0,0
2017-08-31,0.0001485395580287538,-0.0008387316015357838,0.009122070096577272,-5,-1.791759469228055,1.0,-0.9480155233184954,37,538.4,5,1,0.92,-0.08
2017-09-14,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,518.0,1,2,0,0
