标题,帖子数,日期,情感
持有600000浦發銀行小心，機構巨量造空，隨時跌,5178,62,2017-08-30 11:29:47,0.13901394792150046
老百姓炒股票太可怜，一点内幕消息也没有,5523,54,2017-08-30 10:03:08,0.9295771622032039
中国交建：上半年净利同比增7% 证金公司小幅加,19635,13,2017-08-29 21:32:27,0.6164837142086254
业绩及盈利能力稳健提升，境内外新签合同大幅增,15474,8,2017-09-04 11:22:53,0.3129955329430819
业绩1.7元杭州银行小盘2.6亿次新股发行价14.39,51492,91,2017-03-28 14:19:41,0.7004243411165957
实战炒股口决： 十四工作线，来回做波段；突破,62915,85,2017-04-19 07:09:30,0.986755970349184
大笑 咯咯咯咯，晨鸣三年利润之和超现公司市值,22844,48,2017-06-27 10:13:28,0.9864884233045992
交建呀！五十万股全部已经换成了陕西煤业不知对,10321,15,2017-08-02 11:56:55,0.01181272760017038
空调我们选择格力，手机我们选择华为,8491,11,2017-07-09 14:09:23,0.5030444651405629
中国交建(601800)融资融券信息(09-01),5186,9,2017-09-02 07:58:39,0.8823755923720058
中国交建半年报增7%,11074,4,2017-08-30 10:20:57,0.5402832975986934
中国交建(601800)大宗交易数据一览(08-30),16900,8,2017-08-30 18:26:16,0.3700806650652424
中国交建下属中交投资为控股项目公司5亿元贷款,7591,6,2017-08-29 22:53:04,0.8414053857828827
中报速递：中国交建2017年上半年盈利75.38亿元,13012,8,2017-08-29 21:08:08,0.42889976680151176
调整继续,16704,251,2017-07-25 20:35:40,0.4526315789473684
[加仓满仓]女士们先生们朋友们！战胜内心的恐惧,7954,16,2017-07-23 20:52:54,0.9663424499220148
8月小心，爱信不信！买卖自由！,15744,239,2017-07-13 21:50:31,0.25736941322300444
本次交易完成后预计将增加公司2016年度归属于上,17568,248,2017-07-13 19:51:01,0.05425084685776904
中国交建(601800)融资融券信息(08-25),5727,17,2017-08-26 10:07:52,0.8823755923720058
中国交建澳洲公司中标悉尼北部10亿澳元商业园区,30580,11,2017-08-17 17:43:23,0.20048118477650545
要跌停的趋势啊,7316,49,2017-05-08 11:23:25,0.44288211861861415
看好就持有！,19898,30,2017-03-20 22:46:37,0.3334073263401346
中国交建：正探索在子公司进行混改尝试,25399,10,2017-08-21 14:28:24,0.9573003673244976
今天中国交建封涨停板！,9592,15,2017-08-21 06:55:49,0.7692775745494038
601800:中国交建第一期优先股2017年股息派发实,35092,16,2017-08-20 14:02:01,0.12639892890896343
7月潜力股,15214,37,2017-07-04 09:54:59,0.2794312971907543
中国交建(601800)融资融券信息(08-18),7760,40,2017-08-19 08:38:54,0.8823755923720058
中国交建8月17日盘中涨幅达5%,9237,2,2017-08-17 13:12:15,0.05950188685882696
中国交建8月21日支付“09中交G2”的利息,10543,20,2017-08-16 20:11:33,0.132841591909316
以后到处发这个！有补充的吗？ 一个超跌的MSCI,7744,21,2017-08-13 14:48:41,0.08473118918500344
海外重大项目落地，新签合同高增,28597,11,2017-08-16 14:46:04,0.899117138258942
601800:中国交建2017年第二季度主要经营数据公,28948,2,2017-08-15 18:42:13,0.8317141156592065
今天以15.58加仓成交买入一笔中国交建，是好是,10175,5,2017-08-03 10:38:08,0.6889730336691803
中国交建(601800)融资融券信息(08-11),6580,6,2017-08-12 07:49:12,0.8823755923720058
进场: “双重改革”受益股,社保养老金标的股,6017,2,2017-07-29 12:54:34,0.9893200488469195
公告：MSCI指数标的股601958 金钼股份正创历史,7114,8,2017-06-22 10:14:17,0.9060303785296732
601800:中国交建关于控股股东拟发行可交换公司,28461,22,2017-08-07 18:36:12,0.5437730137369355
中国交建周一将进入快速上升通道。,27708,109,2017-06-11 18:36:04,0.6158009358359778
601800:中国交建第三届监事会第二十五次会议决,8361,4,2017-07-18 19:20:52,0.061800318571066604
习惯性拉稀！应该还是连续的，勿接盘,7110,68,2017-08-02 14:37:04,0.8064939827895758
7月的功课--在上影线？,11826,12,2017-07-03 09:45:05,0.5083854497029936
中国交建有望迎来超跌反弹，有掀涨停潮迹象，似,8656,12,2017-07-24 23:13:44,0.06343375711824661
601800:中国交建独立董事对关联交易事项的事前,9011,5,2017-07-18 19:20:54,0.6167714257169317
601800:中国交建2012年公司债券(5年期)本息兑付,21437,7,2017-07-30 15:04:22,0.5515706375720681
中国交建：公司及公司境外子公司拟转让振华重工,66877,9,2017-07-18 18:49:12,0.3641116946670523
价高有H没戏了不如下全转买*一路一带龙头600307,39133,116,2017-05-03 07:14:09,0.39382531915622
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,18449,31,2017-03-07 20:01:25,0.9996580281845514
国改持续推进，带动盈利估值双升,27195,4,2017-07-19 10:02:59,0.6037210107700967
