日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-03-28,0.00015741565947988696,0,0,-2,-0.6931471805599453,0.1339745962155614,-0.9381563454288591,111,485.0,4,0,-0.71,-0.43
2017-09-02,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,9,522.0,1,2,0,0
2017-09-29,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,1,494.0,1,2,0,0
2017-06-27,0.0009137422478702892,0.0018065945597103685,0.0438214442392181,1,0.6931471805599453,1.0,1.8718021769015913,56,544.0,1,1,4.48,0.18
2017-09-28,0,0,0,1,0.6931471805599453,1.0,1.6094379124341003,6,128.0,1,2,0,0
2017-09-26,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,12,239.0,1,2,0,0
2017-09-27,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,7,463.0,2,2,0,0
2017-09-12,0,0,0,0,0.0,0.0,0.2647043287948313,12,1439.5,2,2,0,0
2017-07-29,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,4,1171.0,1,2,0,0
2017-09-25,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,4,1893.0,1,2,0,0
2017-09-09,0,0,0,-2,-1.0986122886681098,1.0,-1.4723251359965392,42,1233.0,2,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,42,524.0,1,2,0,0
2017-04-19,0.0003363252171615242,-0.008172926104028503,0.0010799137118622135,-1,-0.6931471805599453,1.0,-1.791759469228055,89,753.0,1,1,0.11,-0.81
2017-09-21,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,14,720.5,2,2,0,0
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,2,522.0,1,2,0,0
2017-09-06,0,0,0,1,0.4054651081081644,0.057190958417936644,0.33571436441887154,56,676.0,3,2,0,0
2017-08-29,4.933921322151184e-05,0.0007669578311350367,-0.001233045778915089,-1,-0.40546510810816444,0.057190958417936644,-0.0004105526237475696,28,267.6666666666667,3,0,-0.12,0.08
2017-09-04,4.194042789737758e-05,0.003693661839453739,-0.0019029501460860756,-1,-0.6931471805599453,1.0,-0.6931471805599453,9,2196.0,1,0,-0.19,0.37
2017-08-02,0.0009761665890417512,-0.002304758002145359,-0.04891101739333894,-2,-1.0986122886681098,1.0,-0.6931471805599453,84,975.5,2,0,-4.77,-0.23
2017-07-09,0,0,0,1,0.6931471805599453,1.0,1.5040773967762742,12,187.0,1,2,0,0
2017-08-30,0.0001807938870700125,-0.0004755634773659953,0.0006167129396820761,-4,-1.6094379124341003,1.0,-0.6931471805599453,153,236.5,4,1,0.06,-0.05
2017-09-20,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,518.0,1,2,0,0
2017-07-13,0.0004948645273969877,0.0064280034914848206,0.012048338516174355,-1,-0.40546510810816444,0.057190958417936644,-0.14882001744811846,495,581.0,3,1,1.21,0.64
