日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-08-24,0.00020141924705156062,0,0,-3,-0.916290731874155,0.19999999999999996,0.6469258674629627,157,569.8,5,0,-1.60,-0.49
2017-09-18,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,11,120.0,1,2,0,0
2016-05-26,0.00016503818440376526,0.0026075264041188154,0.011650617219975274,-1,-0.6931471805599453,1.0,-1.791759469228055,536,1582.0,1,1,1.17,0.26
2016-09-25,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,42,130.0,1,2,0,0
2017-06-23,0.0002925353768725997,0.003305148504969669,0.007979730409643865,1,0.6931471805599453,1.0,0.6931471805599453,18,2613.0,1,1,0.80,0.33
2017-07-05,0.0006001561482337481,0.007615143694985624,0.020664942006770312,0,0.0,0.0,-0.7528501461179906,129,905.3333333333334,6,1,2.09,0.76
2017-05-28,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,220,1630.0,1,2,0,0
2017-06-26,0.0004178368655777352,0.008692677357703274,-0.011262607696881057,0,0.0,0.0,1.202816700581539,57,344.0,2,0,-1.12,0.87
2017-06-05,0.0003512558063669405,-0.004479449818967694,-0.021939380245914863,-1,-0.6931471805599453,1.0,-1.8718021769015913,40,1000.0,1,0,-2.17,-0.45
2017-09-11,0,0,0,1,0.6931471805599453,1.0,1.791759469228055,24,218.0,1,2,0,0
2017-09-27,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,534.0,1,2,0,0
2017-08-13,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,16,154.0,1,2,0,0
2017-09-09,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,44,1253.0,2,2,0,0
2017-09-19,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,15,534.0,1,2,0,0
2017-09-07,0,0,0,0,0.0,0.0,0.23126609529459793,13,369.0,2,2,0,0
2017-06-04,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,38,482.0,1,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,38,534.0,1,2,0,0
2017-03-12,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,119,715.0,1,2,0,0
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,532.0,1,2,0,0
2017-02-07,0.00021622540595072557,-0.001232950028379086,0.00918842605440617,-1,-0.6931471805599453,1.0,-1.6094379124341003,32,383.0,1,1,0.92,-0.12
2017-09-02,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,538.0,1,2,0,0
2017-05-19,6.351531353408151e-05,0.0001585562967159373,0.0,1,0.6931471805599453,1.0,0.6931471805599453,41,168.0,1,2,0.00,0.02
2017-06-02,0.00037076090831732314,0.0009406974740755004,-0.020074630812979107,0,0.0,0.0,0.8056958461432463,147,322.25,4,0,-1.99,0.09
2017-09-14,0,0,0,-3,-0.916290731874155,0.19999999999999996,-0.3693988046877118,46,192.8,5,2,0,0
2017-09-15,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,532.0,1,2,0,0
2017-03-13,4.520768824348104e-05,0.007522772686904751,0.009592399691439508,-1,-0.6931471805599453,1.0,-1.6094379124341003,21,376.0,1,1,0.96,0.76
2016-09-26,7.377929981543374e-05,-0.017781335184336725,-0.01336733432694745,-1,-0.6931471805599453,1.0,-1.8718021769015913,50,897.0,1,0,-1.33,-1.76
2017-08-25,0.0015319181804313814,0.01817700427944759,0.05729910180432526,-2,-0.40546510810816444,0.031754163448145745,-0.08546710680952259,69,1118.75,8,1,5.90,1.83
2016-03-22,0.00021032866155006738,-0.006460468852592381,-0.024494467850205287,-1,-0.6931471805599453,1.0,-1.8718021769015913,97,375.0,1,0,-2.42,-0.64
2017-08-31,0.00038515072579113196,-0.0008387316015357838,-0.004091379727031554,-1,-0.6931471805599453,1.0,-1.791759469228055,107,236.0,1,0,-0.41,-0.08
2016-07-22,7.686857514405533e-05,-0.008655287243559321,-0.00988010859970711,-1,-0.6931471805599453,1.0,-1.791759469228055,53,333.0,1,0,-0.98,-0.86
2017-09-13,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,536.0,1,2,0,0
2017-09-12,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,536.0,1,2,0,0
2017-08-17,0.00027883623832321476,0.006747655642863546,0.009888379419428146,0,0.0,0.0,0.4030339992058656,49,295.1666666666667,6,1,0.99,0.68
2017-08-11,0.00013398748433134688,-0.016447856148161306,-0.003694130540142046,-1,-0.6931471805599453,1.0,-1.6094379124341003,17,252.0,1,0,-0.37,-1.63
2017-08-21,0.0006159943783290591,0.005549442748311529,-0.016034549847256916,-1,-0.6931471805599453,1.0,-1.791759469228055,5,1294.0,1,0,-1.59,0.56
2017-07-12,0.0005338610534421465,-0.0017185946753946032,-0.014194702494561458,0,0.0,0.0,0.11661482902525291,19,199.0,2,0,-1.41,-0.17
2017-03-01,4.933921322151559e-05,0.001602796606144912,-0.004685678233335684,-1,-0.6931471805599453,1.0,-1.8718021769015913,46,777.0,1,0,-0.47,0.16
2017-09-04,0.00010985690263285633,0.003693661839453739,0.0027777795639023694,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,1648.0,1,1,0.28,0.37
2017-05-12,0.0006920138339896231,0.00716356657622197,0.026658507660390657,1,0.6931471805599453,1.0,1.6094379124341003,33,447.0,1,1,2.70,0.72
2017-08-28,0.00043489815357914633,0.009300697294152414,0.008166088251053581,2,1.0986122886681098,1.0,0.6931471805599453,15,1664.0,2,1,0.82,0.93
2016-08-09,3.0226115674754082e-05,0.007097920996198263,0.0024032696017992276,0,0.0,0.0,-0.3414153869125964,61,1299.0,2,1,0.24,0.71
2017-09-01,0.00041224271946951516,0.001875763228849927,-0.017577567850948467,1,0.6931471805599453,1.0,0.6931471805599453,3,765.0,1,0,-1.74,0.19
2017-08-29,0.0002762704217940624,0.0007669578311350367,0.01680147049742768,-2,-1.0986122886681098,1.0,-0.9733888538630423,19,2248.5,2,1,1.69,0.08
2017-08-26,0,0,0,-4,-1.6094379124341003,1.0,-0.6931471805599453,45,1756.5,4,2,0,0
2017-07-23,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,16,415.0,1,2,0,0
2017-07-17,0.001795337366981172,-0.01436526090779734,0.015371780047853783,1,0.4054651081081644,0.057190958417936644,0.7630350090047974,43,205.33333333333334,3,1,1.55,-1.43
2017-02-22,3.9784903079094663e-05,0.002422271333496166,-0.0018751177442444145,1,0.6931471805599453,1.0,1.6094379124341003,27,118.0,1,0,-0.19,0.24
2017-08-23,0.00012891131429337873,-0.0007692389930437725,0.0007122507423611964,1,0.6931471805599453,1.0,0.6931471805599453,22,2317.0,1,1,0.07,-0.08
2017-08-22,0.00013454102534022404,0.0010095574313395495,0.008227554907572253,2,1.0986122886681098,1.0,0.6931471805599453,14,185.5,2,1,0.83,0.1
2017-08-18,0.0004957556567559046,8.872367933730924e-05,0.03050658245579128,-1,-0.6931471805599453,1.0,-0.6931471805599453,14,4010.0,1,1,3.10,0.01
2017-08-19,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,31,542.0,1,2,0,0
2017-08-03,0.00019913101249956458,-0.0036993084262503355,-0.01673530245222592,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,532.0,1,0,-1.66,-0.37
2017-08-04,0.0003211983106925747,-0.0033205794542208998,-0.023983707728913655,-1,-0.40546510810816444,0.057190958417936644,-0.2639541520767791,77,1170.6666666666667,3,0,-2.37,-0.33
2017-07-14,0.00028742848620570363,0.0013228624196074475,0.008643096156020014,-1,-0.40546510810816444,0.057190958417936644,-0.9024587290093972,26,224.66666666666666,3,1,0.87,0.13
2017-07-28,7.313844619106333e-05,0.0010641210780513296,-0.013518526755020134,0,0.0,0.0,0.05727688742640113,84,1780.0,2,0,-1.34,0.11
2017-08-12,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,536.0,1,2,0,0
2017-05-02,9.332932276922689e-05,-0.003477093607484734,-0.007297900644223228,-1,-0.6931471805599453,1.0,-0.6931471805599453,80,325.0,1,0,-0.73,-0.35
2017-05-31,0.00109748774895993,0.002286728342769619,-0.017649593344110957,0,0.0,0.0,0.8842535275153599,30,213.5,2,0,-1.75,0.23
2016-03-28,0.0005529442341994158,-0.007279496544023036,-0.018636710514562945,-1,-0.6931471805599453,1.0,-0.6931471805599453,13,1066.0,1,0,-1.85,-0.73
2017-08-05,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,10,419.0,1,2,0,0
2017-06-29,0.00011648570246266737,0.004672038882317386,0.00486073120044485,-1,-0.6931471805599453,1.0,-1.7047480922384253,15,19.0,1,1,0.49,0.47
2017-07-10,0.00027570686545163686,-0.0016577020834975967,-0.011730339785489716,-1,-0.6931471805599453,1.0,-1.7047480922384253,10,168.0,1,0,-1.17,-0.17
2017-06-13,0.0001702253163986631,0.004404467510343322,-0.018093743442698956,-1,-0.6931471805599453,1.0,-1.6094379124341003,36,271.0,1,0,-1.79,0.44
2017-07-30,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,15,1171.0,1,2,0,0
2017-07-13,0.0008737383545463347,0.0064280034914848206,0.028885417904565124,-1,-0.6931471805599453,1.0,-1.8718021769015913,8,359.0,1,1,2.93,0.64
2017-08-01,0.0005686676645192275,0.00597351323222333,0.04047410792777443,-1,-0.6931471805599453,1.0,-1.7047480922384253,12,15.0,1,1,4.13,0.6
2017-07-29,0,0,0,-2,-1.0986122886681098,1.0,-1.2988912454584685,8,851.5,2,2,0,0
2017-07-27,0.00017534867279194615,0.0006494855902461546,-0.0014124296133424374,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,536.0,1,0,-0.14,0.06
2017-07-15,0,0,0,-2,-1.0986122886681098,1.0,-1.09377136568717,11,460.5,2,2,0,0
2017-07-25,0.00014575860622994077,-0.00212802403577702,-0.001060258095436096,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,540.0,1,0,-0.11,-0.21
2017-07-18,0.0005445560329865423,0.003491501858554478,-0.009879146946124502,-4,-1.6094379124341003,1.0,-1.0769940001915865,49,704.0,4,0,-0.98,0.35
2017-07-26,0.0002749932499851135,0.0012262455013185357,0.002119393234162278,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,532.0,1,1,0.21,0.12
2017-01-29,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,25,1121.0,1,2,0,0
2017-06-28,0.00012526748263325856,-0.005656479163349057,-0.016357242024771915,-1,-0.6931471805599453,1.0,-1.791759469228055,12,178.0,1,0,-1.62,-0.56
2016-07-21,5.760336334621295e-05,0.003662494554559723,0.004692641178192225,-1,-0.6931471805599453,1.0,-1.791759469228055,31,301.0,1,1,0.47,0.37
2017-07-11,0.0014958048127691457,-0.002989557487375231,0.04541320865970169,-1,-0.6931471805599453,1.0,-1.8718021769015913,17,140.0,1,1,4.65,-0.3
2017-07-06,0.00041152181707909224,0.0016543167878900564,0.014863423894109553,-1,-0.6931471805599453,1.0,-1.791759469228055,21,129.0,1,1,1.50,0.17
2015-11-18,0.00022304813201033652,-0.010129358195848988,-0.018459878114677603,0,0.0,0.0,-0.25835972358922793,148,201.5,2,0,-1.83,-1.01
2016-05-19,0.00021250187206769123,-0.00021373534658417442,-0.009194354632822118,-1,-0.6931471805599453,1.0,-1.7047480922384253,37,233.0,1,0,-0.92,-0.02
2017-05-13,0,0,0,-2,-1.0986122886681098,1.0,-1.7264164017050851,60,500.5,2,2,0,0
2017-02-02,0,0,0,1,0.6931471805599453,1.0,1.791759469228055,30,744.0,1,2,0,0
2015-08-31,0.002663972907631878,-0.008188491843987074,0.02628586227092506,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,1126.0,1,1,2.66,-0.82
2017-07-03,0.00017645953350802897,0.0010894850130779528,-0.009683502111164892,-1,-0.6931471805599453,1.0,-0.6931471805599453,11,5430.0,1,0,-0.96,0.11
2017-06-20,0.000455845640582726,-0.0013875674925899115,-0.021987097766778943,-1,-0.6931471805599453,1.0,-0.6931471805599453,9,305.0,1,0,-2.17,-0.14
2015-08-17,0.0005625489042029963,0.007121527773478752,-0.0344049867094292,1,0.6931471805599453,1.0,1.7047480922384253,49,176.0,1,0,-3.38,0.71
2017-06-16,7.192316314233879e-05,-0.002979703786886865,-0.011487989969190404,1,0.6931471805599453,1.0,0.6931471805599453,11,158.0,1,0,-0.26,-0.3
2017-05-20,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,32,191.0,1,2,0,0
2017-06-11,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,1753.0,1,2,0,0
2017-05-26,0.0003850949377422142,0.0007172851548067617,-0.002795249898304512,0,0.0,0.0,0.5079993726984603,30,418.5,2,0,-0.28,0.07
2017-01-11,0.00041551012478670946,-0.00791313695689723,0.01939502711495497,-1,-0.6931471805599453,1.0,-1.791759469228055,85,443.0,1,1,1.96,-0.79
2017-06-08,0.0007577826782778076,0.0031825036995264894,0.03608178509745055,-2,-1.0986122886681098,1.0,-1.5753930604078046,37,128.5,2,1,3.67,0.32
2017-06-07,0.00022422419173112598,0.012235733233255336,-0.004717845803991763,1,0.6931471805599453,1.0,0.6931471805599453,19,158.0,1,0,-0.47,1.23
2017-06-01,0.00040867292555128715,-0.0046818311185896225,0.021142436573809383,1,0.6931471805599453,1.0,0.6931471805599453,70,124.0,1,1,2.14,-0.47
2017-05-25,0.0009707923679771454,0.014177372256669672,0.0431362544444861,0,0.0,0.0,-0.5153633513481288,41,132.0,2,1,4.41,1.43
2017-05-10,0.0009639258223048287,-0.009045733518730174,0.03492001134360066,-2,-1.0986122886681098,1.0,-1.0364373379007341,21,223.5,2,1,3.55,-0.9
2017-05-24,0.0005548115838144587,0.000695393292502319,-0.017335212001545787,0,0.0,0.0,-0.4547235896350209,43,66.5,2,0,-1.72,0.07
2017-05-18,0.0002127923249268201,-0.004616947525676165,-0.0019036746659015303,1,0.6931471805599453,1.0,0.6931471805599453,12,959.0,1,0,-0.19,-0.46
2017-04-27,0.00031545599852505536,0.003603985442434694,0.02058724875659763,-1,-0.6931471805599453,1.0,-1.3862943611198906,67,75.0,1,1,2.08,0.36
2015-11-16,0.00010630263293360658,0.0072679025506197864,-0.005669752962948961,1,0.6931471805599453,1.0,1.8718021769015913,233,216.0,1,0,-0.57,0.73
2015-11-17,0.0007740742202921896,-0.0005990216159685552,0.010252873976665473,0,0.0,0.0,0.5545521970096594,161,179.0,2,1,1.03,-0.06
2016-08-17,9.208366601153132e-05,-0.00015435076241336168,-0.0027334868956604866,1,0.6931471805599453,1.0,1.7047480922384253,40,346.0,1,0,-0.27,-0.02
2016-04-07,0.0004709639267570904,-0.013919990534526,-0.019953962832574605,1,0.6931471805599453,1.0,1.791759469228055,102,96.0,1,0,-1.98,-1.38
2016-12-30,0.00023042301369100108,0.002432361265943153,0.010851525516129355,1,0.6931471805599453,1.0,1.791759469228055,166,125.0,1,1,1.09,0.24
2017-03-23,0.00014223973350904287,0.001025598471115983,0.005714301263438635,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,181.0,1,1,0.57,0.1
2016-01-22,0.0005008824548112287,0.012447892676915557,-0.002244669853823862,-1,-0.6931471805599453,1.0,-1.5040773967762742,38,294.0,1,0,-0.22,1.25
