标题,阅读,评论,字数,影响力,时间
你的走势很牛！明天放量跌停更牛！[胜利][胜利],25110,152,154,3.0,2017-07-12 14:44:44
乘用车电机控制龙头随行业腾飞 _______________,8380,28,1064,4.5,2017-08-31 16:52:10
太保--全球顶级抗癌药，中国拥有自主研发产权,15621,22,2613,0.0,2017-06-23 20:06:33
太保--全球顶级抗癌药，中国拥有自主研发产权,10815,20,2593,0.0,2017-07-26 23:53:01
截止2017年7月12日上证50流通市值12.7万亿、上,14414,18,311,3.0,2017-07-13 14:15:07
=华泰证券第一梯队大券商绩优成长，收购美国金,75185,261,174,3.0,2017-05-23 10:55:05
咯咯咯大笑 连续4年业绩翻倍，三年利润之和将超,26834,75,561,4.5,2017-07-05 09:06:13
哈哈哈 疯狂抢盘啦 大笑 咯咯咯咯，晨鸣三年利,22868,47,552,4.5,2017-06-26 14:30:55
宁波港祝贺中国太保,22492,51,145,1.0,2017-06-13 10:29:36
财神到，本周突破40耐心持有[牛][牛][牛],3733,2,147,3.0,2017-09-12 15:42:34
2017年中国最大也是建国至今中国最大的海外并购,2746,1,513,3.0,2017-09-12 12:23:32
大笑 大笑 笑眯眯的翻倍股 晨鸣 季报隐藏业绩核,19665,41,1001,4.5,2017-06-05 21:14:13
大笑 大笑 笑眯眯的翻倍股 晨鸣 季报隐藏业绩核,16984,34,1001,4.5,2017-06-06 09:43:21
出保险进券商！广发证券要称王！券商飞！,6461,14,148,4.0,2017-05-15 09:54:28
太保又东山再起,3060,1,124,3.0,2017-09-12 11:15:15
太保/分享 皇城金枝玉叶 却是贱奴使女身价,8816,23,218,4.0,2017-09-11 09:50:23
中国太保(601601)融资融券信息(09-26),5878,5,534,0.0,2017-09-27 07:59:10
新加坡政府投资减持中国太保778万股 涉资2.89亿,10243,17,223,0.0,2017-09-04 19:20:02
立贴为证：大国崛起大牛市启动:第一目标剑指340,23473,51,465,3.0,2017-04-02 10:08:27
中国太保(601601)融资融券信息(09-22),6363,28,534,0.0,2017-09-23 07:47:47
实战炒股口决： 十四工作线，来回做波段；突破,59173,93,753,4.0,2017-03-31 08:40:00
