日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-07-12,0.0009408710520550569,0,0,-2,-0.6931471805599453,0.1339745962155614,-1.2344289877729668,170,486.75,4,0,-2.98,-0.17
2017-08-31,0.00039219506817640584,-0.0008387316015357838,-0.0020909573744733153,-1,-0.40546510810816444,0.057190958417936644,-0.33557552362941206,147,488.3333333333333,3,0,-0.21,-0.08
2017-06-23,0.00014836972982343823,0.003305148504969669,0.0012037317132078528,1,0.6931471805599453,1.0,0.6931471805599453,22,2613.0,1,1,0.12,0.33
2017-07-26,0.0004199107149413693,0.0012262455013185357,-0.006671525833022856,1,0.6931471805599453,1.0,0.6931471805599453,20,2593.0,1,0,-0.66,0.12
2017-07-13,0.00022460467279225932,0.0064280034914848206,0.01867065581020166,-4,-1.6094379124341003,1.0,-1.5887084697638656,46,600.75,4,1,1.88,0.64
2017-05-23,0.00034152017192737267,-0.004474047116847419,0.01456336418789651,0,0.0,0.0,-1.2973199997646514,318,254.0,2,1,1.47,-0.45
2017-07-05,0.0013789475740167605,0.007615143694985624,0.0414628535350725,0,0.0,0.0,-1.1234658305304135,103,548.75,4,1,4.23,0.76
2017-06-26,0.0005449765758774595,0.008692677357703274,0.011661068002884183,-1,-0.40546510810816444,0.057190958417936644,-1.045267584173606,60,472.3333333333333,3,1,1.17,0.87
2017-06-13,0.0002593639099264381,0.004404467510343322,0.0018309434471091147,0,0.0,0.0,0.8984077966825956,54,341.5,2,1,0.18,0.44
2017-09-12,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.48731808398748827,4,261.3333333333333,3,2,0,0
2017-06-05,0.0003978396974917454,-0.004479449818967694,-0.02353049741019416,-1,-0.6931471805599453,1.0,-1.8718021769015913,41,1001.0,1,0,-2.33,-0.45
2017-06-06,0.00015490920487639122,0.003380808833544056,0.004750602758597799,-1,-0.6931471805599453,1.0,-1.8718021769015913,34,1001.0,1,1,0.48,0.34
2017-05-15,0.00033917057476617256,0.002176963284470877,-0.007617765370107596,-2,-1.0986122886681098,1.0,-1.188126258934133,21,199.5,2,0,-0.76,0.22
2017-09-11,0,0,0,0,0.0,0.0,0.5767741902594464,34,152.0,4,2,0,0
2017-09-27,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,534.0,1,2,0,0
2017-09-04,0.00015817650539645738,0.003693661839453739,-0.009981695694229183,-3,-1.3862943611198906,1.0,-0.7459252680748125,41,288.6666666666667,3,0,-0.99,0.37
2017-04-02,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,51,465.0,1,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,28,534.0,1,2,0,0
2017-03-31,0.000107103148709648,0.003814858304950817,0.013585668841677931,-1,-0.6931471805599453,1.0,-1.791759469228055,93,753.0,1,1,1.37,0.38
2017-03-14,6.018076292590992e-05,0.0007133648113400188,0.002513917646449714,-1,-0.6931471805599453,1.0,-1.791759469228055,116,718.0,1,1,0.25,0.07
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,532.0,1,2,0,0
2016-10-18,0.00019299933764002365,0.013946234641883621,0.023156382877987436,-1,-0.6931471805599453,1.0,-0.6931471805599453,52,420.0,1,1,2.34,1.4
2017-02-08,6.591333368713958e-05,0.00439552801271647,-0.009908078224696075,0,0.0,0.0,-1.0032311769445719,207,169.0,2,0,-0.99,0.44
2017-05-16,7.681516447781398e-05,0.007328520238881631,-0.002784547570183008,-1,-0.6931471805599453,1.0,-1.6094379124341003,27,418.0,1,0,-0.28,0.74
2017-08-30,0.0008563757776095084,-0.0004755634773659953,-0.0033885083901523034,0,0.0,0.0,-0.8145314564937346,12,1273.0,2,0,-0.34,-0.05
2017-08-10,0.0005064683912508296,-0.004228038580808216,-0.007009374492576277,-1,-0.6931471805599453,1.0,-1.7047480922384253,48,164.0,1,0,-0.70,-0.42
2017-09-20,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,2,532.0,1,2,0,0
2017-09-07,0,0,0,0,0.0,0.0,0.5109413913049019,23,319.0,2,2,0,0
2017-09-18,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.1919591086358956,49,249.0,3,2,0,0
2017-04-28,0.00011735231329874836,0.000783275367666143,-0.00036029544616032527,-1,-0.6931471805599453,1.0,-1.8718021769015913,25,603.0,1,0,-0.04,0.08
2017-09-15,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,532.0,1,2,0,0
2017-09-14,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,1787.0,1,2,0,0
2017-09-13,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,11,274.0,1,2,0,0
2016-03-22,0.000123029470042334,-0.006460468852592381,-0.005390848634876423,-1,-0.6931471805599453,1.0,-1.8718021769015913,110,375.0,1,0,-0.54,-0.64
2017-06-07,0.0009302460370801901,0.012235733233255336,0.03721359634043427,-2,-1.0986122886681098,1.0,-1.2281674578948434,69,274.5,2,1,3.79,1.23
2017-09-09,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,65,2020.0,2,2,0,0
2017-08-11,0.00040058432827672,-0.016447856148161306,-0.0038173589154535483,1,0.6931471805599453,1.0,1.6094379124341003,47,136.0,1,0,-0.38,-1.63
2017-07-30,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,75,144.0,1,2,0,0
2017-09-05,0.001108884656808165,0.0014015585020253336,0.045667679762979474,-2,-1.0986122886681098,1.0,-0.9786025765183528,18,307.0,2,1,4.67,0.14
2017-03-01,3.021330387178019e-05,0.001602796606144912,-0.004398834072483513,-1,-0.6931471805599453,1.0,-1.8718021769015913,48,775.0,1,0,-0.44,0.16
2017-09-06,0,0,0,1,0.6931471805599453,1.0,1.0986122886681098,11,170.0,1,2,0,0
2017-08-07,0.0004775803960706961,0.005313745966537152,0.018274620243481542,1,0.6931471805599453,1.0,1.6094379124341003,10,277.0,1,1,1.84,0.53
2017-05-24,0.000574808510743142,0.000695393292502319,-0.00725517088117191,2,0.6931471805599453,0.1339745962155614,0.13739682530437713,81,321.25,4,0,-0.72,0.07
2017-05-22,0.0006372402670171254,-0.004848938600971435,0.027981283643804655,0,0.0,0.0,-0.3796100280275744,60,402.25,4,1,2.84,-0.48
2017-06-02,0.0002498029049588702,0.0009406974740755004,-0.02266479018157891,0,0.0,0.0,-0.050712059743779674,45,387.5,2,0,-2.24,0.09
2017-09-02,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,12,530.0,1,2,0,0
2017-08-27,0,0,0,-3,-1.3862943611198906,1.0,-0.6931471805599453,38,638.0,3,2,0,0
2017-08-28,0.0004231788070363042,0.009300697294152414,0.029394410744128612,-3,-1.3862943611198906,1.0,-0.9960898045117682,39,920.6666666666666,3,1,2.98,0.93
2015-11-18,0.00012792374868725586,-0.010129358195848988,-0.00037828636728770863,0,0.0,0.0,0.2883669805296492,45,223.0,2,0,-0.04,-1.01
2017-07-17,0.0008204610259415076,-0.01436526090779734,0.010146648495743312,3,1.3862943611198906,1.0,1.0340088229956463,37,417.6666666666667,3,1,1.02,-1.43
2017-08-26,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,23,538.0,1,2,0,0
2017-06-12,0.0007061660807939779,-0.005880987627644262,0.020053116821223287,2,1.0986122886681098,1.0,1.58842648076538,21,236.0,2,1,2.03,-0.59
2017-08-21,6.11945704927087e-05,0.005549442748311529,-0.003858143975578039,1,0.6931471805599453,1.0,0.6931471805599453,10,524.0,1,0,-0.39,0.56
2017-08-19,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,35,532.0,1,2,0,0
2016-11-20,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,42,63.0,1,2,0,0
2017-08-17,0.000275395539617277,0.006747655642863546,-0.018840710384092182,0,0.0,0.0,0.19183834454716828,12,434.5,2,0,-1.87,0.68
2017-08-12,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,538.0,1,2,0,0
2017-06-22,0.0007283446602244284,-0.002779339507223078,0.029953339561308863,1,0.6931471805599453,1.0,1.252762968495368,10,293.0,1,1,3.04,-0.28
2016-09-22,0.00030100926384879175,0.005418441846653067,0.016388212457911038,-1,-0.6931471805599453,1.0,-1.791759469228055,14,122.0,1,1,1.65,0.54
2017-01-29,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,26,1121.0,1,2,0,0
2017-07-14,0.0002139045588934065,0.0013228624196074475,0.004542881180299884,0,0.0,0.0,0.05227395833294296,23,780.0,2,1,0.46,0.13
2015-12-25,0.0003846908934923493,0.004259439620331653,0.01993421490081711,0,0.0,0.0,0.6083006164191032,8,1037.0,2,1,2.01,0.43
2015-12-18,0.00017223980238701553,-0.00029054499740638356,0.0025121132895204387,1,0.6931471805599453,1.0,0.6931471805599453,14,447.0,1,1,0.25,-0.03
2017-07-15,0,0,0,0,0.0,0.0,0.6287168154700249,17,397.5,2,2,0,0
2017-07-25,0.0003262379813462872,-0.00212802403577702,-0.0005780346981753876,0,0.0,0.0,0.4916748630411538,7,307.5,2,0,-0.06,-0.21
2017-05-13,0,0,0,-1,-0.6931471805599453,1.0,-1.8718021769015913,58,483.0,1,2,0,0
2017-05-19,0.00011625924238878024,0.0001585562967159373,0.00035925992841950486,-1,-0.6931471805599453,1.0,-1.6094379124341003,20,379.0,1,1,0.04,0.02
2017-07-29,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,538.0,1,2,0,0
2016-07-22,0.0001748715375465839,-0.008655287243559321,-0.012832440069884361,-2,-1.0986122886681098,1.0,-1.7283243856070012,67,225.5,2,0,-1.28,-0.86
2017-07-07,0.00024015675589713552,0.001716845408023304,-0.004312210218179954,-1,-0.6931471805599453,1.0,-1.791759469228055,10,234.0,1,0,-0.43,0.17
2017-06-09,0.0006154210732303214,0.002558361001867015,0.02748554003447962,-1,-0.2876820724517809,0.020204102886728803,0.19355305025082056,58,748.6,5,1,2.79,0.26
2017-07-06,0.0006431991860780039,0.0016543167878900564,0.011250659563100876,-1,-0.6931471805599453,1.0,-1.791759469228055,5,1203.0,1,1,1.13,0.17
2017-07-08,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,84.0,1,2,0,0
2017-07-04,0.0003383888798704338,-0.004110554786029235,-0.004224508394953797,1,0.6931471805599453,1.0,0.6931471805599453,41,124.0,1,0,-0.42,-0.41
2017-06-14,0.0006187655731360654,-0.0073420109867147814,-0.03442734168726853,-2,-0.6931471805599453,0.1339745962155614,-0.564625662805264,22,725.25,4,0,-3.38,-0.73
2017-02-02,0,0,0,1,0.6931471805599453,1.0,1.791759469228055,27,744.0,1,2,0,0
2017-06-28,0.0001784465665309154,-0.005656479163349057,-0.027554902970011168,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,536.0,1,0,-2.72,-0.56
2017-07-11,0.0003210704186912467,-0.002989557487375231,0.014449890181059223,-1,-0.6931471805599453,1.0,-0.6931471805599453,10,262.0,1,1,1.46,-0.3
2017-04-29,0,0,0,-3,-1.3862943611198906,1.0,-0.6931471805599453,48,1048.3333333333333,3,2,0,0
2017-06-24,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,4,214.0,1,2,0,0
2016-10-28,0.00014472033512220766,-0.002599484784313341,0.005803054346081506,-1,-0.6931471805599453,1.0,-0.6931471805599453,15,975.0,1,1,0.58,-0.26
2017-04-18,0.0006558083458288394,-0.007932889699732989,-0.035601846067438096,1,0.1823215567939546,0.006192010000093506,0.109928767332642,248,214.33333333333334,9,0,-3.50,-0.79
2017-05-18,0.00012039370964031255,-0.004616947525676165,-0.008943003619810964,-2,-1.0986122886681098,1.0,-1.5307398509211843,22,151.0,2,0,-0.89,-0.46
2017-04-17,7.039343662432693e-05,-0.00738998824058912,-0.005625366418868669,2,1.0986122886681098,1.0,0.6931471805599453,31,299.5,2,0,-0.56,-0.74
2017-04-24,0.00018092889472113574,-0.01384195182444036,0.013408022094433375,-2,-0.40546510810816444,0.031754163448145745,-0.22662432847977515,181,567.125,8,1,1.35,-1.37
2017-06-16,0.00010041271703095742,-0.002979703786886865,0.0037998779097748424,-1,-0.6931471805599453,1.0,-1.7047480922384253,4,144.0,1,1,0.38,-0.3
2017-03-29,0.0001856912332927607,-0.003584707869602922,-0.0160182229168011,-3,-0.916290731874155,0.19999999999999996,-0.4418596984675024,68,882.8,5,0,-1.59,-0.36
2017-05-25,0.0005903698526368283,0.014177372256669672,0.031065819574890532,-1,-0.6931471805599453,1.0,-1.791759469228055,12,198.0,1,1,3.16,1.43
2017-03-28,4.714419005547673e-05,-0.004297611949581574,0.0011092624542857557,1,0.6931471805599453,1.0,0.6931471805599453,54,123.0,1,1,0.11,-0.43
2017-04-19,0.00010555994522830506,-0.008172926104028503,0.0031128429804901034,-3,-0.916290731874155,0.19999999999999996,-0.7675839556450565,121,223.6,5,1,0.31,-0.81
2017-06-10,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,3,295.0,1,2,0,0
2017-04-12,0.00010037760114974434,-0.004613892502698677,0.005169878575420087,-6,-0.916290731874155,0.1339745962155614,-0.3981201998080779,267,684.1666666666666,12,1,0.52,-0.46
2016-01-22,0.0004956988768310918,0.012447892676915557,0.0012549677447129483,-1,-0.6931471805599453,1.0,-1.3862943611198906,67,294.0,1,1,0.13,1.25
2016-12-14,4.846076814433377e-05,-0.004609598715556467,-0.0026578088735210574,1,0.6931471805599453,1.0,0.6931471805599453,16,456.0,1,0,-0.27,-0.46
2017-04-20,0.00018074736774482806,0.0004445993082622114,0.014272180543056923,0,0.0,0.0,0.26856175164379115,93,255.0,4,1,1.44,0.04
2017-05-17,0.0003090818155512603,-0.0027406971831017367,-0.021491050835663137,1,0.6931471805599453,1.0,0.6931471805599453,4,189.0,1,0,-2.13,-0.27
