日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-03-24,0.0034476496432890875,0,0,-3,-0.40546510810816444,0.026991489178960215,-0.47706872905312875,3006,562.3076923076923,13,1,7.55,0.64
2016-12-18,0,0,0,2,0.5108256237659907,0.057190958417936644,-0.3233547060961621,553,558.3333333333334,6,2,0,0
2016-12-21,0.0002664827497944852,0.01107328098624781,0.014747856634555679,0,0.0,0.0,0.6583587217525267,1236,832.8333333333334,6,1,1.49,1.11
2017-05-17,3.4629657392690336e-05,-0.0027406971831017367,-0.0010863662122210741,-2,-0.40546510810816444,0.031754163448145745,0.5461829244128852,5531,302.75,8,0,-0.11,-0.27
2017-05-14,0,0,0,-5,-1.791759469228055,1.0,-0.878792267196004,222,408.8,5,2,0,0
2017-09-19,0,0,0,-4,-1.6094379124341003,1.0,-1.118389680668998,89,613.5,4,2,0,0
2017-07-19,0.00014664390510527769,0.013526625761433873,-0.0009592326874602331,-3,-0.916290731874155,0.19999999999999996,-1.4123691924490502,316,228.4,5,0,-0.10,1.36
2017-01-04,0.00023955312648530234,0.007266450918439817,0.011210879749216895,-1,-0.2231435513142097,0.010256681389212985,-0.8445900996920928,394,485.0,7,1,1.13,0.73
2017-09-29,0,0,0,-2,-1.0986122886681098,1.0,-1.0196214811406648,20,350.0,2,2,0,0
2017-08-16,0.00014720877268361692,-0.0014805218695833238,-0.012109128789749563,-1,-0.40546510810816444,0.057190958417936644,0.9263887680382863,294,617.6666666666666,3,0,-1.20,-0.15
2017-09-20,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,18,111.0,1,2,0,0
2017-09-09,0,0,0,0,0.0,0.0,0.5522695101654544,117,1201.5,4,2,0,0
2017-09-01,0.00037995916311030464,0.001875763228849927,-0.019202206983935818,-1,-0.2231435513142097,0.010256681389212985,-0.21340849040331794,288,340.7142857142857,7,0,-1.90,0.19
2017-06-09,0.0008691479590596905,0.002558361001867015,0.027765279719197056,-1,-0.2231435513142097,0.010256681389212985,0.09871357224659033,321,440.85714285714283,7,1,2.82,0.26
2017-09-11,0,0,0,-2,-1.0986122886681098,1.0,-1.486700903923035,51,235.5,2,2,0,0
2017-09-18,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,66,443.0,2,2,0,0
2016-11-13,0,0,0,0,0.0,0.0,-0.6797405224082799,859,191.0,2,2,0,0
2017-09-15,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.8884155210845023,112,280.6666666666667,3,2,0,0
2016-02-06,0,0,0,1,0.6931471805599453,1.0,1.791759469228055,840,280.0,1,2,0,0
2017-09-14,0,0,0,-2,-1.0986122886681098,1.0,-1.7533964747227286,89,270.0,2,2,0,0
2017-09-25,0,0,0,4,1.6094379124341003,1.0,0.8617347263666336,131,320.75,4,2,0,0
2017-08-24,6.029054389649314e-05,-0.00493658013051556,0.0,-2,-0.6931471805599453,0.1339745962155614,-0.6609286964504216,94,959.25,4,2,0.00,-0.49
2017-08-15,3.6140222665886085e-05,0.004284430668697165,0.0,-1,-0.40546510810816444,0.057190958417936644,-0.5794949755548153,111,360.6666666666667,3,2,0.00,0.43
2017-08-31,0.00020367379555770245,-0.0008387316015357838,-0.023739987303072942,-1,-0.6931471805599453,1.0,-1.5040773967762742,81,249.0,1,0,-2.35,-0.08
2017-06-03,0,0,0,2,1.0986122886681098,1.0,1.474078582920385,85,160.0,2,2,0,0
2017-09-22,0,0,0,-3,-1.3862943611198906,1.0,-1.480094681446788,50,291.0,3,2,0,0
2017-09-26,0,0,0,0,0.0,0.0,-0.9902653034382153,13,186.5,2,2,0,0
2017-09-24,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,12,387.0,1,2,0,0
2017-06-22,0.0005548115838144587,-0.002779339507223078,0.012793351459909322,-6,-1.3862943611198906,0.3385621722338523,-0.5962598235752541,108,529.625,8,1,1.29,-0.28
2017-09-23,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,64,399.0,2,2,0,0
2017-08-28,0.0003060159181462556,0.009300697294152414,-0.0038986404156571976,1,0.4054651081081644,0.057190958417936644,0.48145205565455595,69,698.3333333333334,3,0,-0.39,0.93
2017-09-05,3.7478659950037567e-05,0.0014015585020253336,-0.0010209291341073447,-3,-0.916290731874155,0.19999999999999996,-0.3883924310643951,69,262.0,5,0,-0.10,0.14
2017-04-06,0.002691912592022869,0.0032634723399130087,0.05733402188324821,-4,-0.587786664902119,0.057190958417936644,-0.14680518983780524,359,611.25,12,1,5.90,0.33
2017-06-11,0,0,0,0,0.0,0.0,0.1452524031826709,423,543.0,4,2,0,0
2017-08-10,0.00011780521669575455,-0.004228038580808216,0.0030105391528712842,-2,-0.6931471805599453,0.1339745962155614,-0.3594094178607605,283,274.75,4,1,0.30,-0.42
2017-09-13,0,0,0,-3,-1.3862943611198906,1.0,-1.0971038120136862,50,380.0,3,2,0,0
2017-03-16,7.916311750837662e-05,0.008349381141158718,0.0,1,0.11778303565638346,0.0022246968602822603,0.07995774761855852,203,177.13333333333333,15,2,0.00,0.84
2017-09-21,0,0,0,0,0.0,0.0,-0.1421769359061121,7,339.0,2,2,0,0
2017-08-02,0.00046147652220894736,-0.002304758002145359,-0.029015575173572446,-2,-1.0986122886681098,1.0,-0.8610583673183421,31,724.5,2,0,-2.86,-0.23
2017-09-12,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,27,501.5,2,2,0,0
2017-06-08,8.796704045522713e-05,0.0031825036995264894,-0.008307420569856117,0,0.0,0.0,-0.7590222936594601,132,761.0,2,0,-0.83,0.32
2016-11-04,0.0008059931936896946,-0.0011576111016339138,0.040614719154190126,1,0.08004270767353636,0.0009456266890385256,0.06096810308486199,776,258.04347826086956,23,1,4.15,-0.12
2016-12-01,0.0008241928196378524,0.0071374782950124165,-0.027626066274931152,-6,-0.262364264467491,0.00934114919530149,-0.08421377261940632,1590,427.59090909090907,44,0,-2.72,0.72
2016-07-23,0,0,0,-1,-0.6931471805599453,1.0,-1.5040773967762742,321,246.0,1,2,0,0
2017-08-11,0.0003104698988434734,-0.016447856148161306,-0.020243606276646772,0,0.0,0.0,0.539377384040297,312,721.5,4,0,-2.00,-1.63
2017-08-30,0.00010088297245446654,-0.0004755634773659953,0.0029368596733099273,1,0.6931471805599453,1.0,1.0986122886681098,41,741.0,1,1,0.29,-0.05
2017-09-02,0,0,0,0,0.0,0.0,0.6876342214122229,45,458.5,2,2,0,0
2017-03-22,0.00030239127291166847,-0.005037794029957293,0.003353832098431458,-2,-0.40546510810816444,0.031754163448145745,-0.07477104996942428,205,217.25,8,1,0.34,-0.5
