日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-09-15,0,0,0,-3,-0.6931471805599453,0.09649209709474871,-0.35113538407225553,164,549.8571428571429,7,2,0,0
2017-09-20,0,0,0,-4,-1.6094379124341003,1.0,-0.8333342713080794,50,507.5,4,2,0,0
2017-09-26,0,0,0,-3,-1.3862943611198906,1.0,-0.6931471805599453,34,246.33333333333334,3,2,0,0
2017-09-11,0,0,0,-1,-0.15415067982725836,0.004140804536061582,-0.02062610963283227,221,682.0909090909091,11,2,0,0
2017-09-12,0,0,0,-4,-0.8472978603872037,0.1339745962155614,-0.5063863001143348,97,423.625,8,2,0,0
2017-09-29,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,20,239.0,1,2,0,0
2017-09-28,0,0,0,-2,-0.5108256237659907,0.057190958417936644,-0.9019992420185573,91,225.33333333333334,6,2,0,0
2017-09-30,0,0,0,0,0.0,0.0,0.6544245051299914,39,210.0,2,2,0,0
2017-10-03,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,8,220.0,1,2,0,0
2017-07-28,3.7080702791934726e-05,0.0010641210780513296,0.0,2,1.0986122886681098,1.0,0.6931471805599453,377,915.0,2,2,0.00,0.11
2017-09-03,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,54,149.0,1,2,0,0
2017-09-27,0,0,0,0,0.0,0.0,0.23474219435263688,30,1914.0,2,2,0,0
2016-06-16,0.0010976491400568318,-0.004996512149187915,0.02342713289514015,-1,-0.40546510810816444,0.057190958417936644,-1.1840939736117326,50,677.3333333333334,3,1,2.37,-0.5
2017-09-25,0,0,0,0,0.0,0.0,-0.14066165612888926,72,253.75,4,2,0,0
2017-09-22,0,0,0,-2,-0.40546510810816444,0.031754163448145745,0.04516252894004184,133,394.875,8,2,0,0
2017-08-25,0.00010161990895531388,0.01817700427944759,0.01818231908319033,-1,-0.2231435513142097,0.010256681389212985,0.4947357782469517,151,359.42857142857144,7,1,1.83,1.83
2017-09-14,0,0,0,2,0.5108256237659907,0.057190958417936644,0.6377719077046455,129,119.33333333333333,6,2,0,0
2016-08-08,6.53747231928151e-05,0.009222634246902998,0.005970166986503754,-2,-1.0986122886681098,1.0,-1.6063625562110246,371,87.0,2,1,0.60,0.93
2017-09-21,0,0,0,-3,-1.3862943611198906,1.0,-1.6697566675373725,59,1181.3333333333333,3,2,0,0
2017-08-28,4.820499106742748e-05,0.009300697294152414,0.00513479947203844,1,0.4054651081081644,0.057190958417936644,0.5084286701299938,38,964.0,3,1,0.51,0.93
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,37,508.0,1,2,0,0
2017-04-23,0,0,0,-2,-1.0986122886681098,1.0,-1.722806186079527,103,490.0,2,2,0,0
2017-09-19,0,0,0,-2,-0.5108256237659907,0.057190958417936644,-0.9957039458530601,81,193.0,6,2,0,0
2017-08-22,6.005140792206367e-05,0.0010095574313395495,-0.009038150615062147,-1,-0.40546510810816444,0.057190958417936644,-0.31551073490538917,53,291.0,3,0,-0.90,0.1
2017-09-13,0,0,0,2,0.6931471805599453,0.1339745962155614,0.5787004733566444,84,600.5,4,2,0,0
2017-09-18,0,0,0,0,0.0,0.0,-0.44046400795377877,140,191.5,6,2,0,0
2017-08-09,9.938631358613987e-06,-0.0019214821449677264,-0.0026212334798741926,-1,-0.6931471805599453,1.0,-0.6931471805599453,29,228.0,1,0,-0.26,-0.19
2016-11-16,6.109806540504579e-05,-0.0006019915809405598,-0.0057637047167501294,3,0.9162907318741551,0.19999999999999996,1.566296500356405,183,428.8,5,0,-0.57,-0.06
2017-09-08,0,0,0,0,0.0,0.0,-0.1380283699600992,45,264.0,2,2,0,0
2017-08-21,4.808138583082624e-05,0.005549442748311529,0.0,-3,-1.3862943611198906,1.0,-1.6689220811917522,77,128.0,3,2,0.00,0.56
2017-01-02,0,0,0,-1,-0.6931471805599453,1.0,-1.3862943611198906,141,164.0,1,2,0,0
2017-08-24,6.131067871609252e-05,-0.00493658013051556,-0.010430342278872446,-7,-1.5040773967762742,0.37146063894529113,-0.8823522697417772,245,474.55555555555554,9,0,-1.04,-0.49
2017-09-16,0,0,0,0,0.0,0.0,0.962141964873963,31,315.0,2,2,0,0
2017-09-17,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.2684795953166478,58,560.6666666666666,3,2,0,0
2017-09-10,0,0,0,-2,-1.0986122886681098,1.0,-1.3340676842874755,38,186.5,2,2,0,0
2017-03-26,0,0,0,-1,-0.2876820724517809,0.020204102886728803,-0.7756120681784012,201,151.4,5,2,0,0
2017-03-16,1.1039773196002884e-05,0.008349381141158718,0.005540180375615351,-2,-1.0986122886681098,1.0,-1.7114552667540865,88,604.0,2,1,0.56,0.84
2017-08-02,0.00015334225424008476,-0.002304758002145359,-0.019318050844763852,-1,-0.2231435513142097,0.010256681389212985,-0.5884792386796804,190,276.7142857142857,7,0,-1.91,-0.23
2017-08-20,0,0,0,0,0.0,0.0,1.2946483364765595,110,875.0,2,2,0,0
2017-09-09,0,0,0,0,0.0,0.0,0.22117100669934078,103,370.5,2,2,0,0
2017-08-18,5.928396464885167e-05,8.872367933730924e-05,-0.0025673955052458097,-2,-0.5108256237659907,0.057190958417936644,-0.4955569704004822,128,235.0,6,0,-0.26,0.01
2017-09-07,0,0,0,0,0.0,0.0,-0.3841065540042856,38,176.5,2,2,0,0
2017-08-27,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,84,729.0,1,2,0,0
2017-09-06,0,0,0,0,0.0,0.0,0.09172288783475714,19,317.0,2,2,0,0
2017-09-05,0,0.0014015585020253336,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,16,203.0,1,2,0,0.14
2017-08-30,1.4993187111635522e-05,-0.0004755634773659953,-0.0025740039951728773,-2,-0.6931471805599453,0.1339745962155614,-0.6405817403982849,100,219.75,4,0,-0.26,-0.05
2017-09-04,9.758516686567728e-06,0.003693661839453739,-0.002597404057685506,-2,-1.0986122886681098,1.0,-1.6374961856644856,61,125.5,2,0,-0.26,0.37
2016-01-25,6.948888153370307e-05,0.007497810557504851,0.0012650223065867022,1,0.28768207245178085,0.020204102886728803,-1.2147642674308081,515,241.4,5,1,0.13,0.75
2017-09-02,0,0,0,0,0.0,0.0,0.029199965219717107,22,366.5,2,2,0,0
2017-08-31,7.29447299360508e-05,-0.0008387316015357838,-0.005167970158442561,-1,-0.6931471805599453,1.0,-1.7047480922384253,20,223.0,1,0,-0.52,-0.08
2017-08-10,0.00010567369731077201,-0.004228038580808216,0.005235614053944943,0,0.0,0.0,-0.14547100609957275,153,518.0,8,1,0.52,-0.42
2017-05-12,0.00012737483528053574,0.00716356657622197,0.004008021397538868,-1,-0.40546510810816444,0.057190958417936644,-0.5981731951853323,50,956.6666666666666,3,1,0.40,0.72
2017-07-23,0,0,0,0,0.0,0.0,-0.7566948570726009,37,277.5,2,2,0,0
2017-08-26,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,20,512.0,1,2,0,0
