日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-05-16,6.115111492884854e-05,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,309,850.0,1,0,-0.13,0.74
2016-09-25,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,63,133.0,1,2,0,0
2017-09-08,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,16,765.5,2,2,0,0
2016-11-10,3.3028480573393135e-05,0.013623189745938314,0.008207980417829582,-4,-1.0986122886681098,0.2546440075000701,-0.3798901566961846,1044,127.16666666666667,6,1,0.82,1.37
2017-09-09,0,0,0,0,0.0,0.0,0.19616708270898825,48,1232.0,2,2,0,0
2017-05-11,0.00028018368984401436,0.0028490653507486784,0.023905520853554386,-5,-1.791759469228055,1.0,-1.7741588067826437,267,1103.2,5,1,2.42,0.29
2017-06-28,2.9769484606733637e-05,-0.005656479163349057,-0.0012995453420855034,-2,-1.0986122886681098,1.0,-0.6931471805599453,60,1130.0,2,0,-0.13,-0.56
2017-04-15,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,85,753.0,1,2,0,0
2017-07-09,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,68,224.0,1,2,0,0
2017-03-02,6.451208098423736e-05,-0.005218509409630183,-0.008521049731933985,0,0.0,0.0,0.8257042483025977,418,298.5,2,0,-0.85,-0.52
2017-06-27,3.8933270270805324e-05,0.0018065945597103685,-0.0038885337396924805,-1,-0.2876820724517809,0.020204102886728803,0.026235476347784042,157,507.0,5,0,-0.39,0.18
2017-03-26,0,0,0,0,0.0,0.0,0.37397123952034084,204,633.5,2,2,0,0
2017-06-08,2.178646756792648e-05,0.0031825036995264894,-0.002583980765925018,3,1.3862943611198906,1.0,0.9955085110775586,139,378.3333333333333,3,0,-0.26,0.32
2017-09-28,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,13,399.0,2,2,0,0
2017-09-02,0,0,0,-2,-1.0986122886681098,1.0,-1.5646941927838314,17,270.0,2,2,0,0
2017-03-16,2.018702696241485e-05,0.008349381141158718,0.006238323412691498,0,0.0,0.0,-0.07861985949100356,81,1118.0,2,1,0.63,0.84
2017-08-24,3.6158317959893754e-05,-0.00493658013051556,-0.0037617599218916845,-5,-1.252762968495368,0.3001457877762348,-0.6151820875333059,299,1378.4285714285713,7,0,-0.38,-0.49
2017-08-10,9.30221159514956e-05,-0.004228038580808216,-0.0037014231031862292,-1,-0.6931471805599453,1.0,-0.916290731874155,95,125.0,1,0,-0.37,-0.42
2017-09-27,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,17,401.0,2,2,0,0
2016-08-09,3.3577049624467005e-05,0.007097920996198263,0.0027510333718900187,0,0.0,0.0,1.121095709872153,43,1383.0,2,1,0.28,0.71
2017-09-22,0,0,0,1,0.4054651081081644,0.057190958417936644,0.45687135217675234,19,329.0,3,2,0,0
2017-09-26,0,0,0,0,0.0,0.0,0.10382313658582387,21,463.0,2,2,0,0
2017-09-11,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,34,692.0,1,2,0,0
2017-07-18,9.394831961949026e-05,0.003491501858554478,-0.008647367041182295,-1,-0.6931471805599453,1.0,-1.7047480922384253,6,484.0,1,0,-0.86,0.35
2017-09-21,0,0,0,0,0.0,0.0,0.33091984170817645,21,239.0,2,2,0,0
2017-03-17,8.156195465163204e-05,-0.009679790445910842,-0.012515807931830533,-2,-0.6931471805599453,0.1339745962155614,-0.7358913704209598,151,179.75,4,0,-1.24,-0.96
2017-09-07,0,0,0,-4,-1.6094379124341003,1.0,-0.6931471805599453,29,673.5,4,2,0,0
2017-04-27,5.989673169510286e-05,0.003603985442434694,0.00901487109621536,-1,-0.40546510810816444,0.057190958417936644,-0.16438047237609757,87,280.6666666666667,3,1,0.91,0.36
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,38,528.0,1,2,0,0
2017-04-18,5.6356742663966234e-05,-0.007932889699732989,-0.011243091574180467,-1,-0.6931471805599453,1.0,-1.6094379124341003,56,175.0,1,0,-1.12,-0.79
2017-07-26,7.857994459792444e-05,0.0012262455013185357,0.014760415583120455,-7,-1.2039728043259361,0.22861078416012992,-0.7534794007692763,616,423.0,11,1,1.49,0.12
2017-08-05,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,30,2711.0,1,2,0,0
2017-09-13,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,7,174.0,1,2,0,0
2017-09-20,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,2,528.0,1,2,0,0
2017-09-04,1.3760164048874639e-05,0.003693661839453739,0.0012353306079928082,-1,-0.6931471805599453,1.0,-0.6931471805599453,24,453.0,1,1,0.12,0.37
2017-04-28,3.833352632163863e-05,0.000783275367666143,0.0,-2,-1.0986122886681098,1.0,-1.2973285371426364,38,409.0,2,2,0.00,0.08
2017-02-28,1.3328627106627643e-05,0.0040399474456640746,0.0024330912246414292,-1,-0.6931471805599453,1.0,-1.8718021769015913,45,803.0,1,1,0.24,0.4
2017-09-16,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,520.0,1,2,0,0
2017-06-07,2.178646756792648e-05,0.012235733233255336,0.0038784793285708383,-1,-0.6931471805599453,1.0,-1.6094379124341003,59,147.0,1,1,0.39,1.23
2017-03-07,1.386272458002982e-05,0.0026373180127970378,0.003715174551863378,-2,-1.0986122886681098,1.0,-1.7037738741452984,146,445.0,2,1,0.37,0.26
2017-05-30,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,82,330.0,1,2,0,0
2016-08-17,1.0481629955081092e-05,-0.00015435076241336168,0.0,-2,-1.0986122886681098,1.0,-1.3003317519243454,66,1681.0,2,2,0.00,-0.02
2017-09-12,0,0,0,0,0.0,0.0,-0.09833152488341196,70,619.6666666666666,6,2,0,0
2017-08-26,0,0,0,-2,-1.0986122886681098,1.0,-1.4933027640561773,29,468.5,2,2,0,0
2017-08-03,5.470329258660703e-05,-0.0036993084262503355,-0.003692311887127491,-1,-0.6931471805599453,1.0,-1.791759469228055,16,1381.0,1,0,-0.37,-0.37
2017-06-11,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.6103614040379295,34,683.3333333333334,3,2,0,0
2016-07-23,0,0,0,1,0.6931471805599453,1.0,1.6094379124341003,31,304.0,1,2,0,0
2017-07-24,2.744265038777967e-05,0.0038899161028251106,-0.0024937668784023505,-1,-0.6931471805599453,1.0,-0.6931471805599453,15,914.0,1,0,-0.25,0.39
2017-08-28,0.00012203197067788247,0.009300697294152414,0.01598067198834987,1,0.6931471805599453,1.0,0.6931471805599453,10,332.0,1,1,1.61,0.93
2015-11-18,0.0002755704995048713,-0.010129358195848988,0.0011055833077498758,-1,-0.40546510810816444,0.057190958417936644,-0.49420751536001756,78,200.33333333333334,3,1,0.11,-1.01
2017-08-14,2.0647849094571093e-05,0.008942177831837768,-0.002512564135883048,0,0.0,0.0,0.06273911495775761,13,610.0,2,0,-0.25,0.9
2017-08-04,0.0001953208332922224,-0.0033205794542208998,0.008594282487334194,-1,-0.6931471805599453,1.0,-1.6094379124341003,12,194.0,1,1,0.86,-0.33
2017-08-30,5.44348038206942e-05,-0.0004755634773659953,0.0012307693861328883,0,0.0,0.0,0.6197019164430867,16,938.5,2,1,0.12,-0.05
2017-05-13,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,19,354.0,1,2,0,0
2017-08-25,5.565881512707624e-05,0.01817700427944759,0.01372448242556576,-2,-1.0986122886681098,1.0,-1.2291485749270827,22,1332.0,2,1,1.38,1.83
2017-08-02,3.466739120863711e-05,-0.002304758002145359,-0.010995834674529465,1,0.6931471805599453,1.0,0.6931471805599453,248,124.0,1,0,-1.09,-0.23
2017-05-03,7.486810831775088e-05,-0.0026628205303957527,-0.011772536225267348,1,0.6931471805599453,1.0,1.6094379124341003,28,25.0,1,0,-1.17,-0.27
2017-04-25,3.853189188378141e-05,0.001609170060362896,-0.003868476777920206,-1,-0.6931471805599453,1.0,-1.6094379124341003,29,24.0,1,0,-0.39,0.16
2017-05-09,5.242645152739133e-05,0.0006234636855771633,0.0013360055427421298,-2,-1.0986122886681098,1.0,-1.4200393494804455,79,139.5,2,1,0.13,0.06
2017-07-25,0.0001417868315311469,-0.00212802403577702,0.007462721201589594,0,0.0,0.0,-0.16265880009358644,247,989.0,2,1,0.75,-0.21
2017-08-27,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,11,900.0,1,2,0,0
2017-06-02,0.00011531086653864206,0.0009406974740755004,-0.01024336741476099,1,0.6931471805599453,1.0,1.6094379124341003,12,437.0,1,0,-1.02,0.09
2017-04-17,8.09521249715968e-05,-0.00738998824058912,0.0037336695520490304,-2,-1.0986122886681098,1.0,-1.4531082091219876,74,156.5,2,1,0.37,-0.74
2017-08-17,9.2232379741002e-06,0.006747655642863546,0.003790276173780827,-4,-1.6094379124341003,1.0,-0.6931471805599453,52,314.75,4,1,0.38,0.68
2017-06-04,0,0,0,0,0.0,0.0,1.3748330174222987,40,909.0,2,2,0,0
2017-07-27,0.0001733836089190542,0.0006494855902461546,-0.004895970612206586,-4,-1.6094379124341003,1.0,-0.8412845658488084,41,1881.5,4,0,-0.49,0.06
2017-08-21,3.6158317959893754e-05,0.005549442748311529,0.008766493212182593,2,1.0986122886681098,1.0,0.6931471805599453,10,562.0,2,1,0.88,0.56
2017-08-19,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,32,532.0,1,2,0,0
2017-08-11,0.00018398390698129384,-0.016447856148161306,-0.014944238268276672,-2,-1.0986122886681098,1.0,-0.6931471805599453,38,678.0,2,0,-1.48,-1.63
2017-08-12,0,0,0,0,0.0,0.0,0.2876903456321982,19,713.5,2,2,0,0
2017-08-15,2.0595871656136066e-05,0.004284430668697165,-0.0025188930194840263,-1,-0.6931471805599453,1.0,-0.6931471805599453,9,1111.0,1,0,-0.25,0.43
2017-08-08,2.6509624101724845e-05,0.00073460719347412,-0.0012217472503223644,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,528.0,1,0,-0.12,0.07
2017-03-11,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,7,130.0,1,2,0,0
2017-06-21,3.903459481494609e-05,0.005145956065433063,0.002594035177046528,-1,-0.6931471805599453,1.0,-0.6931471805599453,19,603.0,1,1,0.26,0.52
2017-07-30,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,6,1254.0,1,2,0,0
2017-07-17,0.0007379747417132973,-0.01436526090779734,0.029964788701936387,1,0.4054651081081644,0.057190958417936644,0.7663019179090405,89,153.66666666666666,3,1,3.04,-1.43
2017-06-16,3.039744154313153e-05,-0.002979703786886865,0.0,-1,-0.6931471805599453,1.0,-1.6094379124341003,31,141.0,1,2,0.00,-0.3
2017-05-01,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,135,324.0,1,2,0,0
2017-07-29,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,1,1171.0,1,2,0,0
2017-06-09,4.8704209237297796e-05,0.002558361001867015,0.0,-1,-0.40546510810816444,0.057190958417936644,-1.2947886930747576,93,293.0,3,2,0.00,0.26
2017-07-07,2.1287234907801244e-05,0.001716845408023304,-0.003838776307165713,-1,-0.6931471805599453,1.0,-1.791759469228055,7,130.0,1,0,-0.38,0.17
2016-07-22,2.429893117542905e-05,-0.008655287243559321,-0.006835296605857366,-1,-0.6931471805599453,1.0,-1.791759469228055,52,334.0,1,0,-0.68,-0.86
2017-01-29,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,22,1121.0,1,2,0,0
2017-07-21,6.709723748850419e-05,-0.0021225273438605923,-0.00991334016865127,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,528.0,1,0,-0.99,-0.21
2016-12-28,0.00019871375096595947,-0.003995565803954028,0.0012461060802471558,1,0.6931471805599453,1.0,1.7047480922384253,93,775.0,1,1,0.12,-0.4
2017-04-16,0,0,0,-1,-0.6931471805599453,1.0,-1.3862943611198906,22,176.0,1,2,0,0
2017-02-15,2.501728710826993e-05,-0.0015363279193826756,0.0035693077751204364,-1,-0.6931471805599453,1.0,-1.7047480922384253,39,133.0,1,1,0.36,-0.15
2017-02-20,5.223035550994205e-05,0.011760385401839196,0.008418570465595826,1,0.6931471805599453,1.0,0.6931471805599453,41,153.0,1,1,0.85,1.18
2017-07-10,9.904561049006055e-05,-0.0016577020834975967,0.005115100666770409,-1,-0.6931471805599453,1.0,-0.6931471805599453,9,851.0,1,1,0.51,-0.17
2016-11-22,0.00038982919113737,0.009340514827746308,0.025083823392778933,-2,-0.6931471805599453,0.1339745962155614,0.20715444431054186,34,588.5,4,1,2.54,0.94
2016-11-26,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,110,512.0,2,2,0,0
2017-06-29,2.992463689784401e-05,0.004672038882317386,0.0,1,0.6931471805599453,1.0,1.7047480922384253,4,1311.0,1,2,0.00,0.47
2017-01-02,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,33,142.0,1,2,0,0
2017-04-30,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,55,156.0,1,2,0,0
2016-02-15,0.00013790253476552575,-0.006276235779517181,-0.006939653110540591,1,0.6931471805599453,1.0,1.8718021769015913,134,390.0,1,0,-0.69,-0.63
2017-07-06,5.883053934292031e-05,0.0016543167878900564,0.002557546151117193,1,0.6931471805599453,1.0,1.252762968495368,16,124.0,1,1,0.26,0.17
2017-07-03,2.9769484606733637e-05,0.0010894850130779528,0.0064809040840831415,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,424.0,1,1,0.65,0.11
2017-06-20,2.207144413182816e-05,-0.0013875674925899115,0.006514681021193672,-1,-0.6931471805599453,1.0,-1.7047480922384253,22,365.0,1,1,0.65,-0.14
2017-06-23,0.00010321295727012955,0.003305148504969669,0.0064809040840831415,-1,-0.40546510810816444,0.057190958417936644,-0.12574595890675228,28,390.0,3,1,0.65,0.33
2017-06-15,3.965093228712423e-05,0.0005811762915932049,-0.0013063359140554128,-1,-0.6931471805599453,1.0,-0.6931471805599453,18,1757.0,1,0,-0.13,0.06
2017-06-10,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,93,380.0,1,2,0,0
2017-06-03,0,0,0,0,0.0,0.0,-0.005821662380218303,25,174.0,2,2,0,0
2016-07-12,0.00011391881346840942,0.018020771241528805,0.01228684399265059,0,0.0,0.0,-0.5818230383984144,27,506.5,2,1,1.24,1.82
2017-06-13,2.2303470622847963e-05,0.004404467510343322,0.0013080446600153889,0,0.0,0.0,-0.09567507170054439,8,1096.5,2,1,0.13,0.44
2017-05-23,0.000118620519967658,-0.004474047116847419,0.01292007636510429,-1,-0.6931471805599453,1.0,-1.791759469228055,13,1163.0,1,1,1.30,-0.45
2016-01-05,0.0002912024007999218,-0.0025972186404859708,-0.007407441277861805,0,0.0,0.0,1.0669782625650988,914,952.0,2,0,-0.74,-0.26
2017-01-31,0,0,0,-6,-1.9459101490553135,1.0,-1.7813474754532022,253,1185.6666666666667,6,2,0,0
2017-04-12,0.00016106182493836997,-0.004613892502698677,0.009925639799969998,-1,-0.6931471805599453,1.0,-0.6931471805599453,14,853.0,1,1,1.00,-0.46
2016-03-02,0.00037638727723312887,0.04174459955578471,0.02961185404664444,-2,-1.0986122886681098,1.0,-1.791759469228055,51,428.0,2,1,3.01,4.26
2017-03-13,8.217870143122671e-05,0.007522772686904751,0.005031457155366975,1,0.6931471805599453,1.0,1.6094379124341003,34,147.0,1,1,0.50,0.76
2017-05-26,3.784426271092285e-05,0.0007172851548067617,-0.008934328733765855,-2,-1.0986122886681098,1.0,-0.6931471805599453,102,1030.0,2,0,-0.89,0.07
2017-05-25,0.00023715534961444567,0.014177372256669672,0.01536521906405614,-1,-0.6931471805599453,1.0,-0.6931471805599453,10,858.0,1,1,1.55,1.43
2016-12-10,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,25,440.0,1,2,0,0
2015-11-16,0.00013145312747652596,0.0072679025506197864,0.004464293128685528,0,0.0,0.0,1.3405451129212278,228,176.0,2,1,0.45,0.73
2017-05-19,3.975507317651872e-05,0.0001585562967159373,-0.0026281224062695806,-1,-0.6931471805599453,1.0,-0.6931471805599453,14,332.0,1,0,-0.26,0.02
2017-05-02,6.036256327166467e-05,-0.003477093607484734,-0.014202950177993395,-1,-0.6931471805599453,1.0,-0.6931471805599453,43,134.0,1,0,-1.41,-0.35
2015-09-16,0.0018139963398080485,0.0477855171370045,0.03248545514448831,0,0.0,0.0,0.1377740803633128,24,706.5,2,1,3.30,4.89
2017-05-14,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,9,793.0,1,2,0,0
2017-05-05,0.00018656382452630655,-0.007810119614360909,-0.003965636393346954,-2,-1.0986122886681098,1.0,-0.6931471805599453,29,963.5,2,0,-0.40,-0.78
2017-01-07,0,0,0,-2,-1.0986122886681098,1.0,-1.4579671192561723,136,376.5,2,2,0,0
2015-12-16,8.426932744888363e-05,0.001662269436942905,0.010695289116748169,0,0.0,0.0,1.5089583423474637,135,175.0,2,1,1.08,0.17
2017-03-22,3.6248998610528906e-05,-0.005037794029957293,-0.00624611649695282,-1,-0.6931471805599453,1.0,-0.6931471805599453,54,305.0,1,0,-0.62,-0.5
2016-01-28,0.0018693724123024888,-0.029642956742384843,0.02173998663640582,-3,-0.40546510810816444,0.026991489178960215,-0.5098874829943921,526,538.4615384615385,13,1,2.20,-2.92
2017-05-08,0.00010880265114272884,-0.007904079715767948,-0.009314771274547374,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,837.0,1,0,-0.93,-0.79
2017-04-21,0.00011831379222174477,0.0003309562301199069,0.01292007636510429,-4,-1.6094379124341003,1.0,-1.5034834141924152,29,150.5,4,1,1.30,0.03
2017-04-20,0.00015533772137358234,0.0004445993082622114,-0.014202950177993395,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,146.0,1,0,-1.41,0.04
2017-02-18,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,9,957.0,1,2,0,0
