日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-08-30,0,0,0,2,0.5108256237659907,0.057190958417936644,0.584140823386663,109,1121.1666666666667,6,2,0,-0.05
2017-09-04,0.0011433599641209242,0.003693661839453739,0.058934613241204394,-4,-0.587786664902119,0.057190958417936644,-0.013965416953875397,262,345.1666666666667,12,1,6.07,0.37
2017-09-05,0.000734504473021162,0.0014015585020253336,-0.0509664435920274,3,0.9162907318741551,0.19999999999999996,0.7724384706660073,288,1597.4,5,0,-4.97,0.14
2017-09-14,0,0,0,-3,-0.6931471805599453,0.09649209709474871,-0.22142884330282858,85,473.0,7,2,0,0
2017-09-01,0.0,0.001875763228849927,-0.04778125202735166,2,0.3364722366212129,0.020204102886728803,0.2407687739480983,258,742.5,10,1,9.99,0.19
2017-05-17,5.560354179855336e-05,-0.0027406971831017367,-0.007948377662951492,-2,-0.6931471805599453,0.1339745962155614,-0.9663462972392327,91,539.0,4,0,-0.79,-0.27
2017-03-11,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,13,167.0,1,2,0,0
2016-07-03,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,259,162.0,1,2,0,0
2017-09-27,0,0,0,0,0.0,0.0,0.04242417729527346,19,868.5,2,2,0,0
2017-07-30,0,0,0,2,1.0986122886681098,1.0,1.0368737552823715,51,1858.5,2,2,0,0
2017-09-29,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,534.0,1,2,0,0
2017-09-23,0,0,0,-1,-0.40546510810816444,0.057190958417936644,0.046128285209304676,57,1050.6666666666667,3,2,0,0
2017-09-07,0,0,0,-3,-1.3862943611198906,1.0,-1.596846444197777,67,368.0,3,2,0,0
2017-03-28,6.718692532357749e-05,-0.004297611949581574,-0.0010487677940843767,-1,-0.40546510810816444,0.057190958417936644,-0.21785810721216442,83,159.66666666666666,3,0,-0.10,-0.43
2017-08-31,0,-0.0008387316015357838,0,-4,-1.0986122886681098,0.2546440075000701,-0.49480615420021506,136,422.5,6,2,0,-0.08
2017-09-02,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.1914405384881631,116,1856.0,3,2,0,0
2017-09-22,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,34,181.0,1,2,0,0
2017-05-29,0,0,0,-2,-1.0986122886681098,1.0,-1.5415388479410372,165,494.0,2,2,0,0
2017-03-18,0,0,0,-7,-1.2039728043259361,0.22861078416012992,-0.8322688276307396,880,481.54545454545456,11,2,0,0
2017-09-13,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,6,982.0,1,2,0,0
2017-04-27,8.250045708204104e-05,0.003603985442434694,0.008320380813768031,-2,-1.0986122886681098,1.0,-1.5125258857848358,38,368.0,2,1,0.84,0.36
2017-03-24,0.00014070186103617326,0.006413032104768939,-0.00258866310751056,-3,-1.3862943611198906,1.0,-0.9808308857594202,107,1210.3333333333333,3,0,-0.26,0.64
2017-09-09,0,0,0,0,0.0,0.0,0.9799814737537523,28,1251.5,2,2,0,0
2017-04-28,0.00011078760018557899,0.000783275367666143,0.008251722943685242,0,0.0,0.0,-0.3407717514051959,66,540.5,4,1,0.83,0.08
2017-09-15,0,0,0,-2,-1.0986122886681098,1.0,-1.247916581012573,18,198.5,2,2,0,0
2017-09-06,0,0,0,-2,-0.6931471805599453,0.1339745962155614,0.5439459744191381,235,322.75,4,2,0,0
2017-09-08,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,73,186.0,1,2,0,0
2017-06-05,0,-0.004479449818967694,0,6,1.0986122886681098,0.19999999999999996,0.636295611334281,271,838.8,10,2,0,-0.45
2016-08-29,3.1970917369580996e-05,-9.120016161764728e-05,0.0013404827744518287,2,1.0986122886681098,1.0,1.729824517194192,23,887.0,2,1,0.13,-0.01
2017-03-08,2.4987548536188012e-05,-0.0005398676992548321,-0.0029700051531852045,-1,-0.6931471805599453,1.0,-1.8718021769015913,47,779.0,1,0,-0.30,-0.05
2017-04-02,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,12,248.0,1,2,0,0
2017-09-03,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,28,297.0,1,2,0,0
2017-05-23,0.0018773577599222782,-0.004474047116847419,0.03988855652113658,1,0.4054651081081644,0.057190958417936644,0.4275431954755184,38,465.6666666666667,3,1,4.07,-0.45
2015-12-27,0,0,0,-2,-1.0986122886681098,1.0,-1.7743505542570077,54,226.5,2,2,0,0
