日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-03-19,0,0,0,-6,-1.9459101490553135,1.0,-1.7129824269283989,230,404.3333333333333,6,2,0,0
2017-09-15,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.860418561826586,28,250.66666666666666,3,2,0,0
2017-09-05,0,0.0014015585020253336,0,0,0.0,0.0,0.7034334649129123,62,144.0,2,2,0,0.14
2017-02-08,0.003182291952135494,0.00439552801271647,0.060351494783354734,-3,-0.5596157879354228,0.057190958417936644,-0.7078484467791432,268,311.55555555555554,9,1,6.22,0.44
2017-08-25,0.0015070281858399557,0.01817700427944759,0.04501352088909654,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,498.0,1,1,4.60,1.83
2017-08-29,0.0026869534030204215,0.0007669578311350367,0.03922071315328133,1,0.4054651081081644,0.057190958417936644,0.5417562876961536,30,172.0,3,1,4.00,0.08
2017-02-06,0.00021633575013686016,0.0053389358454745345,0.009058032946745639,-7,-1.5040773967762742,0.37146063894529113,-0.46452494617752005,227,232.88888888888889,9,1,0.91,0.54
2017-09-22,0,0,0,-2,-1.0986122886681098,1.0,-1.5281615333376957,82,419.0,2,2,0,0
2017-08-11,0.0017168129834163582,-0.016447856148161306,-0.06484484676410496,-2,-1.0986122886681098,1.0,-1.5818132580656281,64,146.5,2,0,-6.28,-1.63
2017-08-27,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,26,520.0,1,2,0,0
2017-05-12,0.00037473937774521615,0.00716356657622197,0.0076563538619931456,0,0.0,0.0,-0.2589786718543525,24,1527.5,2,1,0.77,0.72
2017-09-11,0,0,0,1,0.6931471805599453,1.0,1.791759469228055,24,218.0,1,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,39,528.0,1,2,0,0
2017-09-27,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,520.0,1,2,0,0
2017-09-19,0,0,0,0,0.0,0.0,-1.3934753084076712,174,585.0,2,2,0,0
2017-08-31,0.00060411862444738,-0.0008387316015357838,0.01010109598650392,-2,-0.6931471805599453,0.1339745962155614,-0.4170381369454407,76,752.75,4,1,1.02,-0.08
2017-03-16,0.0028177313655920293,0.008349381141158718,0.09517263768183296,1,0.1823215567939546,0.006192010000093506,-1.0598415873033393,338,238.0,9,1,9.98,0.84
2017-06-23,0.00015852932244518313,0.003305148504969669,-0.01080193303281352,1,0.6931471805599453,1.0,1.5040773967762742,133,240.0,1,0,-1.07,0.33
2017-09-17,0,0,0,0,0.0,0.0,-0.4268483163790417,125,235.0,2,2,0,0
2017-09-07,0,0,0,2,1.0986122886681098,1.0,1.3579149118299854,26,137.0,2,2,0,0
2017-09-20,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,530.0,1,2,0,0
2017-07-26,0.00012516567120290573,0.0012262455013185357,0.005067578412305664,0,0.0,0.0,-0.45941558979079566,56,593.0,2,1,0.51,0.12
2017-09-14,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.7803545706438773,25,250.33333333333334,3,2,0,0
2017-07-25,0.00031073932571303514,-0.00212802403577702,-0.020947561089768408,-1,-0.6931471805599453,1.0,-1.6094379124341003,8,164.0,1,0,-2.07,-0.21
2017-08-30,0.0038044218070847893,-0.0004755634773659953,0.06149746456179228,-4,-1.0986122886681098,0.2546440075000701,-0.8008942804613335,755,349.6666666666667,6,1,6.34,-0.05
2017-05-07,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,10,1717.0,1,2,0,0
