标题,阅读,评论,字数,影响力,时间
中午被老婆惹怒！开车出门，离家50米，新疆？云,23988,131,190,3.5,2017-09-10 15:45:42
黄国东：A股下半年预测  推荐中国银行,49117,41,646,4.0,2017-07-02 16:25:12
建议民营老板们买点银行股,44706,62,233,4.0,2017-05-02 10:44:37
建议愿意长期投资的朋友们关注下银行股,47796,61,234,4.0,2017-07-01 16:57:36
半年报出了，为何净资产没变？讨教股友们。,2520,4,150,0.0,2017-08-31 15:19:08
美国股市的银行股,10198,7,1939,4.0,2016-10-07 12:20:40
树总会高过草的!,369969,2152,126,3.5,2017-05-21 16:41:46
中行--全球顶级抗癌药，中国拥有自主研发产权,15375,17,2613,0.0,2017-06-23 19:04:57
我的炒股日记,22192,144,122,3.0,2017-09-03 12:45:15
取消六种费，从明天开始金融股暴跌！提早抛！,8555,17,135,3.5,2017-08-01 13:55:07
中国银行(601988)融资融券信息(09-01),11095,13,528,0.0,2017-09-02 07:59:09
目标价4.89-5.38元,9394,12,131,4.0,2017-08-31 14:29:49
中国银行完成发行300亿元二级资本债券,9465,15,281,0.0,2017-09-28 17:29:57
邀请你过来西部矿业601168一起发财！即将公布重,39887,120,196,3.5,2017-06-27 13:25:53
咯咯咯咯狂笑 疯狂抢盘啦 晨鸣三年利润之和超市,26282,67,547,4.5,2017-06-26 14:36:17
中国银行(601988)融资融券信息(09-27),6009,3,530,0.0,2017-09-28 08:03:04
中国银行一个月内见到8元,19309,30,75,3.5,2017-09-15 19:47:33
中国银行(601988)融资融券信息(08-25),8223,9,548,0.0,2017-08-26 10:08:21
工伤银行上5元啦，中行的那几个傻逼操盘猪还在,20719,31,28,3.0,2017-05-12 10:31:27
中国银行(601988)融资融券信息(09-19),5420,4,544,0.0,2017-09-20 07:48:31
笑哈哈笑哈哈哈。晨鸣涨三倍还低估，4年收益翻,11213,24,1803,4.5,2017-08-16 21:49:29
中国银行(601988)融资融券信息(09-14),5870,4,544,0.0,2017-09-15 07:48:27
建设银行，工商银行正创新高，中国银行的操盘手,20496,24,157,3.0,2017-05-12 10:27:22
嘿嘿 瞎子也狂笑 业绩翻倍 季报再增长300%翻倍,22262,40,2386,4.5,2017-05-07 18:50:15
看起来中银涨不动了，3.73卖了。大家说怎么样？,185103,404,158,0.0,2017-02-23 15:16:48
中国银行(601988)融资融券信息(09-18),4716,2,540,0.0,2017-09-19 07:55:53
一转眼，工商银行重上6元了,10120,20,200,4.0,2017-09-22 10:11:54
中国银行(601988)融资融券信息(09-22),9138,39,546,0.0,2017-09-23 07:48:48
真金不怕火炼!,9966,20,121,3.5,2017-06-04 09:07:14
中国银行(601988)融资融券信息(09-21),7044,7,550,0.0,2017-09-22 07:47:43
四大行半年报增长率排名和银行股半年报增长率排,8412,13,1215,4.0,2017-09-20 18:33:33
中国银行完成交割雅加达分行及其八间支行运营的,15344,9,185,0.0,2017-07-06 16:59:23
大家谈谈对中行的看法,51284,89,158,0.0,2017-07-28 15:51:31
中国银行重庆分行违规发放流动资金贷款、存贷挂,8843,14,471,0.0,2017-09-12 16:53:07
抢 笑咪咪抢盘啦 业绩去年翻倍股0.99，今再翻倍,15143,32,671,4.5,2017-05-03 21:48:32
↓明天去银行把存款全部取出放家里，金属\美元\,21942,23,160,3.0,2016-10-03 19:36:53
小摩增持中国银行4740万股每股4.062元,20784,32,210,0.0,2017-09-18 19:54:44
中国银行与腾讯成立金融科技联合实验室,30901,28,322,0.0,2017-06-22 15:18:53
一笔9200亿美元损失《责任谁付？呜呼中国银行》,13829,14,203,3.5,2017-08-03 13:20:54
众多金融机构踩雷大连机床 头号债主中行20亿难,49986,11,4227,0.0,2017-08-16 09:10:42
