日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-05-02,8.21098291781803e-05,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,74,233.0,1,0,-1.16,-0.35
2017-06-23,9.567467721342678e-05,0.003305148504969669,0.003246756098869873,1,0.4054651081081644,0.057190958417936644,0.36887277780774874,33,2348.3333333333335,3,1,0.33,0.33
2016-10-06,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,17,1942.0,1,2,0,0
2017-07-01,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,75,233.0,1,2,0,0
2017-06-25,0,0,0,-1,-0.6931471805599453,1.0,-1.8718021769015913,15,554.0,1,2,0,0
2017-06-26,0.00018692091523802112,0.008692677357703274,-0.013050756195490827,-1,-0.40546510810816444,0.057190958417936644,0.7845470852345702,74,270.3333333333333,3,0,-1.30,0.87
2017-08-15,0.00011048708783139389,0.004284430668697165,0.007993647680745584,-2,-1.0986122886681098,1.0,-1.177135223812326,17,491.0,2,1,0.80,0.43
2017-08-25,0.001060891606494705,0.01817700427944759,0.054319015304087545,-4,-1.6094379124341003,1.0,-1.5251215296139498,74,251.75,4,1,5.58,1.83
2017-09-27,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,64,341.0,2,2,0,0
2017-09-26,0,0,0,2,1.0986122886681098,1.0,0.6931471805599453,19,600.5,2,2,0,0
2017-09-12,0,0,0,0,0.0,0.0,0.33397165839448745,11,749.5,2,2,0,0
2016-12-23,8.760182818121797e-05,-0.009411706173572272,-0.00517688817953368,-1,-0.6931471805599453,1.0,-0.6931471805599453,72,8307.0,1,0,-0.52,-0.94
2017-09-17,0,0,0,-1,-0.6931471805599453,1.0,-1.5040773967762742,17,295.0,1,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,32,544.0,1,2,0,0
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,548.0,1,2,0,0
2017-02-21,0.0002907631677086444,0.004118103117185383,0.009569451016150672,2,1.0986122886681098,1.0,0.6931471805599453,123,802.5,2,1,0.96,0.41
2017-09-02,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,9,540.0,1,2,0,0
2017-09-18,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,19,164.0,1,2,0,0
2017-09-07,0,0,0,-1,-0.40546510810816444,0.057190958417936644,0.21389416175258993,40,239.0,3,2,0,0
2017-07-17,0.0009163279236946665,-0.01436526090779734,0.028664382887567282,1,0.6931471805599453,1.0,1.8718021769015913,9,296.0,1,1,2.91,-1.43
2017-09-13,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,534.0,1,2,0,0
2017-09-15,0,0,0,-2,-1.0986122886681098,1.0,-1.4637484732590813,24,309.5,2,2,0,0
2017-09-16,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,540.0,1,2,0,0
2017-09-14,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,11,310.0,1,2,0,0
2017-08-11,0.00033713755966938006,-0.016447856148161306,0.0015910902322419035,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,2683.0,1,1,0.16,-1.63
2017-05-07,0,0,0,0,0.0,0.0,-1.7439744312865755,64,1628.0,2,2,0,0
2017-09-09,0,0,0,0,0.0,0.0,0.4776385249159649,33,1866.0,2,2,0,0
