标题,阅读,评论,字数,影响力,时间
伊利安慕希新牌子是不是更好喝一点？,11120,26,151,1.0,2017-09-20 18:57:04
伊利现在跑还得及，下周一会杀得你屁滚尿流。,12488,22,136,0.0,2017-09-22 12:47:20
伊利中长线无忧，耐心持有！不要动摇！不要再一,240617,505,148,3.0,2017-07-19 05:44:59
主力这种走势有一锤子的买卖之嫌,24793,30,238,3.0,2017-08-09 13:48:05
喝伊利奶，抄伊利股票（600887）,197389,470,533,3.0,2015-12-19 13:59:11
600887:伊利股份2017年半年度报告摘要,74579,38,1059,0.0,2017-08-30 21:06:40
伊利成为北京冬奥会合作伙伴,11359,5,461,0.0,2017-08-31 03:00:45
超预期进一步确认，上调目标价至35-40元,99585,25,1564,0.0,2017-09-29 08:56:19
今天估计要收26以上了，可惜昨天被骗去部分筹码,26160,52,172,2.5,2017-09-28 10:23:32
23.72 拔河比赛  空方胜！,7399,10,16,4.5,2017-09-08 13:05:22
会当凌绝顶，一览众山小,9681,8,163,4.0,2017-09-27 09:53:39
恭贺 伊利再创新高,10908,11,9,4.0,2017-09-28 10:12:13
伊利是一只长线白马股。但从今天起他已转身。,14230,7,297,1.0,2017-05-19 22:49:27
适当的休息是为了更好地迎接,5043,10,136,0.0,2017-09-13 14:04:38
伊利开启主升浪,16910,17,178,1.0,2017-09-29 14:26:23
说好的，各位股民假期期间务必积极消费伊利产品,6587,13,207,2.5,2017-09-29 15:08:04
伊利K线走势趋于完美已经到达绝对底部后期会逐,25280,16,398,0.0,2017-05-12 17:14:20
"""生活不止眼前的苟且，还有诗和远方""!",7994,14,167,4.0,2017-05-24 18:29:28
伊利竞购澳最大乳企遇难题 乳企出海不易,28201,7,1952,0.0,2017-09-22 13:42:56
嘉珉好好  就是个贱货,10246,13,142,3.0,2017-09-28 14:29:05
姐的帐户,25798,20,123,3.0,2017-08-09 18:40:53
26.66  短线 减仓了！,11590,23,138,4.5,2017-09-28 13:17:29
明天创新高,10986,11,120,3.0,2017-07-24 17:14:48
姐来说说,14945,17,123,3.0,2017-08-06 07:03:45
姐的帐户,14574,21,118,3.0,2017-08-31 15:03:18
姐再亮个相,21554,23,117,3.0,2017-09-16 17:43:58
3Q preview: strong growth to continue;reiter,31530,24,2229,0.0,2017-09-28 15:35:44
25.77  短线减仓了,11949,26,12,4.5,2017-09-25 09:51:58
伊利股份(600887)融资融券信息(09-19),5137,5,530,0.0,2017-09-20 07:45:42
600887:伊利股份关于注销部分股票期权和回购注,40621,13,1984,0.0,2017-08-18 18:55:57
沪股通伊利很久没排第1名了！,11789,8,196,4.0,2017-09-27 17:56:33
伊利收购迈高这次可大胆说是铁板锭钉!,18597,11,172,4.0,2017-09-25 15:20:02
产品结构持续优化，行业领导者着眼大格局,39419,4,1250,0.0,2017-09-18 14:21:13
伊利股份(600887)融资融券信息(09-22),8311,3,536,0.0,2017-09-23 07:39:39
恭喜茅台再创历史新高！,11275,12,136,4.0,2017-09-25 15:08:30
祝各位伊利忠粉账户满满[献花],12666,23,168,4.0,2017-09-20 10:57:08
伊利股份(600887)融资融券信息(08-30),4303,3,526,0.0,2017-08-31 07:55:01
实战炒股口决： 十四工作线，来回做波段；突破,59857,75,778,4.0,2017-05-19 11:05:18
伊利股份(600887)大宗交易数据一览(09-13),32270,17,479,0.0,2017-09-13 18:29:33
伊利股份：：透过盘面看穿主力真实意图，明天是,16039,25,121,0.0,2017-09-03 20:13:34
600887:伊利股份关于向内蒙古伊利公益基金会捐,25294,9,1887,0.0,2017-09-22 19:25:45
旺季需求强劲，外延预期再起,47999,7,1655,0.0,2017-09-22 13:15:14
伊利、蒙牛确认竞购澳洲乳制品巨头迈高,21293,8,1072,0.0,2017-09-22 14:41:00
伊利股份(600887)融资融券信息(09-21),5707,8,536,0.0,2017-09-22 07:45:03
伊利股份(600887)大宗交易数据一览(09-21),20685,20,487,0.0,2017-09-21 18:12:58
真没想到澳洲最大乳企16年销售额才131亿人民币,14402,16,1034,4.0,2017-09-20 20:41:18
伊利股份-原來伊利又在偷偷搞收購，這次是澳洲-,18919,22,1508,3.0,2017-09-20 15:24:17
加码国际化战略 伊利确认竞购迈高公司,29370,8,1795,0.0,2017-09-21 16:39:52
中国资本围猎 伊利高价争夺澳大利亚乳业巨头,33075,14,2146,0.0,2017-09-20 21:48:39
600887:伊利股份关于媒体报道的澄清公告,85889,20,666,0.0,2017-09-20 22:52:36
伊利股份(600887)融资融券信息(09-20),3753,4,546,0.0,2017-09-21 07:45:11
伊利股份(600887)融资融券信息(09-18),4940,7,536,0.0,2017-09-19 07:52:58
伊利回应收购迈高一事：已参与战略发展方案事项,14329,3,609,0.0,2017-09-21 09:38:31
说明,9704,13,147,3.0,2017-08-31 18:10:45
今天伊利是仙人指路还是避雷针呢？我说是仙人指,30584,32,158,2.5,2017-09-01 21:07:02
我坐在车里总不觉路程有些远，但当我坐到飞机上,21273,43,215,4.0,2017-09-18 15:35:28
行业回暖业绩超预期，市场份额稳步提升,31228,4,1155,0.0,2017-09-06 09:15:51
京东买了两箱金典，16盒一箱，超市卖的是12盒一,5316,6,174,3.0,2017-09-19 12:40:49
24.67元清仓伊利，坐等伊利24元。,11595,26,139,0.0,2017-09-18 13:01:18
23.45是强支撑，顺子,12337,29,134,2.5,2017-09-07 09:56:52
伊利下一阶段走势,31412,42,307,1.0,2017-09-15 11:21:37
恭贺伊利创近两年内新高[献花],34316,63,192,4.0,2017-06-08 14:39:08
明后两天伊利必有3个点以上的大跌,18032,31,142,3.5,2017-07-26 23:24:01
伊利股份(600887)融资融券信息(09-01),8428,10,538,0.0,2017-09-02 07:55:36
伊利股份(600887)融资融券信息(09-15),6287,3,544,0.0,2017-09-16 07:45:54
股市悄悄进入牛市时俺应如何应对,18482,19,332,4.0,2017-09-04 13:42:20
无利不趁早，股评大力推荐日，就是你抛货给机构,8568,22,161,4.5,2016-05-11 14:18:51
证监会通报操纵股价四种方式：关联账户，自买自,22875,43,900,4.5,2016-09-27 11:41:32
伊利股份半年报增5% 证金增持,28025,4,250,0.0,2017-08-31 10:22:50
乳制品龙头筑高壁垒，强者恒强,54056,10,1301,0.0,2017-09-14 10:35:50
行业回暖业绩复苏，龙头伊利强者恒强,36030,3,1938,0.0,2017-08-31 19:45:35
伊利股份(600887)融资融券信息(09-13),5872,4,542,0.0,2017-09-14 07:45:02
呵呵，该涨的不涨（格力，美的）。不该涨的大涨,13082,29,204,3.0,2017-08-31 12:33:49
开始准备砸，先砸出200万手,4723,18,127,0.0,2017-08-25 10:25:19
庄家出货手法：一高位放量滞涨，二拉高逐波下跌,33918,71,208,4.5,2016-05-11 15:14:28
22.65砸,3945,18,119,0.0,2017-08-25 12:42:32
基金抱团炒个股是中国式庞氏骗局，隐患危害大60,41440,80,336,4.0,2016-07-22 14:01:42
伊利股份(600887)融资融券信息(09-12),5523,4,542,0.0,2017-09-13 07:46:38
一阴改变情绪，二阴改变观念，三阴改变信仰!,10164,17,147,4.0,2017-08-28 20:13:17
600887:伊利股份关于回购注销部分限制性股票减,42735,12,1099,0.0,2017-09-11 18:54:29
21.21  满仓了西部建设！,10118,44,15,4.5,2017-09-06 10:31:15
青扬五洲旅行社“吸金”模式闯祸 旅游金融监管,33161,12,2232,0.0,2017-09-10 04:33:00
你他妈的比跌的真深，垃圾一个,5087,16,138,2.5,2017-08-25 09:48:16
600887:伊利股份关于内蒙古惠商互联网小额贷款,35390,14,629,0.0,2017-09-08 16:27:30
不做深入分析，只管大胆胡说：伊利短期见顶回调,8769,17,166,1.0,2017-08-25 11:59:08
尼玛比的死腊鸡，艹尼玛祖宗,3871,16,136,1.0,2017-08-25 10:40:08
伊利股份：旗下互联网小贷公司获得开业批复,24671,24,221,0.0,2017-09-08 16:48:35
伊利股份(600887)融资融券信息(09-08),6197,17,532,0.0,2017-09-09 07:44:43
伊利股份(600887)融资融券信息(09-05),6082,4,546,0.0,2017-09-06 07:54:48
高位十字星，什么意思……,13759,13,134,3.5,2017-09-06 14:54:27
明天涨停,3427,15,115,4.0,2017-08-22 20:22:02
伊利中报：上半年净利润33.68亿元,32280,5,409,0.0,2017-08-30 22:50:38
伊利股份(600887)大宗交易数据一览(09-05),34234,10,469,0.0,2017-09-05 18:33:42
今天又帮儿子买了2箱伊利QQ星给儿子当早餐喝，,7112,9,205,0.0,2017-09-05 17:25:58
伊利我个人认为下周看涨，特别是下半周。你们怎,35108,66,158,2.5,2017-08-18 19:08:46
强势回归双位增速，上调目标价至30元,72648,9,1739,0.0,2017-09-05 07:47:36
上半年利润稳定增长，未来盈利能力有望提升,32399,5,1194,0.0,2017-09-04 16:15:18
【联讯食品饮料公司点评】 伊利股份：业绩超预,34886,5,1143,0.0,2017-09-04 10:41:02
2Q17 results beat with strong sales growth; ,20265,23,2223,0.0,2017-08-31 09:06:34
伊利股份(600887)大宗交易数据一览(09-01),40779,8,471,0.0,2017-09-01 18:22:03
高位已出现背驰、明天出。有可能你看多、但是也,16686,52,184,0.0,2017-08-23 18:05:16
请问：现在进口洋奶冲击大吗？你们喝什么奶？,10807,32,162,3.0,2017-08-22 09:50:58
登高远望,33833,35,202,4.0,2017-08-09 10:11:11
基金抱团炒个股是中国式庞氏骗局，隐患危害大,23535,29,300,4.0,2016-07-21 14:17:34
伊利股份某年或许将易主,33228,41,480,3.0,2017-08-16 23:44:14
2017伊利中报:营收330亿元；利润 33.6亿元！,26628,27,244,4.0,2017-08-30 21:06:51
“二胎”商机助力伊利股份 上半年狂赚31亿元,24725,4,1624,0.0,2017-08-31 13:39:17
中报,19413,18,116,3.0,2017-08-30 18:29:16
600887:伊利股份2017年半年度报告,47709,11,1267,0.0,2017-08-30 21:06:49
伊利正式签约2022北京冬奥 成为官方唯一乳制品,22125,6,701,0.0,2017-08-30 14:25:20
辉山垮，圣牧、现代牧业亏，明看大A领袖风范!,8792,12,146,4.0,2017-08-29 19:35:42
22.33 买货的是真高手啊,13075,15,14,4.5,2017-08-28 14:29:41
伊利股份(600887)融资融券信息(08-29),3929,3,526,0.0,2017-08-30 07:56:27
一个盈警 中国圣牧股价跌13%！,11633,15,222,4.0,2017-08-29 19:20:37
尾盘翻红是大概率,5375,14,8,0.0,2017-08-29 13:47:24
半年报光明增长碾压伊利，坐等某喝伊利打脸！安,11491,5,259,2.0,2017-08-29 07:02:45
22.60 开始买货,15608,31,10,4.5,2017-08-24 10:45:40
600887:伊利股份关于股东股权解除质押公告,38234,12,574,0.0,2017-08-24 17:04:24
A股市场“全能王” 伊利制霸上证50第一龙头！,11177,11,408,4.0,2017-08-27 20:54:31
[财力满仓]女士们先生们朋友们！战胜内心的恐惧,6392,13,407,3.5,2017-07-23 19:22:38
伊利股份(600887)大宗交易数据一览(08-24),33652,7,471,0.0,2017-08-24 18:36:28
"17乳协年会召开在即 各界期待聆听""伊利声音""",15745,10,611,4.0,2017-08-25 16:04:33
爱喝伊利：谈一谈对伊利“时局”的观奌！,13376,18,446,4.0,2017-08-24 21:37:39
消费升级领先，业绩复苏迹象显,47155,8,1083,0.0,2017-08-23 10:17:16
伊利获中国主板上市公司十佳管理团队！,10524,7,349,4.0,2017-08-23 20:46:00
伊利股份,19462,26,115,0.0,2017-05-03 21:11:29
高位横盘9天了。即将选择方向哦。,16037,17,135,4.5,2017-08-22 13:16:58
伊利乳粉配方注册数量将会是第一！,20039,16,181,4.0,2017-08-12 08:22:08
同学的老婆要求。。,9701,22,117,0.0,2017-07-26 13:00:09
5日线马上跌破，伊利大调整开始,15060,20,140,3.0,2017-08-16 10:54:58
伊利股份(600887)融资融券信息(08-18),8996,29,536,0.0,2017-08-19 08:36:51
奶粉配方陆续获批，趋势投资价值突出,57363,10,1028,0.0,2017-08-14 13:31:14
大炮发射,22516,42,121,0.0,2016-11-22 14:25:06
爱喝:心激吃不了热豆腐，喝好酒也还数原浆陈酿!,11527,10,255,4.0,2017-08-16 16:11:40
