日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-09-20,0,0,0,-3,-0.6931471805599453,0.09649209709474871,-0.095176766953552,126,886.1428571428571,7,2,0,0
2017-09-22,0,0,0,-2,-0.5108256237659907,0.057190958417936644,-0.1610866295963747,61,1206.3333333333333,6,2,0,0
2017-07-19,0.00013086460632663922,0.013526625761433873,0.0009779951879767099,0,0.0,0.0,-1.4039151959733878,519,80.0,2,1,0.10,1.36
2017-08-09,0.0026202021491094235,-0.0019214821449677264,0.07035375255804693,3,0.6931471805599453,0.09649209709474871,0.9532725053698072,164,161.71428571428572,7,1,7.29,-0.19
2015-12-19,0,0,0,-2,-0.5108256237659907,0.057190958417936644,-1.0341507907269312,536,900.0,6,2,0,0
2017-08-30,0.00011329067063122394,-0.0004755634773659953,-0.0013300822178141292,-3,-0.6931471805599453,0.09649209709474871,-0.19208881494414104,108,617.4285714285714,7,0,-0.13,-0.05
2017-08-31,0.00019558692573779331,-0.0008387316015357838,0.034019852870661525,3,0.5596157879354227,0.057190958417936644,0.37691703870599086,105,832.3333333333334,9,1,3.46,-0.08
2017-09-29,0,0,0,1,0.4054651081081644,0.057190958417936644,-0.2129622268559542,55,649.6666666666666,3,2,0,0
2017-09-28,0,0,0,1,0.28768207245178085,0.020204102886728803,-0.12212632049667269,123,538.0,5,2,0,0
2017-09-08,0,0,0,1,0.4054651081081644,0.057190958417936644,0.4434336143671651,48,288.6666666666667,3,2,0,0
2017-09-27,0,0,0,0,0.0,0.0,-0.14049279447234747,16,179.5,2,2,0,0
2017-05-19,0.0006631386053640786,0.0001585562967159373,0.027413702704732017,0,0.0,0.0,-1.0310282677440135,216,390.0,6,1,2.78,0.02
2017-09-13,0,0,0,-3,-1.3862943611198906,1.0,-0.6931471805599453,31,385.6666666666667,3,2,0,0
2017-05-12,1.9756449960829517e-05,0.00716356657622197,-0.002277905312993954,-3,-0.916290731874155,0.19999999999999996,-1.6386377891883943,1199,1021.6,5,0,-0.23,0.72
2017-05-24,0.0004311983513036566,0.000695393292502319,-0.024084933839780578,0,0.0,0.0,0.2492275358974908,116,100.0,6,0,-2.38,0.07
2017-07-24,0.00048663564635295376,0.0038899161028251106,0.021465169478826665,0,0.0,0.0,0.011916407671995392,68,197.0,4,1,2.17,0.39
