标题,帖子数,日期,情感
保利低位对倒,13704,295,2017-08-08 11:54:24,0.7131098455388791
沪指也有些放量回落。b,12435,295,2017-08-08 13:15:37,0.25137759814575655
保利--全球顶级抗癌药，中国拥有自主研发产权,16438,17,2017-06-23 20:20:37,0.9999469457033258
次新股0.98元业绩江苏银行股价不到10块仅此1家,40565,76,2017-04-27 21:49:27,0.049974062228808624
保利是我2016年下半年赚钱最多的股票之一,602876,1301,2016-10-23 23:12:09,0.9419969644081256
狂笑  瞎子也狂笑 业绩翻倍 股0.99今年三倍，翻,19981,27,2017-05-24 21:21:26,0.20940363332354495
笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0.99今年,16278,26,2017-05-24 21:20:28,0.6533299212347706
过不了多久，也会像中国神华一样连续涨停，就看,7052,7,2017-09-04 09:21:42,0.8218687469531195
实战炒股口决： 十四工作线，来回做波段；突破,76158,108,2017-03-13 19:11:34,0.986755970349184
要业绩有业绩，要慨念有概念，各路神仙都超级看,7422,16,2017-08-31 22:54:01,0.9984951462954793
买的正海磁材韶钢松山天天暴涨，就这个保利跟个,3432,9,2017-09-04 14:24:42,0.9134071707291189
保利地产：上半年净利56.51亿 证金公司增持超1,38174,7,2017-08-29 17:52:20,0.2830818471486005
广州自贸区概念,47579,63,2017-04-06 21:19:07,0.6958377097328536
保利地产(600048)大宗交易数据一览(09-01),23732,17,2017-09-01 18:23:13,0.22596319962749012
中国证券金融公司发布举牌公告，截止今天本公司,16222,12,2017-08-28 14:11:08,0.9063875984486137
认认真真，苦读十年金刚经，开启人生修心大智慧,7137,15,2017-08-24 15:15:09,0.9981496487839243
2017年半年报点评：规模房企业绩标杆央企资源整,23761,5,2017-08-31 17:13:01,0.07914857931279695
收割城市群战略硕果 上半年保利地产实现规模、,17495,4,2017-08-31 01:28:01,0.9707937931947042
保利地产上半年净利增14% 证金增持1.14亿股,20384,8,2017-08-30 04:06:46,0.38345441555257687
公司2017H1净利润YOY 14%，稳定增长，证金增持,17469,8,2017-08-30 18:34:55,0.8618830114558694
中报净利率10.38。去年8.99，按今年1820亿营收,11919,11,2017-08-29 18:34:40,0.3915589760041127
600048:保利地产2017年半年度报告摘要,20164,4,2017-08-29 17:25:09,0.6843513336216378
600048:保利地产关于重大事项进展的公告,36134,9,2017-08-29 17:23:44,0.62231044210394
真的很害怕，今晚出天大利好。整合保利置业，明,10805,10,2017-08-29 15:00:44,0.6140933136984364
中报速递：保利地产2017年上半年盈利56.51亿元,21703,12,2017-08-29 17:49:27,0.2717586867603514
国家队持有超过10亿股。国资重组第一股保利年销,12976,18,2017-08-28 11:00:26,0.005136514073439957
核心内参泄露（002599盛通股份）要大涨,11545,58,2017-08-24 19:04:39,0.9419963826947761
天有白天黑夜月有阴影残缺股价有涨有跌，保利地,7490,28,2017-08-24 09:41:33,0.8352179057350324
保利地产5000亿攻坚战：确保第一方阵地位 要规,42069,35,2017-05-16 10:25:19,0.6835996460487962
一主两翼起飞，央企整合迎大机遇,50079,16,2017-06-26 08:06:28,0.03455891612957562
国资委：保利集团与中轻集团等实施重组,54410,25,2017-08-21 17:42:20,0.5545188339955537
600048:保利地产关于全资子公司在全国中小企业,12392,9,2017-07-31 19:20:35,0.22256748053910502
保利地产明天不涨我不姓张,17545,25,2017-08-08 15:30:53,0.14049433679387568
保利在这阶段短线操作要领，下周.,14605,11,2017-08-18 19:32:37,0.9676828921305471
中国保利集团与中国轻工集团、中国工艺（集团）,20259,14,2017-08-21 17:06:46,0.964445348050091
还有谁和我一样悲催？,15218,21,2017-08-22 16:57:13,0.9395793439019228
周线小阳线，不错,11093,32,2017-08-18 21:29:19,0.8765151799764382
强烈要求中国证监会严历查处兴风作浪的保利地产,10391,29,2017-08-23 09:44:46,0.5837172423851618
听话的孩子无奶吃，或者就是这理。连各卷商的估,14626,63,2017-08-12 07:44:47,0.9769748011168893
保利地产(600048)融资融券信息(08-15),7565,7,2017-08-16 07:37:25,0.7884728735409863
我杀回来了，保利地产，准备长期持有。如果一只,13809,16,2017-08-14 12:54:26,0.09458556906010929
2017中报预告业绩符合预期 地产龙头稳健经营,53058,10,2017-07-24 09:28:17,0.26460041435156967
保利地产七月销售点评：7月销售同比增长四成，,40019,21,2017-08-11 21:54:29,0.7793422390877868
盘中有做多资金盘跌可能是未来的主基调,7145,7,2017-08-16 15:57:10,0.9773815474268338
清仓了    耗了我1年    拜拜了暴力   再也不买,7002,14,2016-12-01 14:57:39,0.9182182715673206
保利成本我最高，有图为证,23401,35,2016-03-24 23:37:48,0.7931535952742556
死悄悄五连阴,7989,16,2017-07-27 11:12:41,0.5996073276149217
我老张炒几十年股做超级短线从来不看量和K线,8128,6,2017-08-09 10:04:14,0.573539184676119
周末也就是明天把抛出的货如数接回来,5259,5,2017-08-10 16:40:49,0.19578727912534166
卖啦，这里要整理，前高，放量，获利盘多，所以,13879,20,2016-11-23 16:51:26,0.275951816800421
保利地产今日超大单流入排名第3名(12-01),26965,5,2016-12-01 16:05:12,0.6127368740669485
今天保利地产公司办丧事股票下跌二天给宋总买纸,6373,18,2017-08-07 09:45:36,0.8788469935631474
600048:保利地产关于本公司获得房地产项目的公,35487,7,2017-08-08 18:26:44,0.851686402951587
10.5买的，这样搞还让人活吗？,7589,15,2016-12-01 11:30:41,0.3248491567318317
保利地产≠ 主力已开始悄然出货，别再被牵着鼻,32310,98,2017-06-29 12:10:15,0.24900036485816068
11.29地产暴跌，保利如果不是利好停牌，就对不,3769,8,2016-11-29 15:05:40,0.33043007957390036
老子10,84清了,明天定跌停,8664,13,2016-12-01 16:40:28,0.7741988000042908
现金流比较,8006,7,2016-11-25 14:37:26,0.22741902109870582
梦见涨停,12569,50,2016-11-29 01:53:59,0.5661315108071885
