标题,帖子数,日期,情感
箱体运动！,53712,136,2017-05-02 09:04:22,0.2848368670696244
光大证券董事会与公司监事会拟进行换届选举,3719,3,2017-08-30 00:57:32,0.1954513844168393
券商股值得逐步全仓买入和拼命捂住的根本原因,45685,34,2017-05-11 18:58:27,0.3936754425544208
铁心陪股友走完光大证券从现价到30元全程,53210,63,2017-04-27 10:09:03,0.3564757110808069
光大证券(601788)融资融券信息(09-01),5609,17,2017-09-02 07:58:34,0.6737175687896524
16.68一定突破,14468,14,2017-08-26 18:27:42,0.9152800586288998
光大证券2017上半年净利润同比降18%,8084,6,2017-08-30 11:22:47,0.11425211582886685
光大证券半年报降18% 证金增持至4.99%,7029,3,2017-08-30 10:02:26,0.1398447358543653
光大证券：上半年净利同比降18% 证金公司持股达,17821,11,2017-08-29 20:38:14,0.015419203120824343
光大证券“期中考”：扣非净利跌近三成 经纪业,9026,11,2017-08-29 22:16:50,0.35655486878059695
中报速递：光大证券2017年上半年盈利12.37亿元,12293,12,2017-08-29 20:19:27,0.17130378984754924
601788:光大证券2017年半年度报告摘要,18041,8,2017-08-29 19:54:21,0.5456585788025059
光大证券上半年净利润减少18.30%至12.37亿元,4071,3,2017-08-30 01:03:38,0.16456324607692063
光大--全球顶级抗癌药，中国拥有自主研发产权,12438,14,2017-05-12 22:18:13,0.9997878165850281
光大证券(601788)融资融券信息(08-28),2888,5,2017-08-29 07:59:18,0.6737175687896524
薛峰下台。大家在股东大会强投票,4572,8,2017-08-20 11:51:10,0.9972397519724915
[牛护城河]漂亮50必将长期走牛！沪深300必将长,7139,8,2017-07-18 17:22:01,0.9998592318697851
雄安新区概念继续走强,13478,248,2017-07-09 14:19:18,0.9603973995349558
薛峰！你把光大搞成这样会有报应的,15755,250,2017-07-21 21:26:40,0.8646592062816167
光大证券(601788)融资融券信息(08-25),4550,17,2017-08-26 10:07:32,0.6737175687896524
2017年撸起袖子加油干！宿命与反抗！当前我国资,15645,16,2017-03-16 18:24:14,0.9920695079712193
缩量下跌放量上涨明显主力资金进场信号，一个“,18479,31,2017-05-27 08:37:05,0.6434082309428164
立贴为证：人造慢牛国家意志！大国崛起大牛启动,18192,25,2017-03-23 12:17:42,0.9766513940243794
立贴为证：大国崛起大牛市启动:第一目标剑指340,24267,32,2017-03-31 19:53:12,0.7430145420113986
可怜的散户失败的原因就是：底部区域极度恐慌而,14566,8,2017-03-03 08:35:22,0.008424070180150234
薛峰终于把AA级给丢了！是不是丢你先人啊？看了,9715,13,2017-08-14 20:21:51,0.993833254954218
光大证券(601788)融资融券信息(08-24),3711,3,2017-08-25 07:47:51,0.6737175687896524
不破不立，应该振奋一下了,4549,44,2017-05-05 13:41:53,0.8246221730645136
光大证券(601788)融资融券信息(08-18),6346,33,2017-08-19 08:38:45,0.6737175687896524
光大证券(601788)融资融券信息(08-16),4841,5,2017-08-17 07:46:26,0.6737175687896524
光大证券：经济数据全面回落 没有新周期,9939,7,2017-08-14 21:50:25,0.33594312244964897
光大证券(601788)融资融券信息(08-04),4956,3,2017-08-05 07:48:07,0.6737175687896524
601788:光大证券2017年7月当期财务数据简报,23974,6,2017-08-07 19:20:27,0.17771822010189475
高位急拉升是大跌前的诱多！庄出货是一个价格区,9512,12,2016-11-03 13:32:19,0.8593811772450138
光大证券7月净利润为2.02亿元环比减少44%,11209,3,2017-08-07 20:10:13,0.07821025204882281
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,18089,34,2017-04-07 14:03:46,0.9996580281845514
别买入！耐心等待融资盘被强平爆仓时抄底不迟78,27795,37,2016-01-14 13:42:58,0.43887579832818824
所谓外汇管理局旗下公司参股，纯粹是划转来的，,15407,27,2016-03-31 16:19:53,0.006748940607275933
为什么光大证券走势一直比大多数证券弱？,6391,5,2017-06-29 11:17:09,0.2895688993966341
威孚高科： 360度大转弯 必将弯道超车变成超级,4034,3,2017-06-29 10:34:12,0.9765689378264211
进场: “双重改革”受益股,社保养老金标的股,4299,0,2017-07-29 12:47:00,0.9893200488469195
601788:光大证券关于高级管理人员履职的公告,14361,4,2017-07-28 18:41:56,0.09009743705657736
熊市阶段的每一次反弹都要想方设法将筹码交给别,77212,88,2016-04-01 14:19:15,0.9397115173265013
抢盘了，抢盘了，黄金砸头！晨鸣投资价值第一股,16759,28,2017-03-05 20:22:56,0.9964870876204753
上午国家队还未出手下午收盘前必拉好算半年账，,5018,4,2017-06-30 11:18:42,0.9283538533505731
早盘割肉了光大再见，买进红3分的西部证券现涨2,5160,6,2017-06-14 11:16:28,0.355205584057976
光大证券完成发行45亿元公司债券,8062,6,2017-07-05 18:29:01,0.08352529258492858
威士顿IPO遭否：是否对上烟集团存依赖受关注 光,12989,7,2017-06-28 10:28:26,0.7942508484458837
券商板块仅凭这一点就足以成为下一场牛市领头羊,15639,9,2017-06-08 15:07:01,0.7490562601196376
紧急通告：立即抢购7.02元历史最低位附近的金钼,4653,6,2017-05-10 14:30:02,0.9179398754119068
主力最后还是靠劵商股的、因为只有拉券商股主力,7491,40,2017-07-14 14:43:12,0.0695111784911231
铁打事实证明丹东老葛长线选股能力没人能比,8497,19,2017-06-16 17:47:26,0.9580605876944902
光大证券将于7月19日派发A股现金红利每股0.2元,16764,6,2017-07-11 20:44:08,0.003124205055978213
基金抱团炒个股是中国式庞氏骗局，危害大788,35905,35,2016-07-21 14:25:24,0.8229187072343886
光大证券(601788)融资融券信息(06-09),6357,6,2017-06-10 07:41:37,0.6737175687896524
"粤水电(OO2O6O)才是真正""一带一路""错杀成白菜价",17571,45,2017-05-13 17:45:14,0.540114657660517
光大证券在港有营业机构利于外资过桥，下半年必,4540,9,2017-06-22 01:57:46,0.9293500770233891
光明就在眼前：市场已进入周线量级别的反弹趋势,18188,72,2017-05-30 11:36:41,0.9876287873602891
看光大证券,22319,20,2016-11-22 18:08:45,0.47950107515719254
新证券法4月份提请人大审议！！！,8633,14,2017-03-08 17:51:28,0.7472451270459602
希望大家都要买股票，不要卖股票。,1483,10,2016-03-10 07:18:51,0.7461831277065281
光大证券(601788)融资融券信息(06-15),6547,7,2017-06-16 07:42:14,0.6737175687896524
601788:光大证券关于向合格投资者公开发行公司,10368,7,2017-06-12 18:53:03,0.6857915800147724
下午所有板块，准备接受来自券商的吊打！,5168,10,2017-06-16 11:07:42,0.564097371805613
热烈祝贺：光大证券夺冠券商股倒数第一名，害惨,4881,6,2017-06-09 09:56:54,0.016066037745924078
韩都优品全球购时尚休闲百货优质低价引领行业新,4195,7,2017-06-23 16:07:32,0.9660659875168678
我买了假50,3815,4,2017-07-01 08:16:53,0.42625309018313373
支持,2327,38,2017-06-01 10:54:04,0.626712328767123
光大证券(601788)融资融券信息(05-31),6990,8,2017-06-01 07:48:45,0.6737175687896524
吊颈线要人命的，希望大家不要买这种,7427,17,2017-06-24 13:28:51,0.4931551845260125
光大证券被薛峰毁了,13468,29,2017-06-26 08:03:16,0.8401264909982601
光大证券(601788)融资融券信息(06-29),4799,3,2017-06-30 07:45:35,0.6737175687896524
异想天开15接盘？,14827,25,2016-09-27 21:44:03,0.5949388350730868
光大证券获批发行不超过190亿元的公司债券,7806,5,2017-06-12 21:04:58,0.2431418693464168
上涨干不赢大盘，下跌大盘是永远干不赢光大证券,3368,3,2017-06-08 13:24:41,0.06527380776031877
直从投了好光大证券，把3室一厅变了一室一厅，,2629,25,2017-03-24 05:49:19,0.04001267553277099
第一垃圾,13617,53,2017-05-24 13:29:44,0.13813953731787376
光大证券(601788)融资融券信息(04-12),8507,8,2017-04-13 07:48:01,0.6737175687896524
这么多500手的买单不会就那么巧合吧，庄家有意,5498,29,2017-04-14 14:55:56,0.1998455634013785
B刚上市3周不到，就有13家机构扎堆调研！,8820,11,2017-05-04 20:25:10,0.030483859961106807
看你们天天亏,3767,6,2016-12-30 13:56:36,0.8059928822056756
光大证券：PPP业务私募基金子公司正式成立,14007,8,2017-06-12 19:05:27,0.9949380657014896
放弃老热点，发掘新热点,3407,19,2017-04-25 09:47:49,0.9707847457153709
光大的ppp题材从来没炒过，下周能炒起来吗？,3397,14,2017-05-07 14:50:25,0.154637533168131
改革大刀阔斧，转型持续迈进,14597,12,2017-03-30 10:25:53,0.9786184137878453
谁知道实情,2363,11,2017-05-09 08:37:32,0.4599673836325483
马上就要爆发了，10送10股分红5元，快买赚大钱,8091,13,2017-02-23 19:01:10,0.22447397178795814
买入上海石化(600688),142885,203,2016-06-14 10:46:58,0.3141388674957901
什么时候分红到账？,6760,45,2017-06-13 21:29:10,0.21838566800808223
你们没有操作过ppp项目，要知道，这里面的利润,5129,40,2017-06-13 09:07:30,0.14823348215745646
601788:光大证券关于光大发展投资有限公司成立,8606,4,2017-06-12 18:49:46,0.9418939159468739
光大一跌再跌 跌跌不休！,1334,21,2017-04-24 09:36:30,0.009431518832857866
看好你们,1548,23,2017-04-26 15:11:14,0.40000000000000013
光大证券5月纯利近1.2亿人币 按月升83%,18877,8,2017-06-07 18:10:37,0.07071574463650154
光大证券收购英国券商继续海外扩张,19637,3,2017-05-26 06:59:10,0.9973166558030919
十年炒股两茫茫，先亏车，后卖房！ 千股跌停，,13554,21,2016-01-29 07:42:38,0.30838456943772297
≡华泰证券+美国金融科技企业AssetMark=进入无,249297,661,2016-04-30 21:01:43,0.9774532754596299
空仓的感觉真好,3801,2,2017-04-25 09:47:08,0.40175711069436904
光大证券换帅 薛峰履新董事长,22560,74,2016-11-07 03:40:26,0.9921296283288971
狗日的垃圾,6592,8,2017-05-12 11:12:20,0.11578971089300338
≥华泰证券+美国金融科技企业颠覆“金融系统”,258970,714,2016-05-07 05:45:37,0.9999687895317774
==》恢复T+0根本不用救市资金，券商板块自己就,160953,264,2015-09-26 06:15:31,0.823840134559883
≈华泰证券最强的互联网券商将成为财富管理行业,215191,493,2016-05-05 20:37:18,0.9665334792509377
光大证券：中盘优质券商，底部的蓝筹，新一轮牛,30282,26,2017-02-23 22:07:27,0.6673606623099578
《《《整体向好,14083,35,2017-04-08 15:59:31,0.8206216721340049
熊市不言底,3170,11,2017-04-25 09:47:02,0.7297953905324696
行情尾声，注意风险！经济每况愈下，牛市没基础,22777,38,2015-11-17 12:22:44,0.9972142685143891
此时下探是为了更好的上涨,5963,0,2017-05-03 10:36:53,0.6491659919575303
下跌途中的尾盘拉升预示：持续暴跌随时来临788,20244,10,2016-07-14 13:51:15,0.40469233820717776
这垃圾全是套牢盘，跟跌不跟涨,2860,2,2017-03-20 10:34:20,0.1802257115193454
无论你在什么时候开始,4490,17,2017-04-25 09:47:53,0.5262327818078083
紧急通告：立即抢购处于历史低价的金钼股份6019,51562,41,2015-12-29 11:06:59,0.9933145453270636
A股中流砥柱——光大证券,24675,48,2017-03-26 19:30:56,0.2509233441970774
牛股来了 300231是IT和大数据龙头 美国最牛的股,2593,2,2017-03-06 10:32:55,0.06776930527102587
顺应趋势，服务实体，把握机遇,19748,9,2017-04-09 11:01:19,0.9023719266928855
601788:光大证券2017年3月当期财务数据简报,25644,8,2017-04-11 17:12:19,0.14362576513757686
请大家真实评价一下雪峰董事长,13515,40,2017-03-24 12:28:59,0.7133293682251788
601788:光大证券H股公告(董事会会议召开日期),19037,9,2017-03-14 19:50:44,0.0284384883993416
今早华谊兄弟要暴涨拉停，换股啦！,3163,12,2017-03-22 00:33:25,0.031357441651043816
万1.6的佣金对券商毁灭性的打击光大目标11元,10231,10,2017-03-10 13:23:19,0.8005643883538813
横久必跌，先出来避避风头，真暴跌就完蛋了,6586,18,2017-02-23 19:58:19,0.6098530307800842
601788:光大证券2017年2月当期财务数据简报,29355,7,2017-03-07 18:08:24,0.11462395699363592
那个浙江光大发展总公司和中国光大到底是什么关,457983,295,2017-01-27 09:23:08,0.8121577289867031
唐双宁辞任光大证券董事 或专注于光大集团整体,18134,7,2017-02-28 11:03:12,0.9583680611830291
华鑫证券借壳华鑫股份 将成为最小盘券商！！！,8957,27,2017-02-02 13:53:37,0.3716231093416621
14~16就是光大证券的铁底,8438,13,2017-02-18 18:07:21,0.2878641910085178
光大证券(601788)大宗交易数据一览(02-21),15196,8,2017-02-21 18:19:43,0.13920072450003818
601788:光大证券2016年度业绩预告,54717,6,2017-01-20 19:28:17,0.5703342161986747
光大证券(601788)大宗交易数据一览(02-16),15041,11,2017-02-16 18:04:49,0.13920072450003818
进场:地方国企二线蓝筹股---跨年行情热点,9858,6,2016-12-19 11:02:30,0.8644026785794174
光大证券2016年业绩预减58.67%,20076,7,2017-01-20 20:35:04,0.29088592778102806
这里聊两句吧，那边不让说话了哈。其实两个票很,15357,17,2017-01-13 18:00:37,0.26622977659946445
前几天本人说过三个交易日光大破新低，今天实现,7496,9,2017-01-12 09:34:28,0.052762614565317056
601788:光大证券2016年12月当期财务数据简报,23435,8,2017-01-11 18:34:48,0.1140989306172584
上海市首例“光大乌龙指”股民索赔上交所、中金,19911,9,2016-12-29 16:33:38,0.7668268421158156
601788:光大证券2016年11月当期财务数据简报,30864,12,2016-12-07 19:48:16,0.090280115406839
“那个券商业绩最好就砸它！”,20264,19,2015-12-24 11:59:33,0.5256406141850539
要急涨至33元,赶快抢入,戓坚定持有,32812,68,2016-11-08 17:06:13,0.3715684322838263
光大增发股上市，涨涨涨,91873,150,2016-08-31 15:36:00,0.4211651172190387
中国建筑增持光大证券 郭广昌续增持复星医药,49252,7,2016-12-21 13:29:12,0.9774873136503369
中国建筑工程总增持光大证券510万股 耗资6219万,52370,17,2016-12-20 21:32:00,0.5705716841509472
光大证券与吉林市政府开展战略合作 并成立中国,11173,6,2016-12-20 15:20:39,0.9338367299456616
光大证券与吉林市政府战略合作 成立中国首支百,14415,9,2016-12-19 20:30:44,0.9522883672336188
光大光大收盘跌光！,3948,33,2016-12-16 14:55:00,0.17301310252743995
『华安,13676,55,2016-11-27 22:00:09,0.7297953905324696
所有的券商股里，光大最垃圾,21119,59,2016-11-07 09:47:41,0.11180412264381934
光大证券11月净利润约2.87亿元环比下跌约2%,11431,7,2016-12-07 20:29:01,0.04373067379261275
个股大冲卖卖卖，大盘大跌买黄金！,8221,11,2016-12-01 15:19:47,0.1475415807288285
601788:光大证券H股公告(股份发行人的证券变动,24723,5,2016-12-05 19:25:10,0.13366662131634577
下一个交易周目标价20.50元,12188,15,2016-11-26 11:47:00,0.6121340971510159
券商佣金率一降再降 “万三”已成行业标配,37086,80,2016-03-16 02:15:35,0.0747744570669181
前光大证券总裁徐浩明重出江湖 出任雪松控股上,39737,26,2016-11-29 14:18:54,0.8778480240143346
加油,5005,35,2016-07-21 15:42:21,0.9047619047619047
一直是光大证券用户，今年打了一百多支新股，一,6144,6,2016-11-28 11:35:57,0.23045105779733344
光大证券(601788)融资融券信息(11-25),4333,1,2016-11-26 07:45:30,0.6737175687896524
601788:光大证券关于非公开发行限售股上市流通,38212,14,2016-08-26 20:13:05,0.0685769655147549
光大证券10月净利润亿2.93元人民币,9163,2,2016-11-21 23:30:26,0.107509863878536
星期一给机会不珍惜！开盘涨停！,15743,41,2016-11-06 08:18:51,0.970739424820974
『上海银行,8449,21,2016-11-13 16:36:58,0.4904423793090811
我一直用心在爱着你们--可是你们一直在用你们的,14745,299,2016-11-10 21:41:58,0.9225471836389642
周二做空光大的蠢货们 你们周三直接砍头,4820,6,2016-11-08 11:24:34,0.10414413200134454
601788:光大证券2016年10月当期财务数据简报,28567,9,2016-11-07 18:40:39,0.12483697427947404
光大证券换帅：新任董事长薛峰曾于“816乌龙指,21400,2,2016-11-05 00:31:25,0.9987388011734996
光大证券9月净利润3亿元人民币,11267,5,2016-11-03 22:53:01,0.0630483305934566
光大证券(601788)融资融券信息(11-04),4194,12,2016-11-05 07:45:15,0.6737175687896524
光大证券：郭新双辞任董事长 称与董事会无意见,14209,13,2016-11-04 16:28:39,0.4021945578703141
光大证券(601788)融资融券信息(11-03),3444,3,2016-11-04 07:44:57,0.6737175687896524
创新业务表现出色，H股IPO加速国际化布局,26045,4,2016-11-03 10:16:12,0.9235328548269498
大利空 证金减持光大证券至1.87%，梧桐树3家接,19175,25,2016-03-31 14:21:52,0.06749694124631656
大利空 证金减持光大证券至1.87%，梧桐树3家接,32475,48,2016-03-31 15:00:38,0.06749694124631656
Q3业绩环比小幅增长,16169,3,2016-11-01 20:16:21,0.960384044180451
601788:光大证券2016年第三季度报告,31365,6,2016-10-28 23:12:29,0.44158325703187795
光大证券董事会通过有关新设营业部及设立PPP私,13042,5,2016-10-28 23:13:48,0.7390879455197182
女友说：光大是没用的，需要深发展才行！,3772,15,2016-10-11 16:50:01,0.730637605295717
光大证券完成发行40亿元公司债,10513,3,2016-10-24 19:26:39,0.2147086689634069
601788:光大证券2016年非公开发行公司债券(第三,20357,6,2016-10-24 18:30:23,0.06925232488541089
光大证券员工景某，现任石家庄建华大街槐北路光,15824,22,2016-10-15 17:47:37,0.7755430409564801
光大证券：母公司首9月累计实现净利约23.74亿元,16317,5,2016-10-14 19:40:40,0.07109291075528124
