日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-09-20,0,0,0,-2,-0.6931471805599453,0.1339745962155614,-1.1629962224248565,45,592.25,4,2,0,0
2017-05-12,9.575263924775423e-05,0.00716356657622197,0.0006823609954290869,2,1.0986122886681098,1.0,1.1025496435709192,26,1364.0,2,1,0.07,0.72
2017-09-28,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,508.0,1,2,0,0
2017-09-27,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,46,167.0,1,2,0,0
2017-09-11,0,0,0,-2,-0.6931471805599453,0.1339745962155614,-0.0262338795683535,71,897.0,4,2,0,0
2017-09-26,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,12,305.0,1,2,0,0
2017-08-29,0.00014107535363249007,0.0007669578311350367,0.0025429130041123332,-3,-0.916290731874155,0.19999999999999996,-0.2787570639181511,48,624.4,5,1,0.25,0.08
2017-09-15,0,0,0,-3,-1.3862943611198906,1.0,-1.4390661094880983,40,272.3333333333333,3,2,0,0
2017-09-09,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,57,338.0,2,2,0,0
2017-09-13,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,538.0,1,2,0,0
2017-05-11,0.0001143874787335126,0.0028490653507486784,0.005475715255962763,-1,-0.6931471805599453,1.0,-1.5040773967762742,39,814.0,1,1,0.55,0.29
2017-04-27,8.024019428558087e-05,0.003603985442434694,-0.00405680069561443,-1,-0.6931471805599453,1.0,-1.5040773967762742,65,322.0,1,0,-0.40,0.36
2017-05-27,0,0,0,1,0.6931471805599453,1.0,1.6094379124341003,35,210.0,1,2,0,0
2017-03-23,5.951264561312222e-05,0.001025598471115983,0.0025756614367956703,1,0.6931471805599453,1.0,1.6094379124341003,28,206.0,1,1,0.26,0.1
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,42,536.0,1,2,0,0
2017-08-16,3.192795951206548e-05,-0.0014805218695833238,0.0006727211824505548,-1,-0.6931471805599453,1.0,-0.6931471805599453,19,156.0,1,1,0.07,-0.15
2017-09-08,0,0,0,-2,-0.40546510810816444,0.031754163448145745,-0.22446725628889658,143,150.5,8,2,0,0
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,536.0,1,2,0,0
2017-03-31,6.746321506926143e-05,0.003814858304950817,-0.006506203822738167,-1,-0.6931471805599453,1.0,-1.6094379124341003,37,524.0,1,0,-0.65,0.38
2017-09-21,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,528.0,1,2,0,0
2017-09-18,0,0,0,1,0.6931471805599453,1.0,1.6094379124341003,8,259.0,1,2,0,0
2017-04-07,1.5012539534432833e-05,0.0017114270837045578,0.003224768999014576,-1,-0.6931471805599453,1.0,-1.8718021769015913,36,764.0,1,1,0.32,0.17
2017-09-16,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,13,534.0,1,2,0,0
2017-05-30,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,74,327.0,1,2,0,0
2017-09-14,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,10,744.5,2,2,0,0
2017-07-18,5.924398111422724e-05,0.003491501858554478,-0.008064559836730408,-1,-0.6931471805599453,1.0,-1.7047480922384253,9,551.0,1,0,-0.80,0.35
2017-09-07,0,0,0,0,0.0,0.0,0.14686067790667195,69,273.0,4,2,0,0
2017-09-12,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,534.0,1,2,0,0
2017-05-02,1.6691033461260225e-05,-0.003477093607484734,-0.006798122713820985,1,0.6931471805599453,1.0,1.6094379124341003,152,158.0,1,0,-0.68,-0.35
2017-03-16,0.0001358261715085987,0.008349381141158718,0.016976201463421298,-1,-0.6931471805599453,1.0,-1.6094379124341003,18,464.0,1,1,1.71,0.84
2017-03-03,3.6477198296549425e-05,-0.0036350480605101677,-0.0031318534837939337,1,0.6931471805599453,1.0,1.6094379124341003,10,272.0,1,0,-0.31,-0.36
