标题,帖子数,日期,情感
低价蓝筹行情会持续，高价，创业板还要跌1年，,21718,55,2017-07-26 22:10:12,0.1496412660117108
唐双宁年过花甲，近七十岁的人，还要霸着光大集,7551,20,2017-08-23 14:04:15,0.7660715589109093
光大银行全体股东的罪人—唐老鸭！,14244,44,2017-08-11 20:31:01,0.17239361194312408
本人预测农业银行将超过光大银行股价，现在h股,40698,91,2017-05-21 17:57:03,0.4819570649750825
全球顶级抗癌药，中国拥有自主研发产权,10561,21,2017-06-23 21:47:25,0.9998089672928583
愿意长期投资的朋友们可以买点银行股,30649,46,2017-05-19 11:17:27,0.533693659381871
建议愿意长期投资的朋友们买点银行股,35061,58,2017-05-03 19:51:06,0.374371894067672
建议民营老板们买点银行股,21207,49,2017-05-02 10:22:23,0.04584892015322006
此地有银三百两 就是隔壁王二偷,25887,69,2017-09-01 11:28:40,0.2864049752915856
光大银行获中银监批准非公开发行58.1亿股H股,24931,13,2017-07-26 10:04:13,0.17933215348843723
咯咯 狂笑狂笑咯咯咯咯，三年利润之和超现公司,8290,10,2017-06-25 22:28:06,0.49120478383335875
嘿嘿 大笑大笑 咯咯咯咯，晨鸣三年利润之和超现,19362,49,2017-06-26 21:13:44,0.997455766117627
炒股日记,39142,189,2017-05-22 10:52:21,0.11802228315713614
半年报中被机构聚焦锁定的低估值公司：,5606,17,2017-09-01 09:45:36,0.838869974564267
实战炒股口决： 十四工作线，来回做波段；突破,42556,69,2017-05-13 06:56:53,0.986755970349184
光大银行(601818)融资融券信息(09-01),5817,9,2017-09-02 07:58:43,0.6380770554322551
京东金融与光大银行签署战略合作协议,13319,5,2017-09-01 03:22:48,0.7267499226503829
农行股价必将超过光大银行和中国银行,34807,86,2017-04-17 08:06:08,0.48310062690727074
1个月内见到10元,10248,14,2017-08-25 21:38:58,0.045981999087792436
今日光大银行为什么盘中卖压沉重？,18567,261,2017-07-28 15:15:34,0.8836295280720838
光大集团跌破净资产怎么整体上市？,21491,252,2017-07-17 11:37:23,0.028780771060903487
一直在做波段差，都没注意看，成本都降到3.9了,15343,245,2017-07-17 14:56:15,0.013629580957628118
光大银行(601818)融资融券信息(08-25),8258,16,2017-08-26 10:07:53,0.6380770554322551
601818:光大银行2017年半年度报告摘要,14357,4,2017-08-25 19:25:47,0.5062808245775542
中报速递：光大银行2017年上半年盈利169.39亿元,27519,15,2017-08-25 20:37:13,0.15002117230728274
光大云缴费上半年交易额突破300亿 成为开放平台,13341,6,2017-08-21 07:40:44,0.952727649597146
超值的光大银行,85051,92,2016-09-13 16:37:53,0.8728091884462219
光大率领银行业打压大盘,肮脏丑陋,218724,438,2016-01-25 10:07:47,0.4131114829470649
光大银行(601818)融资融券信息(08-18),7059,41,2017-08-19 08:38:50,0.6380770554322551
出死入生、出生入死，二选一！,4162,9,2017-08-09 14:42:04,0.7631635923169853
永远落后于其他银行股，应该光大银行内部出了问,9359,21,2017-07-27 16:45:38,0.01496617390272359
光大银行(601818)融资融券信息(08-11),7077,6,2017-08-12 07:49:15,0.6380770554322551
瞎子亦狂笑 业绩翻倍 季报再增长300%翻倍搖新股,20284,36,2017-05-07 18:53:14,0.9382818522991375
中国光大银行获光大集团增持A股,11854,4,2016-10-17 21:18:56,0.13147903917187587
在净资产5元以下，大股东光大集团都应该而且必,9392,7,2016-10-18 10:07:57,0.2511583704178756
601818:光大银行关于卢森堡分行获当地监管部门,20315,6,2017-08-04 19:21:45,0.5342716095546249
光大中信真是难兄难弟啊,13487,37,2017-07-06 09:40:54,0.7296334663075456
光大银行：光大集团累计完成增持近5亿元,15139,3,2016-10-17 21:05:52,0.05116389873004645
咯咯笑业绩去年翻倍股0.99，今再翻倍超2元，股,14756,23,2017-04-28 12:22:45,0.039512222539688
光大银行(601818)融资融券信息(07-03),5956,7,2017-07-04 07:40:28,0.6380770554322551
中美谁是第一大经济体？,13374,15,2016-10-10 08:41:06,0.9348695526633575
光大银行8元以下不卖联盟举手。,7607,14,2017-07-22 14:23:41,0.39718573521928735
进场: “双重改革”受益股,社保养老金标的股,6853,2,2017-07-29 12:07:56,0.9893200488469195
光大银行连钢铁股都不如，但员工工资比炼钢工人,7793,11,2017-07-10 10:17:41,0.02733711956124929
光大银行，银行股中的“潜水艇”,7594,14,2017-07-07 08:38:03,0.09060498526854355
光大银行因2016年度利润分配转债转股价下调至4.,29648,26,2017-06-27 22:23:06,0.23640643056643051
光大银行拟定增H股股票 募集资金总额不超过310,19574,32,2017-05-02 20:29:51,0.526197395182393
我国累计投入运营动车组占全球总量六成以上、证,4890,25,2017-07-09 05:00:44,0.9366885278905004
光大银行拟定增H股股票 募资不超过310亿元,13947,6,2017-05-03 09:16:14,0.11474791257656392
光大银行拟配售65.69亿H股 集资不逾350亿元,19696,12,2017-05-03 03:17:23,0.05216316667554732
601818:光大银行关联交易公告,28717,5,2017-07-27 19:04:39,0.13334608152481886
哈哈哈！抢盘了，抢盘了，黄金砸头！晨鸣投资价,13132,25,2017-03-07 20:05:36,0.9999090134657523
基金抱团炒个股是中国式庞氏骗局，隐患危害大81,38233,43,2016-07-22 09:04:29,0.9262069561756864
光大好便宜，市值比茅台五粮液低很多,5132,4,2017-07-05 14:34:00,0.7418151030806862
光大银行,79601,77,2015-08-31 09:46:05,0.2986479332114579
为啥光大市值还不如美的格力呢,5104,4,2017-07-06 09:45:35,0.12385562316770349
601818:光大银行关于根据2016年度利润分配方案,43624,12,2017-06-27 18:13:02,0.04266067427972897
成功源于杠杆，失败也源于杠杆，但真正之错不在,4788,4,2017-07-05 08:16:56,0.7433560123798311
601818:光大银行关于中国光大银行股份有限公司(,28145,12,2017-07-14 16:47:24,0.47152725384032335
融资融券买了9万股光大银行.放半年到5快就行,16799,29,2017-06-21 09:37:57,0.7027337901278705
广发证券为何涨停？73债券通券商史上最大利好，,4625,7,2017-07-03 13:05:42,0.6120530189581207
601818:光大银行2016年度A股普通股权益分派实施,56752,15,2017-06-27 18:12:20,0.07168212887295144
中国光大下属企业浙江光大发展总公司涉嫌诈骗基,205487,37,2017-02-01 20:26:10,0.403079958539849
