日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2016-10-07,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,15,1942.0,1,2,0,0
2017-05-03,2.173013485371613e-05,-0.0026628205303957527,0.0051813587419975845,-3,-1.3862943611198906,1.0,-1.448524064176775,103,291.6666666666667,3,1,0.52,-0.27
2017-09-15,0,0,0,-3,-1.3862943611198906,1.0,-1.66525403963583,88,327.0,3,2,0,0
2017-05-02,2.1956786309747126e-05,-0.003477093607484734,-0.0025940351770465356,-1,-0.2876820724517809,0.020204102886728803,-0.773820794795906,146,613.4,5,0,-0.26,-0.35
2017-09-11,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,15,359.0,1,2,0,0
2017-05-19,2.1843019620645993e-05,0.0001585562967159373,-0.0025940351770465356,-1,-0.6931471805599453,1.0,-1.791759469228055,78,232.0,1,0,-0.26,0.02
2017-08-21,1.9452563388367428e-05,0.005549442748311529,-0.004889985294191681,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,1022.0,1,0,-0.49,0.56
2017-08-23,0.00010539596065279038,-0.0007692389930437725,0.004878058453432994,-1,-0.40546510810816444,0.057190958417936644,-1.2086806235903993,65,195.33333333333334,3,1,0.49,-0.08
2017-06-25,0,0,0,1,0.6931471805599453,1.0,1.8718021769015913,14,561.0,1,2,0,0
2017-06-26,0.00010909397132348705,0.008692677357703274,-0.002503130218118477,1,0.6931471805599453,1.0,1.8718021769015913,57,549.0,1,0,-0.25,0.87
2017-06-23,5.678181888102364e-05,0.003305148504969669,0.0025031302181184748,1,0.6931471805599453,1.0,0.6931471805599453,27,2609.0,1,1,0.25,0.33
2017-09-13,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,536.0,1,2,0,0
2017-05-21,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,103,240.0,1,2,0,0
2017-09-24,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,45,197.0,1,2,0,0
2017-08-11,0.00010695743820427658,-0.016447856148161306,-0.0024360547978813383,-1,-0.6931471805599453,1.0,-0.6931471805599453,77,292.0,1,0,-0.24,-1.63
2016-01-25,6.568879790141417e-05,0.007497810557504851,0.0,-1,-0.6931471805599453,1.0,-1.6094379124341003,442,142.0,1,2,0.00,0.75
2017-05-13,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,75,778.0,1,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,52,520.0,1,2,0,0
2017-09-20,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,34,139.0,1,2,0,0
2017-09-01,0.00016761784184535352,0.001875763228849927,-0.01197619104671565,-2,-0.6931471805599453,0.1339745962155614,-0.56050095440274,101,261.75,4,0,-1.19,0.19
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,532.0,1,2,0,0
2017-09-21,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,2,524.0,1,2,0,0
2017-07-26,0.00023441497931547077,0.0012262455013185357,0.004672905699392423,-2,-1.0986122886681098,1.0,-1.3826560577568257,78,237.0,2,1,0.47,0.12
2017-04-17,0.00014720877268361692,-0.00738998824058912,-0.005012541823544286,1,0.6931471805599453,1.0,1.791759469228055,94,294.0,1,0,-0.50,-0.74
2017-09-18,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,25,434.0,1,2,0,0
2017-04-28,8.851915607984185e-05,0.000783275367666143,0.0,-1,-0.6931471805599453,1.0,-1.8718021769015913,26,602.0,1,2,0.00,0.08
2016-09-13,2.2778636094966438e-05,0.0005061624558689113,0.005305052229693098,2,1.0986122886681098,1.0,1.6233049647372915,110,200.5,2,1,0.53,0.05
2017-09-16,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,9,526.0,1,2,0,0
2017-05-07,0,0,0,1,0.6931471805599453,1.0,1.8718021769015913,40,2383.0,1,2,0,0
2017-09-12,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,846.0,1,2,0,0
2017-07-03,1.9937650566941534e-05,0.0010894850130779528,-0.002472189145389037,-1,-0.6931471805599453,1.0,-1.791759469228055,8,131.0,1,0,-0.25,0.11
2017-08-28,9.854249957908294e-05,0.009300697294152414,0.0071006215495763685,1,0.6931471805599453,1.0,1.791759469228055,25,141.0,1,1,0.71,0.93
2017-09-09,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,41,524.0,1,2,0,0
2017-09-07,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,12,144.0,1,2,0,0
2017-08-26,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,17,554.0,1,2,0,0
2017-03-07,7.575853533104394e-05,0.0026373180127970378,0.004819286435948922,-1,-0.6931471805599453,1.0,-1.8718021769015913,26,775.0,1,1,0.48,0.26
2017-05-22,6.0676143293499584e-05,-0.004848938600971435,0.0,1,0.6931471805599453,1.0,1.6094379124341003,189,141.0,1,2,0.00,-0.48
2017-09-02,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,9,532.0,1,2,0,0
2017-08-25,0.00041252732433352476,0.01817700427944759,0.03381964823978638,-3,-1.3862943611198906,1.0,-0.9900639333866863,33,406.3333333333333,3,1,3.44,1.83
