标题,阅读,评论,字数,影响力,时间
老Q聊投资《2017第三季》,41135,108,164,4.0,2017-10-01 21:52:16
便宜有好货，好货有便宜。,1268058,2893,197,3.5,2017-06-16 15:33:47
兴业银行（601166）：5年之内，必涨3倍！,119818,148,216,0.0,2017-06-28 22:00:49
机会摆在大家面前就看如何把握了,114569,222,129,4.0,2017-04-19 14:09:29
15.30元左右坚决买入兴业银行,79861,88,173,4.0,2017-04-24 10:45:12
吸纳：中长线必将走牛的小盘潜力成长个股,24175,36,1075,3.5,2017-07-27 18:18:16
攻市场4000点之前，可大胆进行低吸的10只潜力个,33613,51,1624,3.5,2017-08-07 13:16:28
当下可底部大胆建仓的超跌低价潜力黑马个股,23448,41,1180,3.5,2017-07-28 19:37:44
这里有金矿已有人开始在偷偷挖掘,29249,40,2251,3.5,2017-05-25 18:32:38
将市场4000点之前，可大胆进行低吸的10只潜力个,29770,55,1548,3.5,2017-08-31 13:24:31
这类个股有望成为2018年中的超级大牛股之一,38889,53,876,3.5,2017-06-16 15:19:14
攻市场4000点之前，可大胆进行低吸的10只潜力个,40412,58,1213,3.5,2017-06-22 11:46:21
[震撼宇宙]公告现重大利好，10股有望突破大涨！,8982,13,1948,3.0,2017-09-09 15:50:44
2017年三季度股票投资收益报告(01.01-09.30) . ,14452,22,566,4.0,2017-09-29 15:37:59
投资两大要点，1，价值投资。2，摊低成本。,7100,9,272,2.0,2017-09-15 07:41:39
为什么工行都创出历史新高了，兴业怎么还在破净,31253,34,144,2.5,2017-08-23 14:11:18
老Q：投资谋略（第二季）聪慧不可尽，贫贱尚需,1984837,6128,362,4.0,2017-07-01 00:53:04
美国股市的银行股市盈率,15153,6,1942,4.0,2016-10-06 09:05:33
弱者道之用,121695,527,139,0.5,2016-12-26 13:40:12
惊人对比：浦发银行如果拨备和兴业银行一样，那,26999,32,218,0.0,2017-09-02 11:04:18
[重大事项]MSCI Inc.来了，漂亮50必将是永远中,12242,11,1200,3.0,2017-06-21 15:28:46
兴业银行净利润增长7.34% 不良双降,16645,5,2285,0.0,2017-08-30 10:38:04
持有兴业银行的可放心关电脑一年,47768,56,138,2.0,2017-06-05 16:39:45
兴业银行(601166)融资融券信息(09-28),8222,5,560,0.0,2017-09-29 08:08:47
呆子也笑 狂笑 白痴不抢 瞎子狂笑 业绩翻倍 股0,26425,55,1349,4.5,2017-05-11 14:40:02
邀请你过来西部矿业601168一起发财！即将公布重,43357,121,196,3.5,2017-06-27 13:26:57
咯咯咯笑，晨鸣三年利润之和超现公司市值。 今,30781,63,541,4.5,2017-06-26 21:23:18
大笑大笑 咯咯咯咯咯，晨鸣三年利润之和超现公,22715,57,547,4.5,2017-06-26 21:16:32
养老金入市，在二级市场入选股票标的，可作为参,14148,12,444,3.0,2017-08-19 11:35:08
兴业银行一个月内见到32元,32793,39,77,3.5,2017-09-15 19:42:10
2017（上）阿林的四年价值投资之路，增长315.6%,2653351,8771,1569,4.0,2017-01-01 17:36:37
本人在17.61融券卖空2万股，狗庄有本事拉到30元,139710,310,172,2.5,2017-07-12 21:54:38
短期有拐点，长期有空间,33655,5,1472,0.0,2017-09-25 08:03:07
如果贷款不增长或微增长，银行将会迎来高比例分,14825,9,261,3.5,2017-04-28 13:23:06
管理层要烂到啥程度，才会导致在牛市时还破净？,8307,15,154,2.0,2017-09-07 09:45:07
兴业银行(601166)融资融券信息(09-22),11413,25,562,0.0,2017-09-23 07:46:56
实战炒股口决： 十四工作线，来回做波段；突破,59809,102,753,4.0,2017-04-15 08:58:26
散户必看炒股格言和现金策略！     孙子云：先,47795,91,718,4.0,2017-04-09 07:56:43
兴业银行(601166)融资融券信息(09-21),8170,4,548,0.0,2017-09-22 07:45:57
18元多重仓买入兴业，被这个垃圾气吐血,16177,22,140,3.0,2017-09-13 10:15:46
兴业银行与山东黄金集团开展战略合作,34043,26,582,0.0,2017-09-18 19:43:41
户内户外,4769,17,138,0.5,2017-05-16 00:17:18
兴业银行(601166)融资融券信息(09-20),9147,5,548,0.0,2017-09-21 07:46:16
sb主力年年有，今年特别多。有种继续砸兴业,27567,48,134,1.0,2017-08-10 14:37:26
16只老银行股2017年中报简评及估值比较,19329,9,1143,3.5,2017-09-02 07:32:55
兴业银行与新疆达成战略合作,16116,11,965,0.0,2017-09-19 17:06:00
