日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-10-01,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,108,164.0,1,2,0,0
2017-06-16,4.178125825858403e-05,-0.002979703786886865,-0.0006331117653705114,0,0.0,0.0,1.5197375140083174,3051,418.0,4,0,-0.06,-0.3
2017-06-28,0.0005442507570067073,-0.005656479163349057,0.021028110355253232,-3,-0.6931471805599453,0.09649209709474871,-0.5424484624584548,704,233.14285714285714,7,1,2.13,-0.56
2017-04-19,0.0001106565751915773,-0.008172926104028503,-0.0175044988092747,-2,-0.5108256237659907,0.057190958417936644,1.105681779262128,327,276.5,6,0,-1.74,-0.81
2017-04-24,3.0002668290490514e-05,-0.01384195182444036,0.0,-2,-1.0986122886681098,1.0,-1.7440131417848574,109,241.0,2,2,0.00,-1.37
2017-07-27,5.5345854045638476e-05,0.0006494855902461546,0.001690617477907452,-2,-1.0986122886681098,1.0,-1.7047480922384253,77,611.0,2,1,0.17,0.06
2017-08-07,6.760623744259082e-05,0.005313745966537152,-0.006276768111065761,-4,-1.0986122886681098,0.2546440075000701,-0.78405613735752,552,397.8333333333333,6,0,-0.63,0.53
2017-07-28,6.586646055803138e-05,0.0010641210780513296,0.006174591607312687,-1,-0.40546510810816444,0.057190958417936644,-0.9373812221877021,65,520.0,3,1,0.62,0.11
2017-05-25,0.0009698937734908616,0.014177372256669672,0.03375588979825835,1,0.4054651081081644,0.057190958417936644,1.581857536957178,253,841.6666666666666,3,1,3.43,1.43
2017-08-31,0.00010350008475342513,-0.0008387316015357838,-0.009585638663357602,0,0.0,0.0,-0.6529883783455133,75,1953.5,2,0,-0.95,-0.08
2017-06-22,0.0004170950614739179,-0.002779339507223078,0.015562094327474988,-2,-0.6931471805599453,0.1339745962155614,-1.3941385651494596,189,876.75,4,1,1.57,-0.28
2017-09-09,0,0,0,1,0.4054651081081644,0.057190958417936644,1.1087244339524063,52,1486.0,3,2,0,0
2017-09-29,0,0,0,-2,-1.0986122886681098,1.0,-1.515023511947095,27,563.0,2,2,0,0
2017-09-15,0,0,0,-3,-1.3862943611198906,1.0,-1.5524103800811524,52,303.0,3,2,0,0
2017-08-23,0.00011442287159682696,-0.0007692389930437725,0.012665684572107419,0,0.0,0.0,-0.7101711788963125,49,128.5,2,1,1.27,-0.08
2017-07-01,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,6128,362.0,1,2,0,0
2016-10-06,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,6,1942.0,1,2,0,0
2016-12-26,7.457902436318895e-05,0.003985424161370213,0.002489111428266926,-3,-0.916290731874155,0.19999999999999996,-0.061753869731585524,636,333.8,5,1,0.25,0.4
2017-09-02,0,0,0,-2,-1.0986122886681098,1.0,-1.2413473158713897,41,680.5,2,2,0,0
2017-06-21,3.199960412464108e-05,0.005145956065433063,0.003771217543079324,0,0.0,0.0,-0.21442729029496566,86,817.0,2,1,0.38,0.52
2017-08-30,0.0002689513663414918,-0.0004755634773659953,-0.021649471696853415,-2,-0.6931471805599453,0.1339745962155614,-0.49337360715699896,24,1535.5,4,0,-2.14,-0.05
2017-06-05,0.00013118685314746762,-0.004479449818967694,-0.009171571474782396,0,0.0,0.0,0.362427531287583,67,206.5,2,0,-0.91,-0.45
2017-05-11,4.8641383956543335e-05,0.0028490653507486784,0.009680617710723496,0,0.0,0.0,-0.720471912844039,63,1767.5,2,1,0.97,0.29
2017-06-27,9.746549194898059e-05,0.0018065945597103685,0.006090152806505272,-1,-0.6931471805599453,1.0,-1.7047480922384253,121,196.0,1,1,0.61,0.18
2017-06-26,0.00018326224346843897,0.008692677357703274,0.00428528357032686,1,0.4054651081081644,0.057190958417936644,1.0961931807205831,153,403.3333333333333,3,1,0.43,0.87
2017-08-19,0,0,0,-2,-1.0986122886681098,1.0,-1.3278132510490428,47,503.0,2,2,0,0
2017-01-01,0,0,0,-2,-0.6931471805599453,0.1339745962155614,-1.780291228637693,8833,746.25,4,2,0,0
2017-07-12,0.0004277379066515307,-0.0017185946753946032,0.01198986672793573,-3,-1.3862943611198906,1.0,-1.5244671779477834,396,151.66666666666666,3,1,1.21,-0.17
2017-09-25,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,1472.0,1,2,0,0
2017-04-28,1.836608312629205e-05,0.000783275367666143,0.0,-4,-0.8472978603872037,0.1339745962155614,-1.060914274747716,158,290.25,8,2,0.00,0.08
2017-09-07,0,0,0,-1,-0.6931471805599453,1.0,-1.3862943611198906,15,154.0,1,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,25,562.0,1,2,0,0
2017-04-15,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,102,753.0,1,2,0,0
2017-04-09,0,0,0,-2,-1.0986122886681098,1.0,-1.5574706256906297,130,461.5,2,2,0,0
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,548.0,1,2,0,0
2017-09-13,0,0,0,0,0.0,0.0,0.6185872513521419,51,150.0,2,2,0,0
2017-09-18,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,26,582.0,1,2,0,0
2017-05-16,4.6575609872020744e-05,0.007328520238881631,-0.0025204802253350747,0,0.0,0.0,-0.14892894977451285,49,206.0,2,0,-0.25,0.74
2017-09-21,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,548.0,1,2,0,0
2017-08-10,8.146768707768758e-05,-0.004228038580808216,0.003472225710749057,-1,-0.6931471805599453,1.0,-1.0986122886681098,48,134.0,1,1,0.35,-0.42
2017-09-19,0,0,0,2,1.0986122886681098,1.0,1.1173785991875673,20,555.5,2,2,0,0
2017-08-05,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,125,132.0,1,2,0,0
2017-08-29,0.00013554479723650357,0.0007669578311350367,0.01438077880522884,-4,-1.0986122886681098,0.2546440075000701,-0.36084137411656825,100,585.8333333333334,6,1,1.45,0.08
2016-03-24,4.9211222781966276e-05,-0.016409872280070865,-0.007126690351279342,0,0.0,0.0,-0.4836022865595364,67,172.0,2,0,-0.71,-1.63
2017-08-06,0,0,0,1,0.6931471805599453,1.0,1.3862943611198906,109,170.0,1,2,0,0
2017-09-14,0,0,0,-2,-1.0986122886681098,1.0,-1.1149502408496794,39,365.0,2,2,0,0
2017-05-07,0,0,0,-3,-1.3862943611198906,1.0,-1.3499416344694717,53,1448.3333333333333,3,2,0,0
2016-11-11,3.4837958967482624e-05,0.007777251591537944,-0.004287908560647297,-1,-0.40546510810816444,0.057190958417936644,0.4163792258673288,55,168.33333333333334,3,0,-0.43,0.78
2017-04-26,2.187137825496656e-05,0.0020014603313852383,0.000650406526993629,2,1.0986122886681098,1.0,0.7233823585271365,158,307.0,2,1,0.07,0.2
2016-03-22,6.557075517898804e-05,-0.006460468852592381,-0.0019336132353946873,1,0.4054651081081644,0.057190958417936644,-0.3259875652744465,205,282.3333333333333,3,0,-0.19,-0.64
2016-01-29,0.000265141212046116,0.030388412784039,0.013927801744468804,-2,-0.6931471805599453,0.1339745962155614,-0.7423100747457075,151,256.75,4,1,1.40,3.09
2017-05-18,3.7651176693469876e-05,-0.004616947525676165,-0.007657982542845795,-1,-0.6931471805599453,1.0,-1.5040773967762742,164,139.0,1,0,-0.76,-0.46
2017-09-08,0,0,0,-1,-0.6931471805599453,1.0,-1.3862943611198906,22,139.0,1,2,0,0
2017-09-06,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,554.0,1,2,0,0
2017-06-09,0.00010961927660110871,0.002558361001867015,0.00785265285579479,0,0.0,0.0,-0.3925956315311711,118,251.0,2,1,0.79,0.26
2016-07-09,0,0,0,-3,-1.3862943611198906,1.0,-1.518377251342715,154,162.0,3,2,0,0
2017-08-08,5.190860098776382e-05,0.00073460719347412,-0.002866152721608283,0,0.0,0.0,-0.25710303454377653,169,179.5,4,0,-0.29,0.07
2017-09-01,0.00010479794163398905,0.001875763228849927,-0.00739269787106039,-1,-0.6931471805599453,1.0,-0.6931471805599453,18,938.0,1,0,-0.74,0.19
2017-07-06,9.761826604560787e-05,0.0016543167878900564,0.011757924993613092,-1,-0.6931471805599453,1.0,-0.6931471805599453,433,338.0,1,1,1.18,0.17
2015-09-14,0.0011315526222326123,-0.027057737502102743,0.016989875204540077,-1,-0.40546510810816444,0.057190958417936644,-0.3124181762507502,56,460.0,3,1,1.71,-2.67
2017-08-28,0.00012089717214383321,0.009300697294152414,-0.0005569479397657657,-1,-0.6931471805599453,1.0,-0.6931471805599453,24,318.0,1,0,-0.06,0.93
2017-08-01,0.00013782552160616644,0.00597351323222333,0.016750810424815132,-1,-0.6931471805599453,1.0,-1.791759469228055,20,209.0,1,1,1.69,0.6
2017-06-30,5.659230444061469e-05,0.0013698009661658888,-0.0017777782459993832,-3,-1.3862943611198906,1.0,-1.3611908886247976,48,1543.0,3,0,-0.18,0.14
2017-07-31,7.087002078407501e-05,0.006064738559100664,-0.00617459160731266,0,0.0,0.0,-0.11273118506342761,29,157.5,2,0,-0.62,0.61
2017-08-09,6.342118303904936e-05,-0.0019214821449677264,-0.009806827946988063,0,0.0,0.0,-0.7366964721070837,49,1251.0,2,0,-0.98,-0.19
2017-05-24,0.0001548868788507107,0.000695393292502319,0.005006268278144222,-1,-0.40546510810816444,0.057190958417936644,-0.5918907918896917,74,235.33333333333334,3,1,0.50,0.07
2017-08-25,0.0003099389813939086,0.01817700427944759,0.02938064439321996,0,0.0,0.0,0.8581201747989048,20,347.0,2,1,2.98,1.83
2017-08-26,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,16,554.0,1,2,0,0
2017-08-24,0.0001195090368118774,-0.00493658013051556,-0.0022909517465558244,-1,-0.6931471805599453,1.0,-0.6931471805599453,10,2229.0,1,0,-0.23,-0.49
2017-08-22,4.403786207848459e-05,0.0010095574313395495,0.00989818852778239,1,0.6931471805599453,1.0,0.6931471805599453,13,435.0,1,1,0.99,0.1
2017-08-02,5.293450351172906e-05,-0.002304758002145359,0.0011068069751910472,-1,-0.6931471805599453,1.0,-1.791759469228055,8,206.0,1,1,0.11,-0.23
2017-08-18,3.570997865400031e-05,8.872367933730924e-05,-0.0017538735860965701,1,0.6931471805599453,1.0,1.6094379124341003,26,182.0,1,0,-0.18,0.01
2017-05-20,0,0,0,-1,-0.6931471805599453,1.0,-1.0986122886681098,14,630.0,1,2,0,0
2015-11-05,0.0016657979145013472,0.018097267821525237,0.02834835500425513,-3,-1.3862943611198906,1.0,-1.526343758305816,63,334.6666666666667,3,1,2.88,1.83
2017-08-14,3.176231295289941e-05,0.008942177831837768,-0.005847969882422989,-1,-0.6931471805599453,1.0,-1.6094379124341003,10,152.0,1,0,-0.58,0.9
2017-07-23,0,0,0,1,0.6931471805599453,1.0,1.6094379124341003,10,219.0,1,2,0,0
2017-08-12,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,9,568.0,1,2,0,0
2017-07-26,0.00040441028510037724,0.0012262455013185357,-0.012888942787937016,-3,-0.916290731874155,0.19999999999999996,-0.8128033437849831,104,485.6,5,0,-1.28,0.12
2017-03-21,2.6936799626832916e-05,0.0033167424400455574,-0.0037014231031862292,-3,-0.916290731874155,0.19999999999999996,-1.3754848449137131,202,998.8,5,0,-0.37,0.33
2017-06-29,6.716239651349826e-05,0.004672038882317386,0.00415307627490663,-1,-0.2876820724517809,0.020204102886728803,-1.1096114175383278,60,187.0,5,1,0.42,0.47
2017-03-19,0,0,0,2,0.5108256237659907,0.057190958417936644,0.8990681961611018,169,218.0,6,2,0,0
2017-03-27,4.9278524006151666e-05,-0.0007618861486496281,0.0012353306079928082,1,0.4054651081081644,0.057190958417936644,0.8377478524040338,25,343.3333333333333,3,1,0.12,-0.08
2017-01-12,1.1194066647571637e-05,-0.005581820235484377,-0.0018593125901832021,-1,-0.6931471805599453,1.0,-0.6931471805599453,63,453.0,1,0,-0.19,-0.56
2017-03-25,0,0,0,0,0.0,0.0,0.07666102978629864,254,242.0,6,2,0,0
2017-03-24,1.6742764912031176e-05,0.006413032104768939,0.000618238041330053,-2,-0.6931471805599453,0.1339745962155614,-0.23019464810167725,79,249.5,4,1,0.06,0.64
2017-03-26,0,0,0,-6,-1.9459101490553135,1.0,-1.5803501694093818,157,383.8333333333333,6,2,0,0
2017-06-10,0,0,0,0,0.0,0.0,0.3311256054971736,91,349.5,2,2,0,0
2016-11-15,8.709384585169723e-06,-0.0010533927697831016,-0.001228501383007328,-1,-0.40546510810816444,0.057190958417936644,-0.9850316230036034,64,636.6666666666666,3,0,-0.12,-0.11
2017-07-16,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,11,276.0,1,2,0,0
2017-07-24,0.00025822837708242886,0.0038899161028251106,0.009489326021115813,1,0.6931471805599453,1.0,0.6931471805599453,13,1757.0,1,1,0.95,0.39
2017-02-18,0,0,0,-2,-0.6931471805599453,0.1339745962155614,-1.3756929736919148,145,337.25,4,2,0,0
2017-07-29,0,0,0,0,0.0,0.0,0.4649324829235625,25,682.0,2,2,0,0
