标题,帖子数,日期,情感
估值优势是我们持股的基础。,83846,184,2017-06-18 22:22:30,0.43389927923614346
邀请你过来西部矿业601168一起发财！即将公布重,28807,109,2017-06-27 13:25:11,0.31024760465510837
银行！银行！银行！,36003,78,2017-06-21 09:35:15,0.07898588281080943
涨？跌？,199614,466,2016-08-26 10:22:25,0.375704133788044
我的言论被限制了,45251,133,2017-05-16 11:10:28,0.6363636363636368
建议民营老板们买点银行股,35212,54,2017-05-02 10:46:35,0.04584892015322006
农业银行：上半年净利1086亿 同比增长3.3%,19158,13,2017-08-30 21:25:40,0.8802269829032063
10万农行股4元成本解套了。下面要做的就是见证5,30923,46,2017-07-26 20:05:11,0.17634103248479904
雄安新区的受益者 雄安新区的最大受益者------,63881,148,2017-04-07 10:47:52,0.9731089531258441
3.76能否止跌？,17109,47,2017-08-31 10:46:26,0.30687042800299147
国庄股,183874,715,2017-03-13 13:10:05,0.23082833962758653
tiezishangbuqu,30494,81,2017-05-15 10:50:04,0.5
帖子上不去，娘了个，帖子上不去，怎么回事？,35561,96,2017-05-15 10:52:41,0.031611438561136795
把式侃股<钢铁是怎样炼成的>     农行上市七年,32929,81,2017-07-02 10:18:36,0.43089561639528584
狂笑狂抢 狂笑 白痴不抢 瞎子狂笑 业绩翻倍 股0,17595,47,2017-05-11 13:42:35,0.014063314124614701
疯笑疯笑 狂笑 白痴不抢 瞎子狂笑 业绩翻倍 股0,18739,49,2017-05-11 13:39:48,0.01263553294197095
笑哈哈,10992,35,2017-05-11 13:39:10,0.6999999999999997
宁波港祝贺农业银行哈,20396,57,2017-06-09 13:26:54,0.279753684050312
求教历畅先生,19055,73,2017-08-14 10:45:48,0.3491221006033912
数据游戏；农、建、工、中行更为真实可信！,163993,189,2016-08-31 11:47:53,0.9907638739441497
历畅先生？,39896,149,2017-07-18 12:46:39,0.37334978301845145
农业银行尾盘3.70满仓50000股,12378,20,2017-09-02 07:26:03,0.024274325509763828
未来银行的股价遐想---,33642,56,2017-06-21 09:43:50,0.8312069006941659
哈哈哈哈哈大笑  咯咯咯咯，晨鸣三年利润之和超,17685,52,2017-06-26 21:09:58,0.9986563370365199
咯咯咯笑 疯狂抢盘啦 晨鸣三年利润之和超市值。,16449,44,2017-06-26 14:39:24,0.9882346249722794
农行股价到底是什么决定的？,11877,16,2016-04-09 15:55:09,0.6922364119351865
农业银行(601288)融资融券信息(09-01),6538,9,2017-09-02 07:55:33,0.8409936555524866
中行在四大行中为何最值得投资？四大行2017半年,10113,15,2017-08-31 18:36:28,0.8657003343187485
农业银行(601288)融资融券信息(08-31),4159,3,2017-09-01 08:06:04,0.8409936555524866
[疯狂抄顶四大行，你们或将继续站岗放哨又十年,15782,25,2017-08-09 11:12:01,0.4828475141673587
长期持有农业银行，必有厚报！ 2016.12.9  第一,47879,74,2017-02-27 19:31:05,0.35049967774431345
农业银行(601288)大宗交易数据一览(08-30),11496,9,2017-08-30 18:26:07,0.2928976878496772
农业银行中期净利增3.28%至1085.93亿元,19099,5,2017-08-30 17:34:57,0.9437043644775077
十年后回看今日四大行股价,44085,66,2017-06-23 14:16:54,0.905112189778074
农业银行(601288)大宗交易数据一览(08-29),10743,10,2017-08-29 18:27:16,0.2928976878496772
调整必然出乎意料！,7983,21,2017-08-03 14:20:41,0.845189489786861
农业银行(601288)融资融券信息(08-17),5552,7,2017-08-18 07:48:42,0.8409936555524866
[满仓牛]女士们先生们朋友们！战胜内心的恐惧，,9066,17,2017-07-23 18:18:43,0.9912722522955213
今天我农行账面利润不错哦……,10567,16,2017-08-25 15:19:46,0.6426003446551479
农业银行(601288)融资融券信息(08-25),5570,11,2017-08-26 10:06:20,0.8409936555524866
今天3.65砸了4万手,16089,23,2017-08-18 18:08:38,0.1016260487213021
新股发行不能停的重要理由：让凯撒归凯撒市场归,6237,13,2017-06-12 12:57:26,0.06081972954919124
黄国东：A股下半年预测   推荐农业银行,34703,34,2017-07-02 16:23:45,0.8434415290086201
获利的，保护好你的胜利果实！,43184,114,2017-07-15 16:10:57,0.9600635989002139
今天真减仓农行的机构日后若不买回就是鼠目寸光,13221,11,2017-05-25 22:39:41,0.041977623455999646
我宣布：,17716,49,2017-07-19 16:12:38,0.5262327818078083
韩自国是什么样的经济学家？ 1、2007年8月23日,12835,24,2017-06-13 19:02:59,0.43133084248909903
农业银行(601288)融资融券信息(08-18),6935,32,2017-08-19 08:38:01,0.8409936555524866
一笔损失6000亿，还是美元！呜呼农业银行,9230,14,2017-08-03 13:19:27,0.6120022347021579
以后到处发这个！有补充的吗？ 一个超跌的MSCI,8549,24,2017-08-12 12:48:55,0.08473118918500344
入场收尸:地产称霸南京，医美雄冠亚洲,3267,4,2017-08-13 10:42:54,0.2613908113232535
农行不行了，换股马上赚回来，信者赚！,7860,18,2017-07-10 13:23:55,0.0046091279555391385
抨击n家机构继续给予茅台“买入”评级的行为,6341,10,2017-06-02 08:48:39,0.8668309495032774
刚才，我用分红钱集合竞价3.44元买入了农行股票,12563,106,2017-07-13 09:27:00,0.45852475312747665
其他的好股票跟农行比起来股价都翻了一倍甚至十,12752,86,2017-07-14 09:59:37,0.9258901924989897
格力如果没有董明珠决不会有今天，这样的例子还,8868,87,2017-07-13 18:35:07,0.14573599331406106
抢盘了，抢盘了，黄金砸头！晨鸣投资价值第一股,16436,37,2017-03-02 21:51:46,0.9964870876204753
3.68买入。,17565,67,2017-08-08 10:33:55,0.7297953905324696
农业银行(601288)融资融券信息(08-11),5682,3,2017-08-12 07:48:13,0.8409936555524866
3.71元能买到吗？,9619,11,2017-08-07 10:38:22,0.3287491779971077
2017年中国最大也是建国至今中国最大的海外并购,7068,81,2017-07-24 19:38:39,0.9552140296208995
瞎子狂笑 业绩翻倍 季报再增长300%翻倍搖新股。,16672,38,2017-05-07 18:49:50,0.7762752563615433
股票投资是一个高风险的职业，同时他又是一个高,4781,7,2016-11-26 21:34:12,0.9808354704463937
快讯：农药化工战略储备股飙涨！高成长次新股中,4171,12,2017-07-21 11:47:45,0.9994905062553063
四大行我还是更加注重农、建行。感觉郭 刘的工,36426,63,2017-04-09 08:35:23,0.9532611009299614
第三次重新买回农行  并由此决定开始价值投资,11725,31,2017-07-20 09:06:51,0.8105785481250057
进场: “双重改革”受益股,社保养老金标的股,3523,2,2017-07-31 10:08:58,0.9893200488469195
601288:农业银行监事会决议公告,35125,6,2017-07-12 18:48:45,0.4563011325737262
昨天空仓后,7110,17,2017-08-01 15:14:50,0.3110670184542802
狠狠批评证金公司减持国有三大行A股的行为,13462,20,2017-04-28 21:40:43,0.00984901803534588
农行股年底前会站上4.3元，对这个估计我比较乐,9686,11,2017-07-15 10:07:57,0.08718990878926536
今日收盘猜想券商大涨   次新股回升看估值与成,3916,11,2017-07-18 14:13:16,0.9914167298704158
我一个老股民的体会，年年高分红才是价值投资，,12593,12,2017-07-13 08:32:40,0.9896256732882709
快到登记日了，快涨啊,5325,15,2017-07-07 10:13:44,0.6823865247713382
听说好多地方的退休人员工资到期不能按时发放，,13465,30,2017-06-28 09:26:15,0.009703821214404051
一切众生皆有佛性，具足如来智慧德相，《三宝歌,2724,2,2017-07-29 11:58:22,0.9976120344070355
进场: “双重改革”受益股,社保养老金标的股,5730,1,2017-07-29 12:44:41,0.9893200488469195
601288:农业银行2016年年度A股分红派息实施公告,96782,13,2017-07-05 18:36:16,0.533500848491857
四大银行要想做大做强不落后，就要提振股价！,10161,10,2016-08-24 20:45:18,0.10851708633290424
中老年人买农行来养老，如果每年股息远远足够你,16273,34,2015-09-09 18:22:07,0.9838269792011077
农业银行(601288)融资融券信息(07-28),4590,7,2017-07-29 07:46:54,0.8409936555524866
大资金不如全转买2元股*一路一带丝路龙头600307,37967,130,2017-05-08 13:49:32,0.22908141643777613
今天选择高点减仓,5959,14,2017-07-27 09:23:28,0.12708448194149524
包括农行等极其低估的股票并不适宜价值型投资人,28634,32,2017-03-16 00:50:45,0.6179857142014187
10万农业股，4元成本，大家帮我分析一下几年能,92866,111,2016-12-20 12:23:57,0.40565147458980544
“谢百三说不买四大行”的观点是错误的,17286,19,2016-11-11 18:49:34,0.12603010611904109
基金抱团炒个股是中国式庞氏骗局，隐患危害大28,30467,36,2016-07-22 08:55:14,0.8919795745032009
农业银行(601288)融资融券信息(07-24),5647,3,2017-07-25 07:48:02,0.8409936555524866
市场下跌股权质押警报又起 大股东濒临平仓线。,4077,24,2017-06-18 15:52:35,0.9760834996242507
今天是股权登记日。如果明天收盘还是3.59,卖出,19237,26,2017-07-12 15:32:20,0.10536069846572027
知足常乐！,8108,18,2017-07-23 18:04:08,0.9543310658822207
年底到不了6元，我请大家大餐，报名者都有份,16096,44,2017-07-11 22:24:16,0.10956705887735207
刚才看了一个，农行红利已到账！,14711,22,2017-07-12 20:03:53,0.2588447243257961
你丫的真能装，H股都3.8元了,5287,18,2017-07-04 09:19:40,0.15816342602118705
刚才睡在床上我想到一个有趣的事情，那些不分红,7930,11,2017-07-18 07:15:25,0.37067469716547385
今天3.37买入农业银行,101419,263,2017-05-10 13:31:43,0.7564703888777258
13号除息后，是填权还是贴权？,20918,28,2017-07-11 23:27:26,0.21034012366889443
601288:农业银行H股公告(於中华人民共和国注册,22567,5,2017-07-17 18:51:11,0.08198961353845424
[胜利]漂亮50中国股市的心脏;沪深300中国股市的,3920,6,2017-07-15 14:55:31,0.9999917397092775
最能套住人的十五句话: 1、目前价位接近主力成,26283,30,2017-01-29 12:14:03,0.7119488394337506
我现在还只有157400股农行股，希望5年后退休时,13917,22,2017-06-30 11:54:51,0.11464809580375557
买农业银行难道我错了！！！,26912,26,2017-05-14 19:28:51,0.08841857099750505
农业银行今日超大单流入排名第6名(12-04),4646,11,2015-12-04 16:06:27,0.6916830408846024
保守投资者现在破净低位买农行做市值打新是不错,8022,15,2015-11-08 16:30:56,0.994162430553218
技术分析不到家，就不要瞎Ｂ乱唱多，这是一种丢,3144,7,2015-12-05 12:23:11,0.9200210896174114
高抛低吸，做做差价!,17313,49,2017-06-26 18:13:23,0.4598694338408401
农业银行(601288)大宗交易数据一览(07-18),17147,9,2017-07-18 17:58:35,0.2928976878496772
我53万股，今天这个差价的诱惑不小，但我自岿然,10367,13,2017-07-17 12:21:31,0.04150994192076818
新股发行不能停的重要理由：让凯撒归凯撒市场归,8089,17,2017-06-11 13:02:38,0.06081972954919124
建议证监会将农业银行按法定程序，标准以每股13,6671,9,2017-07-17 16:18:43,0.12932803534089998
实战炒股口决：    十四工作线，不破不走人。短,22434,24,2017-02-02 11:12:38,0.8429343800492247
农行：出台粮食、棉花等5个涉农区域信贷政策,25738,6,2017-07-15 13:11:39,0.012288847061775465
农行回撤，是为了创历史新高。,11849,14,2017-06-05 14:02:28,0.8043376645819356
3.44怎么那么多托单,3904,22,2017-06-16 10:26:34,0.2980708592823528
除息后是买是卖？,18481,36,2017-07-13 13:14:12,0.29770086651742833
明天不要手欠！,11341,11,2017-07-11 23:24:51,0.15187587180766549
是买还是卖？,8813,11,2017-07-13 13:17:10,0.3734661297530534
希望农行分红后能很快填权！,6608,8,2017-07-01 17:25:50,0.7580460879311384
我2.87的成本，从04年开始到现在共进了50万股，,21929,49,2017-07-13 08:09:47,0.38403245824105015
今日抢权，来日填权,7944,25,2017-07-11 13:40:10,0.8678569536144253
持股待涨！,15673,21,2017-07-03 22:15:25,0.6055402348319902
耐心等待，不见鬼子不挂弦！,11740,30,2017-07-07 15:24:38,0.1464987842612191
这算不算赤裸裸的操控股价，到现在还没成交出去,6028,14,2017-07-11 11:04:45,0.8963002742571438
买入5万股,3479,23,2017-06-18 18:19:36,0.5698223626958718
农行庄：银座股份掷金4亿保定裕华西路要败家？,4261,24,2017-06-08 01:27:32,0.999972720697378
溧水农行束俊，南京蔡祥违法？,1717,22,2017-06-16 19:33:39,0.5521012614169348
明天3.39元继续买入……,2764,23,2017-06-15 15:48:19,0.47273405167319715
农业银行7月13日发放A股股息每股0.17元,28873,5,2017-07-05 19:26:53,0.02398470850975276
江铃汽车000550唯一没涨的绩优白马蓝筹，现抢进,6836,10,2017-06-08 12:26:47,0.9664116455010392
农业银行股东人数急剧减少54.54%,9327,18,2017-06-13 22:42:22,0.31373234297042885
[赞]A股正在发生革命性的变化 去高市盈率正在进,3000,7,2017-07-01 15:30:11,0.8361215002404168
农发行：截至今年5月底贷款余额达4.27万亿元,9344,9,2017-06-30 05:38:14,0.15666253899876703
我可以分得八万多红利，很不错！,10771,22,2017-06-29 09:33:11,0.9381382066992181
农业银行全面启动普惠金融事业部改革,14648,4,2017-06-30 20:34:11,0.9931433706635463
埋雷3.46元。,18104,67,2017-06-20 11:07:08,0.3211182249084601
如今你对我爱理不理，过些日子你对我高攀不起！,6702,18,2017-06-22 11:13:47,0.8064458600250997
601288:农业银行2016年年度股东大会决议公告,52017,9,2017-06-28 19:23:37,0.770610240653218
我想问下收盘3.47是怎么算出来的？,7412,18,2017-06-28 15:14:35,0.470237854458319
老把式侃股<农行>,11661,13,2017-06-01 17:03:02,0.3969510652118422
新一波上涨在蕴酿中,5987,19,2017-06-16 11:01:58,0.40382952816910545
现在教唆别人买入茅台的人难道不是大忽悠？,8449,15,2017-05-24 15:22:12,0.06624379343754383
白酒板块估值已经很高，难道我们国人都要变成沉,6070,7,2017-05-27 11:21:49,0.23335478232106988
农行MACD死叉 DMA即将死叉，十分不妙。,19745,42,2017-06-09 12:57:52,0.702971756099927
这么便宜又年年高分红的股票，两市真不多见！,5742,13,2017-06-02 13:17:23,0.41080976174827233
溧水农行宫羽，蔡祥违法你是否知道吗〉,3702,11,2017-06-24 19:09:02,0.764937593388273
601288:农业银行关于2016年年度股东大会增加临,36103,15,2017-06-13 16:58:18,0.7886467710864916
券商齐飞有道理国际接轨逼交易制度加速推进！高,8158,14,2017-06-01 13:56:36,0.9638058865334346
农业银行(601288)融资融券信息(06-16),6907,6,2017-06-17 07:44:51,0.8409936555524866
20万手大买单！国家队出手？！,7916,9,2017-06-22 09:59:52,0.09839653735914333
