日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-07-02,0,0,0,-2,-1.0986122886681098,1.0,-1.7466881169741675,133,632.0,2,2,0,0
2017-05-16,7.731943236890046e-05,0.007328520238881631,-0.008759180089881465,2,1.0986122886681098,1.0,1.3483662864233221,198,335.5,2,0,-0.87,0.74
2017-03-13,5.497377267986467e-05,0.007522772686904751,0.006153865574378066,-2,-1.0986122886681098,1.0,-0.7905642813510647,760,216.5,2,1,0.62,0.76
2017-09-09,0,0,0,0,0.0,0.0,0.049510133634958695,45,1248.0,2,2,0,0
2017-06-23,7.382016484738927e-05,0.003305148504969669,0.0028530689824064807,0,0.0,0.0,-0.416559820285809,85,1372.5,2,1,0.29,0.33
2017-03-25,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,7,399.0,1,2,0,0
2017-05-15,0.00010846425004505405,0.002176963284470877,-0.005797117684325958,2,1.0986122886681098,1.0,1.7047480922384253,232,140.0,2,0,-0.58,0.22
2017-06-18,0,0,0,1,0.4054651081081644,0.057190958417936644,1.595420650727731,273,92.66666666666667,3,2,0,0
2017-09-02,0,0,0,-3,-1.3862943611198906,1.0,-1.2655149137467199,67,281.0,3,2,0,0
2017-06-13,4.7652490729325614e-05,0.004404467510343322,0.0028694424279529607,-1,-0.40546510810816444,0.057190958417936644,0.024249041260734704,62,1175.6666666666667,3,1,0.29,0.44
2017-05-02,5.142274262738498e-05,-0.003477093607484734,-0.014903405502574919,-1,-0.6931471805599453,1.0,-1.791759469228055,68,236.0,1,0,-1.48,-0.35
2017-09-15,0,0,0,-1,-0.40546510810816444,0.057190958417936644,0.5977601976286774,174,284.6666666666667,3,2,0,0
2017-07-26,0.00037137131897594793,0.0012262455013185357,0.01345915337400471,-1,-0.6931471805599453,1.0,-1.3862943611198906,57,26.0,1,1,1.36,0.12
2017-05-11,0.00011232637830032578,0.0028490653507486784,0.008836581800498164,-1,-0.40546510810816444,0.057190958417936644,-0.8977693001517212,139,1335.0,3,1,0.89,0.29
2017-06-27,7.424443235056793e-05,0.0018065945597103685,-0.0028612322810321234,-1,-0.6931471805599453,1.0,-1.7047480922384253,129,196.0,1,0,-0.29,0.18
2017-06-26,0.00014223973350903967,0.008692677357703274,-0.002853068982406399,-1,-0.40546510810816444,0.057190958417936644,-0.31184324171403405,161,488.0,3,0,-0.28,0.87
2017-06-09,7.298246774712613e-05,0.002558361001867015,-0.002853068982406399,2,1.0986122886681098,1.0,1.2353097005023586,108,169.0,2,0,-0.28,0.26
2017-09-19,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.15633850545517877,17,545.0,3,2,0,0
2017-07-19,4.502746666126966e-05,0.013526625761433873,-0.0028050509276086096,1,0.6931471805599453,1.0,0.6931471805599453,54,168.0,1,0,-0.28,1.36
2017-09-21,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,25,126.0,1,2,0,0
2017-07-18,0.00018113168992961603,0.003491501858554478,-0.00836824967051669,0,0.0,0.0,0.3686362118043426,191,307.0,4,0,-0.83,0.35
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,38,554.0,1,2,0,0
2017-02-27,3.063805700489853e-05,-0.007642633955269253,-0.006134988567515944,-1,-0.6931471805599453,1.0,-1.3862943611198906,76,238.0,1,0,-0.61,-0.76
2017-09-12,0,0,0,2,1.0986122886681098,1.0,0.6931471805599453,24,260.0,2,2,0,0
2017-06-12,4.7379795815245315e-05,-0.005880987627644262,-0.005730674708984983,-1,-0.6931471805599453,1.0,-1.6094379124341003,17,522.0,1,0,-0.57,-0.59
2017-05-07,0,0,0,1,0.6931471805599453,1.0,1.8718021769015913,42,2382.0,1,2,0,0
2016-01-29,0.00033461988543582094,0.030388412784039,0.027120306219194035,-1,-0.2876820724517809,0.020204102886728803,-0.567312261563368,334,1107.8,5,1,2.75,3.09
2017-04-07,8.058950442092817e-05,0.0017114270837045578,0.005970166986503754,1,0.6931471805599453,1.0,0.6931471805599453,151,192.0,1,1,0.60,0.17
2017-07-11,0.00010303410892338368,-0.002989557487375231,0.014064929467403675,-1,-0.2876820724517809,0.020204102886728803,-0.5617179302947761,123,202.8,5,1,1.42,-0.3
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,2,554.0,1,2,0,0
2017-08-24,0.00012402282084212826,-0.00493658013051556,0.010610179112015469,1,0.6931471805599453,1.0,1.5040773967762742,13,356.0,1,1,1.07,-0.49
2017-06-21,2.6881458841787623e-05,0.005145956065433063,0.0,2,1.0986122886681098,1.0,0.6931471805599453,140,147.0,2,2,0.00,0.52
2017-03-02,1.3575069544806482e-05,-0.005218509409630183,0.0,-2,-1.0986122886681098,1.0,-1.176935692524709,53,956.0,2,2,0.00,-0.52
2017-09-07,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,550.0,1,2,0,0
2017-08-25,0.0005462078128421363,0.01817700427944759,0.031171354902939426,0,0.0,0.0,-0.0037590054717329853,76,77.0,2,1,3.17,1.83
2017-08-14,2.483964808944172e-05,0.008942177831837768,-0.011019395249610538,1,0.6931471805599453,1.0,0.6931471805599453,78,125.0,1,0,-1.10,0.9
2017-07-13,0.00010846425004505405,0.0064280034914848206,-0.033997608541419616,-4,-1.0986122886681098,0.2546440075000701,-1.199049568370413,306,358.6666666666667,6,1,1.46,0.64
2017-09-16,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,544.0,1,2,0,0
2017-08-03,0.000251123018349316,-0.0036993084262503355,-0.007947061692531945,0,0.0,0.0,-0.788374561771799,38,165.5,2,0,-0.79,-0.37
2017-09-14,0,0,0,0,0.0,0.0,1.1167729441667857,25,157.5,2,2,0,0
2017-08-26,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,11,546.0,1,2,0,0
2017-07-23,0,0,0,0,0.0,0.0,-0.08089869550061342,36,340.0,2,2,0,0
2017-06-11,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,18,552.0,1,2,0,0
2017-08-30,0.0002906797895353711,-0.0004755634773659953,-0.012903404835907841,-4,-1.6094379124341003,1.0,-0.6931471805599453,35,420.0,4,0,-1.28,-0.05
2017-06-05,0.0005772319510342498,-0.004479449818967694,-0.03129700672191482,0,0.0,0.0,0.23208555095027086,63,152.5,2,0,-3.08,-0.45
2017-08-31,0.00042109145803012523,-0.0008387316015357838,-0.02099814683977347,0,0.0,0.0,0.32923038324317105,64,951.5,2,0,-2.08,-0.08
2016-04-09,0,0,0,1,0.4054651081081644,0.057190958417936644,0.7283502751688247,49,521.0,3,2,0,0
2017-09-01,0.00043469519491848475,0.001875763228849927,-0.01874218180974064,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,556.0,1,0,-1.86,0.19
2017-08-09,0.00017046416410772348,-0.0019214821449677264,-0.018996500690655147,1,0.6931471805599453,1.0,1.5040773967762742,25,143.0,1,0,-1.88,-0.19
2017-08-29,0.00015413580104694372,0.0007669578311350367,0.010309369658861287,-1,-0.6931471805599453,1.0,-0.6931471805599453,10,469.0,1,1,1.04,0.08
2017-08-18,4.355524929988879e-05,8.872367933730924e-05,-0.0027434859457508326,0,0.0,0.0,1.2310127118068246,30,337.0,2,0,-0.27,0.01
2017-07-15,0,0,0,0,0.0,0.0,0.714205264733469,137,546.0,4,2,0,0
2017-05-25,0.0004906609223295161,0.014177372256669672,-0.005730674708984983,-1,-0.6931471805599453,1.0,-1.7047480922384253,11,218.0,1,0,-0.57,1.43
2017-08-19,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,32,554.0,1,2,0,0
2017-08-12,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,27,692.0,2,2,0,0
2017-08-13,0,0,0,1,0.6931471805599453,1.0,1.6094379124341003,4,899.0,1,2,0,0
2017-07-10,1.157783755148963e-05,-0.0016577020834975967,-0.0028288562004777137,-1,-0.6931471805599453,1.0,-1.7047480922384253,18,168.0,1,0,-0.28,-0.17
2017-06-02,0.00010131443509004292,0.0009406974740755004,-0.002797204621061254,-2,-0.6931471805599453,0.1339745962155614,-0.5756583161484865,79,258.25,4,0,-0.28,0.09
2017-07-14,7.424443235056793e-05,0.0013228624196074475,0.005747142255568071,-1,-0.6931471805599453,1.0,-1.7047480922384253,86,156.0,1,1,0.58,0.13
2017-08-08,9.433832507503078e-05,0.00073460719347412,-0.0026845653706688757,1,0.6931471805599453,1.0,1.7047480922384253,67,147.0,1,0,-0.27,0.07
2017-08-07,0.00012737483528053878,0.005313745966537152,-0.008010723746078972,-1,-0.6931471805599453,1.0,-1.7047480922384253,11,140.0,1,0,-0.80,0.53
2017-07-24,0.00013449978730889793,0.0038899161028251106,0.0027739268827252244,-1,-0.6931471805599453,1.0,-1.6094379124341003,81,479.0,1,1,0.28,0.39
2016-11-26,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,7,428.0,1,2,0,0
2017-07-21,6.977032864502134e-05,-0.0021225273438605923,0.0027816429618767705,-1,-0.6931471805599453,1.0,-1.791759469228055,12,218.0,1,1,0.28,-0.21
2017-04-09,0,0,0,-1,-0.6931471805599453,1.0,-1.252762968495368,63,174.0,1,2,0,0
2017-07-20,4.5280079959942584e-05,0.004286709138816172,0.00839165763624838,-1,-0.6931471805599453,1.0,-1.7047480922384253,31,151.0,1,1,0.84,0.43
