日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-09-09,0,0,0,-3,-1.3862943611198906,1.0,-0.6931471805599453,73,1638.6666666666667,3,2,0,0
2017-06-23,6.469548959003657e-05,0.003305148504969669,0.0011117288526904154,0,0.0,0.0,0.15771240446611395,26,2097.0,2,1,0.11,0.33
2016-10-07,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,13,1939.0,1,2,0,0
2017-05-14,0,0,0,2,1.0986122886681098,1.0,1.7047480922384253,229,638.5,2,2,0,0
2016-12-31,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,223,210.0,1,2,0,0
2017-05-15,0.0001317488779581234,0.002176963284470877,-0.007896262122225505,3,0.6931471805599453,0.09649209709474871,0.8919745241645279,211,341.57142857142856,7,0,-0.79,0.22
2017-01-01,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,254,240.0,1,2,0,0
2017-06-01,7.567414526847463e-05,-0.0046818311185896225,0.004464293128685528,0,0.0,0.0,1.3373737002568296,100,399.0,2,1,0.45,-0.47
2017-06-22,0.0002363640866015397,-0.002779339507223078,0.01118579895771558,-2,-1.0986122886681098,1.0,-0.7595027762806574,101,220.0,2,1,1.12,-0.28
2017-09-18,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,41,547.0,1,2,0,0
2017-09-15,0,0,0,-2,-1.0986122886681098,1.0,-1.5878352790016739,76,306.5,2,2,0,0
2017-09-27,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,542.0,1,2,0,0
2017-08-30,6.036256327166467e-05,-0.0004755634773659953,0.0,-2,-1.0986122886681098,1.0,-0.6931471805599453,31,256.0,2,2,0.00,-0.05
2017-09-21,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,15,681.0,1,2,0,0
2017-05-19,2.359289408253332e-05,0.0001585562967159373,-0.0034622077284707496,1,0.6931471805599453,1.0,1.791759469228055,44,197.0,1,0,-0.35,0.02
2017-09-19,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,35,177.0,1,2,0,0
2017-07-14,0.00021158180310557127,0.0013228624196074475,0.006389798098770988,1,0.6931471805599453,1.0,0.6931471805599453,15,1575.0,1,1,0.64,0.13
