标题,阅读,评论,字数,影响力,时间
中山公用怒吼：广发证券算个球，它涨1倍我能涨3,32167,91,195,4.0,2017-08-29 08:50:25
持股过国庆节，节后有高回报，10月份稀土涨价是,48336,44,214,0.0,2017-09-29 14:31:39
下跌放量，上涨乏力，明显出货行情,7371,48,142,3.5,2017-09-18 14:00:09
久盘不上小心尾盘跳水！,5503,38,125,0.0,2017-09-18 13:35:49
我  现  在  一  无  所  有  了,301941,467,331,2.0,2016-05-16 22:36:35
呵呵，冲高回落。没救了，横盘一个月,5210,38,144,0.0,2017-09-18 14:03:48
估计是证金这个垃圾在出货,6074,47,134,3.5,2017-09-18 14:03:42
主力出这么多，看来要大跌。,6010,38,136,3.0,2017-09-18 13:50:09
北方稀土,59797,49,120,0.0,2017-08-13 16:52:18
坚定看好北稀的长期价值。 本人13.08元进入北稀,45330,42,361,0.0,2017-09-22 12:33:36
一路有你  风雨也温柔,55978,54,451,2.5,2017-09-22 10:51:10
军事战略稀土上100元也不贵3333333333333333333,12499,17,166,3.5,2017-09-29 11:15:48
准备好抄底资金了！我卖房子全仓这个稀土！和国,41743,113,174,3.0,2017-09-25 13:45:51
北稀和盐湖对比，懵逼！都有这种感觉吧！,14133,20,148,3.0,2017-09-20 18:15:41
天空没有翅膀的痕迹，但鸟儿已经飞过 [微笑] [,5293,16,1675,3.0,2017-08-31 07:56:19
稀土龙头别装死，差不多了该上场了。,60062,79,144,3.0,2017-07-19 14:16:10
600111:北方稀土关于控股股东可交换公司债券进,97369,98,1293,0.0,2017-09-20 18:42:58
20元卖光了,27748,63,122,2.0,2017-09-12 11:41:33
9-29过节到底是持股还是持币,9791,32,181,0.0,2017-09-29 09:21:19
节前就这样了。不动如山，动若脱兔。如果对大盘,6608,8,211,3.5,2017-09-27 13:21:13
郭郭论市：9-20北方稀土等待大盘释放风险,31132,44,106,0.0,2017-09-20 07:21:13
16.5元附近闭上眼买进稀土龙头600111,187997,192,133,0.0,2017-07-28 14:18:56
强势涨停机构游资敢死队疯狂抢筹暴涨飙升超级大,8587,19,119,4.0,2017-08-12 07:04:49
９丶１９顾瑞谈股，盘中整理,11453,53,13,2.5,2017-09-18 19:57:38
反复震荡充分换手的北方稀土迎来超级主升浪,166891,211,310,2.5,2017-09-15 11:02:09
感觉,23810,35,122,3.0,2017-08-28 16:28:48
稀土价格上涨，助力轻稀土龙头业绩爆发,145555,49,1004,0.0,2017-08-24 17:04:54
我只信一句话：稀土拉高成稀屎，稀土下砸真稀有,9381,24,156,4.5,2017-08-22 21:08:04
入！,7084,29,114,4.5,2017-08-24 22:08:32
钕铁硼周涨幅40%，镨钕氧化物将再掀涨价狂潮,31483,28,623,2.5,2017-09-19 11:46:13
当机立断，抄入,12087,32,124,4.5,2017-08-24 22:07:33
北方最后一贴,78880,94,429,1.5,2017-09-15 15:40:16
北方稀土投资价值已现，加仓！,10681,23,79,4.5,2017-08-23 20:25:50
追逐烟花的绚丽不如静待手中111的绽放,8630,24,148,4.5,2017-08-24 22:08:56
破了，村里的农民都笑了！,10406,26,134,4.5,2017-08-11 23:38:59
北方稀土涨到头了怎么办？调仓甘肃品牌超牛莫高,6195,16,727,3.5,2017-09-14 16:09:26
早盘提示， 17-20区间会踩破，,18887,21,203,1.0,2017-09-22 08:29:52
~~002201九鼎新材  随时喷发,6412,12,259,0.0,2017-07-13 19:47:40
北方稀土(600111)大宗交易数据一览(09-22),62055,15,473,0.0,2017-09-22 18:51:34
北方稀土9月25日盘中跌幅达5%,23309,5,184,0.0,2017-09-25 14:19:44
闲聊贴！唱空的都来看看他们的嘴脸,19669,22,601,1.5,2017-09-22 08:55:33
不明资金开始砸盘了！死定了！,5959,8,125,4.0,2017-09-15 13:25:34
你想怎样？你到底想怎样？,2551,1,134,2.0,2017-09-13 14:12:32
友情提示,67777,62,493,3.5,2017-08-08 22:26:39
~~同济科技燃料电池研究有重大突破,7387,12,136,2.0,2017-07-20 12:04:56
石墨烯电池哪家强,11401,24,69,0.0,2017-08-02 19:06:35
长期趋势看好，补3331缺口后就放心了，耐心等待,1912,0,158,1.0,2017-09-15 10:31:19
很明显,32347,48,472,2.0,2016-11-16 21:29:24
割了，可以涨了,2493,0,143,1.5,2017-09-15 11:39:52
埋尸，种韭菜,1291,0,6,2.0,2017-09-15 14:10:28
女士们先生们：今天意外过关！修正后市玩法！牛,13762,19,144,4.0,2017-09-13 16:30:43
北稀后市依然看涨,14949,15,299,3.5,2017-08-09 11:23:00
600111:北方稀土关于第二大股东所持公司部分股,69657,8,611,0.0,2017-09-15 18:25:34
超短线第二关键支撑点已上移16.65！明天收盘为1,19871,36,154,4.0,2017-09-19 16:14:18
周一看广晟,46033,72,130,2.0,2017-08-11 17:59:43
砸的差不多了吧，养老金可以再加仓了,3310,44,144,3.5,2017-08-23 09:37:46
稀土板块大面积爆发,2018,0,177,2.0,2017-09-12 13:22:00
尾盘收绿，恭喜,1623,0,122,3.0,2017-09-12 13:52:34
这也跳得太快了吧！,1649,0,128,2.5,2017-09-12 14:03:11
上面的压单加起来有万手，好可怕,1972,0,140,2.0,2017-09-13 14:38:40
卖盘太重大涨太难,1521,0,126,2.0,2017-09-13 10:41:40
毛笔了吧，夏季巴搞，套起！,1347,0,136,2.5,2017-09-12 14:24:46
整个稀土永磁版块都在回调，此股不能独善其身,1466,0,152,2.0,2017-09-14 13:03:26
北方稀土四季度将可能面临稀土原料产品无货生产,45120,36,385,2.0,2017-09-16 00:22:48
北方现在压力太大，19元附近，先出去为妙呀。,2615,1,154,1.5,2017-09-14 14:49:29
6个多亿呀！你是上帝弃之不顾的儿子的幻影[想一,2164,0,155,2.5,2017-09-14 15:01:05
600111:北方稀土公开发行2017年公司债券(第二期,58507,14,841,0.0,2017-09-19 09:29:13
稀土拉稀大盘能够好吗人气板块,4047,12,14,3.5,2017-09-08 13:14:03
暴力啊,1696,0,116,2.5,2017-09-13 10:23:56
图型屎态化，今天不涨了,1927,0,132,1.5,2017-09-13 14:03:04
在五矿稀土面前你是一坨屎,2213,0,134,1.5,2017-09-13 15:24:21
没有像横店东磁那么涨，倒是和它一样跌,1861,0,146,2.0,2017-09-14 14:25:36
跟跌跟的很稳，跟涨跟不上去。,1613,25,138,1.5,2017-09-14 11:29:17
散户必看炒股格言和现金策略！,20871,32,675,4.0,2017-07-08 16:26:58
明天又是一河南焖焗面， 逃！！,32881,57,433,0.0,2017-08-16 16:14:26
空调我们选择格力，手机我们选择华为，新能源汽,10516,19,168,3.5,2017-07-08 19:53:01
拉稀了[鼓掌],1720,12,120,2.5,2017-09-12 14:37:30
9月9日周六的两大重磅利好消息 第一:工业和信息,7154,0,343,3.0,2017-09-09 22:18:35
600111:北方稀土关于第二大股东所持公司部分股,58635,19,611,0.0,2017-09-15 18:25:34
0.98元业绩仅此1家次新股股价不到10块江苏银行,48474,95,184,2.5,2017-04-27 21:27:04
稀土上涨，主力却砸盘！目的暗指三季度报，三季,56406,58,328,2.0,2017-09-06 20:25:47
出货啊，快跑,10584,42,122,0.0,2017-09-06 10:32:19
北方稀土大行情已经开始 北方稀土股价与稀土价,39545,35,173,0.0,2017-07-26 07:00:03
突然直线地拉升: 深振业A 沙河股份 深物业A ...,3316,11,165,3.5,2017-09-08 13:14:53
600111:北方稀土公开发行2017年公司债券(第二期,58058,8,1867,0.0,2017-09-14 19:59:45
跌停啊傻逼  我好接盘,3119,25,131,0.0,2017-09-08 11:55:16
北方稀土9月15日盘中跌幅达5%,18978,6,184,0.0,2017-09-15 10:21:35
600111:北方稀土公开发行2017年公司债券(第二期,42347,7,1430,0.0,2017-09-14 19:59:32
北方稀土缠式理论分析，不带任何个人情绪,48292,44,878,1.5,2017-08-24 16:01:32
北方稀土(600111)融资融券信息(09-14),11196,8,550,0.0,2017-09-15 07:38:15
600111:北方稀土公开发行2017年公司债券募集说,58497,17,1977,0.0,2017-09-14 19:59:37
本次稀土价格为什么上涨。要涨到什么时候,258687,366,479,0.0,2017-07-26 21:55:39
