日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-08-29,0.0005304145943018155,0,0,-3,-0.916290731874155,0.19999999999999996,-0.5898873185546537,197,275.4,5,0,-1.67,0.08
2017-09-29,0,0,0,3,1.3862943611198906,1.0,0.9629493682789474,93,187.0,3,2,0,0
2017-09-18,0,0,0,-2,-0.5108256237659907,0.057190958417936644,-0.1920208513319812,262,115.66666666666667,6,2,0,0
2016-05-16,0.0017910322277969138,0.008365714687530348,0.04043356957849067,-2,-0.5108256237659907,0.057190958417936644,1.1031317699751453,678,175.83333333333334,6,1,4.13,0.84
2017-08-13,0,0,0,-1,-0.2231435513142097,0.010256681389212985,-1.3405433659964905,561,419.85714285714283,7,2,0,0
2017-09-22,0,0,0,-3,-0.916290731874155,0.19999999999999996,-0.7712937470176429,154,417.8,5,2,0,0
2017-09-25,0,0,0,0,0.0,0.0,0.9654101187657302,118,179.0,2,2,0,0
2017-09-20,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.5344556887798594,162,515.6666666666666,3,2,0,0
2017-08-31,0.0002550902156756952,-0.0008387316015357838,-0.00661159433231293,1,0.6931471805599453,1.0,1.6094379124341003,16,1675.0,1,0,-0.66,-0.08
2017-07-19,0.0006432176667398266,0.013526625761433873,0.025389234004819378,-1,-0.2231435513142097,0.010256681389212985,-0.6420737416169691,225,139.0,7,1,2.57,1.36
2017-09-12,0,0,0,-4,-0.8472978603872037,0.1339745962155614,-1.104562377364727,110,144.375,8,2,0,0
2017-09-27,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,8,211.0,1,2,0,0
2017-07-28,0.00488163317212878,0.0010641210780513296,0.07165598890643515,-7,-2.0794415416798357,1.0,-1.084322706888441,395,501.42857142857144,7,1,7.43,0.11
2017-08-12,0,0,0,-2,-0.6931471805599453,0.1339745962155614,-1.200747736950864,113,577.75,4,2,0,0
2017-09-15,0,0,0,-6,-1.0986122886681098,0.19999999999999996,-1.1895205291084916,354,312.7,10,2,0,0
2017-08-28,0.001006310885361512,0.009300697294152414,0.019635974516858935,-2,-0.6931471805599453,0.1339745962155614,-0.7923122945768575,190,173.0,4,1,1.98,0.93
2017-08-24,0.000512528137078414,-0.00493658013051556,0.0023228814161397287,1,0.28768207245178085,0.020204102886728803,-0.2644434514483261,178,453.6,5,1,0.23,-0.49
2017-08-22,0.0008633038355920858,0.0010095574313395495,-0.017496345719776533,-2,-0.5108256237659907,0.057190958417936644,-0.4771175179606127,138,593.8333333333334,6,0,-1.73,0.1
2017-09-19,0,0,0,-3,-1.3862943611198906,1.0,-1.2354494030866738,78,539.3333333333334,3,2,0,0
2017-08-23,0.0006458445022121184,-0.0007692389930437725,-0.052658640947352287,-3,-0.6931471805599453,0.09649209709474871,-0.7755277277726919,210,181.57142857142858,7,0,-5.13,-0.08
2017-08-11,0.001959854006113153,-0.016447856148161306,-0.08710219938649513,-6,-0.916290731874155,0.1339745962155614,-0.33784013740063684,361,363.8333333333333,12,0,-8.34,-1.63
2017-09-14,0,0,0,-5,-0.9808292530117262,0.1685205807169019,-0.7327279994572581,74,749.5555555555555,9,2,0,0
2017-07-13,0.003214753219773415,0.0064280034914848206,0.0783997076560083,2,0.28768207245178085,0.013986702816730645,0.055393717360504816,407,398.5833333333333,12,1,8.16,0.64
2017-09-13,0,0,0,-1,-0.1823215567939546,0.006192010000093506,-0.11722636899164153,52,179.22222222222223,9,2,0,0
2017-08-08,0.0017713143682187122,0.00073460719347412,0.021695065781330018,1,0.22314355131420976,0.010256681389212985,0.31365443860150427,225,518.2857142857143,7,1,2.19,0.07
2017-07-20,0.001569821219442093,0.004286709138816172,0.005555569844601964,2,0.6931471805599453,0.1339745962155614,1.147385267901856,57,441.0,4,1,0.56,0.43
2017-08-02,0.002780929352865561,-0.002304758002145359,-0.00887415696103409,6,0.6931471805599453,0.07297518911304213,-0.03080772325818202,666,496.8125,16,0,-0.88,-0.23
2016-11-16,0.0001565537555546681,-0.0006019915809405598,-0.000740466527723695,1,0.6931471805599453,1.0,1.3862943611198906,48,472.0,1,0,-0.07,-0.06
2017-08-09,0.0016231399417432563,-0.0019214821449677264,0.014206225725214539,0,0.0,0.0,-0.6769949028678891,202,574.75,4,1,1.43,-0.19
2017-09-16,0,0,0,1,0.6931471805599453,1.0,1.3862943611198906,36,385.0,1,2,0,0
2017-09-08,0,0,0,-3,-0.916290731874155,0.19999999999999996,-0.2027189678809614,70,595.6,5,2,0,0
