标题,阅读,评论,字数,影响力,时间
华夏幸福产业新城汇总,26411,25,1952,3.0,2017-09-27 22:24:44
哈哈源源不断的大单往下砸，主力手中的筹码都是,31017,50,283,0.0,2017-09-25 10:05:27
超级重磅！！  华夏幸福中标团风县产业新城 880,50397,49,183,0.0,2017-08-31 18:14:37
参股控股 参股控股企业 注册资本 集团持股比例 ,10263,12,9552,2.0,2017-09-26 20:05:54
8个高端项目签约落户大厂高新区（图）,18183,11,1317,3.0,2017-09-24 17:17:48
又一全球顶级机器人企业落户华夏幸福香河产业新,10900,10,1313,2.0,2017-09-26 19:54:31
华夏幸福2028,100972,271,122,0.0,2017-07-29 12:20:55
有人说我输的气急败坏了，哈哈，确实亏了不少，,16043,26,290,3.5,2017-09-27 16:44:07
华夏幸福1-9月销售1010亿,53513,45,93,3.0,2017-09-30 18:23:08
华夏的政策和高负债风险是否存在,37012,47,745,2.0,2017-09-04 09:03:23
华夏幸福：360转变超级黑马,78996,130,376,3.5,2017-06-16 14:49:45
理性的说，想买入华夏的不用太过心急，凭什么万,21646,26,223,0.0,2017-09-28 14:37:52
主题  雄安,196397,490,142,3.5,2017-05-02 21:52:41
英搏尔(300681)一只大黑马可得盯紧了__________,3994,6,1069,4.5,2017-09-08 15:33:37
华夏--全球顶级抗癌药，中国拥有自主研发产权,21295,15,2593,0.0,2017-07-30 15:59:39
游主专散慌慌张， 忙着雄安又补仓； 坚定目标再,32276,66,230,4.0,2017-09-16 08:36:44
华夏已经被完全控盘！想咋整就咋整！,17547,22,277,0.0,2017-09-05 14:32:45
抢盘了 咯咯咯咯咯咯咯 瞎子狂笑 连续4年业绩翻,20653,66,1722,4.5,2017-07-19 14:21:37
抢盘了 咯咯咯咯瞎子狂笑 连续4年业绩翻倍，三,26332,82,1718,4.5,2017-07-19 14:23:13
抢盘了 咯咯咯咯咯咯咯 狂笑 狂笑 连续4年业绩,23841,71,1723,4.5,2017-07-19 14:21:42
咯咯咯咯咯咯咯 狂笑 瞎子狂笑 连续4年业绩翻倍,19504,64,1721,4.5,2017-07-19 14:21:37
咯咯 狂笑 瞎子狂笑 连续4年业绩翻倍，三年利润,29769,79,1716,4.5,2017-07-19 14:23:47
哈哈哈 抢盘了 咯咯咯咯咯咯咯 狂笑 瞎子狂笑 ,24726,79,1729,4.5,2017-07-19 14:22:52
买了这票一点都不幸福,5460,11,122,3.5,2017-09-28 15:48:42
600340:华夏幸福关于拟签订整体合作开发建设经,43678,18,1910,0.0,2017-09-27 18:29:45
删贴啦 狂笑 瞎子狂笑 咯咯大笑 连续4年业绩翻,21053,49,584,4.5,2017-07-08 16:19:45
华夏幸福(600340)估值信息,29637,44,328,3.0,2017-07-27 12:15:18
华夏幸福(600340)大宗交易数据一览(09-27),36712,21,470,0.0,2017-09-27 18:34:58
600340:华夏幸福关于下属子公司拟收购秦皇岛鼎,29484,10,1480,0.0,2017-09-27 18:29:49
稳定高成长，独特商业模式，合理市盈率15-20倍,3132,15,158,3.5,2017-09-09 10:48:22
——原来游资都去这里了,5370,8,179,3.5,2017-04-12 13:21:11
清仓的机构很幸福，接棒的很悽惨,16653,42,136,3.5,2017-04-13 20:36:03
入手3000股,16030,47,153,1.0,2017-09-11 10:17:22
股东人数大幅增加，筹码趋于分散，重新收集筹码,2460,10,168,3.5,2017-09-01 10:41:21
市场起起起落落，唯我华夏稳爹当头。,15576,86,144,2.5,2017-09-01 13:40:28
