日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-09-27,0,0,0,3,0.9162907318741551,0.19999999999999996,0.4936929013506218,100,1220.4,5,2,0,0
2017-09-25,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,50,283.0,1,2,0,0
2017-08-31,0.00035933032614022365,-0.0008387316015357838,-0.018920308069045284,0,0.0,0.0,0.51753424431417,60,188.0,2,0,-1.87,-0.08
2017-09-26,0,0,0,2,1.0986122886681098,1.0,1.3862943611198906,22,5432.5,2,2,0,0
2017-09-24,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,11,1317.0,1,2,0,0
2017-07-29,0,0,0,2,1.0986122886681098,1.0,0.6931471805599453,299,758.0,2,2,0,0
2017-09-30,0,0,0,-1,-0.6931471805599453,1.0,-1.6094379124341003,45,93.0,1,2,0,0
2017-09-04,6.0758675209612495e-05,0.003693661839453739,0.0006174745487945271,1,0.4054651081081644,0.057190958417936644,-0.30000679503485894,76,413.0,3,1,0.06,0.37
2017-06-16,9.018592210664635e-05,-0.002979703786886865,-0.005295687574710344,0,0.0,0.0,1.5158781066789297,139,252.0,2,0,-0.53,-0.3
2017-09-28,0,0,0,-2,-1.0986122886681098,1.0,-0.9951055946925028,37,172.5,2,2,0,0
2017-05-02,0.0006111081617024779,-0.003477093607484734,0.029401983065693128,1,0.6931471805599453,1.0,1.7047480922384253,490,142.0,1,1,2.98,-0.35
2017-09-08,0,0,0,6,1.9459101490553132,1.0,1.5776233995192253,75,935.3333333333334,6,2,0,0
2017-07-30,0,0,0,2,1.0986122886681098,1.0,0.6931471805599453,34,1517.5,2,2,0,0
2017-09-16,0,0,0,-2,-1.0986122886681098,1.0,-1.6312851760371716,82,342.5,2,2,0,0
2017-09-05,2.890416152380501e-05,0.0014015585020253336,-0.0027816429618766915,1,0.4054651081081644,0.057190958417936644,0.4390297341460476,100,249.0,3,0,-0.28,0.14
2017-07-19,0.00016007454771238466,0.013526625761433873,0.01098557089945763,-3,-0.6931471805599453,0.09649209709474871,-0.6690490304706129,449,1564.2857142857142,7,1,1.10,1.36
2017-07-08,0,0,0,0,0.0,0.0,-0.2712010206125993,69,376.0,2,2,0,0
2017-07-27,0.00013931292073034,0.0006494855902461546,0.006204101532684871,-1,-0.2231435513142097,0.010256681389212985,0.2447503885839262,131,306.14285714285717,7,1,0.62,0.06
2017-09-09,0,0,0,2,1.0986122886681098,1.0,1.7047480922384253,24,298.5,2,2,0,0
2017-04-12,0.0033220947295380812,-0.004613892502698677,0.010872134272317972,2,1.0986122886681098,1.0,0.8029095045715672,166,151.0,2,1,1.09,-0.46
2017-04-13,0,0.0006504025549175471,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,42,136.0,1,2,0,0.07
2017-09-11,0,0,0,-2,-0.5108256237659907,0.057190958417936644,-0.20376171469466708,117,739.0,6,2,0,0
2017-09-01,3.9742800025928236e-05,0.001875763228849927,-0.0024676138369560396,-3,-0.916290731874155,0.19999999999999996,0.12143680039063294,142,210.0,5,0,-0.25,0.19
2017-04-09,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,90,753.0,1,2,0,0
2017-09-22,0,0,0,0,0.0,0.0,0.06200227431588831,16,1442.5,2,2,0,0
2017-09-21,0,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.11386194500464107,53,163.33333333333334,3,2,0,0
2017-09-10,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,16,176.0,1,2,0,0
2017-07-25,0.00035612906192278456,-0.00212802403577702,-0.02761010054802454,1,0.28768207245178085,0.020204102886728803,-0.03942276348374378,116,525.6,5,0,-2.72,-0.21
2017-09-15,0,0,0,0,0.0,0.0,0.2590411242430448,91,510.5,2,2,0,0
2017-08-18,0.0006003130395725242,8.872367933730924e-05,0.04164102587537325,-5,-0.8109302162163288,0.10927645716975343,-0.5122052312253295,156,1271.1818181818182,11,1,4.25,0.01
2017-09-19,0,0,0,0,0.0,0.0,0.21688992944507435,29,136.5,2,2,0,0
2017-09-18,0,0,0,0,0.0,0.0,0.28501274116304365,37,401.5,2,2,0,0
2017-09-20,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,22,140.0,1,2,0,0
2017-06-14,0.00017833369315818352,-0.0073420109867147814,-0.02395674022380014,-2,-1.0986122886681098,1.0,-1.791759469228055,62,170.0,2,0,-2.37,-0.73
2017-07-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,83,152.0,1,2,0,0
2017-08-24,0.00016289063904401013,-0.00493658013051556,-0.008826719916187694,1,0.4054651081081644,0.057190958417936644,0.39782714134252223,47,5984.0,3,0,-0.88,-0.49
