标题,帖子数,日期,情感
下周是选择真上还是调的关键时点,11166,12,2017-09-02 09:45:55,0.4581905643069758
601225陕西煤业半年业绩0.57元股价8.31元,22686,59,2017-07-26 20:01:01,0.7184834682695668
两次回弹19.38,18987,38,2017-08-10 14:43:14,0.4464272442410193
601688:华泰证券关于非公开发行A股股票申请获得,58914,17,2017-09-04 18:54:33,0.03442740715715098
华泰融资融券违规诉讼正在审理，就迫不急待巨额,49269,123,2017-06-04 14:51:21,0.9964474168489799
华泰证券非公开发行A股申请获得中国证监会受理,33150,21,2017-09-04 21:29:22,0.028818165751008706
铁心陪股友走完华泰证券从现价到翻番全程,35428,36,2017-04-27 10:58:10,0.20878904892012884
券商股值得逐步全仓买入和拼命捂住的根本原因,37016,35,2017-05-11 18:59:01,0.3936754425544208
咯咯咯咯笑大笑，晨鸣三年利润之和超现公司市值,19396,51,2017-06-27 10:12:52,0.9449434759275688
要是今天收在22.6一下更爽[鼓掌] 绿色长上影啊,16104,29,2017-08-30 14:42:17,0.382489540513661
华泰证券(601688)融资融券信息(09-01),6261,16,2017-09-02 07:58:18,0.6473208510743051
23万现金快用完，越跌越加仓,11012,79,2017-03-22 10:32:45,0.3438581164527683
上市券商半年报出炉 华泰证券净利增长5.35%证金,154683,39,2017-08-11 19:00:36,0.7046719278947822
2017.1.11 剑指3300,170635,212,2017-01-11 20:41:30,0.807542006213966
华泰证券~结构牛市 关注证券(6股),12892,18,2017-07-19 14:00:15,0.574324327562724
华泰证券~ 强势上行还要涨 只看板块个股争霸,11043,16,2017-07-19 15:26:23,0.13948981900119628
华泰证券(601688)大宗交易数据一览(08-23),22751,11,2017-08-23 18:18:50,0.1256798666749258
过20.7下一目标30元见[胜利][胜利][胜利][胜利],21791,37,2017-08-25 13:13:28,0.9678136873536268
核心内参: 地产称霸南京，医美雄冠亚洲,4266,6,2017-08-12 14:14:11,0.9315669100106516
入场收尸:地产称霸南京，医美雄冠亚洲,4621,6,2017-08-13 09:52:10,0.2613908113232535
华泰：夜梦[7股]缘者交流 只看后市牛熊,11343,21,2017-07-21 09:14:30,0.8445322814317601
华泰证券(601688)大宗交易数据一览(08-28),27355,7,2017-08-28 19:15:30,0.1256798666749258
华泰日线参考。,11063,24,2017-07-17 00:09:02,0.7085477705199471
哥给华泰牵来一头牛。,9794,23,2017-07-17 00:34:28,0.4967833567907217
华泰证券8月28日盘中涨幅达5%,4268,5,2017-08-28 10:00:36,0.013809454683494371
本吧“价值投资硬道理”是骗子，“茶花源”为托,11462,37,2017-07-28 09:58:42,0.8218464550828105
华泰证券(601688)融资融券信息(08-25),5949,13,2017-08-26 10:07:08,0.6473208510743051
¥¥华泰证券第一梯队大券商绩优成长互联网券商龙,49229,208,2017-05-28 21:59:59,0.9991483265696962
2017半年报点评：经纪业务龙头 海外收入增长,22658,9,2017-08-15 19:08:45,0.9605526818315505
‖+‖大券商有钱有实力，各项业务资源都垄断了,47371,221,2017-05-28 21:17:37,0.9758130874370441
〖1〗华泰证券+美国金融科技现货转型创新发展:,44593,191,2017-06-18 19:31:30,0.9985339175860076
屮1屮绩优成长行天下～价值投资硬道理≥股价绝,52100,248,2017-05-28 18:17:50,0.9985261904445887
屮屮融资完成就是中国的高盛了≈二个第一:1，定,62486,285,2017-05-28 18:12:12,0.9810005261588783
