日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-09-30,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,550.0,1,2,0,0
2017-09-15,0,0,0,-3,-1.3862943611198906,1.0,-1.4850897009791493,62,277.3333333333333,3,2,0,0
2017-09-29,0,0,0,1,0.6931471805599453,1.0,1.0986122886681098,4,126.0,1,2,0,0
2017-08-30,0.0014313256557707875,-0.0004755634773659953,-0.00838671876710129,0,0.0,0.0,-0.5806184270896823,255,186.0,2,0,-0.84,-0.05
2017-05-28,0,0,0,-5,-1.252762968495368,0.3001457877762348,-1.677520140295879,1369,962.1428571428571,7,2,0,0
2017-05-12,0.00014228866049131763,0.00716356657622197,0.0042232340296582925,-1,-0.40546510810816444,0.057190958417936644,-0.2744237055505498,77,1014.0,3,1,0.42,0.72
2017-05-11,0.00012801706109577432,0.0028490653507486784,0.0054562123841642865,-1,-0.6931471805599453,1.0,-1.5040773967762742,42,814.0,1,1,0.55,0.29
2016-08-30,0.00017233239935830346,0.001513497264357663,0.008950830520084578,-1,-0.40546510810816444,0.057190958417936644,-1.6209410006702623,1054,3829.6666666666665,3,1,0.90,0.15
2017-06-18,0,0,0,-2,-1.0986122886681098,1.0,-1.557587885596378,200,1885.0,2,2,0,0
2017-05-23,0.00023063230879562688,-0.004474047116847419,0.012593869600588533,-2,-1.0986122886681098,1.0,-1.5912135664113554,191,1152.0,2,1,1.27,-0.45
2017-04-27,7.963434284092216e-05,0.003603985442434694,-0.0017735742160161759,-3,-1.3862943611198906,1.0,-1.2377801297438684,70,209.66666666666666,3,0,-0.18,0.36
2017-06-27,9.233642232945859e-05,0.0018065945597103685,-0.003305788134499433,-1,-0.6931471805599453,1.0,-1.8718021769015913,61,544.0,1,0,-0.33,0.18
2017-09-28,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,546.0,1,2,0,0
2017-09-11,0,0,0,1,0.6931471805599453,1.0,1.791759469228055,20,218.0,1,2,0,0
2017-08-31,0.00024378507808819652,-0.0008387316015357838,0.01713950987669599,-1,-0.6931471805599453,1.0,-1.7047480922384253,12,23.0,1,1,1.73,-0.08
2017-07-19,0.00248130810784092,0.013526625761433873,0.07271175722011013,-2,-0.6931471805599453,0.1339745962155614,-0.8026225893000943,74,275.5,4,1,7.54,1.36
2017-07-21,0.00024162980944694766,-0.0021225273438605923,-0.02025385690449757,-1,-0.6931471805599453,1.0,-1.791759469228055,24,896.0,1,0,-2.01,-0.21
2017-09-19,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,550.0,1,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,37,552.0,1,2,0,0
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,552.0,1,2,0,0
2017-09-21,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,7,223.0,1,2,0,0
2017-09-02,0,0,0,-3,-1.3862943611198906,1.0,-1.5476298102079402,39,2039.3333333333333,3,2,0,0
2017-09-09,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,35,552.0,1,2,0,0
2017-07-26,0.00045895209824860185,0.0012262455013185357,0.026269859858253225,-1,-0.6931471805599453,1.0,-1.7047480922384253,69,162.0,1,1,2.66,0.12
2017-08-16,0.00017228860388936965,-0.0014805218695833238,0.0025387167735214104,1,0.6931471805599453,1.0,1.5040773967762742,37,139.0,1,1,0.25,-0.15
2017-08-10,0.0002520089162978172,-0.004228038580808216,0.006214416685111413,-1,-0.6931471805599453,1.0,-1.6094379124341003,42,129.0,1,1,0.62,-0.42
2017-04-07,7.080053080315681e-05,0.0017114270837045578,0.0,-1,-0.6931471805599453,1.0,-1.8718021769015913,31,768.0,1,2,0.00,0.17
2017-07-25,0.00024109599698524613,-0.00212802403577702,-0.019126972345873083,0,0.0,0.0,0.05837958769826915,105,186.5,2,0,-1.89,-0.21
2017-09-04,0.0007518872540436553,0.003693661839453739,0.005590210214851271,-2,-1.0986122886681098,1.0,-0.6931471805599453,39,427.0,2,1,0.56,0.37
2017-06-04,0,0,0,-1,-0.6931471805599453,1.0,-1.5040773967762742,133,287.0,1,2,0,0
2016-03-22,0.0007224008456392753,-0.006460468852592381,-0.03106716951154473,-2,-1.0986122886681098,1.0,-1.5036062859555677,142,922.5,2,0,-3.06,-0.64
2017-09-13,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,548.0,1,2,0,0
2017-08-23,0.0005304456302851966,-0.0007692389930437725,0.023792567527362245,-1,-0.6931471805599453,1.0,-0.6931471805599453,12,467.0,1,1,2.41,-0.08
2017-09-06,0,0,0,-3,-1.3862943611198906,1.0,-0.6931471805599453,54,510.3333333333333,3,2,0,0
2017-03-22,0.00031021874980343296,-0.005037794029957293,-0.02741495692675699,-2,-1.0986122886681098,1.0,-1.018653837640366,121,178.0,2,0,-2.70,-0.5
2017-08-11,0.0004511962446012641,-0.016447856148161306,-0.036272044618207974,-4,-1.6094379124341003,1.0,-0.6931471805599453,65,881.75,4,0,-3.56,-1.63
2017-01-11,0.0001145050969569492,-0.00791313695689723,-0.01170908275942863,-1,-0.6931471805599453,1.0,-1.791759469228055,212,144.0,1,0,-1.16,-0.79
2017-08-25,0.0013785867987031553,0.01817700427944759,0.055941334961701,-2,-1.0986122886681098,1.0,-1.6038725776840264,42,347.0,2,1,5.75,1.83
2017-08-12,0,0,0,0,0.0,0.0,0.6338682659270397,13,723.5,2,2,0,0
2017-08-13,0,0,0,1,0.6931471805599453,1.0,1.791759469228055,6,899.0,1,2,0,0
2017-08-28,0.002700712127391312,0.009300697294152414,0.09281220536957194,-2,-1.0986122886681098,1.0,-0.6931471805599453,12,325.5,2,1,9.73,0.93
2017-07-17,0.0005815100094653685,-0.01436526090779734,-0.03073903915702212,-4,-1.6094379124341003,1.0,-1.791759469228055,66,173.5,4,0,-3.03,-1.43
2017-07-28,0.00015022857083636396,0.0010641210780513296,0.0035668827625710896,-1,-0.6931471805599453,1.0,-1.5040773967762742,37,86.0,1,1,0.36,0.11
2017-08-26,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,13,548.0,1,2,0,0
2017-08-15,0.00023691227372627926,0.004284430668697165,0.016402212925176816,1,0.6931471805599453,1.0,0.6931471805599453,9,1056.0,1,1,1.65,0.43
2017-07-31,0.0005380213480669188,0.006064738559100664,0.012133617011426161,-2,-1.0986122886681098,1.0,-0.7822775413817613,15,1532.0,2,1,1.22,0.61
2017-08-19,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,43,546.0,1,2,0,0
2017-08-03,0.00029375582322503104,-0.0036993084262503355,0.0024384308595351675,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,550.0,1,1,0.24,-0.37
2017-08-17,0.00012032903908737581,0.006747655642863546,0.00757770738923627,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,542.0,1,1,0.76,0.68
2017-08-14,0.0003689089189294429,0.008942177831837768,0.035238986675094404,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,1156.0,1,1,3.59,0.9
2016-11-03,0.0009534573488616142,0.008411919935528651,0.01965076412460525,0,0.0,0.0,-0.12652970731175797,15,183.5,2,1,1.98,0.84
2016-11-05,0,0,0,1,0.6931471805599453,1.0,1.791759469228055,14,569.0,1,2,0,0
2016-06-27,0.00032001525285777974,0.014403752331845572,0.019868203216725184,-1,-0.6931471805599453,1.0,-0.916290731874155,29,126.0,1,1,2.01,1.45
2017-08-08,0.0002557219845734805,0.00073460719347412,-0.035357218328236684,1,0.6931471805599453,1.0,1.6094379124341003,15,148.0,1,0,-1.02,0.07
2016-11-04,0.0007775517261648179,-0.0011576111016339138,-0.025476023315685548,-4,-1.6094379124341003,1.0,-0.8182775488886591,45,921.25,4,0,-2.52,-0.12
2016-12-01,7.162246264765975e-05,0.0071374782950124165,0.0035237891987421367,-1,-0.6931471805599453,1.0,-1.791759469228055,21,302.0,1,1,0.35,0.72
2017-08-04,0.00048263007014283225,-0.0033205794542208998,-0.007824000792127762,-1,-0.6931471805599453,1.0,-0.6931471805599453,40,801.0,1,0,-0.78,-0.33
2017-05-21,0,0,0,-1,-0.6931471805599453,1.0,-1.3862943611198906,5,1284.0,1,2,0,0
2017-06-29,5.381994932165853e-05,0.004672038882317386,-0.0022234583923971475,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,1610.0,1,0,-0.22,0.47
2017-07-12,0.00027596939232289557,-0.0017185946753946032,0.0037725725153194283,-1,-0.6931471805599453,1.0,-1.791759469228055,11,280.0,1,1,0.38,-0.17
2016-09-26,0.0006576512841507792,-0.017781335184336725,-0.041545714472234554,-2,-1.0986122886681098,1.0,-1.8178902654251448,352,534.0,2,0,-4.07,-1.76
2017-05-06,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,89,327.0,1,2,0,0
2017-07-20,0.0002107079000555193,0.004286709138816172,0.006537614434030517,-1,-0.6931471805599453,1.0,-1.5040773967762742,41,412.0,1,1,0.66,0.43
2017-02-21,0.00023514108171092353,0.004118103117185383,0.018192047987278054,-2,-1.0986122886681098,1.0,-1.7064135279079236,116,572.5,2,1,1.84,0.41
2017-06-08,2.6273121304983772e-05,0.0031825036995264894,0.0011409014357916423,0,0.0,0.0,0.22574786359056928,29,1228.5,2,1,0.11,0.32
2017-07-14,8.907648607651995e-05,0.0013228624196074475,0.0020898649194592365,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,552.0,1,1,0.21,0.13
2017-06-15,5.7992601229543415e-05,0.0005811762915932049,0.004608303086194181,-1,-0.6931471805599453,1.0,-0.6931471805599453,37,170.0,1,1,0.46,0.06
2015-11-17,0.0020498069533002317,-0.0005990216159685552,-0.002342470033412532,-2,-0.5108256237659907,0.057190958417936644,0.455869327138762,779,1972.5,6,0,-0.23,-0.06
2017-04-17,0.0002520089162978172,-0.00738998824058912,0.0017518252655316546,-1,-0.6931471805599453,1.0,-1.791759469228055,169,189.0,1,1,0.18,-0.74
2017-07-11,0.00027105033283707865,-0.002989557487375231,0.019079346809953476,1,0.6931471805599453,1.0,1.791759469228055,21,118.0,1,1,1.93,-0.3
2017-07-10,0.00037288275307185807,-0.0016577020834975967,0.01776837418243167,-1,-0.6931471805599453,1.0,-0.6931471805599453,18,802.0,1,1,1.79,-0.17
2017-07-13,0.0003418828733926693,0.0064280034914848206,0.028111105889902663,-1,-0.6931471805599453,1.0,-1.7047480922384253,1,123.0,1,1,2.85,0.64
2016-07-21,0.00044761804081681894,0.003662494554559723,0.019724505347778788,-1,-0.6931471805599453,1.0,-1.791759469228055,37,301.0,1,1,1.99,0.37
2017-07-07,0.00039969276871145625,0.001716845408023304,0.0090040000539542,0,0.0,0.0,0.7297685352484823,21,138.5,2,1,0.90,0.17
2017-04-26,8.577551154249743e-05,0.0020014603313852383,0.007113248724519859,-1,-0.6931471805599453,1.0,-0.6931471805599453,11,1015.0,1,1,0.71,0.2
2017-05-10,4.318534763269155e-05,-0.009045733518730174,-0.0018220472699447688,-1,-0.6931471805599453,1.0,-1.0986122886681098,5,227.0,1,0,-0.18,-0.9
2017-06-26,0.0003340029795138957,0.008692677357703274,0.013289232118682706,0,0.0,0.0,0.20198522780439407,68,402.0,2,1,1.34,0.87
