标题,帖子数,日期,情感
全仓东方航空，你懂的，人民币又涨了,9781,60,2017-08-28 19:47:03,0.7251263244685678
大盘反弹25个点你还是这个傻逼,35586,292,2017-07-18 14:22:36,0.35880239953790605
次新股0.98元业绩仅此1家江苏银行股价不到10块,42398,75,2017-04-27 21:33:44,0.049974062228806404
关注人民币升值概念！,63954,200,2017-06-01 15:03:06,0.973594806730333
南航铁定要大组合。前几天的公告中有端腻。好好,105255,136,2017-01-05 22:50:32,0.3969294148107132
大笑 狂笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0,19085,29,2017-05-24 21:16:52,0.05171614357175491
狂笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0.99今,16774,26,2017-05-24 21:14:36,0.488956824832688
1H17 earning decline despite a lack of FX lo,19451,11,2017-08-31 21:48:48,0.24213845548101032
跑得快不一定能拿到长跑冠军！,7115,23,2017-08-30 11:33:21,0.9096304718892024
宁波港祝贺南方航空,26178,52,2017-06-12 09:57:25,0.4157930673060982
实战炒股口决： 十四工作线，来回做波段；突破,48161,59,2017-05-30 06:01:24,0.986755970349184
广州自贸区概念,45011,69,2017-04-06 21:15:54,0.6958377097328536
机场航运板块表现抢眼 南方航空涨幅超6%,17898,4,2017-08-30 11:12:27,0.9785030660859819
航空板块持续走强 南方航空涨超7%,24862,9,2017-08-30 11:07:52,0.9472138860398076
南方航空8月30日盘中涨幅达5%,4020,4,2017-08-30 10:35:34,0.07091006057930205
600029:南方航空2017年半年度报告摘要,41546,11,2017-08-29 18:20:18,0.849329655516673
中报速递：南方航空2017年上半年盈利27.68亿元,22778,11,2017-08-29 19:19:37,0.492448941399085
早上诱空，8.69不破继续持股，看看方正证券的日,26043,34,2017-06-16 11:04:33,0.20568303192407633
南方航空(600029)融资融券信息(08-24),5371,3,2017-08-25 07:36:04,0.9064683472094583
核心内参泄露（002173创新医疗）要大涨,5199,17,2017-08-24 11:31:25,0.9707236706022955
以后到处发这个！有补充的吗？ 一个超跌的MSCI,13868,28,2017-08-12 12:48:33,0.08473118918500344
600029:南方航空2017年7月主要运营数据公告,46359,6,2017-08-14 18:53:54,0.6282735383938696
南航在走C浪杀，配合雏形头肩顶，已破颈线,12538,15,2017-07-25 15:01:22,0.07647067014233
紧急公告：MSCI指数股601958 金钼股份正创历史,8456,11,2017-06-23 14:48:45,0.9310964509377292
600029:南方航空关于完成向美国航空公司发行H股,47595,12,2017-08-10 18:28:03,0.6434626057004554
南方航空后市看多技术面分析 [牛][牛][牛][牛][,10469,6,2017-02-10 17:06:25,0.9784333170571916
南航春节前收盘价8.88元，少了我吃屎！,29392,41,2017-01-15 09:53:47,0.3600471932982475
南方航空即将拉升，买入,8463,12,2017-02-14 13:29:00,0.8867361797348086
对待南方航空的做法,4349,6,2017-02-14 14:24:19,0.7549526721845523
卖出是唯一正确的选择!,7292,27,2017-01-20 12:17:12,0.7418228756263667
南方航空(600029)融资融券信息(01-19),9281,5,2017-01-20 07:36:03,0.9064683472094583
进场: “双重改革”受益股,社保养老金标的股,5084,5,2017-07-31 08:00:42,0.9893200488469195
南方航空(600029)融资融券信息(01-20),15762,9,2017-01-21 07:36:34,0.9064683472094583
南方航空(600029)融资融券信息(01-18),12844,8,2017-01-19 07:37:40,0.9064683472094583
7.35这价位短期还有上涨空间吗？,12466,10,2017-02-10 14:12:40,0.7378715303258202
南方航空(600029)融资融券信息(08-04),5925,2,2017-08-05 07:38:00,0.9064683472094583
600029:南方航空关于向美国航空公司发行H股股票,14126,22,2017-07-31 18:14:09,0.8297716131294085
散户必看炒股格言，现金策略！     孙子云：先,63297,62,2017-02-22 09:00:39,0.08037291965991733
波音--南航,2215,16,2017-07-28 12:52:39,0.4737672181921908
入摩成了，祝贺南航入选标的股。[献花][献花][,7238,17,2017-06-21 05:47:19,0.48535022342650624
主力在玩死散户，最近4天,3天收盘0.41，馬的要,4814,5,2017-01-19 15:13:47,0.19162198552887377
d危险……高盛集团在h股顶部疯狂套现……机构顶,7603,24,2017-06-09 13:19:05,0.566710353022917
拉红出货 资金流出,2564,29,2017-07-11 12:31:35,0.8038492729346922
600029:南方航空2016年年度权益分派实施公告,95605,8,2017-07-19 18:48:00,0.7751386369129386
南方航空背后的危机已经显现 后势定让散户惊掉,18555,12,2017-07-20 19:59:18,0.9990850722526341
对国企混改概念股也要有坚持波段操作,57699,77,2017-01-10 17:29:24,0.05355040058017879
夏竟傻小子，看五粮液涨多少了，哈哈哈,5758,16,2017-06-21 23:07:17,0.9667173201426719
南方航空(600029)融资融券信息(06-21),7194,8,2017-06-22 07:36:09,0.9064683472094583
主力部队过来了,1674,29,2017-07-11 10:55:12,0.5294947133879233
赶快卖！！！,2363,28,2017-07-11 09:55:47,0.15233510213749535
出货！！！,1726,30,2017-07-11 13:30:39,0.12495494789498962
上海建工,4443,14,2017-06-21 19:28:42,0.4296932403033493
一个割在地板上又向证券公司借钱买股的韮菜，赔,6638,19,2017-06-21 11:55:19,0.0012104850674685697
南方航空(600029)融资融券信息(06-20),6862,16,2017-06-21 07:34:16,0.9064683472094583
[满仓兴奋]漂亮50中国股市的心脏；沪深300中国,8129,7,2017-07-17 09:52:55,0.9999360595822689
南方航空6月客运运力投入同比上升11.77%,17170,6,2017-07-14 18:03:33,0.4915757692725189
南方航空将来是航空股的龙头,5025,8,2017-06-12 11:27:20,0.6110138349958588
无耻，公司增发价是5.3元左右，8.8元时，毫不犹,8541,40,2017-07-04 11:41:12,0.08984626570717735
我的估算是一季度0.15，二季度0.25，三季度0.40,10002,17,2017-07-16 15:25:49,0.4716630852709037
600029:南方航空2017年6月主要运营数据公告,42197,10,2017-07-14 18:38:39,0.5672102083679728
原油期货爆跌，油价无底洞啊！！,6501,9,2017-06-22 01:52:24,0.41158316228791414
南航被指“骗”40多名旅客下机改签 延误10小时,28291,11,2017-07-05 02:28:45,0.002387687127565097
为国航点赞，为南航加油，为东航感到无地自容！,6450,21,2017-06-22 10:50:55,0.9985888126078556
600029:南方航空H股公告(暂停办理股份过户登记,25690,13,2017-06-21 19:31:31,0.42183733104052545
不跟你斗嘴了你咋像小孩似的？哈哈哈,5537,21,2017-06-21 13:48:18,0.6365180837216751
深圳地铁增加三项临时提案，提议董监事换届选举,4639,20,2017-06-21 09:53:32,0.37327340499701156
大单出小单买，没毛病，小散加油，庄机构出货。,4294,10,2017-06-15 10:27:32,0.6977344879710506
低调富豪张劲A股抄底，8个月花90亿买两家上市公,14844,72,2017-07-09 13:41:50,0.6964490674202117
看南方航空,21330,21,2016-11-22 18:21:12,0.7501071826716155
高盛提示关注广发等大券商战略机会:六月入摩或,11328,20,2017-05-25 12:24:26,0.9986527854413815
夏竟看泰和新材还能涨，周K和月K很好,3041,1,2017-07-01 11:04:07,0.7379774646669381
与德国国际领先技术合,5292,41,2017-06-25 18:22:39,0.8740942640283418
狡兔三窟，窟窟爆满,5085,45,2017-06-26 11:26:23,0.39313195737569684
同时文中涉及的股票只作参考不作推荐,4416,44,2017-06-25 13:54:28,0.9969580757720813
k线，像画出来的。,5348,39,2017-06-24 22:22:40,0.7587067353757282
又出了200万股，庄家厉害,4829,7,2017-06-22 13:07:48,0.12579001221653396
南航中长线看好，股友可以把握回调机会买入,5713,8,2017-06-20 12:39:52,0.9437937418807268
你来我走，哈哈哈哈,2077,13,2017-06-20 23:45:00,0.8819047335121248
港股下午跳水了，国航先跳，呵呵,6086,9,2017-06-16 13:28:14,0.7957309347421972
还是东航牛啊，南航现已沦为国内第三大航空公司,3367,20,2016-04-20 15:17:57,0.6633028502225836
南方航空(600029)融资融券信息(04-19),7693,21,2016-04-20 07:35:13,0.9064683472094583
娘希匹,2242,19,2016-04-20 10:35:36,0.7590970359833027
南方航空(600029)融资融券信息(04-20),6879,18,2016-04-21 07:33:17,0.9064683472094583
幸亏昨天换成东方航空了，不然真惨了,2910,35,2016-04-20 14:08:39,0.4623053102461385
大盘涨的时侯它没跟上，大盘跌的时侯它冲在前头,2112,43,2016-04-20 13:34:41,0.5030538412314305
南航就是垃圾，坚决卖掉南航,2774,22,2016-04-20 11:07:42,0.10662303423516073
南航庄家挣钱挣得很多的，你们以为不拉就不赚了,2581,18,2016-04-20 10:38:14,0.1457456555824479
航空运输板块，已经沉寂了很久很久……股吧里也,2629,18,2016-04-20 09:11:07,0.9543311796005857
南航就是给东航擦干腚的，操~,2680,47,2016-04-20 09:44:31,0.2903697547325148
热烈祝贺东方航空超过南方航空,4107,46,2016-04-20 09:39:22,0.8853981481061898
一两千手砸，很可怕啊,3424,14,2017-07-02 10:58:36,0.21475586968304916
一季报巨亏吗？迟迟等不来南航的预增公告。,6489,52,2016-04-20 16:54:32,0.013880803104946882
600115:东方航空停牌公告 公告日期：2016-04-21,10771,39,2016-04-20 18:26:03,0.5265322087818697
看看人家东方航空，南航主力你羞愧么,3310,34,2016-04-20 15:46:35,0.9109920008712519
南方航空该涨停了呀,3208,38,2016-04-20 15:38:13,0.7533517121649035
奇怪，每次航空股想涨点的时侯，股市必大跌,2582,40,2016-04-20 11:33:28,0.9255887200472964
庄家被套南方航空，越挣扎套得越紧！,2143,39,2016-04-20 10:30:08,0.9886464862457691
买了南航，是我至今为此做的最差的一只股票，以,2902,42,2016-04-20 10:25:06,0.13210577276747815
我持了一个多礼拜，刚卖了你就涨,3659,48,2016-04-19 21:16:19,0.3368935684049671
热烈庆祝南方航空站上60天线,6047,43,2016-04-19 15:02:23,0.041393141806371436
卖光了，明天千万别涨啊,8574,23,2016-08-31 19:37:19,0.04431793102522741
过度下跌，此处不宜卖出,4419,17,2016-08-31 10:53:24,0.4347318611958184
我只想说一句：国航、南航、海航，你们还要脸吗,3959,25,2016-04-20 16:36:25,0.1461938177143084
大跌！南航洗啦点意志不坚的人出去，拿了好多筹,5175,20,2016-04-20 15:16:26,0.1027484298569532
我看到的是机会。,7356,25,2016-04-16 14:30:26,0.7541666666666667
增发摊薄多，但暑运旺季值得期待,35392,10,2017-06-27 16:38:52,0.5795331884278608
马逼，一季度油跌，人民币暴涨，垃圾却从10元到,5632,17,2016-04-19 21:22:22,0.011828599849183385
这两天漂亮50持续出货，有些有价值的中小盘股开,12494,72,2017-06-28 15:16:32,0.2312303181320372
南方航空-又一波新的航情正在冉冉雄起,41431,463,2017-06-20 13:18:21,0.8934756640551225
主力悄悄出货，南航回到7元时代，拭目以待！,2337,31,2017-06-14 11:32:54,0.9237622058057828
宿命与反抗！目前看来大盘有可能在复制1999年5,19305,16,2017-02-26 12:54:57,0.9783185707157086
国际油价连跌五周 商品之王称石油未来将一钱不,7510,37,2017-06-26 11:55:51,0.6186291699341971
南方航空：拟同时定增A股和H股募资购买飞机及补,24993,14,2017-06-26 21:37:31,0.22705569214149146
南方航空拟A+H股联袂定增逾百亿元,28253,12,2017-06-27 04:26:47,0.18774106635055499
600029:南方航空非公开发行A股股票预案,26920,13,2017-06-26 19:12:00,0.4806934326044331
南方航空：拟定增A股募资95亿扩充机队规模,46279,27,2017-06-26 19:42:02,0.9458748837590623
今日破9，大家顶起！,3628,44,2017-06-01 10:27:17,0.7104805026701185
南方航空反弹的狂热之中，行情即将发生转变,4739,19,2017-06-07 15:44:17,0.997893854959446
蓄势整理中，后市 南方航空 600029 突破12指日,10302,3,2017-06-22 18:10:01,0.9317986576064501
必须创新的题材热点,11096,15,2017-06-13 17:39:49,0.9264831910064154
600029:南方航空H股公告(收购飞机之主要交易),26205,9,2017-06-22 19:00:50,0.5227184954079703
就算你赢了又如何,5998,66,2017-06-07 00:12:01,0.6744486874773995
加息利空出尽，对中小盘是利好，50接着跌,15632,68,2017-06-15 09:38:49,0.19292984465024088
之前8.74的成本和杀入南方航空和的先祝贺了,8912,66,2017-06-19 18:03:00,0.4912126576427218
3月29号再看看,34755,180,2017-03-10 13:40:30,0.054567271885673785
8.93.8.94卖3000手的毛,14856,97,2017-06-08 14:22:40,0.38124768142870835
传闻公司重大策划事项快要停牌公告,9442,17,2017-06-07 17:56:11,0.5134829466328683
国际航空枢纽建设持续推进，旺季业绩弹性值得期,30657,5,2017-06-07 17:41:55,0.9646366932808882
600029南方航空 股价持续走高，且站上多条均线,3617,3,2017-06-12 20:53:59,0.9051051889784063
28天券商能翻几倍?MSCI将于6月20日公布是否纳入,10026,14,2017-05-23 12:29:18,0.00874761287764847
