日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-09-15,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,44,77.0,1,2,0,0
2017-05-28,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,414,1590.0,1,2,0,0
2017-10-04,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,3,422.0,1,2,0,0
2017-01-02,0,0,0,1,0.6931471805599453,1.0,1.6094379124341003,54,763.0,1,2,0,0
2017-08-02,0.00016886419673917637,-0.002304758002145359,0.008518745316327955,-1,-0.6931471805599453,1.0,-0.6931471805599453,65,121.0,1,1,0.86,-0.23
2017-07-09,0,0,0,-1,-0.6931471805599453,1.0,-1.8718021769015913,65,566.0,1,2,0,0
2017-07-20,0.00017472142989501636,0.004286709138816172,-0.004675090328994014,-1,-0.6931471805599453,1.0,-1.5040773967762742,62,107.0,1,0,-0.47,0.43
2017-06-26,0.00039627455195298143,0.008692677357703274,0.030207793278481557,1,0.6931471805599453,1.0,1.0986122886681098,39,129.0,1,1,3.07,0.87
2017-09-11,0,0,0,0,0.0,0.0,0.9879476604761007,34,230.0,2,2,0,0
2017-05-27,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,67,778.0,1,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,42,532.0,1,2,0,0
2017-03-17,0.0002495401316809775,-0.009679790445910842,-0.020543256029918244,-1,-0.40546510810816444,0.057190958417936644,-1.2261093316628817,138,562.6666666666666,3,0,-2.03,-0.96
2016-02-02,0.0004169202596749881,0.022330942904132012,0.024320828163856383,-5,-0.9808292530117262,0.1685205807169019,-0.6812142497073282,469,2407.8888888888887,9,1,2.46,2.26
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,534.0,1,2,0,0
2017-09-20,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,534.0,1,2,0,0
2017-07-16,0,0,0,-1,-0.6931471805599453,1.0,-1.7047480922384253,29,657.0,1,2,0,0
2017-09-21,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,530.0,1,2,0,0
2017-09-19,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,14,432.0,2,2,0,0
2017-09-16,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,548.0,1,2,0,0
2017-03-24,0.00011936520094624008,0.006413032104768939,0.012316086067319364,-2,-1.0986122886681098,1.0,-1.459334565421207,120,150.0,2,1,1.24,0.64
2017-09-13,0,0,0,-3,-1.3862943611198906,1.0,-0.6931471805599453,30,340.3333333333333,3,2,0,0
2017-09-12,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,536.0,1,2,0,0
2017-09-09,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,40,538.0,1,2,0,0
2017-09-07,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,291.0,1,2,0,0
2015-12-10,0.0007985107580527487,-0.004890352330062194,0.010398707220898517,-2,-0.5108256237659907,0.057190958417936644,-0.5256018271492183,1568,1980.5,6,1,1.05,-0.49
2017-09-06,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,12,709.0,1,2,0,0
2017-08-18,0.00020050168198205547,8.872367933730924e-05,-0.020050797045561078,-2,-1.0986122886681098,1.0,-1.3428592587012058,10,477.5,2,0,-1.99,0.01
2017-08-28,0.0010821752994024515,0.009300697294152414,0.060222033744857795,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,184.0,1,1,6.21,0.93
2017-08-25,0.0004855831779583588,0.01817700427944759,0.028254667657599708,-4,-1.6094379124341003,1.0,-0.9914393342988991,46,262.75,4,1,2.87,1.83
2017-05-26,8.963909631527742e-05,0.0007172851548067617,0.0010526316761434664,-1,-0.6931471805599453,1.0,-1.7047480922384253,333,121.0,1,1,0.11,0.07
2016-05-25,7.51040142974004e-05,-0.0023346755898089127,0.0005808887761364746,0,0.0,0.0,1.4980942108264617,980,1282.5,2,1,0.06,-0.23
2017-07-18,0.000292160033239086,0.003491501858554478,-0.019465334788103236,-1,-0.6931471805599453,1.0,-1.7047480922384253,7,491.0,1,0,-1.93,0.35
2017-08-26,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,12,530.0,1,2,0,0
2017-08-24,0.00012301667646594288,-0.00493658013051556,-0.009009069942365968,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,215.0,1,0,-0.90,-0.49
2017-08-23,0.0002065268926555585,-0.0007692389930437725,0.012030220276542282,1,0.6931471805599453,1.0,0.6931471805599453,3,331.0,1,1,1.21,-0.08
2017-07-12,0.00016988912882161562,-0.0017185946753946032,0.0,-2,-1.0986122886681098,1.0,-0.9761658049394676,81,518.0,2,2,0.00,-0.17
2017-08-22,6.649733343270686e-05,0.0010095574313395495,-0.0025182586967234123,-1,-0.6931471805599453,1.0,-0.6931471805599453,12,443.0,1,0,-0.25,0.1
2017-08-21,2.6494351744769393e-05,0.005549442748311529,0.006560709881297005,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,357.0,1,1,0.66,0.56
2017-08-19,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,30,534.0,1,2,0,0
2017-02-07,4.928679321251992e-05,-0.001232950028379086,-0.007959713025314914,-3,-1.3862943611198906,1.0,-0.7533707046532935,43,414.0,3,0,-0.79,-0.12
2017-08-16,5.225131312499184e-05,-0.0014805218695833238,-0.0040180867721469156,-1,-0.6931471805599453,1.0,-0.6931471805599453,17,238.0,1,0,-0.40,-0.15
2017-08-17,0.0001438472286575189,0.006747655642863546,0.013993231828966472,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,526.0,1,1,1.41,0.68
2017-02-22,6.982787007237417e-05,0.002422271333496166,-0.0035980506562903938,0,0.0,0.0,-0.5302191973340777,24,791.5,2,0,-0.36,0.24
2017-08-12,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,4,528.0,1,2,0,0
2017-03-22,8.217870143123155e-05,-0.005037794029957293,-0.01451248259912755,-1,-0.6931471805599453,1.0,-0.6931471805599453,70,312.0,1,0,-1.44,-0.5
2017-07-29,0,0,0,-1,-0.6931471805599453,1.0,-1.5040773967762742,19,244.0,1,2,0,0
2017-07-17,0.0011393799925848852,-0.01436526090779734,-0.020983125603500432,1,0.6931471805599453,1.0,1.6094379124341003,83,138.0,1,0,-2.08,-1.43
2017-07-24,0.00012328477399592172,0.0038899161028251106,-0.014245255136048917,-1,-0.6931471805599453,1.0,-0.6931471805599453,15,1167.0,1,0,-1.41,0.39
2017-08-04,0.0003447771221446847,-0.0033205794542208998,0.0,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,195.0,1,2,0.00,-0.33
2016-08-04,1.980151782354803e-05,0.001332016053638461,-0.0005686664924359941,-3,-1.3862943611198906,1.0,-0.6931471805599453,21,850.3333333333334,3,0,-0.06,0.13
2017-07-26,6.0571345659121124e-05,0.0012262455013185357,0.007189103572469256,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,1106.0,1,1,0.72,0.12
2017-02-19,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,13,201.0,1,2,0,0
2017-07-07,0.0003408431176539254,0.001716845408023304,0.009896171807732569,-4,-1.6094379124341003,1.0,-1.3613780741450099,172,196.0,4,1,0.99,0.17
2017-07-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,12,1094.0,1,2,0,0
2017-06-30,0.00014591169796022537,0.0013698009661658888,0.005867987497925448,0,0.0,0.0,-0.4987460247585528,88,267.0,2,1,0.59,0.14
2016-07-21,6.210435897806287e-05,0.003662494554559723,0.004935573495973032,-3,-1.3862943611198906,1.0,-1.747864506460277,59,217.66666666666666,3,1,0.49,0.37
2016-03-22,0.00039049809912767436,-0.006460468852592381,-0.03807629304564089,-3,-1.3862943611198906,1.0,-1.3037839210975006,292,1202.0,3,0,-3.74,-0.64
2016-07-09,0,0,0,-1,-0.40546510810816444,0.057190958417936644,0.6010046492629805,89,319.0,3,2,0,0
2017-06-19,0.000505842478047376,0.006765040463340583,0.03225260359105304,-1,-0.6931471805599453,1.0,-1.7047480922384253,17,139.0,1,1,3.28,0.68
2015-11-25,0.00015321327770161265,0.008761021010267335,0.0016687529946789504,-1,-0.13353139262452263,0.002962969475713839,-1.2156758723527097,1626,5101.923076923077,13,1,0.17,0.88
