日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-09-01,0.00014314898545383632,0,0,-1,-0.40546510810816444,0.057190958417936644,-0.449063913321594,109,619.6666666666666,3,1,1.99,0.19
2017-08-18,0.00018324735736039962,8.872367933730924e-05,-0.0036242866612659066,-2,-0.6931471805599453,0.1339745962155614,-0.09947151972425941,197,514.25,4,0,-0.36,0.01
2017-07-30,0,0,0,2,1.0986122886681098,1.0,1.0424972707018108,27,1378.0,2,2,0,0
2017-05-19,0.0008194908466436502,0.0001585562967159373,-0.07040002180049044,-1,-0.1823215567939546,0.006192010000093506,-0.3008509781701509,182,357.1111111111111,9,0,-6.80,0.02
2017-09-03,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,10,138.0,1,2,0,0
2017-09-26,0,0,0,0,0.0,0.0,0.17547678335884728,21,1718.5,2,2,0,0
2016-08-23,0.00023654280212048826,0.00158716824259488,0.012894329396316214,-2,-0.6931471805599453,0.1339745962155614,-0.1319550217070562,307,329.0,4,1,1.30,0.16
2016-08-22,0.00015305191593179804,-0.007521539889890817,-0.011728963922393521,0,0.0,0.0,0.46907949667519955,224,156.58333333333334,12,0,-1.17,-0.75
2017-09-27,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,17,118.0,1,2,0,0
2017-09-21,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,37,127.0,2,2,0,0
2017-09-04,0.0003002173948138735,0.003693661839453739,0.033961627972596393,-2,-1.0986122886681098,1.0,-1.5935671141400292,24,204.0,2,1,3.45,0.37
2017-09-25,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,12,1007.0,1,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,2,522.0,1,2,0,0
2017-09-05,0,0.0014015585020253336,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,33,789.5,2,2,0,0.14
2017-09-15,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,26,327.0,2,2,0,0
2017-09-13,0,0,0,1,0.4054651081081644,0.057190958417936644,-0.008647794361856524,57,130.66666666666666,3,2,0,0
2017-01-03,0.0001324456999234845,0.010346975745288672,0.006824101819940811,-3,-1.3862943611198906,1.0,-1.5944418494145465,572,264.0,3,1,0.68,1.04
2017-09-07,0,0,0,0,0.0,0.0,-1.225520583639887,28,139.5,2,2,0,0
2017-09-08,0,0,0,0,0.0,0.0,-0.4478390853267391,26,322.0,2,2,0,0
2017-08-28,0.0002580894400298696,0.009300697294152414,0.02770260254933575,-1,-0.6931471805599453,1.0,-1.791759469228055,16,126.0,1,1,2.81,0.93
2017-07-28,9.437902500529652e-05,0.0010641210780513296,-0.010633256301368703,-1,-0.6931471805599453,1.0,-0.6931471805599453,79,164.0,1,0,-1.06,0.11
2017-09-12,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,20,1408.0,1,2,0,0
2017-01-06,0.00030082162438493156,-0.003509647210730325,-0.008810629682154807,-1,-0.40546510810816444,0.057190958417936644,-0.9522814167113689,111,127.0,3,0,-0.88,-0.35
2017-09-10,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,24,303.0,1,2,0,0
2017-07-16,0,0,0,1,0.6931471805599453,1.0,0.6931471805599453,109,341.0,1,2,0,0
2017-08-07,0.00012001301448960954,0.005313745966537152,-0.018566961612516007,1,0.6931471805599453,1.0,1.7047480922384253,10,129.0,1,0,-1.84,0.53
2017-07-13,0.0014130710389229425,0.0064280034914848206,0.047414815058979744,1,0.6931471805599453,1.0,1.7047480922384253,21,176.0,1,1,4.86,0.64
2017-09-02,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,7,526.0,1,2,0,0
2017-08-24,0.00020930932859190488,-0.00493658013051556,-0.014082535969132984,1,0.6931471805599453,1.0,1.3862943611198906,23,158.0,1,0,-1.40,-0.49
2017-08-31,4.143425889952732e-05,-0.0008387316015357838,-0.010059526987733344,-1,-0.6931471805599453,1.0,-0.6931471805599453,13,249.0,1,0,-1.00,-0.08
2017-08-30,7.658878904065643e-05,-0.0004755634773659953,-0.008155912903607872,-1,-0.6931471805599453,1.0,-0.6931471805599453,13,2052.0,1,0,-0.81,-0.05
2017-08-22,4.058471641504398e-05,0.0010095574313395495,-0.006670734257392915,1,0.6931471805599453,1.0,1.791759469228055,50,190.0,1,0,-0.66,0.1
2017-05-17,0,-0.0027406971831017367,0,-3,-0.6931471805599453,0.09649209709474871,-0.24054323896980637,231,842.7142857142857,7,2,0,-0.27
2017-08-26,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,11,520.0,1,2,0,0
2017-08-25,0.00016483070390219693,0.01817700427944759,0.009722516605054216,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,1845.0,1,1,0.98,1.83
2017-03-03,0.00010884955928320208,-0.0036350480605101677,-0.02610534247962532,0,0.0,0.0,-0.050159524911382924,136,130.5,2,0,-2.58,-0.36
2017-08-19,0,0,0,0,0.0,0.0,1.0174215654822243,23,331.0,2,2,0,0
2017-07-20,5.6710639562530686e-05,0.004286709138816172,-0.018360559343044373,-1,-0.40546510810816444,0.057190958417936644,-0.6459868855307439,119,752.6666666666666,3,0,-1.82,0.43
2016-11-18,0.0002450835754757618,-0.004870887622510504,-0.033867528812313946,3,1.3862943611198906,1.0,1.2817524490854717,58,173.0,3,0,-3.33,-0.49
2017-08-15,9.94970891257386e-05,0.004284430668697165,-0.01992630985621302,0,0.0,0.0,-0.20263165715561274,42,668.5,2,0,-1.97,0.43
2017-08-16,7.426256735619593e-05,-0.0014805218695833238,-0.02033145439406579,-1,-0.6931471805599453,1.0,-1.7047480922384253,10,204.0,1,0,-2.01,-0.15
2017-08-12,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,29,830.0,1,2,0,0
2017-08-14,0.0004061979609295597,0.008942177831837768,-0.006457316244298268,-1,-0.6931471805599453,1.0,-1.7047480922384253,12,143.0,1,0,-0.64,0.9
2017-07-29,0,0,0,-1,-0.6931471805599453,1.0,-1.5040773967762742,19,2860.0,1,2,0,0
2017-06-23,0.000160976520850599,0.003305148504969669,-0.006521389166559224,0,0.0,0.0,-0.7366009683495448,37,214.5,2,0,-0.65,0.33
