标题,帖子数,日期,情感
工商银行蒙古代表处于9月5日正式开业,2486,14,2017-09-05 19:08:00,0.05331812005187164
卧槽不知不觉涨这么多了，闷声发大财啊,25312,47,2017-07-26 22:02:08,0.9307388678464641
价值投资将使得A股不会上涨,18011,39,2017-08-10 14:30:57,0.3375526140029692
[困顿]MSCI Inc.来了，漂亮50必将是永远中流砥,9289,17,2017-06-22 14:42:22,0.990124922799282
工行未来二年的每股收益,34942,56,2017-05-18 09:54:54,0.9930024159640679
银行股撑舵掌权：托盘压盘，肆无忌惮（续）,103368,173,2017-06-02 01:39:53,0.009842918867309036
咯咯咯咯咯咯咯 狂笑 瞎子狂笑 连续4年业绩翻倍,13438,49,2017-07-17 20:09:13,0.9521368910917065
做事别往复杂去,34475,47,2016-10-18 21:03:54,0.46694494876419157
狂笑狂笑 狂笑 白痴不抢 瞎子狂笑 业绩翻倍 股0,15700,47,2017-05-11 13:38:06,0.01263553294197095
笑哈哈 狂笑 白痴不抢 瞎子狂笑 业绩翻倍 股0.9,16365,46,2017-05-11 13:37:00,0.4815093405902332
证金就不能减持，若是有减持消息，再有救市资金,7258,24,2017-07-25 11:04:30,0.5366312565694975
宁波港祝贺工商银行何,19290,57,2017-06-09 13:28:04,0.031352997071140365
工商银行委任梅迎春和董轼为非执行董事或中国银,3868,20,2017-09-04 18:07:01,0.21451674227240136
实战炒股口决： 十四工作线，来回做波段；突破,49130,109,2017-03-14 08:33:04,0.986755970349184
《在历史拐弯处的告白》2.0版：寻找心中的青龙,61928,134,2017-05-17 17:58:24,0.9939565583108545
工商银行董事任职资格已获中国银监会核准,4718,21,2017-09-04 17:56:45,0.11883229098401582
咯咯狂笑 疯狂抢盘啦 ，晨鸣三年利润之和超市值,15128,44,2017-06-26 14:37:37,0.9882346249722794
咯咯笑 咯咯咯咯，晨鸣三年利润之和超现公司市,16204,47,2017-06-26 21:08:07,0.9413361995924266
嘉应制药上半年净利润下滑早有预期 数千万债权,32271,26,2017-09-03 01:37:13,0.5293240942659088
银行股的领头羊？？？,8215,13,2017-08-24 10:14:33,0.011516190737130949
工商银行(601398)融资融券信息(09-01),4526,15,2017-09-02 07:55:52,0.30591935459087405
工行股价上涨近五成的启示,17312,11,2017-09-01 04:44:22,0.8721129407099355
实战炒股口决： 十四工作线，来回做波段；突破,49421,96,2017-03-16 08:42:57,0.986755970349184
净息差回升，资产状况继续改善，负债端成本优势,6078,7,2017-09-01 08:26:35,0.04370338066195112
工商银行(601398)融资融券信息(08-31),4035,7,2017-09-01 08:08:16,0.30591935459087405
透视A股半年报：工商银行“最赚钱”民生控股“,27446,12,2017-08-31 19:28:17,0.20099483193781809
[哭]疯狂抄顶四大行，你们或将继续站岗放哨又十,9208,16,2017-08-09 11:16:39,0.7163593856612956
揭穿价值投资的鬼话，如果真要价值投资，招商银,25126,54,2017-07-02 15:30:11,0.9997151511106501
揭穿价值投资的鬼话，如果真要价值投资，招商银,16224,33,2017-06-27 21:49:15,0.9997151511106501
日倭人均住房35.2平米 它泡沫破了 咱40.8平米！,7284,32,2017-08-25 15:25:14,0.08951642919140124
银行股脉冲式上演逆袭行情 工商银行股价创下9年,104629,18,2017-08-16 07:49:03,0.4474292264018953
工行交出2017中期成绩单:好于计划、好于同期、,10387,3,2017-08-31 01:07:57,0.38757172502137605
银行股走弱 工商银行跌逾2%,23106,7,2017-08-30 15:11:30,0.00021900088682935692
工商银行中期净利增1.85%至1529.95亿元,15204,10,2017-08-30 17:38:24,0.5828026581841111
工行上半年不良率较年初下降0.05个百分点,19275,17,2017-08-30 18:55:48,0.9167910414647297
工商银行：上半年净利1530亿元 同比增近2%,18113,7,2017-08-30 18:33:53,0.05800383544929388
工商银行中期净利润同比增2%至1536.87亿元,17527,11,2017-08-30 16:56:58,0.16014044298051144
工商银行建议重选梁定邦为独立非执行董事,4049,12,2017-08-30 21:51:33,0.04313248818079196
工行厉害了！机构预计工行2017/2018年净利润增,10521,16,2017-08-25 10:18:17,0.5651700738705677
工行的投资价值,21917,24,2017-03-09 13:01:04,0.9623961493687396
就发个图片 说明一切,7361,42,2017-08-24 09:54:37,0.5568688658871305
[护城河]女士们先生们朋友们！战胜内心的恐惧，,5429,14,2017-07-23 18:08:50,0.9998531587001329
卖了房子，买工行,35891,57,2017-06-09 10:47:44,0.7506476007308501
工商银行(601398)融资融券信息(08-25),6206,13,2017-08-26 10:06:45,0.30591935459087405
工商银行欲控股山西信托 银行系信托规模将爆发,30353,10,2017-08-26 02:46:03,0.6599270933213243
601398:工商银行董事会决议公告(2017/8/26),25790,4,2017-08-25 20:33:19,0.059235223140596815
黄国东：A股下半年预测   推荐工商银行,27404,40,2017-07-02 16:18:55,0.3098446602386853
工商银行决定组建网络金融部,12990,17,2017-08-25 19:24:36,0.6352149089350523
工商银行(601398)融资融券信息(08-24),4233,4,2017-08-25 07:47:11,0.30591935459087405
工行创年内新高 7家已公布半年报银行均有“国家,84410,20,2017-08-24 06:08:36,0.6649567781370527
用5.07的工行换了7.76的民主银行,33343,75,2017-05-23 10:49:51,0.8456130841279926
工行股价昨创历史新高,10333,5,2017-08-24 09:19:47,0.9946678774617056
易会满：治理金融乱象要建立一张超级资产负债表,14760,8,2017-08-24 11:13:07,0.7721993678795657
工行董事长易会满：确保同业比重10%以内 理财杠,4790,4,2017-08-24 06:51:44,0.3561867968896534
工商银行(601398)融资融券信息(08-22),2491,4,2017-08-23 07:48:12,0.30591935459087405
韩自国是什么样的经济学家？ 1、2007年8月23日,12348,23,2017-06-13 19:04:11,0.43133084248909903
一次小小的发布会竟有近70家机构参与！为何这么,7019,24,2017-07-28 12:32:15,0.2868690547684074
深度解折太湖流域水质告急：8月4日染料从12000,5052,9,2017-08-07 12:05:14,0.2485417185356119
工商银行(601398)融资融券信息(08-18),5931,30,2017-08-19 08:38:13,0.30591935459087405
狠狠批评证金公司减持国有三大行A股的行为,13178,26,2017-04-28 21:40:18,0.00984901803534588
工商银行贷新还旧爽约 “中国首例违法放贷入刑,29582,12,2017-07-01 03:54:49,0.05790140481711059
如何看待成长股与所谓“价值股”？,7233,15,2017-08-07 00:22:20,0.6288182405681233
工行收益分析,62843,56,2015-12-29 12:21:17,0.9933395177600081
工商银行(601398)融资融券信息(08-11),6423,9,2017-08-12 07:48:35,0.30591935459087405
无耻没有底线，拉吧，拉倒你麻痹里去吧,3462,9,2017-07-24 17:57:32,0.25735826091326175
看多就害人;估值水平已经升至历史高位,3114,7,2017-07-30 18:32:25,0.9095424959631034
凡人：俺收到料乐山电力的庄联合数庄要砸盘，赶,7337,22,2017-06-23 14:07:04,0.9035388204008615
一笔损失6000亿美元，呜呼工商银行,4831,7,2017-08-03 13:14:02,0.09752199374531467
工行员工贪污银监局工资被抓 5年贪污300多万获,15196,10,2017-08-05 20:13:46,0.17776600388082398
工商银行(601398)融资融券信息(10-11),6242,7,2016-10-12 07:42:26,0.30591935459087405
工商银行(601398)融资融券信息(08-07),5096,5,2017-08-08 07:45:53,0.30591935459087405
工商银行(601398)融资融券信息(10-12),4804,5,2016-10-13 09:20:09,0.30591935459087405
买工商银行就是买国运,7436,12,2017-03-13 10:22:06,0.061745363090909944
工行现金分红完毕 豪掷逾830亿元真金白银回报股,12075,3,2017-08-04 03:11:57,0.13799958836318393
呵呵 瞎子也狂笑 业绩翻倍 季报再增长300%翻倍,13236,35,2017-05-07 18:49:56,0.889187827323133
牛市归来,看好券商石化钢铁核电股!,2827,5,2017-07-26 09:04:11,0.890142453148024
