日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-07-02,0,0,0,-3,-1.3862943611198906,1.0,-1.722596260995115,116,739.0,3,2,0,0
2017-08-24,0.00014971885461474515,-0.00493658013051556,0.011894787652149146,1,0.22314355131420976,0.010256681389212985,-0.12488136557150342,129,861.7142857142857,7,1,1.20,-0.49
2017-06-13,3.406360704803571e-05,0.004404467510343322,0.0,1,0.6931471805599453,1.0,1.6094379124341003,42,1555.0,1,2,0.00,0.44
2017-09-05,0.00020104884328016765,0.0014015585020253336,0.011834457647002798,-1,-0.40546510810816444,0.057190958417936644,-0.5827178100719556,99,303.6666666666667,3,1,1.19,0.14
2016-10-05,0,0,0,-2,-1.0986122886681098,1.0,-1.791759469228055,16,1124.0,2,2,0,0
2017-09-09,0,0,0,0,0.0,0.0,0.029547799339740548,47,1243.0,2,2,0,0
2017-06-23,0.00011210644257751405,0.003305148504969669,0.007812539736793625,3,1.3862943611198906,1.0,1.439958805216205,51,993.3333333333334,3,1,0.78,0.33
2017-06-02,0.00021417825997360797,0.0009406974740755004,-0.0018850146957712238,-3,-0.916290731874155,0.19999999999999996,-0.6762026010148623,260,236.0,5,0,-0.19,0.09
2017-05-17,5.2567197034649074e-05,-0.0027406971831017367,-0.008032171697264267,0,0.0,0.0,1.4577933040407773,166,682.5,2,0,-0.80,-0.27
2017-05-18,0.00011804214301647128,-0.004616947525676165,0.008032171697264253,1,0.6931471805599453,1.0,1.791759469228055,61,980.0,1,1,0.81,-0.46
2017-07-25,0.0003877865015243127,-0.00212802403577702,0.016559716039018558,0,0.0,0.0,-0.9938548508794507,48,198.0,2,1,1.67,-0.21
2017-05-11,5.342369609158607e-05,0.0028490653507486784,0.006103782938017666,-2,-0.6931471805599453,0.1339745962155614,-1.4816348171165339,126,743.5,4,1,0.61,0.29
2017-06-27,5.011774725097029e-05,0.0018065945597103685,-0.003921573653181802,-4,-1.6094379124341003,1.0,-1.6639597173789507,182,423.25,4,0,-0.39,0.18
2017-06-26,0.00039231397454657146,0.008692677357703274,-0.005853675251460541,-2,-1.0986122886681098,1.0,-1.8718021769015913,108,545.5,2,0,-0.58,0.87
2017-07-17,0.0005195861592186338,-0.01436526090779734,0.032352964451765664,-1,-0.2876820724517809,0.020204102886728803,-0.7402141710901557,148,877.6,5,1,3.29,-1.43
2017-06-09,0.00010867354994230739,0.002558361001867015,0.0,0,0.0,0.0,-0.5667182620831309,122,150.0,2,2,0.00,0.26
2017-09-15,0,0,0,-2,-1.0986122886681098,1.0,-1.5796540355040487,40,310.5,2,2,0,0
2017-09-27,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,6,542.0,1,2,0,0
2017-08-25,0.0007753759408814158,0.01817700427944759,0.03974032864951412,-1,-0.2876820724517809,0.020204102886728803,-0.6053060494033156,126,689.6,5,1,4.05,1.83
2017-09-23,0,0,0,0,0.0,0.0,0.10772413232758846,41,800.0,2,2,0,0
2017-09-20,0,0,0,-2,-1.0986122886681098,1.0,-1.477445329798677,13,980.5,2,2,0,0
2017-08-30,0.0004850145160197271,-0.0004755634773659953,-0.01825776857356499,-4,-1.0986122886681098,0.2546440075000701,-0.4286485217714254,71,700.1666666666666,6,0,-1.81,-0.05
2017-07-21,0.000103422202866627,-0.0021225273438605923,0.00753299230754523,1,0.6931471805599453,1.0,1.6094379124341003,11,290.0,1,1,0.76,-0.21
2017-03-16,5.828338242292087e-05,0.008349381141158718,-0.01058210933053686,-2,-1.0986122886681098,1.0,-1.7917594692280552,124,564.5,2,0,-1.05,0.84
2017-03-14,4.0048860155695694e-05,0.0007133648113400188,0.006322465739486888,-1,-0.6931471805599453,1.0,-1.791759469228055,116,753.0,1,1,0.63,0.07
2017-08-31,0.00020241200987738636,-0.0008387316015357838,-0.011794576492836816,-1,-0.40546510810816444,0.057190958417936644,-0.3619123463239945,22,1295.0,3,0,-1.17,-0.08
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,5,546.0,1,2,0,0
2016-10-18,2.9944116181931954e-05,0.013946234641883621,0.006825965070399891,1,0.6931471805599453,1.0,0.6931471805599453,49,417.0,1,1,0.68,1.4
2017-09-21,0,0,0,0,0.0,0.0,0.2289906346942085,12,987.5,2,2,0,0
2017-09-19,0,0,0,2,1.0986122886681098,1.0,0.6931471805599453,43,244.0,2,2,0,0
2017-07-26,0.0004667868647457009,0.0012262455013185357,0.02166149678117925,-1,-0.2876820724517809,0.020204102886728803,0.49343203505903105,101,201.2,5,1,2.19,0.12
2017-09-04,0.00017965753915405902,0.003693661839453739,0.01542447032563173,-1,-0.40546510810816444,0.057190958417936644,0.04951969183264631,55,1984.6666666666667,3,1,1.55,0.37
2017-08-10,0.00023371798980134666,-0.004228038580808216,-0.0036166404701885504,-1,-0.6931471805599453,1.0,-1.7047480922384253,53,186.0,1,0,-0.36,-0.42
2017-04-28,3.8254608784224715e-05,0.000783275367666143,0.0,0,0.0,0.0,0.03027327348764914,67,482.0,4,2,0.00,0.08
2017-04-25,1.4001265273773309e-05,0.001609170060362896,-0.002076843944839228,-1,-0.6931471805599453,1.0,-1.8718021769015913,29,785.0,1,0,-0.21,0.16
2017-06-22,0.0002707591575120163,-0.002779339507223078,0.00985229644301164,1,0.6931471805599453,1.0,1.6094379124341003,17,1132.0,1,1,0.99,-0.28
2015-11-14,0,0,0,1,0.6931471805599453,1.0,1.791759469228055,225,312.0,1,2,0,0
