标题,帖子数,日期,情感
在21上方横了那么久，久盘必跌!庄家太需要一个,73146,173,2017-07-12 22:09:09,0.02477601402445684
康美年底前有行情,12160,10,2017-09-04 19:00:39,0.9529708190481428
康美药业：分享半年报： 从业绩看：盈利百分之2,17422,9,2017-08-28 21:17:38,0.9872850075544419
仅此1家江苏银行股价不到10块0.98元业绩次新股,51763,116,2017-04-30 06:54:57,0.04997406222880718
难得,7674,7,2017-09-04 09:29:29,0.845360824742268
康美药业唯一的利空,15665,10,2017-08-31 16:19:31,0.8766806580341779
康美深度解析,9936,7,2017-09-01 11:58:21,0.9894020217787016
下周康美震荡调整难免，考验持股的时刻到来,258267,580,2017-05-07 09:18:29,0.8193648603129531
中报点评：业绩增长符合预期，看好公司估值中枢,22582,6,2017-08-30 16:38:54,0.815101613919642
康美药业控股股东完成增持计划 总投入超20亿,30515,18,2017-08-23 21:17:42,0.5654460008017569
实战炒股口决： 十四工作线，来回做波段；突破,57222,82,2017-05-07 06:51:13,0.986755970349184
康美药业中报亮点,11050,9,2017-08-29 10:07:14,0.8222044248251908
业绩符合预期，智慧药房业务呈爆发态势,17398,3,2017-08-29 13:35:40,0.7516722639723444
康美药业并没有真正启动,21486,16,2017-08-25 14:31:01,0.606992558072687
康美药业中报净利增22% 证金公司增持逾1亿股,18655,9,2017-08-28 23:49:00,0.4493913888286869
康美药业半年净利增两成 智慧药房处理处方250万,19724,8,2017-08-29 00:10:24,0.9703274475584164
600518:康美药业2017年半年度报告摘要,23333,12,2017-08-28 20:20:40,0.901635355451522
康美药业：上半年净利增22% 汇金公司增持超1亿,23725,13,2017-08-28 21:52:35,0.800314822138004
可想而知半年报业绩差成什么样！大盘都突突往上,7553,8,2017-08-28 11:30:19,0.06399863369968384
事件点评：大手笔增持20.29亿完成，彰显大股东,29216,9,2017-08-28 14:01:23,0.9164557348100798
康美高管大量增持股份，股价长期走好，阶段目标,12245,7,2017-08-24 15:21:40,0.9930663575720249
康美近期这种走势只能说明中报不及预期，同比达,11626,21,2017-08-25 10:38:05,0.6867036816711564
康美药业(600518)融资融券信息(08-25),4923,6,2017-08-26 09:57:54,0.9403317027800453
康美药业大股东及高管完成20亿元增持计划,28949,7,2017-08-24 03:29:46,0.445162181531355
康美药业控股股东及高管增持计划完成,17635,10,2017-08-23 18:10:57,0.6836722335080353
600518:康美药业关于控股股东及高管增持公司股,32954,17,2017-08-23 16:46:42,0.6253658604911606
康美药业(600518)融资融券信息(08-18),5939,5,2017-08-19 08:33:45,0.9403317027800453
600518:康美药业关于控股股东股权质押解除的公,31862,6,2017-07-31 16:40:01,0.9827803801285776
形成W底!突破颈线就确立!,10696,6,2017-08-11 01:30:00,0.7502067934462142
16，02分已经屡次试探8次,10573,23,2016-09-08 15:00:05,0.5670916546889689
麻烦高人给介绍一支医药股呗,6791,10,2016-09-08 10:02:57,0.6833604812661686
康美药业(600518)融资融券信息(07-21),7587,6,2017-07-22 07:41:38,0.9403317027800453
600518:康美药业关于控股股东拟非公开发行可交,36112,19,2017-08-07 15:36:49,0.36618400472529544
妈的，跌啊，最好来根大阴棒，百分之五的，,6841,12,2017-07-07 09:56:24,0.14495140762603587
600518:康美药业关于控股股东股票质押式回购交,28175,8,2016-09-08 18:44:16,0.670409624564768
下影，启动！,8262,8,2017-08-08 10:14:23,0.28864551389330606
康美药业 周四将会走势如何？怎么应对策略？,49041,163,2017-05-31 17:04:18,0.9642730787888727
该有人去告呀,5835,17,2016-09-07 11:50:18,0.3128976172815785
庆典开完了就成这个鸟样啦？!,4592,3,2017-08-08 06:15:55,0.25404368340305417
600518:康美药业关于第一期限制性股权激励计划,28592,33,2017-07-26 18:32:14,0.7043491998049234
