日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-09-29,0,0,0,-1,-0.6931471805599453,1.0,-1.5040773967762742,20,186.0,1,2,0,0
2017-04-30,0,0,0,-1,-0.6931471805599453,1.0,-1.5040773967762742,129,184.0,1,2,0,0
2017-09-08,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,16,477.0,1,2,0,0
2017-05-07,0,0,0,-2,-1.0986122886681098,1.0,-1.0156210142951334,671,462.0,2,2,0,0
2017-09-04,3.0608354156081275e-05,0.003693661839453739,0.0014524330803150226,2,1.0986122886681098,1.0,1.7047480922384253,21,320.5,2,1,0.15,0.37
2017-09-19,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,19,3381.0,1,2,0,0
2017-07-10,0.0005548115838144587,-0.0016577020834975967,0.0013847221229466983,1,0.6931471805599453,1.0,0.6931471805599453,10,190.0,1,1,0.14,-0.17
2017-09-01,7.597861130870884e-05,0.001875763228849927,-0.007722046093910278,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,330.0,1,0,-0.77,0.19
2017-07-30,0,0,0,1,0.6931471805599453,1.0,1.3862943611198906,14,163.0,1,2,0,0
2017-07-12,0.0005092737021492915,-0.0017185946753946032,-0.03552942115448628,-1,-0.40546510810816444,0.057190958417936644,-1.445456216536492,203,158.66666666666666,3,0,-3.49,-0.17
2017-08-29,5.897551471289998e-05,0.0007669578311350367,0.0037896776761893354,-2,-0.6931471805599453,0.1339745962155614,-0.5147840776196382,25,677.0,4,1,0.38,0.08
2017-08-28,5.936850737046919e-05,0.009300697294152414,0.00237586236729265,-6,-1.9459101490553135,1.0,-0.6931471805599453,61,767.5,6,1,0.24,0.93
2017-09-11,0,0,0,0,0.0,0.0,-1.2728053379169018,28,164.0,2,2,0,0
2017-09-12,0,0,0,2,1.0986122886681098,1.0,1.3861381314619763,26,125.0,2,2,0,0
2017-08-26,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,8,540.0,1,2,0,0
2017-08-24,0.0005008707711141062,-0.00493658013051556,0.010602508959264421,-2,-1.0986122886681098,1.0,-0.6931471805599453,15,388.0,2,1,1.07,-0.49
2017-08-23,0.00010217703408170136,-0.0007692389930437725,-0.012996572827180248,-3,-1.3862943611198906,1.0,-0.6931471805599453,46,955.0,3,0,-1.29,-0.08
2017-06-11,0,0,0,1,0.6931471805599453,1.0,1.5040773967762742,14,150.0,1,2,0,0
