标题,帖子数,日期,情感
独自做决定，独自担责任。,14474,159,2017-09-01 15:51:12,0.9971824255086893
银行股上涨除估值相对较低外， 另一个原因是大,43709,299,2017-07-12 13:03:31,0.01001153921528164
次新股0.98元业绩江苏银行仅此1家股价不到10块,46172,75,2017-04-27 21:42:38,0.049974062228806404
咯咯咯咯咯 狂笑 瞎子狂笑 连续4年业绩翻倍，三,24784,52,2017-07-17 20:13:05,0.8737362321776064
狂笑 狂笑 呆子都会抢 瞎子也狂笑 业绩翻倍 股0,13495,24,2017-05-24 21:11:37,0.025312433897087483
实战炒股口决： 十四工作线，来回做波段；突破,62344,94,2017-03-19 09:53:48,0.986755970349184
~~奇虎360借壳中国中期,33905,105,2017-07-18 07:08:24,0.5358388942018802
==华泰证券第一梯队大券商绩优成长互联网券商龙,62773,194,2017-06-02 07:48:35,0.9991483265696962
招商银行(600036)大宗交易数据一览(09-04),13353,21,2017-09-04 18:38:41,0.18094462220740515
愿招行中报后创新高[鼓掌][赚大了][献花],27213,70,2017-08-17 11:18:40,0.7320125329569158
[傲]漂亮50英豪300必将疯狂展我中华5千年大帝国,10026,11,2017-06-12 09:35:33,0.9967350460146044
散户必看炒股格言和现金策略！ 孙子云：先立于,41100,69,2017-05-23 06:23:06,0.08329665475196413
取市场4000点之前，可大胆进行低吸的10只潜力个,33372,47,2017-08-07 13:02:16,0.9534245440348095
眼下可底部大胆建仓的超跌低价潜力黑马个股 ,18817,39,2017-07-28 18:42:57,0.19409471379503984
揭密：中长线必将走牛的小盘潜力成长个股,15264,33,2017-07-27 18:12:12,0.9988842792888305
上市场4000点之前，可大胆进行低吸的10只潜力个,27687,55,2017-06-22 11:34:39,0.9613117473021258
空仓者可跑步进场的潜力低价牛票,23005,37,2017-05-25 18:17:22,0.6096295895829733
实战炒股口决： 十四工作线，来回做波段；突破,41596,60,2017-05-26 10:35:20,0.986755970349184
证监会：请执法必严！查处庄操纵股价的不法行为,15226,30,2016-07-28 13:35:08,0.9290562259056623
揭穿价值投资的鬼话，如果真要价值投资，招商银,41054,89,2017-06-27 21:25:20,0.9997151511106501
招商银行(600036)大宗交易数据一览(08-31),17472,7,2017-08-31 19:16:31,0.18094462220740515
安硕信息300380曾经474元，现在21元，跌多少自,9529,10,2017-08-02 13:13:51,0.06470127834181649
招商银行(600036)大宗交易数据一览(08-30),14622,9,2017-08-30 18:26:00,0.18094462220740515
≥华泰证券+美国金融科技企业颠覆“金融系统”,260693,829,2016-05-26 21:16:48,0.9999687895317774
招行私行海外布局今年连下两城  香港中心正式开,12154,12,2017-08-28 19:15:17,0.9462215523268075
[胜利牛]女士们先生们朋友们！战胜内心的恐惧，,5531,12,2017-07-23 18:27:14,0.9986665971866072
