标题,阅读,评论,字数,影响力,时间
抱团做业绩，玩虚帐[胜利],10585,121,132,0.0,2017-07-17 22:46:22
->华泰证券+美国金融科技企业颠覆“金融系统”,98784,366,1584,4.0,2016-08-13 12:19:32
严重声明,3842,36,131,0.0,2017-07-14 13:28:29
新华--全球顶级抗癌药，中国拥有自主研发产权,14306,21,2613,0.0,2017-06-23 20:03:41
笑哈哈 连续4年业绩翻倍，三年利润之和将超公司,25349,84,559,4.5,2017-07-05 09:09:48
哈哈哈 狂笑咯咯咯咯，三年利润之和超现公司市,8694,45,560,4.5,2017-06-25 21:58:58
哈哈哈哈哈。疯狂抢盘啦 大笑 咯咯咯咯，晨鸣三,22718,78,554,4.5,2017-06-26 14:33:03
实盘：买买买！想发财买保险想赚钱必蓝筹！,138095,166,310,0.0,2017-06-02 15:14:35
狂笑 狂笑 笑眯眯的翻倍股 晨鸣 季报隐藏业绩核,16914,64,1001,4.5,2017-06-05 21:13:13
我擦，什么玩意啊,5874,28,126,0.0,2017-09-11 10:58:28
想死吗？,4955,21,118,0.0,2017-09-07 13:43:27
垃圾玩意,4669,25,118,0.0,2017-09-11 13:13:24
为什么这么垃圾垃圾垃圾垃圾垃圾,5897,27,140,0.0,2017-09-01 11:25:55
还有底线吗,5461,24,120,0.0,2017-09-07 14:07:26
[拜神鼓掌]女士们先生们朋友们！战胜内心的恐惧,8032,20,412,3.5,2017-07-23 20:06:49
此轮大牛市的主题板块---保险为王翻数倍,36892,109,138,0.0,2017-06-01 10:28:12
新华保险：独立非执行董事耿建新的任职资格获中,7300,10,278,0.0,2017-09-21 17:04:12
新华保险(601336)融资融券信息(09-18),4711,38,540,0.0,2017-09-19 07:54:51
新股发行不能停的重要理由：让凯撒归凯撒市场归,10323,24,541,3.0,2017-06-04 07:57:24
新华保险(601336)融资融券信息(09-22),7450,45,540,0.0,2017-09-23 07:47:23
新华保险1-8月原保险保费收入为754.17亿元,11370,45,234,0.0,2017-09-15 17:44:17
美银美林：升新华保险今年新业务价值增长预估 ,12454,35,373,0.0,2017-08-30 16:57:50
[献花]MSCI Inc.来了，漂亮50必将是永远中流砥,10761,46,1132,3.0,2017-06-22 14:39:20
2017年中报点评：聚焦期交业务，战略转型持续加,11838,34,1711,0.0,2017-08-31 20:23:11
新华保险(601336)大宗交易数据一览(09-18),15009,48,477,0.0,2017-09-18 18:36:56
新华保险前8月保费收入降近一成,13896,48,220,0.0,2017-09-15 17:42:16
[胜利大笑]这一板块兼具进攻与防守 有望进入加,3277,34,1454,4.0,2017-09-14 11:21:35
快拉指数，外国人7月进的该收割点中国机构的韭,4221,47,158,2.0,2017-08-01 13:54:55
简单明了,52675,50,414,0.0,2016-10-18 21:01:42
新华保险(601336)融资融券信息(09-21),4666,3,540,0.0,2017-09-22 07:46:26
新华保险耿建新的董事任职资格获中保监核准,8391,10,227,0.0,2017-09-21 17:35:22
脑子让驴踢了！老往下走？,2543,11,134,0.0,2017-09-12 13:23:45
新华保险(601336)融资融券信息(09-20),3647,4,538,0.0,2017-09-21 07:46:57
新华保险保费前8个月跌9.6% 降幅持续收窄,12594,6,594,0.0,2017-09-19 22:33:13
次新股江苏银行0.98元业绩股价不到10块仅此1家,62953,162,188,1.5,2017-03-28 20:06:49
