日期,日内波动率,上证日收益率,日收益率,简单情感指数,看涨,意见分散指数,影响力指数,总评论数,平均每篇的字数,发帖量,实际涨跌,涨跌幅,上证指数
2017-07-17,0.0020244435520606545,0,0,0,0.0,0.0,1.151934828944977,224,135.0,2,1,4.79,-1.43
2016-08-13,0,0,0,-1,-0.6931471805599453,1.0,-1.791759469228055,366,1584.0,1,2,0,0
2017-07-14,0.0003468060499336743,0.0013228624196074475,0.008882754565654629,-1,-0.2876820724517809,0.020204102886728803,-0.16378747216315662,96,575.6,5,1,0.89,0.13
2017-06-23,0.0006875043270555706,0.003305148504969669,0.031005701029489404,1,0.6931471805599453,1.0,0.6931471805599453,21,2613.0,1,1,3.15,0.33
2017-07-05,0.0031390880709679003,0.007615143694985624,0.07020425867324856,1,0.28768207245178085,0.020204102886728803,-1.0778939751681056,118,233.6,5,1,7.27,0.76
2017-06-25,0,0,0,1,0.6931471805599453,1.0,1.8718021769015913,45,560.0,1,2,0,0
2017-06-26,0.0007971031543367934,0.008692677357703274,-0.016065379881796196,-1,-0.6931471805599453,1.0,-1.8718021769015913,78,554.0,1,0,-1.59,0.87
2017-06-02,0.0008354954890111853,0.0009406974740755004,-0.046349994023841816,-1,-0.40546510810816444,0.057190958417936644,-0.49546559233529625,208,362.3333333333333,3,0,-4.53,0.09
2017-06-05,0.00042020733708976536,-0.004479449818967694,-0.01547342913496312,-2,-1.0986122886681098,1.0,-1.553049437491655,119,563.0,2,0,-1.54,-0.45
2017-09-11,0,0,0,2,1.0986122886681098,1.0,0.6931471805599453,53,122.0,2,2,0,0
2017-09-07,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,45,119.0,2,2,0,0
2017-09-01,0.0007590224452623186,0.001875763228849927,-0.019386182944043914,0,0.0,0.0,0.05502382180364923,35,332.0,2,0,-1.92,0.19
2017-07-23,0,0,0,1,0.6931471805599453,1.0,1.7047480922384253,20,412.0,1,2,0,0
2017-06-01,0.00027489927603775564,-0.0046818311185896225,0.0026345517684743555,1,0.4054651081081644,0.057190958417936644,0.6417076385657962,191,175.66666666666666,3,1,0.26,-0.47
2017-09-21,0,0,0,-3,-1.3862943611198906,1.0,-0.6931471805599453,24,347.6666666666667,3,2,0,0
2017-09-19,0,0,0,-2,-1.0986122886681098,1.0,-0.6931471805599453,44,567.0,2,2,0,0
2017-06-04,0,0,0,0,0.0,0.0,0.2554807828269079,57,1077.5,2,2,0,0
2017-09-23,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,45,540.0,1,2,0,0
2017-09-15,0,0,0,-5,-1.791759469228055,1.0,-0.6931471805599453,117,273.6,5,2,0,0
2017-08-30,0.0010620110151090584,-0.0004755634773659953,-0.04860593424997208,-1,-0.6931471805599453,1.0,-0.6931471805599453,35,373.0,1,0,-4.74,-0.05
2017-06-22,0.0008684600660469671,-0.002779339507223078,0.02202732231829091,1,0.6931471805599453,1.0,1.6094379124341003,46,1132.0,1,1,2.23,-0.28
2017-08-31,0.00037714715171162697,-0.0008387316015357838,-0.009392781605999444,-1,-0.40546510810816444,0.057190958417936644,-0.799472188716831,142,1359.6666666666667,3,0,-0.93,-0.08
2017-09-18,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,48,477.0,1,2,0,0
2017-09-14,0,0,0,1,0.4054651081081644,0.057190958417936644,0.792948646511942,43,879.6666666666666,3,2,0,0
2017-08-01,0.0030922091342913465,0.00597351323222333,0.09537346293306384,-1,-0.40546510810816444,0.057190958417936644,-0.11018946828248474,61,424.0,3,1,10.01,0.6
2016-10-18,0.00020644454576296536,0.013946234641883621,0.015507885643185693,1,0.6931471805599453,1.0,0.6931471805599453,50,414.0,1,1,1.56,1.4
2017-09-22,0,0,0,-1,-0.6931471805599453,1.0,-0.6931471805599453,3,540.0,1,2,0,0
