标题,帖子数,日期,情感
是谁说的3000点要有信心？结果股价都跌破2000点,22339,77,2017-07-26 21:58:12,0.22190745458592476
《北斗“卢沟7-7型”导航仪》,381176,1632,2017-07-07 07:48:49,0.27816292460244896
方正6月末领先大盘调整，走势与2016年12月至201,13017,12,2017-08-11 18:09:34,0.14878046773640874
券商股值得全仓买入和拼命捂住的根本原因,78553,80,2017-05-11 18:36:40,0.3936754425544208
0.98元业绩股价不到10块江苏银行仅此1家次新股,53058,139,2017-03-28 21:07:31,0.04997406222880718
哈哈哈哈哈 删贴啦 狂笑 狂笑 连续4年业绩翻倍,20028,56,2017-07-11 09:19:55,0.9479859752762466
哈哈哈哈 删贴啦 狂笑 狂笑 连续4年业绩翻倍，,18820,60,2017-07-11 09:19:22,0.9479859752762466
融资客决战国家指数牛系列！历史总是惊人的相似,12838,15,2017-08-29 19:22:50,0.9962274294160353
[深度揭发]MSCI Inc.来了，漂亮50必将是永远中,8796,15,2017-06-22 20:01:25,0.9898933307019596
方正证券(601901)融资融券信息(09-01),6342,10,2017-09-02 07:58:57,0.8233030596223522
铁心陪股友走完方正证券现价到16元全程,59856,47,2017-04-27 09:54:15,0.3450008027333823
今天为什么留一分钱的缺口不补,准备害人吗?,10291,17,2017-08-28 11:59:49,0.10181549964658754
咯咯咯咯 狂笑大笑 翻倍股 晨鸣季报隐藏业绩核,12687,31,2017-06-11 09:05:49,0.9997852423985036
咯咯咯 狂笑大笑 翻倍股 晨鸣季报隐藏业绩核弹,11519,26,2017-06-11 09:06:10,0.9973047606591834
重大提示：方正证券投资者索赔须知,56292,81,2017-05-06 09:14:36,0.3165700704522061
方正证券(601901)解禁股信息(08-08),22052,11,2017-08-07 00:01:28,0.19824139041651712
读懂K线语言、明白它给你指明的方向,195966,502,2017-06-17 19:01:08,0.9947131420114268
2016年个人资金账户配置了一部分方正证券（6019,134093,101,2016-04-16 14:56:22,0.9753305427060021
方正证券(601901)融资融券信息(08-25),6165,17,2017-08-26 10:08:13,0.8233030596223522
进场: “双重改革”受益股,社保养老金标的股,6493,7,2017-07-31 10:48:05,0.9893200488469195
方正证券：上半年净利同比降六成 二季度获证金,22998,6,2017-08-24 22:30:29,0.2437136130894818
方正证券(601901)融资融券信息(08-24),5004,8,2017-08-25 07:48:12,0.8233030596223522
中报速递：方正证券2017年上半年盈利8.24亿元，,16482,4,2017-08-24 18:27:01,0.31808759188882185
重大提示：方正证券投资者索赔须知,36950,77,2017-05-08 10:32:56,0.3165700704522061
《炒股日记》（8月23日，周三）,6207,8,2017-08-23 15:48:49,0.014224052953744626
今天出货？,7840,49,2017-06-06 10:31:26,0.3788569447456951
股市的夏天行情(六）,5114,51,2017-06-05 16:07:04,0.9860191879556582
方证证券这样让小小股民索赔 小股民索赔是不现,5461,46,2017-06-06 17:42:52,0.2280180779111003
我清仓走了  等下跌在回来见大家,5021,49,2017-06-05 13:07:27,0.4983517922762175
方正证券风险只是暂时的，谨慎持有待涨追高,8932,47,2017-06-01 10:08:55,0.4446157577073713
方正证券(601901)融资融券信息(08-18),7355,33,2017-08-19 08:39:13,0.8233030596223522
方正证券上半年净利润同比降六成,13064,7,2017-08-14 09:54:02,0.2178401829774107
《炒股日记》（8月16日，周三）,9480,14,2017-08-16 15:57:26,0.007903632187303389
方正证券：政泉控股所持公司股权继续遭冻结,30409,9,2017-08-04 19:41:18,0.13788843532059547
《炒股日记》（8月15日，周二）,7854,10,2017-08-15 15:49:50,0.003508166219547304
8,56进的,7612,15,2017-08-15 13:20:17,0.4537987679671459
“方正系”或遭史上最大规模索赔 索赔人数或创,85381,25,2017-05-13 13:05:43,0.011775298555556257
601901:方正证券关于全资子公司方正和生完成减,23847,9,2017-07-12 19:32:43,0.5291068663743912
601901:方正证券关于控股股东开展融资融券业务,30177,16,2017-08-14 16:18:12,0.7269344801509673
方正证券：上半年净利降逾六成,37627,18,2017-08-13 16:24:07,0.06509532963302767
《炒股周记》（8月11日，周五）,7521,8,2017-08-11 17:12:39,0.02930727212612061
[想一下]国家慢牛行情开启，让我们乘风破浪钱行,2561,3,2017-08-02 11:37:27,0.9681391460476998
601901:方正证券2017年半年度业绩快报公告,43748,9,2017-08-13 15:27:02,0.4841168938133287
方正证券(601901)融资融券信息(08-11),4652,5,2017-08-12 07:49:31,0.8233030596223522
